Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,40.03,40.27,39.31,39.46,328800,39.46
2014-12-01,40.15,40.43,39.57,39.86,307800,39.86
2014-11-28,39.39,40.57,39.24,40.12,129600,40.12
2014-11-26,39.48,39.69,38.92,39.15,169900,39.15
2014-11-25,39.41,39.65,38.86,39.39,231800,39.39
2014-11-24,38.38,39.26,38.07,39.19,199500,39.19
2014-11-21,39.26,39.50,38.10,38.14,280200,38.14
2014-11-20,37.15,39.15,37.15,38.89,453300,38.89
2014-11-19,36.51,36.96,36.29,36.89,144400,36.89
2014-11-18,36.72,36.95,36.46,36.50,144700,36.50
2014-11-17,37.56,37.74,36.67,36.72,71300,36.72
2014-11-14,37.86,38.02,37.47,37.66,144300,37.66
2014-11-13,37.82,37.92,37.38,37.72,118500,37.72
2014-11-12,36.16,37.83,36.13,37.72,227000,37.72
2014-11-11,36.05,36.29,36.03,36.11,132900,36.11
2014-11-10,35.95,36.02,35.62,36.01,70300,36.01
2014-11-07,35.97,36.38,35.93,36.02,190900,36.02
2014-11-06,35.76,36.49,35.29,36.15,215100,36.15
2014-11-05,35.04,35.86,35.04,35.68,134100,35.68
2014-11-04,35.37,35.37,34.71,34.84,139900,34.84
2014-11-03,35.59,35.97,35.40,35.48,115300,35.48
2014-10-31,36.49,36.50,35.46,35.67,227100,35.67
2014-10-30,35.70,36.14,35.64,36.00,109600,36.00
2014-10-29,35.86,36.22,35.72,35.79,131500,35.79
2014-10-28,34.99,36.02,34.68,35.91,210500,35.91
2014-10-27,34.84,35.09,34.71,34.99,89800,34.99
2014-10-24,35.38,35.38,34.86,35.01,97900,35.01
2014-10-23,35.43,35.56,35.02,35.27,185300,35.27
2014-10-22,35.63,36.15,35.12,35.14,95600,35.14
2014-10-21,34.97,35.72,34.68,35.54,131300,35.54
2014-10-20,34.15,34.94,34.15,34.82,144500,34.82
2014-10-17,35.58,35.68,34.30,34.40,138900,34.40
2014-10-16,34.36,35.51,34.22,35.18,210600,35.18
2014-10-15,34.41,35.42,34.37,34.79,258400,34.79
2014-10-14,34.34,35.49,34.29,35.03,136100,35.03
2014-10-13,34.14,34.60,33.90,33.96,159600,33.96
2014-10-10,33.17,34.34,33.17,34.16,152400,34.16
2014-10-09,33.95,33.95,32.97,33.37,151500,33.37
2014-10-08,33.29,33.99,33.27,33.95,130600,33.95
2014-10-07,33.97,34.10,33.35,33.36,118500,33.36
2014-10-06,35.20,35.45,34.17,34.20,79100,34.20
2014-10-03,34.84,35.40,34.65,35.22,73700,35.22
2014-10-02,34.07,34.67,33.94,34.46,99400,34.46
2014-10-01,34.46,34.64,33.80,34.08,656100,34.08
2014-09-30,35.35,35.35,34.46,34.46,163800,34.46
2014-09-29,35.17,35.68,35.16,35.41,107300,35.41
2014-09-26,35.98,36.08,35.45,35.46,156200,35.46
