Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,19.33,19.99,19.33,19.96,18900,19.96
2014-12-01,18.60,19.87,18.60,19.58,48200,19.58
2014-11-28,18.83,19.08,18.68,18.74,15900,18.74
2014-11-26,18.58,18.99,18.58,18.89,11300,18.89
2014-11-25,18.70,18.71,18.50,18.66,25400,18.66
2014-11-24,18.55,18.79,18.50,18.66,12400,18.66
2014-11-21,18.87,18.87,18.53,18.59,12400,18.59
2014-11-20,18.53,18.62,18.50,18.55,13900,18.55
2014-11-19,18.51,18.60,18.50,18.50,17200,18.50
2014-11-18,18.67,18.73,18.52,18.54,10700,18.54
2014-11-17,18.76,18.78,18.58,18.59,9700,18.59
2014-11-14,18.80,18.89,18.64,18.85,15100,18.85
2014-11-13,18.74,18.89,18.68,18.75,16500,18.75
2014-11-12,18.78,18.89,18.60,18.84,13000,18.84
2014-11-11,18.67,19.07,18.67,18.78,18800,18.78
2014-11-10,19.05,19.05,18.68,18.75,25500,18.75
2014-11-07,19.40,19.40,19.06,19.10,9700,19.10
2014-11-06,18.95,19.22,18.85,19.15,25200,19.15
2014-11-05,19.00,19.12,18.87,19.03,14800,19.03
2014-11-04,18.91,18.97,18.56,18.91,17900,18.91
2014-11-03,19.00,19.17,18.82,18.88,19500,18.88
2014-10-31,19.00,19.00,18.54,18.97,35800,18.97
2014-10-30,18.65,18.99,18.52,18.96,18000,18.96
2014-10-29,18.45,18.68,18.20,18.62,16500,18.62
2014-10-28,17.84,18.51,17.80,18.51,34600,18.51
2014-10-27,17.95,17.98,17.72,17.77,15100,17.77
2014-10-24,18.27,18.47,18.02,18.07,22200,18.07
2014-10-23,18.59,18.78,18.11,18.21,30500,18.21
2014-10-22,18.76,18.79,18.39,18.52,18300,18.52
2014-10-21,18.70,18.83,18.60,18.66,20800,18.66
2014-10-20,18.74,18.77,18.51,18.69,26400,18.69
2014-10-17,19.00,19.00,18.64,18.77,29100,18.77
2014-10-16,17.84,18.90,17.52,18.80,47000,18.80
2014-10-15,17.75,18.36,17.75,18.28,34400,18.28
2014-10-14,17.70,17.96,17.66,17.94,30400,17.94
2014-10-13,17.47,17.87,17.47,17.73,21100,17.73
2014-10-10,17.39,17.71,17.29,17.35,42800,17.35
2014-10-09,18.12,18.12,17.54,17.60,29400,17.60
2014-10-08,17.59,18.27,17.58,18.18,18000,18.18
2014-10-07,17.77,18.03,17.67,17.76,19300,17.76
2014-10-06,18.65,18.76,17.65,17.82,32700,17.82
2014-10-03,18.62,18.79,18.53,18.67,15300,18.67
2014-10-02,17.96,18.55,17.93,18.42,24700,18.42
2014-10-01,18.09,18.09,17.73,17.95,44100,17.95
2014-09-30,18.12,18.31,18.12,18.15,36600,18.15
2014-09-29,18.05,18.18,17.90,18.12,43800,18.12
2014-09-26,18.25,18.27,18.12,18.17,18600,18.12
2014-09-25,18.07,18.28,17.87,18.24,34000,18.19
2014-09-24,17.91,18.09,17.77,18.04,19200,17.99
2014-09-23,17.68,17.93,17.68,17.85,37400,17.80
2014-09-22,17.50,17.89,17.41,17.79,40600,17.74
2014-09-19,17.86,17.88,17.44,17.51,52700,17.46
2014-09-18,17.70,17.96,17.68,17.86,21600,17.81
2014-09-17,17.65,17.88,17.54,17.69,22500,17.64
2014-09-16,17.53,17.72,17.50,17.71,23100,17.66
2014-09-15,17.73,17.79,17.37,17.51,33900,17.46
2014-09-12,17.85,17.85,17.52,17.72,21100,17.67
2014-09-11,17.92,17.94,17.66,17.80,37400,17.75
2014-09-10,17.78,18.22,17.54,18.16,28700,18.11
2014-09-09,17.86,18.05,17.70,17.84,25000,17.79
2014-09-08,18.28,18.28,17.90,18.00,17700,17.95
2014-09-05,19.24,19.24,16.60,18.18,111600,18.13
2014-09-04,18.75,18.87,18.44,18.83,64100,18.78
2014-09-03,18.49,19.00,18.44,18.46,50200,18.41
2014-09-02,18.39,18.51,18.32,18.38,27500,18.33
2014-08-29,18.19,18.47,18.06,18.29,45000,18.24
2014-08-28,17.97,18.37,17.95,18.07,15600,18.02
2014-08-27,18.05,18.09,17.91,18.00,21000,17.95
2014-08-26,18.11,18.13,17.98,18.03,30500,17.98
2014-08-25,18.17,18.20,17.86,18.00,44600,17.95
2014-08-22,18.05,18.32,17.97,18.09,63900,18.04
2014-08-21,17.66,17.92,17.66,17.90,22400,17.85
2014-08-20,17.62,17.78,17.56,17.70,24200,17.65
2014-08-19,17.85,18.07,17.78,17.81,11100,17.76
2014-08-18,17.44,17.90,17.40,17.77,21900,17.72
2014-08-15,17.79,17.79,17.18,17.25,24000,17.20
2014-08-14,17.55,17.69,17.47,17.62,16000,17.57
2014-08-13,17.35,17.55,17.06,17.48,14200,17.43
2014-08-12,17.44,17.63,17.27,17.40,36600,17.35
2014-08-11,17.57,17.60,17.31,17.53,40200,17.48
2014-08-08,17.60,17.60,17.38,17.46,25800,17.41
2014-08-07,17.84,17.84,17.55,17.61,9900,17.56
2014-08-06,17.56,17.87,17.38,17.84,7300,17.79
2014-08-05,17.70,17.84,17.52,17.70,16800,17.65
2014-08-04,18.02,18.02,17.74,17.76,16700,17.71
2014-08-01,18.22,18.45,17.77,17.87,61400,17.82
2014-07-31,18.10,18.26,17.76,18.12,39800,18.07
2014-07-30,18.15,18.31,18.01,18.22,10600,18.17
2014-07-29,17.85,18.11,17.85,18.01,24100,17.96
2014-07-28,17.77,17.95,17.41,17.88,13900,17.83
2014-07-25,17.84,17.89,17.73,17.80,24000,17.75
2014-07-24,17.86,18.05,17.79,18.00,16300,17.95
2014-07-23,18.03,18.03,17.75,17.92,15400,17.87
2014-07-22,17.72,18.10,17.61,18.05,11400,18.00
2014-07-21,17.68,17.78,17.48,17.60,17000,17.55
2014-07-18,17.53,17.88,17.32,17.82,22300,17.77
2014-07-17,17.75,17.81,17.29,17.43,38200,17.38
2014-07-16,17.50,17.64,17.39,17.64,22300,17.59
2014-07-15,17.81,17.81,17.19,17.36,23700,17.31
