Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.97,2.04,1.95,1.97,101500,1.97
2014-12-01,2.01,2.02,1.92,1.97,227000,1.97
2014-11-28,2.05,2.05,2.01,2.01,81700,2.01
2014-11-26,2.08,2.12,2.05,2.05,66700,2.05
2014-11-25,2.05,2.11,2.05,2.07,64200,2.07
2014-11-24,2.09,2.13,2.03,2.07,99000,2.07
2014-11-21,2.20,2.20,2.08,2.08,137900,2.08
2014-11-20,2.15,2.17,2.11,2.15,80200,2.15
2014-11-19,2.06,2.15,2.05,2.15,132900,2.15
2014-11-18,2.08,2.15,2.07,2.07,170000,2.07
2014-11-17,2.13,2.16,2.06,2.16,277000,2.16
2014-11-14,2.03,2.14,2.02,2.12,297400,2.12
2014-11-13,2.07,2.07,2.02,2.04,210000,2.04
2014-11-12,2.05,2.08,2.03,2.06,212200,2.06
2014-11-11,2.04,2.15,2.02,2.03,312000,2.03
2014-11-10,2.06,2.09,2.00,2.01,233100,2.01
2014-11-07,2.00,2.10,2.00,2.10,204200,2.10
2014-11-06,2.02,2.05,1.98,1.98,221200,1.98
2014-11-05,2.05,2.09,2.02,2.02,150500,2.02
2014-11-04,2.04,2.09,2.02,2.06,181200,2.06
2014-11-03,2.08,2.11,2.00,2.06,245900,2.06
2014-10-31,2.08,2.12,2.05,2.05,230400,2.05
2014-10-30,2.13,2.13,2.06,2.09,190800,2.09
2014-10-29,2.17,2.19,2.12,2.15,237500,2.15
2014-10-28,2.18,2.22,2.15,2.20,257100,2.10
2014-10-27,2.19,2.21,2.15,2.19,132200,2.09
2014-10-24,2.25,2.29,2.12,2.16,414300,2.06
2014-10-23,2.27,2.30,2.20,2.21,364500,2.11
2014-10-22,2.30,2.32,2.22,2.24,171400,2.14
2014-10-21,2.38,2.38,2.24,2.32,226700,2.21
2014-10-20,2.30,2.39,2.23,2.35,579600,2.24
2014-10-17,2.25,2.30,2.21,2.25,463400,2.15
2014-10-16,2.08,2.28,2.08,2.25,221200,2.15
2014-10-15,2.24,2.30,2.03,2.12,575000,2.02
2014-10-14,2.38,2.38,2.23,2.24,410400,2.14
2014-10-13,2.16,2.38,2.15,2.27,241200,2.17
2014-10-10,2.31,2.32,2.20,2.21,257300,2.11
2014-10-09,2.26,2.39,2.21,2.31,700900,2.20
2014-10-08,2.13,2.32,2.13,2.25,652000,2.15
2014-10-07,1.99,2.22,1.98,2.18,515000,2.08
2014-10-06,2.05,2.14,2.02,2.04,466100,1.95
2014-10-03,2.25,2.38,2.11,2.14,634400,2.04
2014-10-02,2.20,2.28,2.05,2.22,1212200,2.12
2014-10-01,2.24,2.27,1.80,2.25,4470100,2.15
2014-09-30,2.08,2.15,1.94,1.98,1119400,1.89
2014-09-29,2.05,2.20,2.05,2.11,549500,2.01
2014-09-26,2.10,2.17,2.08,2.10,364000,2.00
2014-09-25,2.25,2.31,2.07,2.09,851300,1.99
2014-09-24,2.27,2.39,2.24,2.30,1372900,2.20
2014-09-23,2.28,2.35,2.21,2.27,1098800,2.17
2014-09-22,2.30,2.32,2.22,2.25,686800,2.15
2014-09-19,2.29,2.34,2.24,2.24,622600,2.14
2014-09-18,2.30,2.48,2.28,2.33,826700,2.22
2014-09-17,2.48,2.49,2.30,2.36,915100,2.25
2014-09-16,2.61,2.63,2.38,2.41,750700,2.30
2014-09-15,2.70,2.83,2.50,2.56,1331400,2.44
2014-09-12,2.46,4.00,2.46,2.85,13593800,2.72
2014-09-11,2.18,2.33,2.09,2.28,320700,2.18
2014-09-10,2.14,2.28,2.10,2.20,264600,2.10
2014-09-09,2.32,2.34,2.16,2.18,466100,2.08
2014-09-08,2.36,2.43,2.28,2.33,508100,2.22
2014-09-05,2.40,2.45,2.33,2.43,290800,2.32
2014-09-04,2.45,2.62,2.36,2.40,481200,2.29
