Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,51.02,51.19,50.63,50.83,1106900,50.83
2014-12-01,51.05,51.34,50.28,50.88,414700,50.88
2014-11-28,53.51,54.32,51.43,51.70,1120100,51.70
2014-11-26,55.57,55.57,54.90,55.07,683200,55.07
2014-11-25,56.05,56.48,55.11,55.27,764100,55.27
2014-11-24,56.41,56.44,55.44,55.78,275700,55.78
2014-11-21,56.23,56.87,55.92,56.68,526800,56.68
2014-11-20,55.63,55.94,55.21,55.81,592900,55.81
2014-11-19,55.51,56.00,55.33,55.74,378200,55.74
2014-11-18,55.60,55.96,55.30,55.58,280000,55.58
2014-11-17,55.45,55.79,55.09,55.51,417000,55.51
2014-11-14,55.99,55.99,55.10,55.71,517000,55.71
2014-11-13,56.99,57.58,55.89,56.16,389900,56.16
2014-11-12,56.64,57.36,56.32,56.86,356700,56.86
2014-11-11,56.91,57.02,55.86,56.75,451800,56.75
2014-11-10,56.59,57.01,56.22,56.83,437900,56.83
2014-11-07,56.50,56.89,56.32,56.46,319200,56.46
2014-11-06,56.36,56.78,56.10,56.63,433900,56.63
2014-11-05,55.67,56.36,55.43,56.28,205500,56.28
2014-11-04,54.90,55.69,54.73,55.65,464200,55.65
2014-11-03,56.50,56.50,54.53,54.96,379700,54.96
2014-10-31,56.71,57.13,55.71,56.57,361500,56.57
2014-10-30,55.52,56.37,55.52,56.25,245200,56.25
2014-10-29,55.80,56.15,55.36,55.72,628700,55.72
2014-10-28,55.08,55.71,55.08,55.69,299500,55.69
2014-10-27,54.30,54.76,53.90,54.68,235200,54.68
2014-10-24,55.25,55.42,54.59,54.78,452000,54.78
2014-10-23,55.57,55.99,55.25,55.47,244800,55.47
2014-10-22,56.39,56.84,55.22,55.37,292300,55.37
2014-10-21,56.24,56.50,55.73,56.44,197300,56.44
2014-10-20,55.95,56.38,55.22,56.15,274600,56.15
2014-10-17,55.81,56.42,54.74,56.00,755000,56.00
2014-10-16,53.50,55.32,53.50,54.96,461000,54.96
2014-10-15,55.60,55.99,53.91,54.61,1007500,54.61
2014-10-14,56.65,56.89,56.25,56.56,342400,56.56
2014-10-13,57.00,57.68,56.52,56.55,272900,56.55
2014-10-10,57.41,57.74,56.73,56.80,262500,56.80
2014-10-09,57.48,58.15,57.13,57.59,679800,57.59
2014-10-08,57.45,58.00,55.79,57.75,626600,57.75
2014-10-07,57.09,57.36,56.72,57.27,325600,57.27
2014-10-06,57.29,57.54,57.09,57.25,310200,57.25
2014-10-03,55.86,56.87,55.27,56.81,365000,56.81
2014-10-02,56.02,56.93,54.89,55.60,389000,55.60
2014-10-01,56.34,56.98,55.99,56.08,300700,56.08
2014-09-30,56.40,57.13,56.35,56.72,382500,56.72
2014-09-29,56.70,56.85,56.23,56.55,177800,56.55
2014-09-26,56.28,57.40,56.28,57.30,257900,57.30
2014-09-25,57.39,57.40,56.06,56.16,631600,56.16
2014-09-24,58.12,58.41,57.49,58.05,300400,57.64
2014-09-23,59.15,59.32,58.00,58.15,642900,57.74
2014-09-22,59.76,60.10,58.76,59.42,713500,59.00
2014-09-19,59.49,60.05,59.15,59.93,411800,59.50
2014-09-18,59.23,59.47,58.85,59.42,203100,59.00
2014-09-17,59.52,59.60,58.69,59.00,376100,58.58
2014-09-16,58.95,59.73,58.92,59.38,240800,58.96
2014-09-15,58.91,59.40,58.62,59.06,217500,58.64
2014-09-12,59.06,59.44,58.64,58.95,289700,58.53
2014-09-11,59.33,59.66,58.90,58.93,310700,58.51
2014-09-10,58.93,59.65,58.66,59.55,368500,59.13
2014-09-09,61.40,61.40,58.72,58.87,671100,58.45
2014-09-08,63.09,63.21,61.28,61.43,295600,60.99
2014-09-05,63.12,63.64,62.88,62.97,245600,62.52
2014-09-04,64.28,64.48,62.88,63.12,219400,62.67
2014-09-03,64.00,64.35,63.59,64.34,234300,63.88
2014-09-02,63.36,63.65,63.05,63.64,157400,63.19
2014-08-29,62.55,63.37,62.38,63.28,177000,62.83
2014-08-28,61.96,62.39,61.61,62.31,147000,61.87
2014-08-27,62.33,62.33,61.72,62.24,242100,61.80
2014-08-26,62.78,63.58,61.92,62.14,384600,61.70
2014-08-25,63.17,63.34,62.59,62.97,189500,62.52
2014-08-22,63.50,63.99,62.69,63.14,231600,62.69
2014-08-21,63.83,64.22,63.59,63.78,248000,63.33
2014-08-20,64.44,64.61,63.50,63.70,336700,63.25
2014-08-19,66.12,66.78,64.09,64.33,345700,63.87
2014-08-18,65.30,65.89,64.75,65.88,239300,65.41
2014-08-15,65.18,66.09,64.97,65.00,265700,64.54
2014-08-14,64.52,65.66,64.52,65.13,332900,64.67
2014-08-13,64.66,64.92,64.29,64.63,197400,64.17
2014-08-12,63.36,64.80,63.30,64.42,230200,63.96
2014-08-11,62.96,63.59,62.75,63.58,111900,63.13
2014-08-08,63.39,63.39,62.28,62.97,270900,62.52
2014-08-07,62.93,63.79,62.84,63.24,227200,62.79
2014-08-06,63.02,63.24,62.48,62.67,278700,62.22
2014-08-05,63.42,64.10,62.89,63.29,188600,62.84
2014-08-04,63.00,64.13,62.67,63.82,348000,63.37
2014-08-01,62.40,62.99,61.89,62.99,321800,62.54
2014-07-31,62.83,63.06,62.11,62.41,319800,61.97
