Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,3.36,3.37,3.35,3.37,108100,3.37
2014-12-01,3.39,3.39,3.36,3.37,164200,3.37
2014-11-28,3.38,3.38,3.37,3.37,52900,3.37
2014-11-26,3.36,3.39,3.36,3.38,201000,3.38
2014-11-25,3.37,3.38,3.36,3.36,158900,3.36
2014-11-24,3.38,3.40,3.37,3.37,250400,3.37
2014-11-21,3.39,3.39,3.37,3.39,231500,3.39
2014-11-20,3.37,3.39,3.36,3.38,111300,3.38
2014-11-19,3.37,3.37,3.35,3.37,175600,3.37
2014-11-18,3.45,3.45,3.35,3.36,116100,3.36
2014-11-17,3.35,3.37,3.35,3.35,165900,3.35
2014-11-14,3.37,3.39,3.34,3.36,122100,3.36
2014-11-13,3.38,3.39,3.37,3.37,101600,3.37
2014-11-12,3.41,3.41,3.38,3.39,141700,3.39
2014-11-11,3.40,3.41,3.40,3.40,55500,3.40
2014-11-10,3.40,3.41,3.40,3.40,86100,3.40
2014-11-07,3.41,3.41,3.40,3.40,82400,3.40
2014-11-06,3.44,3.45,3.43,3.43,124100,3.41
2014-11-05,3.45,3.47,3.43,3.43,84900,3.41
2014-11-04,3.46,3.47,3.45,3.45,55500,3.43
2014-11-03,3.47,3.47,3.45,3.46,68500,3.44
2014-10-31,3.46,3.48,3.46,3.47,99000,3.45
2014-10-30,3.47,3.48,3.46,3.46,77300,3.44
2014-10-29,3.46,3.49,3.46,3.47,139200,3.45
2014-10-28,3.45,3.48,3.43,3.48,105700,3.46
2014-10-27,3.44,3.45,3.43,3.43,65300,3.41
2014-10-24,3.44,3.45,3.44,3.44,78000,3.42
2014-10-23,3.45,3.46,3.44,3.46,67000,3.44
2014-10-22,3.43,3.44,3.41,3.43,133600,3.41
2014-10-21,3.41,3.44,3.41,3.43,176100,3.41
2014-10-20,3.42,3.42,3.40,3.41,134000,3.39
2014-10-17,3.40,3.42,3.40,3.40,134600,3.38
2014-10-16,3.37,3.39,3.35,3.38,234800,3.36
2014-10-15,3.31,3.39,3.31,3.32,379600,3.30
2014-10-14,3.36,3.39,3.28,3.34,396200,3.32
2014-10-13,3.39,3.40,3.37,3.37,159200,3.35
2014-10-10,3.41,3.41,3.38,3.39,141700,3.37
2014-10-09,3.40,3.42,3.40,3.41,65700,3.39
2014-10-08,3.39,3.42,3.38,3.42,127100,3.40
2014-10-07,3.40,3.41,3.40,3.41,44700,3.39
2014-10-06,3.42,3.45,3.41,3.43,283100,3.39
2014-10-03,3.41,3.43,3.41,3.41,193000,3.37
2014-10-02,3.40,3.42,3.35,3.41,253600,3.37
2014-10-01,3.40,3.42,3.40,3.41,156600,3.37
2014-09-30,3.39,3.42,3.37,3.42,164100,3.38
2014-09-29,3.38,3.42,3.37,3.40,202000,3.36
2014-09-26,3.41,3.42,3.39,3.40,162100,3.36
2014-09-25,3.46,3.46,3.40,3.41,187700,3.37
2014-09-24,3.46,3.47,3.44,3.47,115500,3.43
2014-09-23,3.47,3.49,3.45,3.46,150400,3.42
2014-09-22,3.50,3.50,3.45,3.46,196200,3.42
2014-09-19,3.48,3.50,3.48,3.50,81400,3.46
2014-09-18,3.47,3.50,3.47,3.49,163000,3.45
2014-09-17,3.47,3.49,3.47,3.48,161600,3.44
