Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,6.37,6.66,6.26,6.58,1128700,6.58
2014-12-01,6.57,6.58,6.35,6.42,942100,6.42
2014-11-28,6.66,6.66,6.54,6.55,297700,6.55
2014-11-26,6.51,6.73,6.51,6.68,754800,6.68
2014-11-25,6.62,6.66,6.57,6.59,596200,6.59
2014-11-24,6.69,6.73,6.59,6.59,468400,6.59
2014-11-21,6.71,6.75,6.56,6.67,847500,6.67
2014-11-20,6.66,6.72,6.61,6.62,1569000,6.62
2014-11-19,6.68,6.72,6.59,6.66,1174600,6.66
2014-11-18,6.91,6.91,6.63,6.69,2575300,6.69
2014-11-17,6.73,6.91,6.63,6.88,886500,6.88
2014-11-14,6.63,6.73,6.59,6.72,586700,6.72
2014-11-13,6.51,6.64,6.51,6.62,2014100,6.62
2014-11-12,6.43,6.52,6.40,6.47,2832400,6.47
2014-11-11,6.54,6.61,6.40,6.45,727400,6.45
2014-11-10,6.36,6.64,6.35,6.53,1731800,6.53
2014-11-07,6.25,6.44,6.02,6.37,5159500,6.37
2014-11-06,6.40,7.06,6.20,6.24,8118200,6.24
2014-11-05,6.06,6.14,6.01,6.06,652700,6.06
2014-11-04,6.22,6.25,6.00,6.04,901500,6.04
2014-11-03,6.08,6.24,6.06,6.22,655300,6.22
2014-10-31,6.08,6.16,6.00,6.07,2477700,6.07
2014-10-30,6.19,6.22,5.95,6.05,2944400,6.05
2014-10-29,6.47,6.54,6.10,6.25,1896700,6.25
2014-10-28,6.49,6.55,6.44,6.51,438000,6.51
2014-10-27,6.50,6.53,6.41,6.50,257300,6.50
2014-10-24,6.43,6.53,6.40,6.49,211400,6.49
2014-10-23,6.53,6.61,6.43,6.45,278200,6.45
2014-10-22,6.59,6.59,6.48,6.48,291600,6.48
2014-10-21,6.50,6.57,6.48,6.55,495100,6.55
2014-10-20,6.48,6.55,6.40,6.50,348300,6.50
2014-10-17,6.45,6.51,6.40,6.40,211600,6.40
2014-10-16,6.45,6.49,6.36,6.46,390600,6.46
2014-10-15,6.41,6.56,6.35,6.47,605100,6.47
2014-10-14,6.68,6.74,6.44,6.48,763200,6.48
2014-10-13,6.61,6.80,6.60,6.69,457000,6.69
2014-10-10,6.59,6.72,6.58,6.62,473100,6.62
2014-10-09,6.72,6.74,6.56,6.64,444000,6.64
2014-10-08,6.75,6.79,6.63,6.77,251600,6.77
2014-10-07,6.81,6.86,6.71,6.72,295500,6.72
2014-10-06,6.87,6.92,6.82,6.86,464100,6.86
2014-10-03,6.85,6.93,6.81,6.91,184200,6.91
2014-10-02,6.87,6.94,6.84,6.86,310700,6.86
2014-10-01,6.84,6.90,6.80,6.85,425500,6.85
2014-09-30,6.92,6.97,6.87,6.87,259200,6.87
2014-09-29,7.08,7.09,6.95,6.96,262200,6.96
2014-09-26,7.10,7.15,7.04,7.12,264200,7.12
2014-09-25,7.03,7.10,7.01,7.07,445600,7.07
2014-09-24,7.19,7.21,7.07,7.10,512500,7.10
2014-09-23,7.25,7.27,7.20,7.20,349900,7.20
2014-09-22,7.32,7.34,7.24,7.29,507100,7.29
2014-09-19,7.47,7.48,7.34,7.36,210300,7.36
2014-09-18,7.46,7.47,7.41,7.45,363800,7.45
2014-09-17,7.48,7.50,7.40,7.47,253700,7.47
2014-09-16,7.46,7.48,7.42,7.45,523100,7.45
2014-09-15,7.48,7.51,7.42,7.44,225300,7.44
2014-09-12,7.59,7.61,7.40,7.45,478500,7.45
2014-09-11,7.61,7.63,7.55,7.60,406800,7.60
2014-09-10,7.63,7.66,7.55,7.59,907300,7.59
2014-09-09,7.49,7.61,7.47,7.60,379100,7.60
2014-09-08,7.58,7.64,7.51,7.51,332600,7.51
2014-09-05,7.70,7.70,7.57,7.57,467200,7.57
2014-09-04,7.55,7.70,7.55,7.66,426300,7.66
2014-09-03,7.53,7.63,7.50,7.58,571200,7.58
2014-09-02,7.40,7.55,7.32,7.51,1280100,7.51
2014-08-29,7.49,7.55,7.48,7.50,1305300,7.50
2014-08-28,7.63,7.64,7.44,7.49,2370900,7.49
2014-08-27,7.32,7.38,7.28,7.29,319300,7.29
2014-08-26,7.32,7.40,7.29,7.31,246100,7.31
2014-08-25,7.42,7.46,7.30,7.35,408000,7.29
2014-08-22,7.53,7.56,7.34,7.35,569600,7.29
2014-08-21,7.59,7.59,7.51,7.54,413100,7.48
2014-08-20,7.62,7.64,7.44,7.56,734400,7.50
2014-08-19,7.48,7.67,7.41,7.60,997300,7.54
2014-08-18,7.63,7.63,7.36,7.40,1774300,7.34
2014-08-15,7.40,7.75,7.39,7.50,1395600,7.44
2014-08-14,7.31,7.39,7.28,7.37,674100,7.31
2014-08-13,7.32,7.36,7.28,7.28,276900,7.22
2014-08-12,7.30,7.42,7.27,7.33,188900,7.27
2014-08-11,7.31,7.41,7.28,7.32,220400,7.26
2014-08-08,7.38,7.38,7.28,7.31,185900,7.25
2014-08-07,7.34,7.38,7.19,7.34,249800,7.28
2014-08-06,7.26,7.36,7.26,7.34,121000,7.28
2014-08-05,7.20,7.38,7.14,7.27,500800,7.21
2014-08-04,7.00,7.30,6.98,7.30,763900,7.24
2014-08-01,7.02,7.11,6.93,6.94,866800,6.88
2014-07-31,6.71,6.96,6.61,6.87,567100,6.81
2014-07-30,6.67,6.70,6.60,6.63,189800,6.58
2014-07-29,6.73,6.77,6.68,6.68,235500,6.63
2014-07-28,6.80,6.86,6.74,6.75,215100,6.69
2014-07-25,6.94,6.96,6.81,6.81,407500,6.75
2014-07-24,6.85,6.93,6.85,6.93,203800,6.87
2014-07-23,6.89,6.92,6.83,6.85,466900,6.79
2014-07-22,6.89,6.92,6.85,6.88,163800,6.82
2014-07-21,6.90,6.93,6.85,6.86,131600,6.80
2014-07-18,6.92,6.96,6.90,6.91,118100,6.85
2014-07-17,6.95,6.98,6.90,6.90,182300,6.84
2014-07-16,7.01,7.01,6.95,6.97,122200,6.91
2014-07-15,6.94,6.99,6.93,6.97,140500,6.91
2014-07-14,7.04,7.06,6.99,7.01,149600,6.95
2014-07-11,7.02,7.11,7.01,7.05,300000,6.99
2014-07-10,7.06,7.10,6.99,7.06,491300,7.00
2014-07-09,7.06,7.14,7.04,7.11,617100,7.05
2014-07-08,7.13,7.13,7.09,7.11,239100,7.05
2014-07-07,7.12,7.16,7.05,7.14,187700,7.08
2014-07-03,7.14,7.19,7.12,7.15,84500,7.09
2014-07-02,7.15,7.15,7.04,7.15,276000,7.09
2014-07-01,7.07,7.16,7.04,7.09,326400,7.03
