Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,46.15,47.13,46.05,47.00,1424400,47.00
2014-12-01,47.06,47.50,45.97,46.11,1323900,46.11
2014-11-28,47.12,47.35,46.58,47.08,762100,47.08
2014-11-26,47.96,48.02,46.98,47.27,1015300,47.27
2014-11-25,48.08,48.29,47.44,47.71,1057100,47.71
2014-11-24,48.31,49.12,47.93,47.99,1305100,47.99
2014-11-21,47.69,48.50,47.10,48.08,1792700,48.08
2014-11-20,47.00,47.24,46.52,46.91,1833500,46.91
2014-11-19,48.90,49.02,47.38,47.45,1706900,47.45
2014-11-18,46.85,49.04,46.47,48.82,3175000,48.82
2014-11-17,45.08,46.93,44.74,46.50,3047900,46.50
2014-11-14,46.11,46.95,45.03,45.11,3155900,45.11
2014-11-13,47.00,47.17,46.02,46.20,3173400,46.20
2014-11-12,47.69,47.98,46.76,46.85,2947400,46.85
2014-11-11,48.06,48.98,48.06,48.66,2175600,48.66
2014-11-10,48.42,49.91,47.86,48.12,3010300,48.12
2014-11-07,50.45,50.64,46.17,47.81,6911300,47.81
2014-11-06,50.72,51.24,50.07,50.60,1465800,50.60
2014-11-05,52.79,52.79,50.09,50.50,2139100,50.50
2014-11-04,56.03,56.60,50.84,52.22,4677700,52.22
2014-11-03,55.17,57.46,54.97,55.43,2097900,55.43
2014-10-31,54.02,55.89,52.32,54.97,3051700,54.97
2014-10-30,54.60,54.75,52.62,53.12,2480300,53.12
2014-10-29,55.42,55.67,54.04,54.82,965600,54.82
2014-10-28,56.35,56.54,55.02,55.28,1505500,55.28
2014-10-27,56.31,56.34,54.77,56.26,843400,56.26
2014-10-24,56.67,56.79,55.50,56.59,962900,56.59
2014-10-23,55.74,57.11,55.34,56.44,1801200,56.44
2014-10-22,56.19,56.42,55.10,55.19,1074100,55.19
2014-10-21,54.00,56.11,53.67,55.93,2163800,55.93
2014-10-20,53.41,53.84,52.01,53.32,1323700,53.32
2014-10-17,53.55,54.56,52.61,53.42,1744800,53.42
2014-10-16,50.67,53.51,49.72,53.08,3027000,53.08
2014-10-15,50.79,51.53,48.08,50.37,3489800,50.37
2014-10-14,53.28,53.57,50.64,51.77,1811800,51.77
2014-10-13,53.55,54.91,52.82,52.86,1205000,52.86
2014-10-10,53.04,54.96,52.77,53.41,1262900,53.41
2014-10-09,55.63,55.63,53.16,53.20,1376400,53.20
2014-10-08,54.50,55.94,53.73,55.65,1475300,55.65
2014-10-07,54.56,55.58,54.21,54.58,1184300,54.58
2014-10-06,55.81,56.31,54.64,55.01,1104900,55.01
2014-10-03,54.90,55.80,54.23,55.49,1739100,55.49
2014-10-02,53.37,54.80,51.93,54.58,1891800,54.58
2014-10-01,54.71,54.80,52.75,53.37,2017200,53.37
2014-09-30,55.67,55.89,54.64,54.79,1190500,54.79
2014-09-29,54.79,55.69,54.44,55.56,753500,55.56
2014-09-26,56.21,56.79,55.09,55.22,1409600,55.22
2014-09-25,56.91,57.23,55.93,56.18,1158400,56.18
2014-09-24,56.18,57.28,55.79,57.21,505900,57.21
2014-09-23,55.72,57.23,55.60,56.06,948700,56.06
2014-09-22,57.57,57.65,55.98,56.03,1116600,56.03
2014-09-19,56.98,57.63,56.83,57.45,967900,57.45
2014-09-18,56.87,57.22,56.48,56.80,1229800,56.80
2014-09-17,56.65,57.12,56.32,56.77,1346900,56.77
2014-09-16,56.00,57.02,55.76,56.36,1410100,56.36
2014-09-15,56.70,57.26,55.91,56.06,1333200,56.06
2014-09-12,57.44,57.72,56.29,56.53,2224300,56.53
2014-09-11,55.08,57.16,54.95,57.10,1833200,57.10
2014-09-10,54.68,55.38,54.00,55.21,1343100,55.21
2014-09-09,53.87,55.95,53.76,54.78,2195300,54.78
2014-09-08,52.34,53.74,52.32,53.66,1083000,53.66
2014-09-05,51.45,52.35,51.38,52.31,1002600,52.31
2014-09-04,53.43,53.43,50.69,51.39,3016000,51.39
2014-09-03,54.23,54.33,53.06,53.21,1258600,53.21
2014-09-02,54.36,54.45,53.44,54.07,1171800,54.07
2014-08-29,53.70,55.70,53.70,54.28,1473000,54.28
2014-08-28,53.26,53.71,53.10,53.44,844300,53.44
2014-08-27,52.94,54.01,52.81,53.40,1304200,53.40
2014-08-26,51.64,53.03,51.64,52.91,1369500,52.91
2014-08-25,52.37,52.38,51.15,51.74,915800,51.74
2014-08-22,51.09,52.43,51.05,52.14,899700,52.14
2014-08-21,51.60,51.75,50.76,51.08,1091100,51.08
2014-08-20,51.07,51.85,50.60,51.48,1367500,51.48
2014-08-19,51.78,51.86,51.11,51.40,1159500,51.40
2014-08-18,51.10,51.77,50.64,51.66,959200,51.66
2014-08-15,50.91,51.41,50.26,51.00,1242400,51.00
2014-08-14,49.37,50.69,49.37,50.66,1195100,50.66
2014-08-13,48.54,49.51,48.54,49.40,1135600,49.40
2014-08-12,48.22,48.79,48.10,48.52,1281100,48.52
2014-08-11,48.58,49.31,48.02,48.48,1430100,48.48
2014-08-08,48.44,48.66,47.06,48.24,1298700,48.24
2014-08-07,48.17,49.15,47.74,48.42,1938200,48.42
2014-08-06,47.72,48.78,47.48,48.05,1325700,48.05
2014-08-05,47.75,48.91,47.61,48.14,2414900,48.14
2014-08-04,47.52,48.43,47.26,47.69,2436800,47.69
2014-08-01,49.00,51.40,46.48,47.24,4956000,47.24
2014-07-31,49.01,49.08,47.42,47.70,2742100,47.70
2014-07-30,48.28,50.00,48.00,49.70,3196000,49.70
2014-07-29,47.95,48.67,47.63,48.11,1319900,48.11
2014-07-28,47.41,48.06,47.17,47.86,983600,47.86
2014-07-25,47.52,48.34,47.07,47.49,2364800,47.49
2014-07-24,45.62,46.31,45.28,45.90,1268200,45.90
2014-07-23,45.60,45.65,44.44,45.59,1166700,45.59
2014-07-22,45.00,45.89,42.93,45.15,2789100,45.15
2014-07-21,45.50,45.80,44.51,44.84,1235600,44.84
2014-07-18,45.17,46.12,44.58,45.92,1306800,45.92
2014-07-17,45.95,47.20,44.76,44.93,2530500,44.93
2014-07-16,46.78,47.60,45.61,46.25,4823200,46.25
2014-07-15,42.39,42.99,42.23,42.60,1636800,42.60
