Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,6.04,6.20,6.04,6.06,2796700,6.06
2014-12-01,6.30,6.60,5.97,6.05,2448300,6.05
2014-11-28,6.33,6.50,6.24,6.27,1533900,6.27
2014-11-26,6.30,6.35,6.15,6.30,566800,6.30
2014-11-25,6.10,6.39,6.10,6.32,935900,6.32
2014-11-24,5.88,6.12,5.85,6.08,370400,6.08
2014-11-21,5.97,6.07,5.83,5.85,838300,5.85
2014-11-20,5.89,6.07,5.84,5.86,2230700,5.86
2014-11-19,6.18,6.24,5.90,5.90,889800,5.90
2014-11-18,6.17,6.30,6.08,6.15,732400,6.15
2014-11-17,6.23,6.33,6.07,6.18,325000,6.16
2014-11-14,6.37,6.43,6.18,6.27,473700,6.25
2014-11-13,6.40,6.47,6.13,6.24,695800,6.22
2014-11-12,6.33,6.50,6.33,6.43,341900,6.41
2014-11-11,6.43,6.60,6.21,6.39,457400,6.37
2014-11-10,6.52,6.53,6.32,6.44,275100,6.42
2014-11-07,6.41,6.48,6.33,6.48,312400,6.46
2014-11-06,6.27,6.40,6.25,6.40,248200,6.38
2014-11-05,6.40,6.46,6.21,6.27,607200,6.25
2014-11-04,6.61,6.70,6.30,6.37,378600,6.35
2014-11-03,6.65,6.74,6.56,6.59,352600,6.57
2014-10-31,6.74,6.74,6.49,6.66,479300,6.64
2014-10-30,6.55,6.65,6.50,6.53,571700,6.51
2014-10-29,6.34,6.76,6.34,6.63,1399700,6.61
2014-10-28,6.05,6.32,6.04,6.30,2128500,6.28
2014-10-27,6.05,6.10,5.93,5.98,341500,5.96
2014-10-24,6.07,6.13,6.00,6.12,313900,6.10
2014-10-23,6.09,6.17,5.96,6.05,816400,6.03
2014-10-22,6.34,6.35,6.01,6.01,616400,5.99
2014-10-21,6.16,6.40,6.16,6.32,510000,6.30
2014-10-20,6.16,6.31,6.09,6.11,444800,6.09
2014-10-17,6.29,6.36,6.03,6.16,1595200,6.14
2014-10-16,5.85,6.16,5.80,6.04,1615900,6.02
2014-10-15,5.47,5.99,5.44,5.97,1449500,5.95
2014-10-14,5.32,5.56,5.20,5.55,1338800,5.53
2014-10-13,5.59,5.65,5.28,5.30,1349900,5.28
2014-10-10,5.52,5.70,5.41,5.53,1414500,5.51
2014-10-09,5.82,5.86,5.52,5.57,960100,5.55
2014-10-08,5.89,5.89,5.48,5.83,1345500,5.81
2014-10-07,6.13,6.13,5.90,5.91,501400,5.89
2014-10-06,6.25,6.33,6.08,6.16,518600,6.14
2014-10-03,6.39,6.39,6.21,6.26,611300,6.24
2014-10-02,6.42,6.43,6.17,6.33,1254700,6.31
2014-10-01,6.18,6.55,6.14,6.44,1969900,6.42
2014-09-30,6.12,6.20,6.05,6.16,1899700,6.14
2014-09-29,6.12,6.24,6.06,6.11,662800,6.09
2014-09-26,6.14,6.25,6.01,6.21,1130200,6.19
2014-09-25,6.35,6.38,6.09,6.10,2002000,6.08
2014-09-24,6.31,6.35,6.11,6.34,1092200,6.32
2014-09-23,6.30,6.35,6.21,6.29,852400,6.27
2014-09-22,6.67,6.69,6.30,6.32,656400,6.30
2014-09-19,6.85,6.92,6.56,6.73,1613900,6.71
2014-09-18,6.88,6.91,6.76,6.84,870100,6.82
2014-09-17,6.91,6.98,6.80,6.85,1068000,6.83
2014-09-16,6.94,6.94,6.78,6.89,1033300,6.87
2014-09-15,6.81,6.99,6.71,6.97,1047700,6.95
2014-09-12,6.96,7.02,6.80,6.83,573700,6.81
2014-09-11,6.91,6.95,6.65,6.91,1271100,6.89
2014-09-10,6.44,7.10,6.41,6.97,1714300,6.95
2014-09-09,6.46,6.47,6.33,6.39,337900,6.37
2014-09-08,6.27,6.47,6.25,6.46,395500,6.44
2014-09-05,6.30,6.38,6.21,6.27,1135700,6.25
2014-09-04,6.55,6.57,6.34,6.38,2469300,6.34
2014-09-03,6.78,6.81,6.50,6.52,413800,6.48
2014-09-02,6.99,6.99,6.76,6.77,436200,6.73
2014-08-29,7.12,7.12,6.87,7.00,511400,6.96
2014-08-28,7.20,7.34,7.10,7.13,378000,7.08
2014-08-27,7.40,7.40,7.20,7.23,210800,7.18
2014-08-26,7.26,7.44,7.21,7.41,264300,7.36
2014-08-25,7.36,7.39,7.21,7.23,91200,7.18
2014-08-22,7.26,7.32,7.19,7.31,267600,7.26
2014-08-21,7.25,7.31,7.10,7.27,182900,7.22
2014-08-20,7.21,7.34,7.21,7.25,223100,7.20
2014-08-19,7.40,7.40,7.20,7.22,211700,7.17
2014-08-18,7.26,7.43,7.19,7.42,320400,7.37
2014-08-15,7.37,7.38,7.08,7.23,293300,7.18
2014-08-14,6.90,7.38,6.86,7.29,609100,7.24
2014-08-13,6.73,6.91,6.71,6.88,286400,6.84
2014-08-12,6.60,6.74,6.58,6.71,545100,6.67
2014-08-11,6.47,6.66,6.39,6.59,269700,6.55
2014-08-08,6.43,6.50,6.34,6.49,118400,6.45
2014-08-07,6.57,6.62,6.42,6.45,267200,6.41
2014-08-06,6.50,6.60,6.34,6.57,337600,6.53
2014-08-05,6.50,6.54,6.42,6.53,274300,6.49
2014-08-04,6.55,6.55,6.38,6.50,250400,6.46
2014-08-01,6.62,6.64,6.41,6.45,306000,6.41
2014-07-31,6.75,6.75,6.61,6.62,316000,6.58
2014-07-30,6.88,6.90,6.75,6.81,188200,6.77
2014-07-29,6.95,6.95,6.80,6.85,264700,6.81
2014-07-28,6.75,6.96,6.69,6.94,423000,6.90
