Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,63.48,64.47,63.18,64.26,1789300,64.26
2014-12-01,63.13,64.10,62.79,63.60,2491600,63.60
2014-11-28,62.78,63.66,62.64,63.56,876200,63.56
2014-11-26,62.57,62.80,62.23,62.61,1307200,62.61
2014-11-25,62.28,62.57,61.46,62.40,2264000,62.40
2014-11-24,62.57,62.62,61.86,62.11,1739800,62.11
2014-11-21,62.91,62.92,61.64,62.45,2260100,62.45
2014-11-20,62.37,63.00,62.14,62.25,1797000,62.25
2014-11-19,62.53,62.63,62.14,62.55,1850100,62.55
2014-11-18,62.77,63.06,62.20,62.70,2121000,62.70
2014-11-17,61.59,62.74,61.52,62.72,2486200,62.72
2014-11-14,61.54,62.14,61.39,61.76,1957800,61.76
2014-11-13,62.35,62.61,61.61,61.68,1691000,61.68
2014-11-12,62.77,62.88,61.87,62.40,3282800,62.40
2014-11-11,63.02,63.29,62.72,63.21,1569500,63.21
2014-11-10,62.42,63.09,62.27,63.08,2084800,63.08
2014-11-07,62.06,62.45,61.95,62.38,3067200,62.38
2014-11-06,62.51,63.05,61.57,61.99,2428700,61.99
2014-11-05,62.92,63.48,62.57,63.02,5272800,63.02
2014-11-04,63.34,63.51,62.19,62.31,2237300,62.31
2014-11-03,62.67,63.31,62.55,63.24,2152300,63.24
2014-10-31,62.72,62.80,62.14,62.58,3833200,62.58
2014-10-30,61.10,62.85,60.98,62.56,3951100,62.56
2014-10-29,62.00,62.90,60.69,61.38,2588300,61.38
2014-10-28,60.94,61.79,60.63,61.76,2554100,61.76
2014-10-27,60.76,61.24,60.57,60.87,1293000,60.87
2014-10-24,60.01,60.74,59.68,60.65,1748800,60.65
2014-10-23,60.56,60.77,59.67,59.85,2783100,59.85
2014-10-22,59.92,60.93,59.80,60.33,1816100,60.33
2014-10-21,60.00,60.00,59.34,59.93,2168300,59.93
2014-10-20,58.76,60.00,58.76,59.82,2749500,59.82
2014-10-17,58.66,59.02,58.05,58.76,2415300,58.76
2014-10-16,58.35,58.59,57.14,58.39,3285100,58.39
2014-10-15,59.82,59.95,57.74,59.04,3002400,59.04
2014-10-14,58.46,60.00,57.85,59.80,3990400,59.80
2014-10-13,57.80,58.77,57.62,58.14,2266100,58.14
2014-10-10,57.43,58.06,57.04,57.72,3008100,57.72
2014-10-09,58.06,58.19,57.05,57.10,3093200,57.10
2014-10-08,56.82,58.15,56.69,58.06,2370900,58.06
2014-10-07,56.60,57.36,56.53,56.69,2336000,56.69
2014-10-06,56.83,57.19,56.50,56.85,1321400,56.85
2014-10-03,56.43,56.79,55.96,56.60,1375600,56.60
2014-10-02,56.64,57.11,56.18,56.30,2202200,56.30
2014-10-01,56.01,57.21,55.88,56.68,2693200,56.68
2014-09-30,55.88,56.56,55.65,55.92,1593400,55.92
2014-09-29,54.50,55.85,54.12,55.75,1973300,55.75
2014-09-26,55.72,55.98,55.08,55.79,2005300,55.79
2014-09-25,56.50,56.83,56.01,56.02,1726800,55.66
2014-09-24,56.99,57.06,56.26,56.52,1862300,56.16
2014-09-23,57.27,57.35,56.58,56.82,2456100,56.46
2014-09-22,57.91,58.00,57.28,57.30,1532200,56.94
2014-09-19,57.91,58.06,57.69,57.91,1827400,57.54
