Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,45.72,46.50,45.59,46.17,1219400,46.17
2014-12-01,46.17,46.54,45.29,45.85,1343200,45.85
2014-11-28,46.31,46.43,45.79,45.98,716800,45.98
2014-11-26,47.07,47.97,46.63,47.67,1303300,47.67
2014-11-25,46.66,47.45,46.50,46.97,1154600,46.97
2014-11-24,46.54,47.07,46.41,46.48,743600,46.48
2014-11-21,46.92,47.05,46.43,46.60,682700,46.60
2014-11-20,45.98,46.69,45.83,46.43,813700,46.43
2014-11-19,45.74,46.20,45.46,46.00,1188900,46.00
2014-11-18,45.35,45.85,45.30,45.47,869100,45.47
2014-11-17,45.12,45.70,45.06,45.14,1099300,45.14
2014-11-14,45.59,45.72,45.29,45.37,548400,45.37
2014-11-13,45.88,46.21,45.25,45.44,1086100,45.44
2014-11-12,45.73,46.10,45.40,45.84,1070600,45.84
2014-11-11,45.43,46.09,44.96,46.07,1187400,45.76
2014-11-10,46.59,46.59,45.26,45.42,899600,45.12
2014-11-07,45.38,46.21,45.34,45.91,1148000,45.60
2014-11-06,45.57,45.93,45.01,45.14,1076900,44.84
2014-11-05,46.07,46.24,45.53,45.72,1052700,45.41
2014-11-04,46.79,46.93,45.47,45.83,1421200,45.52
2014-11-03,47.28,47.38,46.73,46.83,1386100,46.52
2014-10-31,47.15,48.12,47.10,47.36,1136600,47.04
2014-10-30,47.23,47.75,47.10,47.28,883200,46.96
2014-10-29,47.93,48.02,46.82,47.35,1135500,47.03
2014-10-28,46.85,47.75,46.56,47.68,943600,47.36
2014-10-27,46.58,46.95,46.26,46.56,580000,46.25
2014-10-24,46.75,47.03,46.34,46.82,815600,46.51
2014-10-23,45.75,46.84,45.75,46.55,1117100,46.24
2014-10-22,46.32,46.80,45.35,45.41,1384200,45.11
2014-10-21,46.13,46.54,45.84,46.53,891100,46.22
2014-10-20,45.19,45.86,44.83,45.74,1014700,45.43
2014-10-17,45.44,45.53,44.69,45.22,1356400,44.92
2014-10-16,43.32,45.67,43.06,45.13,1837500,44.83
2014-10-15,42.76,43.92,42.14,43.76,1638200,43.47
2014-10-14,43.71,44.53,42.83,43.02,1516900,42.73
2014-10-13,44.80,45.35,43.52,43.54,1090100,43.25
2014-10-10,45.45,45.58,44.29,44.89,1603800,44.59
2014-10-09,46.36,46.40,45.37,45.60,1712000,45.29
2014-10-08,46.42,46.57,45.44,46.42,983300,46.11
2014-10-07,46.76,47.02,46.38,46.41,801800,46.10
2014-10-06,46.94,47.16,46.62,46.96,957700,46.65
2014-10-03,46.79,46.97,46.27,46.62,1725100,46.31
2014-10-02,47.51,47.51,45.50,46.90,2058700,46.59
2014-10-01,47.84,48.24,47.19,47.44,1987600,47.12
2014-09-30,47.96,48.44,47.69,47.88,1986800,47.56
2014-09-29,48.00,48.43,47.36,48.28,1093400,47.96
2014-09-26,47.68,48.45,47.28,48.23,811900,47.91
2014-09-25,49.04,49.04,47.76,47.77,1988800,47.45
2014-09-24,49.62,49.76,48.83,49.12,1181300,48.79
2014-09-23,49.99,50.46,49.66,49.80,814100,49.47
