Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,13.97,14.06,13.94,14.04,117000,14.04
2014-12-01,14.11,14.15,13.98,14.01,163600,14.01
2014-11-28,14.16,14.19,14.15,14.18,92500,14.18
2014-11-26,14.08,14.15,14.08,14.15,60100,14.15
2014-11-25,14.11,14.14,14.07,14.11,112700,14.11
2014-11-24,14.11,14.16,14.06,14.08,110700,14.08
2014-11-21,14.19,14.22,14.09,14.11,110700,14.11
2014-11-20,13.91,14.07,13.91,14.06,129400,14.06
2014-11-19,14.05,14.05,13.95,13.98,116700,13.98
2014-11-18,14.09,14.17,14.08,14.12,103700,14.03
2014-11-17,14.03,14.10,14.03,14.08,98300,13.99
2014-11-14,14.03,14.07,14.01,14.04,51900,13.95
2014-11-13,14.05,14.11,14.00,14.02,127000,13.93
2014-11-12,13.91,14.06,13.91,14.05,128200,13.96
2014-11-11,13.86,13.94,13.84,13.94,136800,13.85
2014-11-10,13.91,13.93,13.84,13.87,109100,13.78
2014-11-07,13.93,13.95,13.88,13.90,113700,13.81
2014-11-06,13.95,13.97,13.87,13.93,114500,13.84
2014-11-05,14.09,14.09,13.92,13.96,89600,13.87
2014-11-04,14.00,14.01,13.91,13.97,168100,13.88
2014-11-03,13.94,14.03,13.94,14.01,93700,13.92
2014-10-31,13.89,13.95,13.85,13.92,105000,13.83
2014-10-30,13.64,13.84,13.64,13.75,134900,13.66
2014-10-29,13.74,13.82,13.66,13.72,99700,13.63
2014-10-28,13.65,13.73,13.64,13.72,107200,13.63
2014-10-27,13.55,13.60,13.50,13.59,149000,13.51
2014-10-24,13.46,13.58,13.43,13.58,120700,13.50
2014-10-23,13.44,13.53,13.36,13.42,188300,13.34
2014-10-22,13.30,13.38,13.26,13.26,147900,13.18
2014-10-21,13.12,13.34,13.12,13.34,164700,13.17
2014-10-20,12.87,13.01,12.86,13.01,142400,12.84
2014-10-17,12.75,12.93,12.75,12.88,194200,12.72
2014-10-16,12.15,12.70,12.15,12.63,248100,12.47
2014-10-15,12.41,12.49,12.02,12.38,503500,12.22
2014-10-14,12.83,12.90,12.64,12.64,370200,12.48
2014-10-13,13.17,13.20,12.80,12.82,329400,12.66
2014-10-10,13.41,13.47,13.20,13.20,175300,13.03
2014-10-09,13.72,13.72,13.46,13.50,114700,13.33
2014-10-08,13.56,13.73,13.47,13.72,229500,13.54
2014-10-07,13.66,13.67,13.53,13.55,137600,13.38
