Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,26.00,26.19,25.92,26.07,66900,26.07
2014-12-01,26.20,26.20,25.95,26.05,40900,26.05
2014-11-28,26.35,26.39,26.17,26.20,41500,26.20
2014-11-26,26.21,26.33,26.12,26.33,37200,26.33
2014-11-25,26.20,26.30,26.13,26.18,59000,26.18
2014-11-24,25.85,26.24,25.82,26.17,52000,26.17
2014-11-21,25.96,25.99,25.66,25.79,41300,25.79
2014-11-20,25.75,26.10,25.53,25.57,104800,25.57
2014-11-19,25.73,25.84,25.64,25.84,33100,25.84
2014-11-18,25.50,25.89,25.50,25.87,58800,25.69
2014-11-17,25.50,25.59,25.39,25.39,53900,25.21
2014-11-14,25.77,25.77,25.55,25.60,29500,25.42
2014-11-13,25.89,25.90,25.68,25.68,29500,25.50
2014-11-12,25.80,25.92,25.74,25.75,30600,25.57
2014-11-11,25.83,25.96,25.75,25.91,42200,25.73
2014-11-10,25.79,25.79,25.72,25.76,30600,25.58
2014-11-07,25.86,25.86,25.64,25.72,58300,25.54
2014-11-06,25.65,25.95,25.58,25.91,57600,25.73
2014-11-05,25.63,25.63,25.50,25.59,32900,25.41
2014-11-04,25.42,25.45,25.25,25.35,46800,25.17
2014-11-03,25.30,25.53,25.21,25.42,56400,25.24
2014-10-31,25.17,25.26,24.83,25.26,54700,25.08
2014-10-30,24.66,24.86,24.58,24.79,29100,24.62
2014-10-29,24.57,24.68,24.53,24.66,41700,24.49
2014-10-28,24.42,24.66,24.37,24.66,52200,24.49
2014-10-27,24.32,24.32,24.20,24.30,64000,24.13
2014-10-24,24.33,24.39,24.16,24.36,47400,24.19
2014-10-23,24.30,24.38,24.13,24.22,69500,24.05
2014-10-22,23.95,24.11,23.90,23.97,86300,23.80
2014-10-21,23.55,23.99,23.37,23.99,78800,23.64
2014-10-20,23.10,23.38,23.10,23.37,66500,23.03
2014-10-17,22.95,23.36,22.76,23.03,64500,22.70
2014-10-16,21.96,22.86,21.77,22.66,79800,22.33
2014-10-15,22.48,22.48,21.70,22.33,125000,22.01
2014-10-14,22.72,22.92,22.52,22.66,50700,22.33
2014-10-13,23.38,23.38,22.36,22.75,90200,22.42
2014-10-10,23.90,23.90,23.32,23.36,56600,23.02
2014-10-09,24.27,24.29,23.85,23.92,38400,23.58
2014-10-08,24.17,24.38,23.95,24.35,50400,24.00
2014-10-07,24.30,24.37,24.23,24.25,32300,23.90
2014-10-06,24.43,24.54,24.37,24.46,72900,24.11
2014-10-03,24.14,24.41,24.14,24.36,43900,24.01
2014-10-02,24.41,24.41,23.87,24.10,82900,23.75
2014-10-01,24.72,24.72,24.35,24.41,58400,24.06
2014-09-30,24.80,24.80,24.60,24.71,58300,24.35
2014-09-29,24.63,24.78,24.61,24.72,30500,24.36
2014-09-26,24.76,24.94,24.67,24.90,54700,24.54
2014-09-25,25.09,25.09,24.73,24.82,27100,24.46
2014-09-24,25.09,25.15,24.94,25.12,41300,24.76
2014-09-23,25.10,25.13,24.97,25.03,55800,24.67
2014-09-22,25.43,25.43,25.05,25.08,50900,24.72
2014-09-19,25.43,25.49,25.35,25.39,42300,25.02
2014-09-18,25.50,25.58,25.43,25.51,57800,24.99
