Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,32.22,32.76,32.16,32.74,854000,32.74
2014-12-01,31.88,32.27,31.82,32.21,488300,32.21
2014-11-28,32.28,32.33,31.97,32.01,351900,32.01
2014-11-26,31.91,32.18,31.78,32.15,645000,32.15
2014-11-25,31.68,31.93,31.55,31.90,1629200,31.90
2014-11-24,31.64,31.76,31.36,31.65,532200,31.65
2014-11-21,31.78,31.85,31.38,31.55,638500,31.55
2014-11-20,30.81,31.45,30.81,31.44,441000,31.44
2014-11-19,30.97,31.22,30.58,30.98,475800,30.98
2014-11-18,30.80,31.11,30.68,31.03,549400,31.03
2014-11-17,30.70,30.95,30.68,30.75,286900,30.75
2014-11-14,30.67,31.00,30.66,30.81,519700,30.81
2014-11-13,30.90,31.01,30.50,30.66,455900,30.66
2014-11-12,30.37,30.87,30.16,30.86,482000,30.86
2014-11-11,30.46,30.65,30.25,30.32,478700,30.32
2014-11-10,30.37,30.44,30.24,30.42,765100,30.42
2014-11-07,30.08,30.34,29.91,30.30,471900,30.30
2014-11-06,30.31,30.38,30.04,30.10,488100,30.10
2014-11-05,30.52,30.72,30.14,30.33,576500,30.33
2014-11-04,30.27,30.48,30.16,30.40,659300,30.40
2014-11-03,30.40,30.55,30.01,30.29,812100,30.29
2014-10-31,31.01,31.10,30.18,30.32,1182000,30.32
2014-10-30,29.97,31.00,29.92,30.46,1294600,30.46
2014-10-29,30.00,30.15,29.80,30.08,801100,30.08
2014-10-28,29.84,29.95,29.64,29.94,1085200,29.94
2014-10-27,29.65,29.89,29.47,29.76,665200,29.76
2014-10-24,29.24,29.71,28.99,29.68,821200,29.68
2014-10-23,28.96,29.17,28.54,28.91,637500,28.91
2014-10-22,28.87,28.88,28.39,28.42,554300,28.42
2014-10-21,28.31,28.76,28.22,28.75,582700,28.75
2014-10-20,28.19,28.48,28.04,28.31,756900,28.31
2014-10-17,28.02,28.40,27.63,28.33,1298200,28.33
2014-10-16,26.92,28.00,26.92,27.70,1225300,27.70
2014-10-15,26.47,27.43,26.42,27.27,1471600,27.27
2014-10-14,26.66,26.98,26.55,26.83,761100,26.83
2014-10-13,26.30,26.59,26.20,26.40,651900,26.40
2014-10-10,26.45,26.80,26.28,26.28,457500,26.28
2014-10-09,26.97,27.06,26.43,26.45,704900,26.45
2014-10-08,26.53,27.04,26.51,27.00,619200,27.00
2014-10-07,26.68,26.78,26.49,26.50,482800,26.50
2014-10-06,27.31,27.31,26.87,26.88,395100,26.88
2014-10-03,27.19,27.35,27.09,27.20,439000,27.20
2014-10-02,26.90,27.12,26.83,26.90,739500,26.90
2014-10-01,27.13,27.19,26.61,26.87,1579100,26.87
2014-09-30,27.66,27.71,27.12,27.12,1056000,27.12
2014-09-29,27.62,27.83,27.46,27.71,521200,27.71
2014-09-26,27.62,27.95,27.54,27.90,393700,27.90
2014-09-25,27.79,27.79,27.37,27.60,735100,27.60
2014-09-24,27.26,27.84,27.08,27.83,568000,27.83
2014-09-23,27.64,27.73,27.32,27.33,526100,27.33
2014-09-22,28.10,28.17,27.76,27.76,577700,27.76
2014-09-19,28.49,28.60,28.03,28.19,948500,28.19
2014-09-18,28.59,28.65,28.37,28.43,409800,28.43
2014-09-17,27.98,28.67,27.93,28.51,802500,28.51
2014-09-16,27.97,28.21,27.92,28.01,425300,28.01
2014-09-15,27.95,28.11,27.74,27.97,507800,27.97
2014-09-12,27.96,28.13,27.77,27.99,900700,27.99
2014-09-11,27.76,28.11,27.62,28.05,306800,28.05
2014-09-10,27.45,27.91,27.27,27.89,697700,27.89
2014-09-09,27.67,27.74,27.42,27.44,322400,27.44
2014-09-08,27.70,27.80,27.51,27.77,287400,27.77
2014-09-05,27.73,27.79,27.54,27.69,260300,27.69
2014-09-04,28.06,28.21,27.75,27.81,291600,27.81
2014-09-03,28.57,28.66,28.23,28.31,604100,28.07
2014-09-02,28.41,28.55,28.29,28.43,527700,28.19
2014-08-29,28.09,28.45,28.09,28.35,403500,28.11
2014-08-28,28.28,28.28,27.94,28.08,405300,27.84
2014-08-27,28.40,28.48,28.23,28.34,357200,28.10
2014-08-26,28.30,28.38,28.18,28.27,357300,28.03
2014-08-25,28.34,28.51,28.20,28.26,475800,28.02
2014-08-22,27.97,28.29,27.73,28.16,524000,27.92
2014-08-21,28.11,28.16,27.85,27.98,542700,27.74
2014-08-20,28.34,28.36,28.06,28.08,540800,27.84
