Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,50.49,51.20,50.38,50.81,701100,50.81
2014-12-01,51.31,51.31,50.34,50.36,760300,50.36
2014-11-28,52.61,52.61,51.42,51.53,279600,51.53
2014-11-26,51.89,52.71,51.61,52.60,683300,52.60
2014-11-25,51.43,51.84,51.40,51.81,831800,51.81
2014-11-24,51.45,51.78,51.29,51.47,522300,51.47
2014-11-21,51.69,52.02,51.02,51.13,433400,51.13
2014-11-20,50.49,51.41,50.49,51.33,524600,51.33
2014-11-19,51.71,51.78,51.18,51.54,431600,51.54
2014-11-18,51.59,51.80,51.31,51.44,406600,51.44
2014-11-17,51.40,51.61,51.11,51.50,418500,51.50
2014-11-14,51.62,52.04,51.33,51.51,662600,51.51
2014-11-13,52.12,52.12,51.46,51.64,695300,51.64
2014-11-12,51.37,52.22,51.34,52.14,694600,52.14
2014-11-11,51.44,51.69,51.36,51.65,642300,51.65
2014-11-10,51.47,51.84,51.38,51.60,321800,51.60
2014-11-07,51.78,52.08,51.32,51.55,911800,51.55
2014-11-06,51.01,51.81,50.93,51.78,995900,51.78
2014-11-05,50.87,51.24,50.63,51.11,599300,51.11
2014-11-04,50.51,50.74,50.24,50.69,533700,50.69
2014-11-03,50.87,50.99,50.34,50.59,886700,50.59
2014-10-31,49.60,50.96,49.59,50.93,1602500,50.93
2014-10-30,48.56,49.36,48.49,49.14,568300,49.14
2014-10-29,48.38,49.00,48.16,48.85,856600,48.85
2014-10-28,47.69,48.53,47.53,48.46,672800,48.46
2014-10-27,47.50,47.89,47.13,47.84,562200,47.70
2014-10-24,47.26,47.64,47.13,47.58,621300,47.44
2014-10-23,47.32,47.37,46.51,47.08,1621400,46.94
2014-10-22,47.33,47.65,46.83,46.88,1189000,46.74
2014-10-21,46.68,47.73,46.68,47.51,1751700,47.37
2014-10-20,46.95,47.08,46.20,46.39,1628100,46.25
2014-10-17,47.60,47.62,46.81,47.19,1911300,47.05
2014-10-16,44.56,47.60,44.56,47.37,3890900,47.23
2014-10-15,46.68,47.10,45.73,46.36,2274400,46.22
2014-10-14,47.16,47.60,46.77,47.08,1273600,46.94
2014-10-13,47.67,47.87,47.08,47.14,1496300,47.00
2014-10-10,48.29,48.58,47.50,47.52,981600,47.38
2014-10-09,49.31,49.31,48.17,48.34,1225400,48.20
2014-10-08,48.50,49.24,48.25,49.18,877000,49.04
2014-10-07,49.24,49.47,48.49,48.50,687800,48.36
2014-10-06,49.75,49.88,49.22,49.38,631200,49.24
