Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,18.90,19.45,18.75,19.45,15600,19.45
2014-12-01,18.99,19.00,17.50,18.90,14300,18.90
2014-11-28,19.55,19.55,18.50,18.93,3200,18.93
2014-11-26,20.00,20.00,19.55,19.75,4800,19.75
2014-11-25,20.80,20.80,20.09,20.09,2800,20.09
2014-11-24,20.79,20.79,20.79,20.79,300,20.79
2014-11-21,20.99,20.99,18.99,20.56,5200,20.56
2014-11-20,21.50,21.51,20.99,21.00,4500,21.00
2014-11-19,21.49,21.49,21.49,21.49,100,21.49
2014-11-18,21.50,21.50,21.30,21.30,900,21.30
2014-11-17,21.50,21.50,21.19,21.50,2900,21.50
2014-11-14,21.00,21.20,21.00,21.20,500,21.20
2014-11-13,21.49,21.50,21.20,21.20,3300,21.20
2014-11-12,20.95,21.50,20.89,21.50,7000,21.50
2014-11-11,21.00,21.55,20.10,20.89,5400,20.89
2014-11-10,21.00,21.00,21.00,21.00,000,21.00
2014-11-07,20.88,21.00,20.88,21.00,900,21.00
2014-11-06,21.00,21.00,21.00,21.00,200,21.00
2014-11-05,21.60,21.60,21.60,21.60,500,21.60
2014-11-04,21.10,21.10,21.04,21.04,800,21.04
2014-11-03,22.00,22.00,21.30,21.50,9000,21.50
2014-10-31,21.62,22.00,21.55,22.00,2300,22.00
2014-10-30,22.00,22.00,21.80,21.96,4000,21.96
2014-10-29,22.00,22.00,21.53,21.53,300,21.53
2014-10-28,21.53,22.00,21.50,21.99,2400,21.99
2014-10-27,22.26,22.26,21.50,21.50,2300,21.50
2014-10-24,22.00,22.55,22.00,22.55,1100,22.55
2014-10-23,22.00,22.00,21.99,22.00,2400,22.00
2014-10-22,22.00,22.00,21.97,21.99,1800,21.99
2014-10-21,21.95,22.10,21.95,21.95,3700,21.95
2014-10-20,23.00,23.00,22.00,22.00,4300,22.00
2014-10-17,22.00,22.00,21.90,21.95,3600,21.95
2014-10-16,21.00,21.75,20.98,21.75,1200,21.75
2014-10-15,21.00,21.00,21.00,21.00,800,21.00
2014-10-14,22.25,22.25,21.90,21.90,5100,21.90
2014-10-13,22.30,22.30,22.30,22.30,400,22.30
2014-10-10,22.76,22.76,20.01,22.50,4000,22.50
2014-10-09,23.23,23.26,22.81,23.25,3400,23.25
2014-10-08,24.05,24.05,23.00,23.00,6800,23.00
2014-10-07,24.16,24.16,24.00,24.05,1300,24.05
2014-10-06,24.16,24.53,24.00,24.16,2100,24.16
2014-10-03,24.06,24.16,24.00,24.02,2200,24.02
2014-10-02,24.38,24.38,24.00,24.27,2200,24.27
2014-10-01,23.86,24.73,23.86,24.73,2300,24.73
2014-09-30,24.61,24.89,24.60,24.89,1800,24.89
2014-09-29,24.80,24.80,24.80,24.80,500,24.80
2014-09-26,24.27,24.38,24.27,24.38,2000,24.38
2014-09-25,24.75,24.75,24.75,24.75,300,24.27
2014-09-24,24.41,24.75,24.41,24.75,3000,24.27
2014-09-23,24.68,24.75,24.30,24.60,8600,24.12
2014-09-22,24.75,24.76,24.50,24.50,2700,24.02
2014-09-19,24.75,24.75,24.75,24.75,1100,24.27
2014-09-18,24.84,24.91,24.50,24.50,700,24.02
2014-09-17,24.75,24.96,24.75,24.80,2200,24.32
2014-09-16,24.75,24.80,24.75,24.75,900,24.27
2014-09-15,24.51,24.83,24.50,24.83,800,24.35
2014-09-12,24.70,24.70,24.51,24.56,4600,24.08
2014-09-11,24.71,24.73,24.65,24.65,4900,24.17
