Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,43.26,43.95,43.01,43.84,153300,43.84
2014-12-01,43.51,43.73,43.22,43.26,177900,43.26
2014-11-28,44.53,44.53,43.61,43.85,226300,43.85
2014-11-26,44.61,44.68,44.01,44.37,84300,44.37
2014-11-25,44.24,44.57,44.04,44.45,83900,44.45
2014-11-24,44.43,44.43,43.86,44.20,127900,44.20
2014-11-21,43.69,44.25,43.54,44.18,165000,44.18
2014-11-20,42.17,43.25,42.17,43.22,123400,43.22
2014-11-19,42.85,42.92,42.20,42.38,105300,42.38
2014-11-18,42.79,43.32,42.69,42.93,133500,42.93
2014-11-17,42.79,43.32,42.52,42.69,180700,42.69
2014-11-14,43.16,43.41,42.73,42.81,121600,42.81
2014-11-13,44.27,44.52,43.16,43.22,113600,43.22
2014-11-12,43.90,44.32,43.84,44.26,215600,44.26
2014-11-11,44.15,44.31,43.98,44.25,114800,44.25
2014-11-10,44.25,44.31,44.06,44.18,103800,44.18
2014-11-07,44.41,44.95,44.21,44.29,185400,44.29
2014-11-06,44.23,44.50,43.86,44.35,83300,44.35
2014-11-05,44.38,44.47,43.98,44.27,71400,44.27
2014-11-04,44.11,44.26,43.73,44.08,75000,44.08
2014-11-03,44.17,44.46,43.46,44.04,99000,44.04
2014-10-31,43.90,44.13,43.37,44.06,183700,44.06
2014-10-30,43.32,44.08,43.19,43.48,190800,43.48
2014-10-29,43.55,44.05,43.01,43.51,131700,43.51
2014-10-28,43.13,43.74,42.61,43.61,353500,43.61
2014-10-27,44.45,44.45,42.44,42.79,309200,42.79
2014-10-24,45.22,45.30,44.84,44.95,92400,44.95
2014-10-23,45.30,45.88,45.21,45.29,105700,45.29
2014-10-22,46.22,46.57,45.02,45.05,79000,45.05
2014-10-21,45.44,46.32,45.26,46.25,132700,46.25
2014-10-20,43.34,45.16,43.27,45.14,252800,45.14
2014-10-17,43.55,44.00,43.23,43.49,143400,43.49
2014-10-16,42.39,43.59,42.39,43.35,194700,43.35
2014-10-15,42.55,43.24,41.75,42.96,241800,42.96
2014-10-14,43.60,43.94,43.12,43.29,150100,43.29
2014-10-13,43.42,44.50,43.32,43.52,182300,43.52
2014-10-10,44.31,44.49,43.35,43.38,196200,43.38
2014-10-09,45.34,45.38,44.30,44.31,174500,44.31
2014-10-08,43.52,45.28,43.52,45.22,341400,45.22
2014-10-07,43.16,43.46,42.99,43.00,216200,43.00
2014-10-06,43.74,43.83,43.32,43.38,195500,43.38
2014-10-03,43.73,43.96,43.43,43.54,231800,43.54
2014-10-02,42.76,43.50,42.36,43.43,285800,43.43
2014-10-01,43.78,44.01,42.53,42.68,286100,42.68
2014-09-30,44.18,44.25,43.71,43.81,164800,43.81
2014-09-29,43.82,44.29,43.66,44.11,372000,44.11
2014-09-26,44.24,44.35,43.96,44.16,268600,44.16
2014-09-25,44.99,45.00,44.12,44.16,197000,44.16
2014-09-24,45.40,45.46,44.92,45.00,136200,45.00
2014-09-23,45.88,46.10,45.04,45.19,216300,45.19
2014-09-22,46.05,46.37,45.59,45.95,126900,45.95
2014-09-19,46.44,46.83,46.15,46.23,700200,46.23
2014-09-18,46.97,47.16,46.40,46.50,170300,46.50
2014-09-17,47.56,47.61,46.89,46.94,147700,46.94
2014-09-16,48.60,48.79,48.02,48.08,156800,47.66
2014-09-15,48.26,48.65,48.05,48.60,141200,48.18
2014-09-12,48.61,48.96,48.12,48.23,151700,47.81
2014-09-11,48.02,48.99,48.02,48.66,264100,48.23
2014-09-10,48.48,48.59,47.79,48.25,117000,47.83
2014-09-09,48.38,48.57,48.00,48.38,128700,47.96
2014-09-08,47.99,48.87,47.06,48.30,292900,47.88
2014-09-05,47.72,48.01,47.50,47.91,131700,47.49
2014-09-04,47.63,48.01,47.46,47.58,164300,47.16
2014-09-03,47.96,48.18,47.49,47.56,174800,47.14
2014-09-02,48.10,48.42,47.62,47.66,235500,47.24
2014-08-29,49.10,49.16,47.86,47.89,265000,47.47
2014-08-28,48.00,50.12,48.00,49.11,296300,48.68
2014-08-27,49.47,49.53,48.99,49.30,162100,48.87
2014-08-26,48.22,49.58,47.99,49.47,237700,49.04
2014-08-25,46.02,48.12,45.55,48.06,601500,47.64
2014-08-22,50.29,50.56,49.94,50.30,63000,49.86
2014-08-21,50.00,50.43,49.68,50.19,70300,49.75
2014-08-20,50.14,50.30,49.79,50.00,70600,49.56
2014-08-19,49.90,50.53,49.90,50.28,53500,49.84
2014-08-18,49.72,50.09,49.50,49.88,83100,49.44
2014-08-15,49.50,49.50,48.83,49.34,80300,48.91
2014-08-14,49.35,49.55,49.05,49.29,94600,48.86
2014-08-13,49.89,50.04,49.22,49.33,99000,48.90
2014-08-12,50.17,50.25,49.66,49.82,111800,49.38
2014-08-11,50.63,50.85,50.17,50.23,59900,49.79
2014-08-08,50.17,50.56,49.73,50.38,61600,49.94
2014-08-07,50.48,50.68,49.82,50.13,62600,49.69
2014-08-06,49.26,50.64,49.21,50.42,110100,49.98
2014-08-05,49.37,49.90,49.09,49.37,328400,48.94
2014-08-04,49.65,50.15,49.36,49.51,193300,49.08
2014-08-01,50.25,50.62,49.42,49.59,268100,49.16
2014-07-31,50.89,50.89,49.70,50.18,166200,49.74
2014-07-30,51.38,51.60,50.72,50.97,51800,50.52
2014-07-29,51.89,52.03,51.05,51.13,94300,50.68
2014-07-28,52.25,52.25,51.19,51.75,108000,51.30
2014-07-25,52.36,52.61,52.05,52.21,68400,51.75
2014-07-24,52.17,53.10,52.11,52.46,78100,52.00
2014-07-23,52.61,52.79,52.09,52.26,69100,51.80
2014-07-22,53.11,53.57,52.29,52.48,94300,52.02
2014-07-21,53.00,53.22,52.36,53.00,96100,52.54
2014-07-18,52.76,53.29,52.70,53.27,62900,52.80
2014-07-17,53.18,53.18,52.43,52.54,115900,52.08
2014-07-16,53.29,53.68,52.85,53.30,260000,52.83
2014-07-15,54.77,54.91,53.22,53.25,297600,52.78
2014-07-14,54.58,54.84,54.33,54.66,65700,54.18
2014-07-11,54.52,54.64,54.04,54.50,107100,54.02
2014-07-10,54.37,54.71,53.98,54.52,120900,54.04
2014-07-09,54.92,55.04,54.19,55.04,181800,54.56
2014-07-08,54.33,55.00,54.01,54.89,197300,54.41
2014-07-07,55.65,55.65,53.99,54.50,164600,54.02
2014-07-03,54.96,55.72,54.84,55.65,168000,55.16
2014-07-02,54.99,55.22,54.04,54.95,199500,54.47
2014-07-01,54.49,55.58,54.49,55.21,211600,54.73
2014-06-30,54.53,54.79,54.03,54.56,228200,54.08
2014-06-27,54.23,54.61,53.97,54.52,166100,54.04
2014-06-26,53.85,54.44,53.53,54.41,76500,53.93
2014-06-25,53.92,54.38,53.81,54.02,100300,53.55
2014-06-24,54.15,54.70,53.90,53.94,70400,53.47
2014-06-23,54.32,54.48,54.00,54.31,104800,53.84
2014-06-20,54.68,54.68,53.84,54.08,204100,53.61
2014-06-19,53.99,54.40,53.96,54.39,81800,53.91
2014-06-18,54.11,54.46,53.72,54.00,96600,53.53
2014-06-17,54.45,54.65,54.09,54.49,203100,53.60
2014-06-16,55.19,55.41,54.42,54.59,111700,53.70
2014-06-13,55.66,56.53,54.87,55.01,288200,54.11
2014-06-12,53.12,53.66,53.02,53.61,171000,52.73
2014-06-11,53.81,53.96,53.07,53.28,87100,52.41
2014-06-10,54.36,54.46,53.67,53.87,74800,52.99
2014-06-09,54.47,54.72,54.27,54.39,111800,53.50
2014-06-06,54.52,54.84,54.04,54.57,99600,53.68
2014-06-05,54.24,54.88,52.75,54.21,333900,53.32
2014-06-04,55.12,55.12,54.37,54.50,110300,53.61
2014-06-03,55.16,55.47,54.26,55.05,183900,54.15
2014-06-02,54.57,55.51,54.57,55.47,135900,54.56
2014-05-30,54.13,54.93,54.10,54.62,142700,53.73
2014-05-29,53.75,54.37,53.68,54.26,48900,53.37
2014-05-28,53.50,54.00,53.36,53.56,78300,52.68
2014-05-27,53.64,54.03,53.19,53.66,91300,52.78
2014-05-23,53.56,53.99,53.20,53.57,85300,52.69
2014-05-22,53.85,54.52,53.13,53.79,132100,52.91
2014-05-21,54.24,54.61,53.76,53.87,79100,52.99
