Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,31.03,31.13,30.80,30.95,330900,30.95
2014-12-01,31.25,31.63,30.87,31.00,422000,31.00
2014-11-28,31.15,31.61,30.95,31.38,167400,31.38
2014-11-26,31.35,31.51,30.97,31.24,392100,31.24
2014-11-25,31.15,31.61,31.08,31.34,711500,31.34
2014-11-24,30.37,31.20,30.37,31.13,437400,31.13
2014-11-21,30.49,30.61,30.27,30.41,394100,30.41
2014-11-20,30.05,30.63,29.82,30.27,570100,30.27
2014-11-19,30.34,30.50,29.94,30.05,386600,30.05
2014-11-18,30.24,30.67,29.77,30.39,771800,30.39
2014-11-17,30.19,31.10,30.19,30.22,589200,30.22
2014-11-14,30.45,30.68,30.10,30.33,320300,30.33
2014-11-13,30.66,31.09,30.23,30.44,759200,30.44
2014-11-12,30.11,30.80,30.03,30.60,623000,30.60
2014-11-11,29.76,30.50,29.59,30.18,1344700,30.18
2014-11-10,28.82,29.39,28.72,28.99,586800,28.99
2014-11-07,29.05,29.10,28.59,28.85,471100,28.85
2014-11-06,29.09,29.34,28.80,29.00,496000,29.00
2014-11-05,29.19,29.90,29.03,29.14,657700,29.14
2014-11-04,29.43,29.61,29.05,29.11,316500,29.11
2014-11-03,29.64,29.95,29.43,29.55,578500,29.55
2014-10-31,29.48,29.67,28.93,29.46,368200,29.46
2014-10-30,28.90,29.72,28.88,29.36,455000,29.36
2014-10-29,29.06,29.22,28.60,28.95,334900,28.95
2014-10-28,28.63,29.40,28.59,29.06,641300,29.06
2014-10-27,28.50,28.95,28.32,28.53,387300,28.53
2014-10-24,28.77,29.20,28.48,28.76,458200,28.76
2014-10-23,28.06,29.49,28.02,28.55,666100,28.55
2014-10-22,27.96,28.20,27.83,27.86,575700,27.86
2014-10-21,27.99,28.61,27.93,27.94,525100,27.94
2014-10-20,27.73,28.23,27.59,27.96,493800,27.96
2014-10-17,28.14,28.40,27.50,27.80,545800,27.80
2014-10-16,27.25,28.39,27.25,27.94,874800,27.94
2014-10-15,27.35,28.25,27.14,27.72,657800,27.72
2014-10-14,26.76,28.02,26.76,27.46,824700,27.46
2014-10-13,26.84,27.08,26.50,26.67,461000,26.67
2014-10-10,26.64,27.23,26.64,26.92,605000,26.92
2014-10-09,26.53,26.83,26.32,26.78,440800,26.78
2014-10-08,26.18,26.68,26.00,26.52,314000,26.52
2014-10-07,26.11,26.45,25.93,26.19,344200,26.19
2014-10-06,26.44,26.54,26.09,26.18,227600,26.18
2014-10-03,26.54,26.99,26.17,26.32,469800,26.32
2014-10-02,26.61,26.61,25.49,26.41,686500,26.41
2014-10-01,27.44,27.44,26.24,26.57,565500,26.57
2014-09-30,27.50,27.82,27.36,27.46,458200,27.46
2014-09-29,27.00,27.73,26.91,27.59,371500,27.59
2014-09-26,27.19,27.32,26.95,27.15,155100,27.15
2014-09-25,27.38,27.38,26.84,27.26,218700,27.26
2014-09-24,27.41,27.50,27.08,27.39,137000,27.39
2014-09-23,27.55,27.66,27.22,27.45,237400,27.45
2014-09-22,28.14,28.25,27.46,27.69,504800,27.69
2014-09-19,27.94,28.12,27.64,27.64,541600,27.64
2014-09-18,27.84,28.13,27.84,27.91,173700,27.91
2014-09-17,27.90,28.04,27.54,27.84,387400,27.84
2014-09-16,27.64,28.00,27.45,27.90,275600,27.90
2014-09-15,28.41,28.57,27.61,27.79,362400,27.79
2014-09-12,28.07,28.28,28.07,28.23,429300,28.23
2014-09-11,27.94,28.25,27.83,28.24,320100,28.24
2014-09-10,27.88,28.00,27.28,27.94,405400,27.94
2014-09-09,27.66,27.89,27.52,27.85,389000,27.85
2014-09-08,28.05,28.25,27.67,27.81,315900,27.81
2014-09-05,28.19,28.25,27.87,27.95,339300,27.95
2014-09-04,28.54,28.58,28.07,28.21,407900,28.21
2014-09-03,28.08,28.70,28.08,28.56,811800,28.56
2014-09-02,27.73,28.10,27.62,28.08,369900,28.08
2014-08-29,27.66,27.79,27.44,27.72,308600,27.72
2014-08-28,27.27,27.76,27.13,27.58,309200,27.58
2014-08-27,27.12,27.40,27.10,27.27,328900,27.27
2014-08-26,27.36,27.39,26.95,27.11,207500,27.11
2014-08-25,27.16,27.38,26.97,27.33,246600,27.33
2014-08-22,26.96,27.20,26.89,27.10,186000,27.10
2014-08-21,27.09,27.15,26.83,26.93,248800,26.93
2014-08-20,26.85,27.21,26.80,27.01,211300,27.01
2014-08-19,27.23,27.38,26.90,26.92,253000,26.92
2014-08-18,26.75,27.49,26.66,27.18,546700,27.18
2014-08-15,26.82,26.91,26.32,26.64,340900,26.64
2014-08-14,26.40,26.81,26.40,26.79,328800,26.79
2014-08-13,26.51,26.70,26.39,26.41,464800,26.41
2014-08-12,26.93,27.03,26.37,26.45,475000,26.45
2014-08-11,26.86,27.14,26.77,26.89,426200,26.89
2014-08-08,26.79,26.98,26.61,26.83,307400,26.83
2014-08-07,26.71,27.37,26.63,26.84,858200,26.84
2014-08-06,26.43,26.92,26.28,26.65,455100,26.65
2014-08-05,26.53,26.65,26.27,26.64,263100,26.64
2014-08-04,26.53,26.86,26.30,26.74,304700,26.74
2014-08-01,26.53,26.56,26.16,26.32,289700,26.32
2014-07-31,26.27,26.44,26.04,26.29,382100,26.29
2014-07-30,26.26,26.62,26.17,26.50,393700,26.50
2014-07-29,26.58,26.68,26.09,26.24,513100,26.24
2014-07-28,26.40,26.84,26.24,26.62,559300,26.62
2014-07-25,26.22,26.64,25.96,26.46,851400,26.46
2014-07-24,24.89,26.05,24.85,25.80,2130400,25.80
2014-07-23,25.30,25.43,24.38,24.69,1084200,24.69
2014-07-22,25.63,25.69,25.03,25.27,803600,25.27
2014-07-21,24.99,25.44,24.85,25.31,916100,25.31
2014-07-18,24.30,24.77,24.17,24.60,593200,24.60
2014-07-17,24.84,24.99,24.27,24.29,691500,24.29
2014-07-16,25.70,25.79,24.01,24.92,3857300,24.92
2014-07-15,26.61,26.76,25.87,25.87,585000,25.87
2014-07-14,26.71,26.88,26.55,26.69,581100,26.69
2014-07-11,26.99,27.18,26.69,26.75,397200,26.75
2014-07-10,27.07,27.21,26.77,27.06,218200,27.06
2014-07-09,27.31,27.41,27.07,27.40,252200,27.40
2014-07-08,27.77,27.77,26.99,27.27,459900,27.27
2014-07-07,28.05,28.10,27.82,27.94,212000,27.94
2014-07-03,28.50,28.50,28.01,28.24,106600,28.24
2014-07-02,28.33,28.68,28.29,28.44,166100,28.44
2014-07-01,28.43,28.50,27.99,28.32,306000,28.32
2014-06-30,27.83,28.48,27.72,28.48,351900,28.48
2014-06-27,27.53,28.02,27.53,27.91,235500,27.91
2014-06-26,27.77,27.99,27.53,27.56,307700,27.56
2014-06-25,28.22,28.25,27.62,27.75,304100,27.75
2014-06-24,27.92,28.35,27.69,28.26,314000,28.26
2014-06-23,27.65,27.88,27.33,27.87,406800,27.87
2014-06-20,28.41,28.46,27.71,27.77,246600,27.77
2014-06-19,28.23,28.40,27.94,28.25,313100,28.25
2014-06-18,27.99,28.28,27.76,28.06,259100,28.06
2014-06-17,27.68,28.07,27.61,28.06,336600,28.06
2014-06-16,27.95,28.00,27.40,27.85,778500,27.85
2014-06-13,26.81,26.99,26.70,26.98,180300,26.98
2014-06-12,26.84,26.91,26.64,26.81,244000,26.81
2014-06-11,26.50,26.93,26.37,26.92,338500,26.92
2014-06-10,26.22,26.56,26.22,26.53,315700,26.53
2014-06-09,25.98,26.34,25.87,26.31,240300,26.31
2014-06-06,25.99,26.10,25.78,25.92,247600,25.92
2014-06-05,25.33,25.90,25.33,25.88,297900,25.88
2014-06-04,25.56,25.65,25.27,25.51,297700,25.51
2014-06-03,25.86,26.06,25.46,25.64,351300,25.64
2014-06-02,26.23,26.54,25.56,26.12,696000,26.12
2014-05-30,25.57,26.25,25.42,26.23,469500,26.23
2014-05-29,25.77,25.86,25.24,25.65,277400,25.65
2014-05-28,25.45,25.61,25.12,25.55,273400,25.55
2014-05-27,25.14,25.52,24.98,25.40,287400,25.40
2014-05-23,24.84,25.34,24.81,25.09,323300,25.09
2014-05-22,24.87,25.11,24.72,24.87,319500,24.87
2014-05-21,25.11,25.26,24.71,24.77,574900,24.77
2014-05-20,25.39,25.46,24.96,25.08,630900,25.08
2014-05-19,25.04,25.58,24.94,25.52,346900,25.52
2014-05-16,24.78,24.99,24.65,24.98,498700,24.98
2014-05-15,25.09,25.18,24.47,24.79,486200,24.79
2014-05-14,25.85,25.98,25.17,25.19,363300,25.19
2014-05-13,26.23,26.39,25.87,25.88,218000,25.88
2014-05-12,25.73,26.35,25.59,26.04,551600,26.04
2014-05-09,25.15,25.66,25.11,25.56,389600,25.56
2014-05-08,25.23,25.68,25.03,25.13,590600,25.13
2014-05-07,25.75,25.75,25.05,25.25,474900,25.25
2014-05-06,25.86,25.99,25.66,25.72,497600,25.72
2014-05-05,25.87,25.96,25.60,25.88,469500,25.88
2014-05-02,25.92,26.13,25.83,25.99,399700,25.99
2014-05-01,25.62,26.04,25.50,25.88,674900,25.88
2014-04-30,25.60,25.90,25.18,25.64,704600,25.64
2014-04-29,25.62,25.79,25.38,25.62,749600,25.62
2014-04-28,25.96,26.00,25.23,25.66,737300,25.66
2014-04-25,26.79,26.87,25.65,25.98,902900,25.98
2014-04-24,27.98,28.07,26.21,27.09,1558200,27.09
2014-04-23,28.08,28.38,27.87,28.23,753500,28.23
2014-04-22,27.97,28.63,27.97,28.24,593500,28.24
2014-04-21,27.91,28.20,27.66,27.96,568100,27.96
2014-04-17,27.89,28.09,27.89,27.96,404000,27.96
2014-04-16,27.86,28.02,27.60,27.99,391300,27.99
2014-04-15,27.22,27.76,27.00,27.74,695700,27.74
2014-04-14,27.61,27.86,27.12,27.22,362400,27.22
2014-04-11,27.87,28.30,27.39,27.40,783000,27.40
2014-04-10,28.47,28.47,27.85,27.97,463000,27.97
2014-04-09,27.73,28.66,27.64,28.51,646100,28.51
2014-04-08,28.09,28.09,27.15,27.47,1091200,27.47
2014-04-07,28.02,28.15,27.36,27.67,587700,27.67
2014-04-04,28.38,28.79,27.89,28.12,685100,28.12
2014-04-03,28.04,28.53,27.97,28.14,353400,28.14
2014-04-02,27.95,28.40,27.76,28.06,533600,28.06
2014-04-01,27.29,27.90,27.16,27.88,379900,27.88
2014-03-31,26.63,27.46,26.37,27.33,648400,27.33
2014-03-28,26.48,26.64,26.27,26.32,475800,26.32
2014-03-27,26.47,26.63,26.30,26.42,326100,26.42
2014-03-26,26.79,26.86,26.28,26.55,382700,26.55
2014-03-25,27.05,27.10,26.45,26.69,360700,26.69
2014-03-24,27.37,27.44,26.45,26.86,389800,26.86
2014-03-21,27.95,27.99,27.27,27.35,431000,27.35
2014-03-20,28.00,28.36,27.66,27.76,514000,27.76
2014-03-19,27.84,28.14,27.71,27.79,253200,27.79
2014-03-18,28.22,28.53,27.67,27.74,486300,27.74
2014-03-17,27.90,28.27,27.86,28.24,332900,28.24
2014-03-14,27.63,27.86,27.55,27.74,427600,27.74
2014-03-13,28.04,28.40,27.48,27.71,396100,27.71
2014-03-12,28.20,28.31,27.28,28.02,712700,28.02
2014-03-11,28.52,28.84,28.17,28.32,525000,28.32
2014-03-10,27.85,28.50,27.72,28.46,622900,28.46
2014-03-07,27.33,27.83,27.19,27.82,377600,27.82
2014-03-06,27.28,27.57,27.03,27.25,413200,27.25
2014-03-05,26.58,27.41,26.39,27.35,619600,27.35
2014-03-04,26.29,26.50,25.97,26.48,438600,26.48
2014-03-03,26.54,26.64,25.98,26.02,628200,26.02
2014-02-28,26.92,27.16,26.68,26.75,545700,26.75
2014-02-27,26.61,27.03,26.25,26.93,309000,26.93
2014-02-26,26.91,27.06,26.46,26.68,369500,26.68
2014-02-25,26.98,27.23,26.83,26.92,451400,26.92
2014-02-24,27.23,27.25,26.92,27.06,583300,27.06
2014-02-21,27.10,27.59,27.03,27.19,835800,27.19
2014-02-20,28.00,28.03,26.80,27.02,2654800,27.02
2014-02-19,25.97,26.62,25.95,26.59,773600,26.59
2014-02-18,26.00,26.12,25.88,26.00,671100,26.00
2014-02-14,26.02,26.09,25.69,25.97,587000,25.97
2014-02-13,26.14,26.36,26.01,26.11,282100,26.11
2014-02-12,26.34,26.42,26.17,26.21,265900,26.21
2014-02-11,26.74,26.74,26.32,26.35,456800,26.35
2014-02-10,26.60,26.80,26.40,26.59,831900,26.59
2014-02-07,26.91,27.06,26.50,26.52,411700,26.52
2014-02-06,26.27,26.95,26.27,26.89,322900,26.89
2014-02-05,26.15,26.32,25.51,26.18,589900,26.18
2014-02-04,26.37,26.65,26.05,26.26,584400,26.26
2014-02-03,27.65,27.72,26.16,26.19,602100,26.19
2014-01-31,27.05,27.71,26.89,27.69,335600,27.69
2014-01-30,27.17,27.66,27.01,27.36,687100,27.36
2014-01-29,27.00,27.27,26.72,26.88,298900,26.88
2014-01-28,27.19,27.39,26.97,27.30,262900,27.30
2014-01-27,27.53,27.58,26.85,27.13,306300,27.13
2014-01-24,27.20,27.60,27.13,27.40,414900,27.40
2014-01-23,27.73,27.80,27.38,27.48,274800,27.48
2014-01-22,27.78,28.02,27.46,27.83,357100,27.83
2014-01-21,27.90,27.95,27.58,27.73,377800,27.73
2014-01-17,28.23,28.43,27.97,27.98,213600,27.98
2014-01-16,27.64,28.31,27.60,28.19,440600,28.19
2014-01-15,27.92,28.34,27.58,27.60,365700,27.60
2014-01-14,28.06,28.28,27.70,27.85,379700,27.85
2014-01-13,28.60,28.77,27.84,27.97,528700,27.97
2014-01-10,28.41,28.71,28.35,28.57,313300,28.57
2014-01-09,28.82,28.99,28.14,28.38,519700,28.38
2014-01-08,28.42,28.64,28.14,28.56,385100,28.56
2014-01-07,28.63,28.74,28.19,28.48,235400,28.48
2014-01-06,29.44,29.45,28.62,28.63,284300,28.63
2014-01-03,29.40,29.56,29.21,29.28,723500,29.28
2014-01-02,29.34,29.43,28.99,29.13,321100,29.13
2013-12-31,29.32,29.73,29.24,29.48,351700,29.48
2013-12-30,28.79,29.23,28.64,29.22,492600,29.22
2013-12-27,28.97,29.08,28.66,28.75,286500,28.75
2013-12-26,29.02,29.14,28.78,28.87,218600,28.87
2013-12-24,28.96,29.00,28.82,28.91,167800,28.91
2013-12-23,29.16,29.16,28.76,28.90,236100,28.90
2013-12-20,28.99,29.15,28.89,28.97,297500,28.97
2013-12-19,29.70,29.70,28.90,29.00,313200,29.00
2013-12-18,28.90,29.84,28.61,29.34,709300,29.34
2013-12-17,28.64,28.76,28.36,28.61,236700,28.61
