Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,20.84,20.93,20.72,20.87,304700,20.87
2014-12-01,21.06,21.10,20.88,20.96,396900,20.96
2014-11-28,20.78,20.96,20.62,20.73,204400,20.73
2014-11-26,20.11,20.30,20.08,20.28,281300,20.28
2014-11-25,20.33,20.48,20.16,20.25,258100,20.25
2014-11-24,19.79,20.24,19.63,19.85,712700,19.85
2014-11-21,20.70,20.97,20.45,20.91,658400,20.91
2014-11-20,20.43,20.48,20.36,20.40,304100,20.40
2014-11-19,20.60,20.60,20.37,20.47,204300,20.47
2014-11-18,20.16,20.30,20.15,20.20,274700,20.20
2014-11-17,20.09,20.47,20.07,20.34,562500,20.34
2014-11-14,20.51,20.60,20.36,20.56,258800,20.56
2014-11-13,20.47,20.53,20.27,20.46,702800,20.46
2014-11-12,20.48,20.57,20.11,20.15,1197900,20.15
2014-11-11,21.66,21.68,21.48,21.67,271000,21.67
2014-11-10,21.47,21.47,21.20,21.34,412200,21.34
2014-11-07,21.41,21.64,21.37,21.59,287000,21.59
2014-11-06,21.92,21.92,21.55,21.57,256300,21.57
2014-11-05,21.90,22.06,21.85,22.04,284900,22.04
2014-11-04,22.15,22.15,21.90,22.00,272500,22.00
2014-11-03,21.24,21.68,21.23,21.63,499900,21.63
2014-10-31,21.65,21.95,21.64,21.86,448300,21.86
2014-10-30,21.72,22.01,21.64,22.01,231100,22.01
2014-10-29,22.20,22.20,21.85,21.96,168000,21.96
2014-10-28,21.97,22.15,21.95,22.15,398600,22.15
2014-10-27,21.98,22.03,21.91,21.91,222000,21.91
2014-10-24,21.87,22.14,21.83,22.08,520600,22.08
2014-10-23,21.98,21.98,21.54,21.59,705400,21.59
2014-10-22,22.67,22.85,22.65,22.79,425200,22.79
2014-10-21,22.90,22.96,22.79,22.87,421300,22.87
2014-10-20,22.33,22.66,22.33,22.56,402200,22.56
2014-10-17,22.17,22.26,22.04,22.12,405600,22.12
2014-10-16,22.25,22.57,22.13,22.38,924000,22.38
2014-10-15,21.79,22.05,21.39,21.69,607300,21.69
2014-10-14,22.08,22.27,21.83,21.97,482400,21.97
2014-10-13,23.06,23.12,22.60,22.72,531500,22.72
2014-10-10,22.53,22.61,22.36,22.47,286400,22.47
2014-10-09,22.63,22.68,22.37,22.39,668400,22.39
