Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,17.94,18.07,17.80,18.07,2100,18.07
2014-12-01,18.14,18.32,17.76,18.17,8900,18.17
2014-11-28,18.27,18.31,18.01,18.27,1900,18.27
2014-11-26,18.00,18.33,18.00,18.08,5700,18.08
2014-11-25,18.00,18.18,17.92,18.18,10300,18.18
2014-11-24,17.97,18.07,17.81,18.04,9200,18.04
2014-11-21,18.15,18.16,17.77,18.12,7100,18.12
2014-11-20,18.04,18.34,18.01,18.17,2700,18.17
2014-11-19,18.24,18.69,17.90,18.28,12100,18.28
2014-11-18,18.37,18.47,18.26,18.28,9000,18.28
2014-11-17,18.35,18.43,18.20,18.42,6500,18.42
2014-11-14,18.39,18.47,18.20,18.25,7700,18.25
2014-11-13,18.47,18.47,18.16,18.25,7500,18.25
2014-11-12,18.49,18.69,18.39,18.48,9000,18.48
2014-11-11,18.49,18.49,18.18,18.39,5800,18.39
2014-11-10,18.71,18.71,18.19,18.49,12300,18.49
2014-11-07,18.69,19.00,18.65,18.81,9200,18.81
2014-11-06,18.56,18.63,18.17,18.60,4400,18.60
2014-11-05,18.65,18.65,18.10,18.48,5400,18.48
2014-11-04,18.12,18.77,17.89,18.70,14600,18.70
2014-11-03,18.55,18.58,18.03,18.23,7400,18.23
2014-10-31,18.50,18.82,18.20,18.53,18600,18.53
2014-10-30,18.78,18.78,18.20,18.46,7700,18.46
2014-10-29,18.50,18.71,18.17,18.44,12400,18.44
2014-10-28,18.54,18.54,18.35,18.53,4800,18.53
2014-10-27,18.15,18.65,18.15,18.50,1600,18.50
2014-10-24,18.93,18.93,18.36,18.69,6400,18.69
2014-10-23,18.23,18.87,18.23,18.72,12200,18.72
2014-10-22,18.34,18.67,18.25,18.63,12700,18.63
2014-10-21,18.64,18.64,18.24,18.48,9000,18.48
2014-10-20,17.99,18.49,17.85,18.46,9800,18.46
2014-10-17,18.20,18.30,17.92,18.27,6500,18.27
2014-10-16,17.45,18.39,17.45,17.80,16300,17.80
2014-10-15,17.71,18.18,17.61,18.05,7300,18.05
2014-10-14,17.38,17.98,17.38,17.95,11900,17.95
2014-10-13,18.03,18.23,17.29,17.95,21900,17.95
2014-10-10,17.87,18.10,17.79,18.02,20300,18.02
