Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,67.31,68.41,66.97,68.29,842700,68.29
2014-12-01,66.50,67.52,65.51,67.34,1072000,67.34
2014-11-28,68.26,68.57,66.62,66.86,635300,66.86
2014-11-26,67.57,68.91,67.57,68.57,703600,68.57
2014-11-25,68.68,69.14,67.73,68.00,593700,67.51
2014-11-24,68.45,68.68,67.80,68.59,912700,68.10
2014-11-21,67.17,68.24,67.17,68.04,794200,67.55
2014-11-20,65.86,66.61,65.86,66.46,549800,65.98
2014-11-19,66.36,66.64,65.61,66.37,570200,65.89
2014-11-18,66.16,66.95,66.01,66.47,546300,65.99
2014-11-17,66.07,66.52,65.65,66.01,632700,65.53
2014-11-14,65.78,66.52,65.65,66.08,748600,65.60
2014-11-13,67.43,67.62,65.06,65.65,976600,65.18
2014-11-12,67.00,67.46,66.88,67.23,672000,66.75
2014-11-11,67.61,67.97,67.00,67.20,517200,66.72
2014-11-10,67.95,68.15,67.31,67.70,393400,67.21
2014-11-07,67.24,67.68,66.85,67.55,692000,67.06
2014-11-06,66.60,67.20,66.07,67.08,647200,66.60
2014-11-05,65.99,66.61,65.26,66.52,593800,66.04
2014-11-04,65.79,65.86,64.91,65.58,646900,65.11
2014-11-03,66.73,66.85,65.75,65.90,697100,65.43
2014-10-31,67.04,67.21,66.41,66.75,1041800,66.27
2014-10-30,65.51,66.39,65.15,65.98,792300,65.50
2014-10-29,66.43,66.87,65.26,65.67,946000,65.20
2014-10-28,64.99,66.56,64.93,66.51,874200,66.03
2014-10-27,64.27,64.97,63.29,64.83,1139700,64.36
2014-10-24,63.91,64.52,63.61,64.40,755900,63.94
2014-10-23,63.33,64.74,63.33,64.04,976400,63.58
2014-10-22,62.92,64.53,62.51,62.58,1116200,62.13
2014-10-21,60.00,63.84,59.54,62.95,1976000,62.50
2014-10-20,60.55,61.95,60.55,61.67,1642600,61.23
2014-10-17,60.13,61.20,59.96,60.91,1848500,60.47
2014-10-16,57.74,59.32,57.55,59.00,2182200,58.57
2014-10-15,59.09,60.69,57.84,60.08,1583200,59.65
2014-10-14,61.25,61.67,59.74,59.90,1727500,59.47
2014-10-13,61.87,62.63,60.96,60.97,1982900,60.53
2014-10-10,64.51,65.10,61.59,61.60,1873100,61.16
2014-10-09,67.93,68.06,64.54,64.59,1178900,64.12
2014-10-08,67.89,68.46,66.54,68.15,1180400,67.66
2014-10-07,69.51,70.30,68.02,68.04,772000,67.55
2014-10-06,69.77,70.46,69.50,70.00,722200,69.50
2014-10-03,69.56,70.25,69.20,69.25,922800,68.75
2014-10-02,68.36,69.43,68.04,69.16,777500,68.66
2014-10-01,69.96,70.09,68.27,68.43,1286200,67.94
2014-09-30,70.94,71.10,69.94,70.10,642000,69.59
2014-09-29,70.98,71.66,70.62,71.08,735700,70.57
2014-09-26,72.00,72.34,71.39,71.97,734900,71.45
2014-09-25,73.44,73.85,71.93,72.02,904700,71.50
2014-09-24,73.32,74.11,72.80,73.69,584800,73.16
2014-09-23,73.57,74.50,73.26,73.54,527200,73.01
2014-09-22,74.68,74.96,73.12,73.88,565300,73.35
2014-09-19,76.02,76.47,75.22,75.24,712300,74.70
2014-09-18,75.76,76.17,75.43,75.73,402600,75.18
