Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,0.50,0.53,0.50,0.52,52100,0.52
2014-12-01,0.54,0.54,0.48,0.52,90400,0.52
2014-11-28,0.55,0.55,0.54,0.55,64400,0.55
2014-11-26,0.55,0.59,0.52,0.55,159000,0.55
2014-11-25,0.55,0.58,0.54,0.57,60700,0.57
2014-11-24,0.51,0.56,0.51,0.55,77300,0.55
2014-11-21,0.54,0.54,0.51,0.53,76200,0.53
2014-11-20,0.53,0.56,0.53,0.56,252500,0.56
2014-11-19,0.54,0.57,0.52,0.55,197700,0.55
2014-11-18,0.51,0.55,0.51,0.53,163800,0.53
2014-11-17,0.51,0.54,0.51,0.51,114700,0.51
2014-11-14,0.58,0.58,0.51,0.54,139300,0.54
2014-11-13,0.55,0.60,0.54,0.58,55000,0.58
2014-11-12,0.57,0.60,0.57,0.57,55100,0.57
2014-11-11,0.60,0.63,0.59,0.60,63100,0.60
2014-11-10,0.60,0.62,0.60,0.61,37300,0.61
2014-11-07,0.63,0.65,0.59,0.61,78000,0.61
2014-11-06,0.67,0.67,0.60,0.63,92600,0.63
2014-11-05,0.67,0.70,0.67,0.67,25000,0.67
2014-11-04,0.68,0.71,0.66,0.68,21100,0.68
2014-11-03,0.69,0.71,0.68,0.69,34500,0.69
2014-10-31,0.70,0.71,0.68,0.68,53900,0.68
2014-10-30,0.68,0.72,0.68,0.70,56500,0.70
2014-10-29,0.70,0.72,0.68,0.69,59300,0.69
2014-10-28,0.73,0.74,0.71,0.72,20900,0.72
2014-10-27,0.76,0.77,0.71,0.74,20100,0.74
2014-10-24,0.71,0.77,0.71,0.75,152000,0.75
2014-10-23,0.74,0.77,0.74,0.76,103000,0.76
2014-10-22,0.69,0.73,0.69,0.73,109800,0.73
2014-10-21,0.68,0.74,0.68,0.73,21100,0.73
2014-10-20,0.66,0.73,0.66,0.70,27500,0.70
2014-10-17,0.73,0.73,0.67,0.67,41100,0.67
2014-10-16,0.72,0.77,0.71,0.73,32500,0.73
2014-10-15,0.72,0.72,0.67,0.71,86600,0.71
2014-10-14,0.73,0.75,0.70,0.70,33400,0.70
2014-10-13,0.76,0.76,0.73,0.74,89000,0.74
2014-10-10,0.88,0.88,0.75,0.79,56500,0.79
2014-10-09,0.86,0.87,0.74,0.87,128500,0.87
2014-10-08,0.86,0.89,0.86,0.86,14800,0.86
2014-10-07,0.86,0.89,0.86,0.89,76700,0.89
2014-10-06,0.90,0.90,0.86,0.88,68800,0.88
