Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,13.74,13.79,13.74,13.76,31500,13.76
2014-12-01,13.75,13.80,13.71,13.73,33600,13.73
2014-11-28,13.70,13.74,13.68,13.71,17600,13.71
2014-11-26,13.74,13.74,13.70,13.73,19700,13.73
2014-11-25,13.70,13.71,13.65,13.71,38800,13.71
2014-11-24,13.72,13.72,13.62,13.66,87600,13.66
2014-11-21,13.79,13.80,13.68,13.75,48500,13.75
2014-11-20,13.72,13.77,13.71,13.76,66000,13.76
2014-11-19,13.72,13.72,13.67,13.69,21100,13.69
2014-11-18,13.67,13.74,13.66,13.74,44200,13.74
2014-11-17,13.76,13.76,13.66,13.69,64100,13.69
2014-11-14,13.74,13.78,13.68,13.73,73800,13.73
2014-11-13,13.67,13.74,13.66,13.74,36800,13.74
2014-11-12,13.68,13.74,13.67,13.70,33200,13.70
2014-11-11,13.68,13.75,13.67,13.75,58700,13.68
2014-11-10,13.75,13.75,13.68,13.70,28000,13.63
2014-11-07,13.67,13.76,13.65,13.71,68700,13.64
2014-11-06,13.67,13.70,13.64,13.70,42900,13.63
2014-11-05,13.67,13.72,13.65,13.66,36100,13.59
2014-11-04,13.66,13.72,13.64,13.69,20500,13.62
2014-11-03,13.71,13.79,13.65,13.67,77100,13.60
2014-10-31,13.58,13.73,13.58,13.70,118900,13.63
2014-10-30,13.68,13.68,13.58,13.58,47400,13.51
2014-10-29,13.69,13.70,13.63,13.63,49200,13.56
2014-10-28,13.66,13.72,13.63,13.64,52800,13.57
2014-10-27,13.75,13.75,13.65,13.65,49900,13.58
2014-10-24,13.75,13.76,13.71,13.75,45800,13.68
2014-10-23,13.81,13.81,13.75,13.75,26600,13.68
2014-10-22,13.80,13.81,13.75,13.79,53300,13.72
2014-10-21,13.86,13.86,13.76,13.84,40000,13.77
2014-10-20,13.75,13.86,13.75,13.86,65000,13.79
2014-10-17,13.75,13.84,13.74,13.75,37600,13.68
2014-10-16,13.68,13.82,13.68,13.81,69000,13.74
2014-10-15,13.69,13.73,13.65,13.70,226200,13.63
2014-10-14,13.65,13.66,13.62,13.64,36400,13.57
2014-10-13,13.71,13.71,13.61,13.64,29800,13.57
2014-10-10,13.69,13.72,13.63,13.64,66200,13.57
2014-10-09,13.82,13.85,13.71,13.71,87700,13.57
2014-10-08,13.73,13.82,13.71,13.82,63200,13.68
2014-10-07,13.60,13.75,13.60,13.74,78600,13.60
2014-10-06,13.57,13.64,13.56,13.62,65300,13.48
2014-10-03,13.54,13.54,13.49,13.54,23200,13.40
2014-10-02,13.44,13.53,13.44,13.53,61500,13.39
2014-10-01,13.42,13.49,13.39,13.47,96100,13.33
2014-09-30,13.35,13.39,13.33,13.35,40900,13.22
2014-09-29,13.35,13.38,13.32,13.32,41200,13.19
2014-09-26,13.32,13.40,13.32,13.36,24600,13.23
2014-09-25,13.37,13.40,13.31,13.34,83100,13.21
2014-09-24,13.41,13.44,13.36,13.36,40200,13.23
2014-09-23,13.46,13.47,13.41,13.42,38700,13.29
2014-09-22,13.37,13.46,13.35,13.46,97700,13.33
2014-09-19,13.43,13.43,13.35,13.36,50200,13.23
2014-09-18,13.43,13.45,13.35,13.38,64200,13.25
2014-09-17,13.36,13.45,13.34,13.45,89600,13.32
2014-09-16,13.28,13.33,13.22,13.32,99500,13.19
2014-09-15,13.33,13.36,13.27,13.31,77200,13.18
2014-09-12,13.35,13.37,13.33,13.33,37800,13.20
2014-09-11,13.43,13.44,13.37,13.37,72800,13.24
2014-09-10,13.48,13.51,13.45,13.51,59200,13.31
2014-09-09,13.52,13.53,13.50,13.50,37500,13.30
2014-09-08,13.50,13.53,13.49,13.51,52000,13.31
2014-09-05,13.59,13.65,13.50,13.50,115900,13.30
2014-09-04,13.64,13.64,13.56,13.56,54800,13.36
2014-09-03,13.62,13.66,13.60,13.62,92100,13.41
2014-09-02,13.56,13.64,13.55,13.59,56800,13.39
2014-08-29,13.70,13.70,13.60,13.64,58600,13.43
2014-08-28,13.63,13.68,13.59,13.65,45600,13.44
2014-08-27,13.58,13.66,13.54,13.66,50500,13.45
2014-08-26,13.50,13.55,13.50,13.52,43000,13.32
2014-08-25,13.45,13.52,13.45,13.51,138800,13.31
2014-08-22,13.46,13.50,13.45,13.46,27000,13.26
2014-08-21,13.49,13.52,13.46,13.46,50400,13.26
2014-08-20,13.56,13.56,13.48,13.49,43200,13.29
2014-08-19,13.49,13.55,13.49,13.55,50300,13.35
2014-08-18,13.49,13.53,13.48,13.49,78100,13.29
2014-08-15,13.48,13.51,13.45,13.45,38700,13.25
2014-08-14,13.55,13.55,13.47,13.47,49400,13.27
2014-08-13,13.50,13.52,13.47,13.51,75500,13.31
2014-08-12,13.61,13.61,13.50,13.50,34900,13.23
2014-08-11,13.58,13.60,13.54,13.54,32500,13.27
2014-08-08,13.53,13.62,13.53,13.58,19200,13.31
2014-08-07,13.44,13.54,13.42,13.54,75700,13.27
2014-08-06,13.42,13.50,13.42,13.45,43000,13.18
2014-08-05,13.47,13.47,13.42,13.45,35400,13.18
2014-08-04,13.47,13.49,13.42,13.49,35400,13.22
2014-08-01,13.41,13.49,13.41,13.47,67900,13.20
2014-07-31,13.41,13.47,13.40,13.47,59400,13.20
2014-07-30,13.58,13.60,13.44,13.48,88100,13.21
2014-07-29,13.62,13.64,13.58,13.63,32800,13.36
2014-07-28,13.62,13.62,13.54,13.58,38700,13.31
2014-07-25,13.59,13.59,13.52,13.53,35900,13.26
2014-07-24,13.50,13.56,13.49,13.53,48000,13.26
2014-07-23,13.56,13.59,13.51,13.58,54900,13.31
2014-07-22,13.45,13.55,13.45,13.55,88600,13.28
2014-07-21,13.48,13.53,13.45,13.45,46800,13.18
2014-07-18,13.47,13.50,13.42,13.49,63700,13.22
2014-07-17,13.42,13.50,13.42,13.46,123200,13.19
2014-07-16,13.27,13.46,13.24,13.46,161100,13.19
2014-07-15,13.25,13.31,13.23,13.24,51700,12.97
2014-07-14,13.34,13.34,13.26,13.27,81900,13.00
2014-07-11,13.26,13.33,13.24,13.29,72500,13.02
2014-07-10,13.38,13.38,13.27,13.29,107100,12.96
2014-07-09,13.42,13.43,13.30,13.33,121600,12.99
2014-07-08,13.41,13.48,13.38,13.42,143200,13.08
2014-07-07,13.39,13.44,13.34,13.34,121400,13.00
2014-07-03,13.54,13.54,13.32,13.32,124100,12.98
2014-07-02,13.70,13.70,13.53,13.58,90600,13.24
2014-07-01,13.81,13.82,13.70,13.73,37400,13.38
2014-06-30,13.82,13.82,13.75,13.77,35900,13.42
2014-06-27,13.75,13.85,13.75,13.76,33500,13.41
2014-06-26,13.82,13.82,13.76,13.76,34800,13.41
2014-06-25,13.74,13.80,13.74,13.77,19600,13.42
2014-06-24,13.65,13.76,13.63,13.76,53300,13.41
2014-06-23,13.71,13.71,13.62,13.65,48500,13.31
2014-06-20,13.64,13.69,13.62,13.68,45300,13.34
2014-06-19,13.68,13.71,13.64,13.64,69700,13.30
2014-06-18,13.68,13.70,13.62,13.68,53500,13.34
2014-06-17,13.73,13.73,13.68,13.70,83800,13.35
2014-06-16,13.71,13.73,13.68,13.71,49000,13.36
2014-06-13,13.84,13.84,13.73,13.74,15100,13.39
2014-06-12,13.78,13.83,13.78,13.83,41500,13.48
2014-06-11,13.85,13.91,13.85,13.91,23200,13.49
2014-06-10,13.88,13.88,13.80,13.86,46000,13.44
2014-06-09,13.77,13.90,13.73,13.88,43000,13.46
2014-06-06,13.74,13.79,13.70,13.79,38100,13.37
2014-06-05,13.65,13.71,13.62,13.68,28900,13.27
2014-06-04,13.72,13.75,13.59,13.67,111000,13.26
2014-06-03,13.79,13.80,13.73,13.74,76600,13.33
2014-06-02,13.77,13.79,13.75,13.78,83700,13.36
2014-05-30,13.77,13.81,13.72,13.75,80200,13.34
2014-05-29,13.82,13.82,13.78,13.78,32700,13.36
2014-05-28,13.80,13.81,13.76,13.80,78500,13.38
2014-05-27,13.77,13.79,13.73,13.76,28700,13.34
2014-05-23,13.75,13.76,13.73,13.76,38100,13.34
2014-05-22,13.73,13.76,13.70,13.71,36300,13.30
2014-05-21,13.73,13.73,13.69,13.73,43400,13.32
2014-05-20,13.78,13.79,13.71,13.72,52500,13.31
2014-05-19,13.77,13.79,13.75,13.77,56400,13.35
2014-05-16,13.76,13.78,13.74,13.75,51900,13.34
2014-05-15,13.78,13.78,13.70,13.73,85200,13.32
2014-05-14,13.68,13.76,13.68,13.72,69700,13.31
2014-05-13,13.67,13.70,13.64,13.69,68500,13.28
2014-05-12,13.77,13.79,13.71,13.76,62700,13.28
2014-05-09,13.81,13.82,13.77,13.77,47800,13.29
2014-05-08,13.82,13.86,13.81,13.84,48700,13.35
2014-05-07,13.84,13.85,13.81,13.83,36200,13.34
2014-05-06,13.71,13.85,13.70,13.85,50400,13.36
2014-05-05,13.70,13.77,13.66,13.77,51300,13.29
2014-05-02,13.72,13.76,13.66,13.76,58900,13.28
2014-05-01,13.73,13.77,13.70,13.73,87100,13.25
2014-04-30,13.71,13.72,13.68,13.71,41900,13.23
2014-04-29,13.69,13.71,13.65,13.69,49700,13.21
2014-04-28,13.73,13.77,13.68,13.68,68100,13.20
2014-04-25,13.73,13.74,13.69,13.72,44000,13.24
2014-04-24,13.68,13.71,13.65,13.69,62300,13.21
2014-04-23,13.69,13.72,13.66,13.68,83500,13.20
2014-04-22,13.59,13.74,13.59,13.64,105600,13.16
2014-04-21,13.52,13.64,13.48,13.64,90700,13.16
2014-04-17,13.54,13.56,13.43,13.45,52200,12.98
2014-04-16,13.40,13.56,13.38,13.55,87700,13.07
2014-04-15,13.35,13.46,13.35,13.43,42100,12.96
2014-04-14,13.43,13.43,13.37,13.40,46400,12.93
2014-04-11,13.43,13.46,13.41,13.46,31900,12.99
2014-04-10,13.44,13.53,13.43,13.51,52300,12.97
2014-04-09,13.47,13.51,13.43,13.46,79800,12.92
2014-04-08,13.35,13.50,13.33,13.48,68800,12.94
2014-04-07,13.33,13.40,13.32,13.39,21500,12.85
2014-04-04,13.35,13.38,13.30,13.36,29000,12.82
2014-04-03,13.32,13.32,13.31,13.32,50200,12.78
2014-04-02,13.27,13.33,13.26,13.30,48200,12.76
2014-04-01,13.32,13.35,13.28,13.33,32400,12.79
