Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,14.87,15.18,14.63,15.03,202700,15.03
2014-12-01,14.73,15.03,14.67,14.84,140700,14.84
2014-11-28,15.00,15.12,14.76,14.80,106900,14.80
2014-11-26,15.13,15.22,14.88,14.95,123000,14.95
2014-11-25,14.98,15.17,14.80,15.12,131200,15.12
2014-11-24,14.80,15.20,14.80,15.00,182100,15.00
2014-11-21,14.99,14.99,14.67,14.72,116400,14.72
2014-11-20,14.55,14.87,14.45,14.81,116700,14.81
2014-11-19,14.83,14.84,14.45,14.65,118800,14.65
2014-11-18,14.90,14.98,14.75,14.80,154900,14.80
2014-11-17,14.92,15.09,14.85,14.86,109500,14.86
2014-11-14,15.06,15.21,14.86,14.96,183900,14.96
2014-11-13,15.42,15.50,15.00,15.04,243100,15.04
2014-11-12,15.13,15.58,15.11,15.40,189100,15.40
2014-11-11,15.18,15.49,14.66,15.25,289200,15.25
2014-11-10,14.91,15.20,14.88,15.19,136900,15.19
2014-11-07,15.30,15.43,14.82,14.94,152000,14.94
2014-11-06,15.10,15.42,15.10,15.31,113400,15.31
2014-11-05,15.11,15.19,14.92,15.13,116800,15.13
2014-11-04,15.07,15.31,14.99,15.09,219400,15.09
2014-11-03,15.12,15.33,15.04,15.14,148400,15.14
2014-10-31,15.59,15.59,14.80,15.15,280600,15.15
2014-10-30,14.88,15.20,14.35,15.06,312400,15.06
2014-10-29,15.01,15.24,14.96,15.01,269300,15.01
2014-10-28,14.88,15.16,14.73,15.00,673400,15.00
2014-10-27,14.76,15.04,14.71,14.77,322700,14.77
2014-10-24,13.96,15.85,13.34,14.89,1165600,14.89
2014-10-23,12.95,12.98,12.68,12.88,205000,12.88
2014-10-22,12.80,12.97,12.52,12.78,163000,12.78
2014-10-21,12.64,12.84,12.44,12.74,136600,12.74
2014-10-20,12.47,12.68,12.47,12.61,186400,12.61
2014-10-17,12.92,12.92,12.54,12.57,159800,12.57
2014-10-16,12.49,12.83,12.41,12.74,192100,12.74
2014-10-15,12.27,12.65,12.12,12.61,202700,12.61
2014-10-14,12.47,12.76,12.35,12.43,162300,12.43
2014-10-13,12.12,12.46,11.96,12.33,217800,12.33
2014-10-10,11.92,12.19,11.92,12.00,193000,12.00
2014-10-09,12.31,12.38,11.87,12.00,157900,12.00
2014-10-08,12.00,12.45,11.94,12.35,89800,12.35
2014-10-07,12.02,12.18,11.97,12.01,160700,12.01
2014-10-06,12.08,12.25,12.01,12.08,74000,12.08
2014-10-03,12.31,12.42,12.03,12.06,133000,12.06
2014-10-02,11.72,12.18,11.64,12.17,130800,12.17
2014-10-01,11.82,11.88,11.61,11.70,241400,11.70
2014-09-30,12.02,12.18,11.87,11.88,230400,11.88
2014-09-29,11.88,12.05,11.87,12.00,154100,12.00
2014-09-26,11.97,12.10,11.95,12.01,143200,12.01
2014-09-25,12.14,12.46,11.95,11.99,202600,11.99
2014-09-24,12.11,12.43,12.01,12.17,92300,12.17
2014-09-23,12.22,12.39,12.01,12.07,153200,12.07
2014-09-22,12.40,12.56,12.10,12.28,125800,12.28
2014-09-19,12.84,12.94,12.40,12.46,382700,12.46
2014-09-18,12.58,12.90,12.58,12.81,156800,12.81
2014-09-17,12.42,12.55,12.33,12.54,157100,12.54
2014-09-16,12.31,12.52,12.15,12.38,188000,12.38
2014-09-15,12.64,12.74,12.19,12.31,142000,12.31
2014-09-12,12.41,12.68,12.33,12.62,228700,12.62
2014-09-11,12.32,12.40,12.21,12.38,99900,12.38
2014-09-10,12.18,12.44,12.18,12.34,136300,12.34
2014-09-09,12.31,12.42,12.09,12.19,114600,12.19
2014-09-08,12.00,12.43,12.00,12.35,169800,12.35
2014-09-05,12.23,12.31,12.01,12.01,141100,12.01
2014-09-04,12.43,12.61,12.25,12.28,70600,12.28
2014-09-03,12.70,12.83,12.36,12.44,164000,12.44
2014-09-02,12.55,12.69,12.30,12.64,107100,12.64
2014-08-29,12.35,12.55,12.35,12.51,60500,12.51
2014-08-28,12.41,12.56,12.22,12.34,206600,12.34
2014-08-27,12.60,12.68,12.35,12.44,109600,12.44
2014-08-26,12.46,12.63,12.42,12.62,166500,12.62
2014-08-25,12.32,12.61,12.29,12.39,98700,12.39
2014-08-22,12.32,12.37,12.07,12.22,245000,12.22
2014-08-21,12.50,12.58,12.20,12.32,217600,12.32
2014-08-20,12.75,12.78,12.48,12.49,163400,12.49
2014-08-19,12.76,12.86,12.56,12.80,225700,12.80
2014-08-18,12.77,12.90,12.55,12.71,114100,12.71
2014-08-15,12.76,12.96,12.41,12.62,146500,12.62
2014-08-14,12.75,12.96,12.58,12.61,325100,12.61
2014-08-13,12.60,12.83,12.60,12.73,73900,12.73
2014-08-12,12.57,12.83,12.41,12.60,130500,12.60
2014-08-11,12.65,12.91,12.54,12.60,119100,12.60
2014-08-08,12.64,12.77,12.49,12.59,211800,12.59
2014-08-07,12.83,12.97,12.59,12.65,175700,12.65
2014-08-06,12.68,12.97,12.68,12.80,160100,12.80
2014-08-05,12.83,12.95,12.58,12.74,190300,12.74
2014-08-04,12.95,12.98,12.71,12.90,189300,12.90
2014-08-01,12.85,12.94,12.68,12.90,394700,12.90
2014-07-31,12.65,12.89,12.32,12.84,323800,12.84
2014-07-30,12.01,12.99,11.41,12.79,1833200,12.79
2014-07-29,14.98,15.01,14.73,14.74,224800,14.74
2014-07-28,14.83,15.09,14.61,14.94,133800,14.94
2014-07-25,14.92,15.18,14.69,14.82,170400,14.82
2014-07-24,15.23,15.68,14.85,15.04,358400,15.04
2014-07-23,14.94,15.19,14.84,15.04,180400,15.04
2014-07-22,14.90,15.00,14.72,14.86,189000,14.86
2014-07-21,14.68,14.93,14.34,14.80,180000,14.80
2014-07-18,14.28,14.85,14.11,14.80,323900,14.80
2014-07-17,14.86,14.92,14.24,14.30,136000,14.30
2014-07-16,14.99,15.09,14.85,14.98,192500,14.98
2014-07-15,15.07,15.07,14.83,14.95,160400,14.95
2014-07-14,15.15,15.25,14.90,15.09,114400,15.09
2014-07-11,14.98,15.09,14.88,15.02,104600,15.02
2014-07-10,15.19,15.21,14.61,15.02,171600,15.02
2014-07-09,14.98,15.23,14.78,15.04,159900,15.04
2014-07-08,15.46,15.46,14.81,14.97,236400,14.97
2014-07-07,15.67,15.67,15.16,15.18,177100,15.18
2014-07-03,15.58,15.77,15.50,15.76,108500,15.76
2014-07-02,15.43,15.63,15.38,15.51,183300,15.51
2014-07-01,15.18,15.65,15.18,15.50,395600,15.50
2014-06-30,15.96,16.76,14.95,15.10,345600,15.10
2014-06-27,14.77,15.24,14.75,15.20,967300,15.20
2014-06-26,14.47,14.88,14.39,14.85,396900,14.85
2014-06-25,13.95,14.40,13.95,14.35,230900,14.35
2014-06-24,14.09,14.15,13.98,14.01,180000,14.01
2014-06-23,14.59,14.59,14.05,14.14,98000,14.14
2014-06-20,14.72,14.89,14.16,14.30,300500,14.30
2014-06-19,14.25,14.67,13.95,14.64,557400,14.64
2014-06-18,14.09,14.20,14.00,14.19,138700,14.19
2014-06-17,14.01,14.15,13.95,14.06,176600,14.06
2014-06-16,14.02,14.06,13.88,13.98,143800,13.98
2014-06-13,14.10,14.19,13.95,14.00,152500,14.00
2014-06-12,13.93,14.10,13.84,14.05,214000,14.05
2014-06-11,13.94,14.09,13.94,13.99,170300,13.99
2014-06-10,14.13,14.13,13.95,14.01,193400,14.01
2014-06-09,14.02,14.18,13.99,14.17,203100,14.17
2014-06-06,14.13,14.14,13.97,14.04,301700,14.04
2014-06-05,13.97,14.13,13.93,14.08,251600,14.08
2014-06-04,13.90,14.08,13.90,13.98,165700,13.98
2014-06-03,13.94,14.15,13.86,13.99,268700,13.99
2014-06-02,14.03,14.14,13.72,14.00,272700,14.00
2014-05-30,14.06,14.20,14.03,14.03,235900,14.03
2014-05-29,14.10,14.17,13.92,14.01,176500,14.01
2014-05-28,14.13,14.16,13.96,13.99,219400,13.99
2014-05-27,14.17,14.26,14.05,14.12,166000,14.12
2014-05-23,14.06,14.12,13.95,14.03,141000,14.03
2014-05-22,14.06,14.29,14.01,14.05,179700,14.05
2014-05-21,14.02,14.14,13.92,14.01,246000,14.01
2014-05-20,13.86,14.06,13.56,13.96,358300,13.96
2014-05-19,13.80,14.04,13.68,13.93,183900,13.93
2014-05-16,13.92,14.04,13.71,13.82,186100,13.82
2014-05-15,13.53,14.00,13.53,13.94,325200,13.94
2014-05-14,13.42,13.66,13.17,13.58,349300,13.58
2014-05-13,13.54,13.65,13.43,13.47,175700,13.47
2014-05-12,13.10,13.58,13.10,13.53,182600,13.53
2014-05-09,12.67,13.14,12.54,13.02,190400,13.02
2014-05-08,12.91,13.22,12.73,12.75,146600,12.75
2014-05-07,12.88,13.09,12.75,12.93,202600,12.93
2014-05-06,13.14,13.34,12.81,12.82,139500,12.82
2014-05-05,13.15,13.53,13.06,13.21,103600,13.21
2014-05-02,13.04,13.52,13.04,13.28,246300,13.28
2014-05-01,12.87,13.21,12.63,12.95,275200,12.95
2014-04-30,12.90,13.04,12.71,12.87,243200,12.87
2014-04-29,13.12,13.24,12.93,13.00,234800,13.00
2014-04-28,12.59,13.26,12.50,13.03,273200,13.03
2014-04-25,13.25,14.25,12.45,12.54,368000,12.54
2014-04-24,13.30,13.90,13.04,13.76,307000,13.76
2014-04-23,13.14,13.31,13.02,13.25,147200,13.25
2014-04-22,13.38,13.47,13.07,13.14,256700,13.14
2014-04-21,13.07,13.48,12.97,13.33,184400,13.33
2014-04-17,13.43,13.43,12.93,13.05,249300,13.05
2014-04-16,13.63,13.94,13.23,13.43,144600,13.43
2014-04-15,13.66,13.71,12.72,13.48,298400,13.48
2014-04-14,13.68,13.83,13.35,13.56,202100,13.56
2014-04-11,13.86,14.02,13.45,13.50,203400,13.50
2014-04-10,14.55,14.55,13.80,14.01,178600,14.01
2014-04-09,14.36,14.64,14.21,14.61,109000,14.61
2014-04-08,14.28,14.58,14.18,14.32,135700,14.32
2014-04-07,14.30,14.43,14.10,14.30,161800,14.30
