Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,20.95,20.95,20.95,20.95,000,20.95
2014-11-13,20.99,21.00,20.94,20.95,3657300,20.95
2014-11-12,20.96,20.99,20.96,20.98,188300,20.98
2014-11-11,20.95,20.98,20.95,20.98,441500,20.98
2014-11-10,20.96,21.00,20.92,20.99,816800,20.99
2014-11-07,20.96,20.98,20.96,20.96,444900,20.96
2014-11-06,20.96,20.98,20.95,20.97,419000,20.97
2014-11-05,20.96,20.97,20.95,20.96,587300,20.96
2014-11-04,20.95,20.96,20.95,20.95,928900,20.95
2014-11-03,20.98,20.98,20.94,20.96,988900,20.96
2014-10-31,20.96,20.98,20.94,20.95,1783400,20.95
2014-10-30,20.90,20.95,20.90,20.93,713300,20.93
2014-10-29,20.91,20.94,20.89,20.92,2058800,20.92
2014-10-28,20.90,20.91,20.88,20.90,1943300,20.90
2014-10-27,20.90,20.92,20.88,20.89,492000,20.89
2014-10-24,20.89,20.91,20.88,20.90,605800,20.90
2014-10-23,20.90,20.90,20.86,20.89,864800,20.89
2014-10-22,20.93,20.95,20.84,20.87,2492200,20.87
2014-10-21,20.89,20.93,20.87,20.89,1241200,20.89
2014-10-20,20.86,20.89,20.84,20.87,2792700,20.87
2014-10-17,20.94,20.94,20.86,20.86,2903700,20.86
2014-10-16,20.88,20.92,20.86,20.88,1843700,20.88
2014-10-15,20.90,20.93,20.88,20.89,3138600,20.89
2014-10-14,20.90,20.96,20.90,20.94,2008000,20.94
2014-10-13,20.92,20.96,20.85,20.88,1605100,20.88
2014-10-10,20.93,20.96,20.91,20.91,1164800,20.91
2014-10-09,20.95,20.96,20.91,20.92,1785900,20.92
2014-10-08,20.95,20.99,20.93,20.95,1204600,20.95
2014-10-07,20.94,20.99,20.94,20.98,682900,20.98
2014-10-06,20.95,20.98,20.92,20.92,899700,20.92
2014-10-03,20.96,21.03,20.91,20.93,3057400,20.93
2014-10-02,20.92,21.00,20.92,20.93,3370000,20.93
2014-10-01,20.95,20.97,20.91,20.92,4636500,20.92
2014-09-30,20.93,21.13,20.90,20.96,42135500,20.96
2014-09-29,14.73,15.39,14.73,15.29,663100,15.29
2014-09-26,14.42,14.67,14.37,14.57,161700,14.57
2014-09-25,14.73,14.85,14.27,14.37,198500,14.37
2014-09-24,14.55,14.85,14.34,14.75,160600,14.75
2014-09-23,14.60,14.76,14.37,14.44,388700,14.44
2014-09-22,15.00,15.31,14.51,14.64,347300,14.64
2014-09-19,15.50,15.64,14.90,15.12,359000,15.12
2014-09-18,15.20,15.48,15.12,15.40,167100,15.40
2014-09-17,15.30,15.32,15.07,15.12,149700,15.12
2014-09-16,14.89,15.58,14.89,15.31,353800,15.31
2014-09-15,15.51,15.51,14.86,14.97,377600,14.97
2014-09-12,15.77,15.87,15.46,15.54,171500,15.54
2014-09-11,15.48,15.76,15.28,15.69,371600,15.69
2014-09-10,15.63,15.72,15.10,15.59,298000,15.59
2014-09-09,15.81,15.87,15.49,15.58,293800,15.58
2014-09-08,15.87,16.16,15.65,15.81,323000,15.81
2014-09-05,15.51,15.89,15.51,15.84,225900,15.84
2014-09-04,15.71,16.10,15.64,15.73,392900,15.73
2014-09-03,15.85,15.96,15.63,15.69,449700,15.69
2014-09-02,15.98,16.03,15.67,15.83,322100,15.83
2014-08-29,15.86,16.04,15.68,15.90,170400,15.90
2014-08-28,15.64,16.01,15.45,15.86,515600,15.86
2014-08-27,16.00,16.01,15.62,15.73,310600,15.73
2014-08-26,15.89,16.13,15.83,16.00,598300,16.00
2014-08-25,16.04,16.18,15.76,15.92,334700,15.92
2014-08-22,15.71,16.25,15.65,16.03,761900,16.03
2014-08-21,15.51,15.79,15.39,15.71,241200,15.71
2014-08-20,15.39,15.61,15.19,15.53,282300,15.53
2014-08-19,15.54,15.85,15.36,15.51,348500,15.51
2014-08-18,15.00,15.57,14.98,15.46,759200,15.46
2014-08-15,14.82,15.07,14.55,14.85,277500,14.85
2014-08-14,14.76,14.98,14.52,14.66,333500,14.66
2014-08-13,14.75,14.93,14.60,14.76,405500,14.76
2014-08-12,14.94,15.06,14.63,14.69,228200,14.69
2014-08-11,14.82,15.19,14.54,14.99,550100,14.99
2014-08-08,14.57,14.87,14.34,14.78,540000,14.78
2014-08-07,14.59,14.76,14.48,14.57,345200,14.57
2014-08-06,14.39,14.75,14.39,14.50,185200,14.50
2014-08-05,14.49,14.72,14.34,14.52,301000,14.52
2014-08-04,14.41,14.57,14.31,14.57,437100,14.57
2014-08-01,14.55,15.07,14.09,14.39,817200,14.39
2014-07-31,14.19,14.68,14.07,14.60,989100,14.60
2014-07-30,14.00,14.81,13.70,14.44,1034100,14.44
2014-07-29,15.19,15.22,14.38,14.53,935300,14.53
2014-07-28,14.42,15.57,14.42,15.19,2363500,15.19
2014-07-25,14.48,14.59,13.93,14.13,1479500,14.13
2014-07-24,14.58,15.53,14.37,14.63,3612800,14.63
2014-07-23,14.04,14.55,13.90,14.51,471800,14.51
2014-07-22,14.07,14.15,13.86,13.96,615800,13.96
2014-07-21,14.06,14.18,13.85,13.96,446100,13.96
2014-07-18,13.68,14.31,13.68,14.12,412100,14.12
2014-07-17,14.32,14.63,13.54,13.68,825900,13.68
2014-07-16,14.61,14.74,14.25,14.47,275800,14.47
2014-07-15,14.91,14.96,14.27,14.45,499100,14.45
2014-07-14,14.75,15.07,14.65,14.96,976800,14.96
2014-07-11,14.25,14.65,14.19,14.58,448800,14.58
2014-07-10,14.03,14.52,13.78,14.22,489900,14.22
2014-07-09,13.96,14.58,13.96,14.48,598800,14.48
2014-07-08,14.48,14.63,13.58,13.96,680800,13.96
2014-07-07,14.93,14.96,14.44,14.50,303400,14.50
2014-07-03,14.39,15.03,14.37,14.92,357300,14.92
2014-07-02,14.23,14.53,14.18,14.23,464700,14.23
2014-07-01,14.81,15.00,14.18,14.26,789300,14.26
2014-06-30,14.61,14.92,14.44,14.79,384800,14.79
2014-06-27,14.37,14.73,14.36,14.58,549900,14.58
2014-06-26,14.45,14.70,14.23,14.42,389600,14.42
2014-06-25,13.94,14.50,13.89,14.47,608800,14.47
2014-06-24,14.14,14.62,13.87,13.94,732100,13.94
2014-06-23,14.57,14.68,14.05,14.21,562000,14.21
2014-06-20,14.83,14.85,14.38,14.51,848000,14.51
2014-06-19,14.85,14.89,14.38,14.84,487700,14.84
2014-06-18,14.91,15.05,14.37,14.85,863200,14.85
2014-06-17,13.82,15.46,13.71,14.98,4738800,14.98
2014-06-16,13.80,13.92,13.52,13.89,284800,13.89
2014-06-13,13.59,13.87,13.52,13.82,607200,13.82
2014-06-12,13.52,13.71,13.30,13.43,309200,13.43
2014-06-11,13.53,13.58,13.27,13.53,244700,13.53
2014-06-10,13.61,13.78,13.47,13.63,241800,13.63
2014-06-09,13.57,13.72,13.34,13.57,357700,13.57
2014-06-06,13.39,13.63,13.25,13.56,264100,13.56
2014-06-05,13.07,13.55,12.93,13.36,403400,13.36
2014-06-04,12.77,13.08,12.50,13.01,297200,13.01
2014-06-03,12.95,13.13,12.70,12.85,399400,12.85
2014-06-02,13.13,13.15,12.74,13.01,568300,13.01
2014-05-30,13.39,13.40,12.95,13.08,496300,13.08
2014-05-29,13.35,13.66,13.34,13.44,865500,13.44
2014-05-28,12.86,13.30,12.60,13.23,602900,13.23
2014-05-27,12.31,13.38,12.31,12.94,1869600,12.94
2014-05-23,11.23,12.38,11.17,12.30,1471700,12.30
2014-05-22,10.91,11.45,10.83,11.14,484600,11.14
2014-05-21,10.70,10.94,10.55,10.89,337300,10.89
2014-05-20,10.64,10.85,10.31,10.65,488900,10.65
2014-05-19,10.17,10.86,10.17,10.71,401500,10.71
2014-05-16,10.16,10.32,9.94,10.19,269000,10.19
2014-05-15,9.99,10.20,9.81,10.15,672300,10.15
2014-05-14,10.28,10.36,10.02,10.08,342400,10.08
2014-05-13,10.37,10.46,10.17,10.33,386400,10.33
2014-05-12,9.96,10.55,9.96,10.41,650400,10.41
2014-05-09,9.60,9.94,9.49,9.88,360300,9.88
2014-05-08,9.72,10.15,9.59,9.66,946000,9.66
2014-05-07,12.19,12.24,9.47,9.83,2414100,9.83
2014-05-06,10.61,10.69,10.15,10.19,636300,10.19
2014-05-05,10.51,10.78,10.50,10.68,235800,10.68
2014-05-02,10.72,10.84,10.53,10.62,240000,10.62
2014-05-01,10.62,10.84,10.55,10.66,503000,10.66
2014-04-30,10.60,10.91,10.27,10.69,710800,10.69
2014-04-29,10.95,11.55,10.62,10.68,905700,10.68
2014-04-28,11.69,11.77,10.84,10.92,675800,10.92
2014-04-25,11.85,11.89,11.21,11.61,684500,11.61
2014-04-24,12.35,12.46,11.83,11.95,494600,11.95
2014-04-23,11.79,12.26,11.61,12.23,1089300,12.23
2014-04-22,11.07,11.87,10.95,11.80,718300,11.80
2014-04-21,10.82,11.11,10.69,11.01,329500,11.01
2014-04-17,10.43,10.82,10.40,10.79,284900,10.79
2014-04-16,10.52,10.63,10.26,10.50,637000,10.50
2014-04-15,10.45,10.60,9.98,10.40,431600,10.40
2014-04-14,10.80,10.87,10.42,10.44,353100,10.44
2014-04-11,11.03,11.16,10.62,10.65,911300,10.65
2014-04-10,11.55,11.60,11.07,11.15,494100,11.15
2014-04-09,11.59,11.95,11.53,11.59,463100,11.59
2014-04-08,11.05,11.52,10.97,11.50,595500,11.50
2014-04-07,11.33,11.33,10.95,11.05,354100,11.05
2014-04-04,11.79,11.79,11.30,11.36,753400,11.36
2014-04-03,11.83,11.83,11.68,11.72,341600,11.72
2014-04-02,11.69,11.83,11.49,11.80,462900,11.80
2014-04-01,11.60,11.80,11.39,11.66,440500,11.66
2014-03-31,11.62,11.71,11.38,11.56,625000,11.56
2014-03-28,11.56,11.83,11.50,11.56,308200,11.56
2014-03-27,11.88,11.98,11.59,11.70,409800,11.70
2014-03-26,12.40,12.40,11.82,11.88,328500,11.88
2014-03-25,12.20,12.50,12.12,12.27,343100,12.27
2014-03-24,11.85,12.58,11.61,12.17,610800,12.17
2014-03-21,12.23,12.23,11.82,11.84,551100,11.84
2014-03-20,12.24,12.45,12.15,12.22,237800,12.22
2014-03-19,12.67,12.68,12.29,12.30,261900,12.30
2014-03-18,12.37,12.74,12.26,12.65,185400,12.65
2014-03-17,12.40,12.50,12.30,12.37,312800,12.37
2014-03-14,12.24,12.48,12.14,12.30,214400,12.30
2014-03-13,12.52,12.53,12.26,12.31,617700,12.31
2014-03-12,12.26,12.56,12.25,12.47,248000,12.47
2014-03-11,12.60,12.70,12.25,12.33,536300,12.33
2014-03-10,12.62,12.70,12.51,12.63,397800,12.63
2014-03-07,12.88,12.89,12.55,12.66,447500,12.66
2014-03-06,13.08,13.30,12.52,12.84,1222800,12.84
2014-03-05,13.06,13.20,13.05,13.12,163000,13.12
2014-03-04,12.90,13.16,12.65,13.07,441500,13.07
