Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,47.74,48.10,47.56,47.91,658000,47.91
2014-12-01,48.34,48.44,47.67,47.67,534700,47.67
2014-11-28,48.64,48.86,48.26,48.36,249400,48.36
2014-11-26,48.49,48.80,48.41,48.54,473700,48.54
2014-11-25,48.78,49.08,48.46,48.50,267100,48.50
2014-11-24,48.61,48.95,48.40,48.92,401400,48.92
2014-11-21,48.44,48.54,48.15,48.50,885600,48.50
2014-11-20,48.21,48.37,47.80,48.01,668000,48.01
2014-11-19,46.92,48.55,46.71,48.40,1200300,48.40
2014-11-18,47.27,47.39,46.90,47.01,1192100,47.01
2014-11-17,47.83,47.97,47.12,47.21,850800,47.21
2014-11-14,47.81,48.49,47.74,47.90,619600,47.90
2014-11-13,48.21,48.31,47.59,47.74,423200,47.74
2014-11-12,47.98,48.46,47.97,48.03,578900,48.03
2014-11-11,48.03,48.36,47.82,48.21,301100,48.21
2014-11-10,47.47,48.20,47.31,48.08,693600,48.08
2014-11-07,47.66,47.85,47.24,47.46,486300,47.46
2014-11-06,47.05,47.61,46.99,47.54,528000,47.54
2014-11-05,47.26,47.31,46.74,47.13,578000,47.13
2014-11-04,46.43,47.01,46.25,46.89,1029000,46.89
2014-11-03,46.67,46.91,46.37,46.50,914300,46.50
2014-10-31,46.78,47.02,45.80,46.66,1088300,46.66
2014-10-30,46.87,46.92,45.74,46.63,931000,46.63
2014-10-29,47.09,47.26,46.26,46.88,1112500,46.88
2014-10-28,46.71,47.10,46.39,46.77,950400,46.77
2014-10-27,45.87,46.53,45.80,46.45,558800,46.45
2014-10-24,45.67,46.08,45.58,46.00,520600,46.00
2014-10-23,45.76,45.94,45.39,45.63,566100,45.63
2014-10-22,44.83,45.43,44.62,45.08,692000,45.08
2014-10-21,43.80,44.82,43.80,44.79,1101500,44.79
2014-10-20,43.15,43.66,43.01,43.66,395500,43.66
2014-10-17,42.71,43.46,42.57,43.41,600500,43.41
2014-10-16,41.40,42.39,41.25,42.25,711900,42.25
2014-10-15,41.76,42.53,41.16,42.20,517200,42.20
2014-10-14,42.93,43.05,42.43,42.56,427200,42.56
2014-10-13,43.34,43.62,42.75,42.76,497700,42.76
2014-10-10,44.31,44.71,43.51,43.53,485400,43.53
2014-10-09,45.45,45.56,44.59,44.60,838000,44.42
2014-10-08,45.71,46.00,45.24,45.65,1790000,45.47
2014-10-07,46.82,46.98,45.62,45.64,739400,45.46
2014-10-06,47.64,47.78,46.98,46.99,518900,46.80
2014-10-03,47.92,47.99,47.44,47.52,438000,47.33
2014-10-02,46.58,47.73,46.58,47.60,888900,47.41
2014-10-01,47.00,47.26,46.32,46.56,818000,46.37
2014-09-30,47.24,47.32,46.91,47.02,610000,46.83
2014-09-29,46.54,47.00,46.51,46.99,460200,46.80
2014-09-26,46.94,47.05,46.71,46.97,488100,46.78
2014-09-25,47.09,47.26,46.72,46.77,601500,46.58
2014-09-24,47.00,47.55,46.86,47.33,632400,47.14
2014-09-23,47.55,47.55,46.96,46.99,423200,46.80
2014-09-22,48.36,48.57,47.58,47.63,550200,47.44
2014-09-19,48.87,49.17,48.11,48.39,1210700,48.19
2014-09-18,46.92,51.98,46.92,48.98,2907600,48.78
2014-09-17,46.54,46.57,46.10,46.29,186900,46.10
2014-09-16,46.37,46.90,46.23,46.54,356800,46.35
2014-09-15,46.81,46.85,46.32,46.40,239300,46.21
2014-09-12,46.84,46.86,46.37,46.70,209100,46.51
2014-09-11,46.42,46.80,46.41,46.79,199700,46.60
2014-09-10,46.16,46.76,46.14,46.65,304900,46.46
2014-09-09,46.19,46.30,45.80,46.20,353800,46.01
2014-09-08,46.20,46.60,45.94,46.29,225200,46.10
2014-09-05,46.41,46.55,46.10,46.35,172200,46.16
2014-09-04,46.40,46.79,46.21,46.43,476000,46.24
2014-09-03,46.77,46.95,46.26,46.43,247100,46.24
2014-09-02,46.32,46.90,46.16,46.58,596700,46.39
2014-08-29,45.94,46.25,45.73,46.14,286600,45.95
2014-08-28,46.03,46.09,45.68,45.87,244500,45.68
2014-08-27,46.83,46.83,46.03,46.14,233100,45.95
2014-08-26,46.32,47.03,46.14,46.74,304100,46.55
2014-08-25,46.50,46.63,46.17,46.28,166200,46.09
2014-08-22,46.17,46.50,46.07,46.21,346200,46.02
2014-08-21,45.96,46.25,45.77,46.18,228400,45.99
2014-08-20,45.54,45.97,45.38,45.86,340400,45.67
2014-08-19,45.70,45.88,45.41,45.63,375200,45.45
2014-08-18,45.65,45.85,45.50,45.68,332300,45.50
2014-08-15,45.39,45.65,44.62,45.17,367200,44.99
2014-08-14,45.05,45.30,44.85,45.12,232100,44.94
2014-08-13,44.76,45.03,44.59,44.92,193900,44.74
2014-08-12,44.21,44.84,44.21,44.60,328700,44.42
2014-08-11,44.23,44.61,44.05,44.57,496000,44.39
2014-08-08,43.93,44.37,43.81,44.00,431800,43.82
2014-08-07,44.41,44.41,43.76,43.90,203700,43.72
2014-08-06,43.82,44.30,43.76,44.15,268100,43.97
2014-08-05,44.36,44.46,43.96,43.99,436300,43.81
2014-08-04,44.50,44.80,44.10,44.55,630200,44.37
2014-08-01,44.86,45.05,43.86,44.36,1119300,44.18
2014-07-31,47.00,47.17,45.21,45.25,803500,45.07
2014-07-30,46.52,46.94,46.06,46.56,660400,46.37
2014-07-29,46.79,47.29,46.38,46.40,559800,46.21
2014-07-28,46.80,46.95,46.33,46.73,263800,46.54
2014-07-25,46.86,47.03,46.44,46.80,268900,46.61
2014-07-24,46.79,47.18,46.40,47.11,341800,46.92
2014-07-23,46.94,46.94,46.68,46.82,365400,46.63
2014-07-22,46.95,47.30,46.85,46.94,284100,46.75
2014-07-21,46.61,47.03,46.50,46.69,253600,46.50
2014-07-18,46.37,46.99,46.25,46.93,463400,46.74
2014-07-17,46.48,46.91,46.12,46.27,346700,46.08
2014-07-16,46.64,46.83,46.08,46.64,545100,46.45
2014-07-15,46.54,46.78,46.07,46.39,368200,46.20
2014-07-14,46.40,46.69,46.28,46.37,363600,46.18
2014-07-11,45.94,46.19,45.64,46.09,289900,45.90
2014-07-10,45.68,46.25,45.56,45.93,320600,45.74
2014-07-09,46.41,46.70,46.00,46.32,311200,46.13
2014-07-08,46.91,47.21,46.19,46.47,496400,46.28
2014-07-07,47.17,47.38,46.94,47.08,416000,46.89
2014-07-03,46.81,47.42,46.76,47.34,401100,47.15
2014-07-02,46.40,46.80,46.30,46.52,393200,46.33
2014-07-01,46.00,46.79,45.74,46.55,905000,46.36
2014-06-30,45.20,45.86,45.16,45.85,644200,45.66
2014-06-27,44.46,45.26,44.46,45.20,758000,45.02
2014-06-26,44.52,44.71,44.16,44.46,319600,44.28
2014-06-25,44.39,44.90,44.37,44.59,345900,44.41
2014-06-24,44.87,45.41,44.41,44.44,575600,44.26
2014-06-23,44.64,44.92,44.34,44.86,475100,44.68
2014-06-20,45.04,45.33,44.56,44.58,1192600,44.40
2014-06-19,45.21,45.62,44.55,44.92,455800,44.74
2014-06-18,45.44,45.72,44.86,45.11,642200,44.93
2014-06-17,44.65,45.66,44.62,45.47,501400,45.29
2014-06-16,44.80,44.94,44.41,44.77,181900,44.59
2014-06-13,44.89,44.98,44.56,44.84,185500,44.66
2014-06-12,44.80,45.00,44.49,44.76,318200,44.58
2014-06-11,44.40,44.97,44.21,44.90,292000,44.72
2014-06-10,44.61,44.87,44.52,44.70,173000,44.52
2014-06-09,44.40,44.93,44.25,44.82,197900,44.64
2014-06-06,44.00,44.73,43.99,44.41,515800,44.23
2014-06-05,43.57,43.96,43.23,43.90,288600,43.72
2014-06-04,43.25,43.48,43.02,43.45,399300,43.27
2014-06-03,43.29,43.36,42.82,43.35,488100,43.18
2014-06-02,43.15,43.44,42.76,43.34,335900,43.17
2014-05-30,43.47,43.47,42.84,43.16,436500,42.99
2014-05-29,43.45,43.49,43.10,43.48,250300,43.30
2014-05-28,43.39,43.63,43.06,43.32,519300,43.15
2014-05-27,43.14,43.76,43.01,43.41,407200,43.23
2014-05-23,42.64,43.07,42.51,42.95,421600,42.78
2014-05-22,42.06,42.68,42.01,42.56,384200,42.39
2014-05-21,41.50,42.07,41.33,42.06,897400,41.89
2014-05-20,42.47,42.48,41.37,41.38,926600,41.21
2014-05-19,42.25,42.75,42.24,42.56,230400,42.39
2014-05-16,42.12,42.42,41.72,42.28,322900,42.11
2014-05-15,42.10,42.40,41.29,42.13,600900,41.96
2014-05-14,42.57,42.65,42.17,42.17,339900,42.00
2014-05-13,43.34,43.60,42.69,42.70,517000,42.53
2014-05-12,41.64,43.65,41.60,43.34,1467200,43.17
2014-05-09,41.35,41.85,41.22,41.54,1443700,41.37
2014-05-08,42.00,42.15,41.38,41.42,744400,41.25
2014-05-07,41.33,42.27,41.09,42.14,865600,41.97
2014-05-06,41.23,41.40,40.94,41.26,602400,41.09
2014-05-05,41.00,41.32,40.50,41.19,632400,41.02
2014-05-02,41.08,42.00,40.89,41.24,731100,41.07
2014-05-01,40.50,41.95,40.41,40.99,904900,40.82
2014-04-30,41.29,41.65,40.26,40.54,4041100,40.38
2014-04-29,41.97,42.11,41.64,41.71,710000,41.54
2014-04-28,41.88,42.33,41.44,41.79,532000,41.62
2014-04-25,42.01,42.52,41.54,41.69,578000,41.52
2014-04-24,42.59,42.82,42.22,42.28,492600,42.11
2014-04-23,42.54,42.72,42.18,42.28,1008800,42.11
2014-04-22,42.39,42.97,42.25,42.56,507900,42.39
2014-04-21,42.09,42.51,41.80,42.39,467500,42.22
2014-04-17,42.16,42.51,41.88,42.17,376500,42.00
2014-04-16,41.71,42.16,41.37,42.12,976200,41.95
2014-04-15,41.75,41.83,40.40,41.28,709900,41.11
2014-04-14,41.99,42.31,41.29,41.55,585800,41.38
2014-04-11,41.70,42.18,41.43,41.72,565900,41.55
2014-04-10,43.04,43.15,41.66,42.07,556400,41.90
2014-04-09,42.77,43.18,42.49,43.10,520600,42.93
2014-04-08,42.28,42.85,42.01,42.64,545900,42.47
2014-04-07,42.93,43.19,42.19,42.28,696000,42.11
2014-04-04,43.98,44.10,42.80,43.07,473500,42.90
2014-04-03,43.86,43.96,43.33,43.76,831400,43.58
2014-04-02,43.95,44.02,43.31,43.80,515600,43.62
2014-04-01,43.03,43.82,42.83,43.81,828800,43.63
2014-03-31,42.42,43.08,42.26,43.02,793800,42.85
2014-03-28,41.90,42.73,41.79,42.11,566800,41.94
2014-03-27,41.72,42.17,41.22,41.87,871400,41.70
2014-03-26,42.89,43.04,41.72,41.77,803200,41.60
2014-03-25,43.17,43.70,42.67,42.72,942300,42.55
2014-03-24,45.24,45.47,44.36,44.44,732200,44.26
2014-03-21,45.58,45.69,44.88,45.32,1764800,45.14
2014-03-20,45.16,45.78,44.98,45.48,482200,45.30
2014-03-19,45.52,45.80,44.97,45.26,477900,45.08
2014-03-18,45.98,45.98,44.95,45.63,757200,45.45
2014-03-17,45.53,45.97,45.49,45.62,340700,45.44
2014-03-14,45.20,45.59,44.76,45.21,430400,45.03
2014-03-13,46.30,46.40,45.23,45.27,436600,45.09
2014-03-12,45.79,46.28,45.75,46.27,481500,46.08
2014-03-11,45.75,46.27,45.61,45.99,626900,45.80
2014-03-10,45.66,45.87,45.23,45.74,416000,45.56
2014-03-07,45.93,46.02,45.41,45.75,535100,45.57
2014-03-06,45.36,45.80,45.13,45.74,438700,45.56
2014-03-05,45.52,45.52,44.86,45.14,461100,44.96
2014-03-04,44.79,45.65,44.79,45.60,618300,45.42
2014-03-03,43.37,44.79,43.13,44.18,825200,44.00
2014-02-28,43.76,44.32,43.45,43.71,1032500,43.53
2014-02-27,43.75,44.09,43.58,43.72,489200,43.54
2014-02-26,43.99,44.39,43.82,43.83,469700,43.65
2014-02-25,44.05,44.23,43.70,43.85,359400,43.67
2014-02-24,44.55,44.83,44.19,44.21,549900,44.03
2014-02-21,45.12,45.12,44.51,44.53,433400,44.35
2014-02-20,43.51,45.01,43.45,44.98,861700,44.80
2014-02-19,43.68,44.29,43.47,43.49,750000,43.31
2014-02-18,42.74,44.03,42.74,43.87,701700,43.69
2014-02-14,42.34,42.81,42.21,42.74,349800,42.57
2014-02-13,42.68,42.75,42.16,42.45,529300,42.28
2014-02-12,41.46,42.45,41.41,42.26,634800,42.09
2014-02-11,41.28,41.82,40.66,41.46,504300,41.29
2014-02-10,40.28,40.84,40.00,40.68,794800,40.52
2014-02-07,40.45,40.70,39.78,40.28,1524700,40.12
2014-02-06,41.85,42.32,40.35,40.74,1426000,40.58
2014-02-05,41.67,41.72,41.20,41.51,455700,41.34
2014-02-04,41.21,41.78,40.67,41.72,657100,41.55
2014-02-03,42.70,42.75,40.93,41.01,948500,40.84
2014-01-31,42.13,43.18,41.77,42.72,592200,42.55
2014-01-30,41.97,42.61,41.66,42.58,537000,42.41
2014-01-29,41.90,42.23,41.45,41.50,641300,41.33
2014-01-28,42.22,42.63,42.12,42.34,307100,42.17
2014-01-27,42.99,43.20,42.06,42.22,407000,42.05
2014-01-24,44.67,44.76,42.95,42.97,1074000,42.80
2014-01-23,44.76,44.91,44.56,44.90,380700,44.72
2014-01-22,44.79,45.00,44.48,44.95,287600,44.77
2014-01-21,44.59,44.71,44.21,44.61,304900,44.43
2014-01-17,43.94,44.62,43.94,44.22,454300,44.04
2014-01-16,43.21,44.02,43.21,44.00,344500,43.82
2014-01-15,43.80,43.93,43.38,43.43,565700,43.25
2014-01-14,43.19,43.77,42.87,43.66,274800,43.48
2014-01-13,43.74,43.80,43.02,43.12,444700,42.95
2014-01-10,43.61,43.97,43.40,43.78,306200,43.60
2014-01-09,43.54,43.91,43.21,43.62,287100,43.44
2014-01-08,43.61,43.75,43.31,43.47,469600,43.29
2014-01-07,43.53,43.68,43.20,43.54,424500,43.36
2014-01-06,43.31,43.44,43.02,43.10,482600,42.93
2014-01-03,43.13,43.49,43.07,43.17,313200,43.00
2014-01-02,43.63,43.64,43.09,43.15,459700,42.98
2013-12-31,43.69,43.80,43.52,43.72,219500,43.54
2013-12-30,43.50,43.82,43.30,43.64,282800,43.46
2013-12-27,43.53,43.83,43.31,43.47,288200,43.29
2013-12-26,43.51,43.80,43.33,43.39,350000,43.21
2013-12-24,43.15,43.40,42.93,43.34,200100,43.17
2013-12-23,42.92,43.12,42.85,43.00,685000,42.83
2013-12-20,42.16,42.78,41.97,42.60,1232000,42.43
2013-12-19,43.02,43.29,42.02,42.05,920700,41.88
2013-12-18,42.81,43.01,42.13,42.99,1012100,42.82
2013-12-17,43.12,43.42,42.64,42.67,684000,42.50
2013-12-16,43.59,43.80,43.11,43.19,653800,43.02
2013-12-13,43.65,44.07,43.04,43.46,490400,43.28
2013-12-12,43.68,43.95,43.19,43.47,491500,43.29
2013-12-11,43.78,43.91,42.73,42.84,586300,42.67
2013-12-10,43.86,44.26,43.58,43.60,450600,43.42
2013-12-09,44.28,44.63,43.96,44.15,413400,43.97
2013-12-06,44.37,44.53,43.89,44.21,596300,44.03
2013-12-05,43.92,44.14,43.37,43.87,572500,43.69
2013-12-04,43.94,44.44,43.52,43.91,292500,43.73
2013-12-03,44.60,44.79,44.05,44.19,293600,44.01
2013-12-02,44.38,45.42,44.31,44.71,369000,44.53
