Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,13.31,13.32,13.28,13.32,9200,13.32
2014-12-01,13.29,13.35,13.27,13.30,69200,13.30
2014-11-28,13.27,13.27,13.19,13.22,16200,13.22
2014-11-26,13.20,13.22,13.17,13.22,23700,13.22
2014-11-25,13.23,13.23,13.20,13.20,21100,13.20
2014-11-24,13.17,13.21,13.14,13.20,32800,13.20
2014-11-21,13.18,13.21,13.17,13.19,51200,13.19
2014-11-20,13.16,13.19,13.14,13.14,33100,13.14
2014-11-19,13.22,13.22,13.14,13.14,32400,13.14
2014-11-18,13.20,13.25,13.19,13.23,21700,13.23
2014-11-17,13.25,13.25,13.19,13.19,31000,13.19
2014-11-14,13.23,13.23,13.18,13.23,20000,13.23
2014-11-13,13.23,13.23,13.20,13.22,9700,13.22
2014-11-12,13.22,13.24,13.18,13.18,18700,13.18
2014-11-11,13.26,13.29,13.22,13.25,27200,13.18
2014-11-10,13.24,13.32,13.24,13.32,22000,13.25
2014-11-07,13.33,13.33,13.23,13.25,16300,13.18
2014-11-06,13.25,13.31,13.25,13.30,21400,13.23
2014-11-05,13.19,13.30,13.19,13.30,27700,13.23
2014-11-04,13.21,13.26,13.17,13.26,13600,13.19
2014-11-03,13.31,13.31,13.23,13.24,18000,13.17
2014-10-31,13.34,13.38,13.23,13.26,24100,13.19
2014-10-30,13.39,13.39,13.27,13.36,29100,13.29
2014-10-29,13.37,13.38,13.33,13.34,22300,13.27
2014-10-28,13.33,13.33,13.27,13.33,25800,13.26
2014-10-27,13.35,13.37,13.29,13.30,60600,13.23
2014-10-24,13.22,13.36,13.22,13.31,61600,13.24
2014-10-23,13.28,13.30,13.24,13.24,27200,13.17
2014-10-22,13.23,13.29,13.19,13.29,19400,13.22
2014-10-21,13.28,13.28,13.21,13.23,65400,13.16
2014-10-20,13.35,13.35,13.27,13.29,32300,13.22
2014-10-17,13.24,13.34,13.24,13.34,15800,13.27
2014-10-16,13.23,13.26,13.13,13.24,50800,13.17
2014-10-15,13.16,13.20,13.13,13.19,49700,13.12
2014-10-14,13.07,13.14,13.04,13.11,33500,13.04
2014-10-13,13.10,13.10,13.04,13.04,40800,12.97
2014-10-10,13.15,13.15,13.05,13.05,40400,12.98
2014-10-09,13.25,13.28,13.17,13.17,46800,13.03
2014-10-08,13.18,13.21,13.15,13.17,35600,13.03
2014-10-07,13.08,13.15,13.06,13.15,35000,13.01
2014-10-06,13.08,13.10,13.03,13.04,61500,12.91
2014-10-03,13.02,13.03,12.94,13.03,38000,12.90
2014-10-02,12.99,13.02,12.96,12.97,32100,12.84
2014-10-01,12.98,13.02,12.97,12.97,36900,12.84
2014-09-30,12.97,12.98,12.93,12.97,26600,12.84
2014-09-29,12.92,12.93,12.89,12.93,19600,12.80
2014-09-26,12.94,12.94,12.86,12.86,17600,12.73
2014-09-25,12.96,12.96,12.91,12.92,33900,12.79
2014-09-24,13.00,13.00,12.91,12.92,15600,12.79
2014-09-23,12.97,13.03,12.94,12.97,14400,12.84
2014-09-22,13.03,13.03,12.96,12.97,15700,12.84
2014-09-19,12.92,13.01,12.92,13.00,35000,12.87
2014-09-18,12.90,12.95,12.90,12.90,17700,12.77
2014-09-17,12.96,12.97,12.91,12.95,12100,12.82
2014-09-16,12.94,12.96,12.90,12.91,18600,12.78
2014-09-15,12.98,13.00,12.90,12.94,15200,12.81
2014-09-12,13.03,13.03,12.94,12.94,20400,12.81
2014-09-11,13.06,13.06,13.03,13.03,8500,12.90
2014-09-10,13.09,13.12,13.06,13.12,15400,12.92
2014-09-09,13.08,13.09,13.04,13.07,17700,12.87
2014-09-08,13.15,13.15,13.07,13.07,11600,12.87
2014-09-05,13.12,13.13,13.09,13.13,12400,12.93
2014-09-04,13.10,13.10,13.06,13.08,17600,12.88
2014-09-03,13.13,13.14,13.03,13.10,26200,12.90
2014-09-02,13.08,13.13,13.08,13.13,20700,12.93
2014-08-29,13.14,13.14,13.10,13.10,9100,12.90
2014-08-28,13.14,13.14,13.06,13.12,17100,12.92
