Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,17.08,17.90,16.79,17.63,108900,17.63
2014-12-01,18.75,18.75,18.75,18.75,000,18.75
2014-11-28,20.00,20.14,18.54,18.75,135000,18.75
2014-11-26,21.61,21.61,20.54,20.64,83200,20.64
2014-11-25,22.06,22.06,21.50,21.52,40100,21.52
2014-11-24,22.00,22.15,21.80,22.06,32100,22.06
2014-11-21,22.33,22.42,21.95,21.95,25000,21.95
2014-11-20,21.70,22.33,21.62,22.16,25200,22.16
2014-11-19,21.58,22.11,21.53,21.81,38600,21.81
2014-11-18,22.39,22.54,21.90,21.95,52900,21.95
2014-11-17,22.36,22.50,22.00,22.45,29300,22.45
2014-11-14,22.28,22.70,22.08,22.58,22400,22.58
2014-11-13,23.04,23.04,22.16,22.28,37900,22.28
2014-11-12,22.95,23.28,22.65,23.08,37500,23.08
2014-11-11,23.43,23.43,22.65,23.21,20900,23.21
2014-11-10,23.31,23.84,22.93,23.45,62400,23.45
2014-11-07,22.50,22.83,22.12,22.81,44400,22.81
2014-11-06,21.80,21.96,21.52,21.79,25400,21.79
2014-11-05,21.25,21.86,21.11,21.64,46000,21.64
2014-11-04,22.68,22.68,21.30,21.40,112800,21.40
2014-11-03,23.00,23.44,22.74,22.80,42000,22.80
2014-10-31,23.57,23.57,23.09,23.23,27000,23.23
2014-10-30,23.50,23.57,21.08,23.38,25400,23.38
2014-10-29,24.05,24.17,23.42,23.58,28600,23.58
2014-10-28,23.36,23.84,23.25,23.78,52100,23.78
2014-10-27,23.30,23.59,23.05,23.42,78800,23.42
2014-10-24,23.84,23.92,23.12,23.55,41300,23.55
2014-10-23,22.79,24.05,22.62,23.62,94100,23.62
2014-10-22,23.94,23.94,22.85,22.89,93500,22.89
2014-10-21,24.02,24.02,23.77,23.97,45100,23.97
2014-10-20,22.77,23.50,22.57,23.50,40300,23.50
2014-10-17,23.20,23.50,22.40,22.56,79900,22.56
2014-10-16,19.87,23.22,19.76,22.81,127900,22.81
2014-10-15,21.09,21.60,20.00,20.36,210000,20.36
2014-10-14,22.36,22.56,21.00,21.11,130400,21.11
2014-10-13,23.06,23.40,22.32,22.56,89200,22.56
2014-10-10,24.10,24.10,22.50,23.12,171700,23.12
2014-10-09,25.14,25.14,24.14,24.15,62800,24.15
2014-10-08,25.90,26.15,25.10,25.80,166000,24.90
2014-10-07,26.75,26.84,25.68,25.81,103600,24.91
2014-10-06,26.62,27.00,26.45,26.74,94700,25.81
2014-10-03,26.29,26.38,25.98,26.29,20300,25.38
2014-10-02,26.02,26.21,25.55,26.19,30700,25.28
2014-10-01,26.25,26.46,25.95,25.96,36700,25.06
2014-09-30,26.80,26.80,26.01,26.15,39700,25.24
