Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,64.80,66.00,64.23,65.71,2191300,65.71
2014-12-01,66.11,66.96,66.06,66.48,130500,66.48
2014-11-28,66.50,67.47,66.27,66.28,84400,66.28
2014-11-26,65.82,66.67,65.82,66.55,80800,66.55
2014-11-25,65.95,66.15,65.74,65.79,126700,65.79
2014-11-24,65.69,65.93,65.52,65.69,93500,65.69
2014-11-21,65.88,65.98,65.23,65.42,107000,65.42
2014-11-20,65.29,65.61,64.70,65.60,100200,65.60
2014-11-19,66.30,66.30,65.20,65.24,95200,65.24
2014-11-18,66.51,66.86,66.21,66.24,98000,66.24
2014-11-17,65.63,66.45,65.48,66.23,110000,66.23
2014-11-14,66.17,66.31,65.39,65.63,87100,65.63
2014-11-13,65.87,66.78,65.87,66.25,115900,66.25
2014-11-12,66.55,66.63,65.86,66.00,120600,66.00
2014-11-11,66.82,66.89,66.22,66.60,85600,66.60
2014-11-10,66.20,66.94,66.17,66.77,127600,66.77
2014-11-07,66.76,66.97,66.08,66.21,124700,66.21
2014-11-06,67.31,67.75,66.54,66.61,197900,66.61
2014-11-05,67.57,67.95,67.01,67.46,129400,67.46
2014-11-04,66.46,67.55,66.14,67.10,150700,67.10
2014-11-03,65.90,66.95,65.59,66.90,204800,66.90
2014-10-31,65.92,66.14,65.14,65.91,234900,65.91
2014-10-30,64.76,65.29,64.56,65.13,141700,65.13
2014-10-29,64.71,64.93,64.16,64.78,160600,64.78
2014-10-28,64.03,64.83,63.89,64.80,155300,64.80
2014-10-27,63.19,64.37,63.11,64.10,198300,64.10
2014-10-24,63.37,63.49,62.66,63.22,194800,63.22
2014-10-23,62.77,63.24,62.36,63.22,123400,63.22
2014-10-22,62.50,62.96,62.26,62.35,77800,62.35
2014-10-21,62.28,62.46,61.73,62.45,108600,62.45
2014-10-20,60.91,62.23,60.91,62.23,129700,62.23
2014-10-17,61.60,61.60,60.35,60.91,150100,60.91
2014-10-16,60.22,61.37,60.21,61.21,133200,61.21
2014-10-15,60.44,61.50,60.17,61.07,169500,61.07
2014-10-14,59.92,61.25,59.86,60.63,217200,60.63
2014-10-13,59.14,60.16,58.60,59.86,186100,59.86
2014-10-10,58.51,59.87,58.51,59.15,89800,59.15
2014-10-09,59.25,60.08,58.75,58.77,189100,58.77
2014-10-08,57.32,59.39,57.32,59.19,232900,59.19
