Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,41.69,42.25,41.51,42.02,1957600,42.02
2014-12-01,42.06,42.27,41.75,41.98,3409000,41.98
2014-11-28,42.81,42.90,42.42,42.55,1130000,42.55
2014-11-26,43.02,43.12,42.60,42.70,2197900,42.70
2014-11-25,42.63,43.17,42.46,43.08,2518900,43.08
2014-11-24,42.41,42.66,42.22,42.63,1738000,42.63
2014-11-21,42.60,42.60,42.28,42.31,2867200,42.31
2014-11-20,41.67,42.23,41.61,42.20,2593000,42.20
2014-11-19,41.94,41.97,41.49,41.81,3696800,41.81
2014-11-18,42.20,42.20,41.84,41.89,2139700,41.89
2014-11-17,42.10,42.32,41.73,42.23,2327900,42.23
2014-11-14,41.18,42.57,41.09,42.27,4439500,42.27
2014-11-13,40.53,41.91,40.38,41.09,9249100,41.09
2014-11-12,42.46,42.48,42.00,42.31,4307700,42.31
2014-11-11,42.22,42.44,41.98,42.27,2202500,42.27
2014-11-10,42.28,42.47,41.90,42.15,3256600,42.15
2014-11-07,42.88,43.24,42.20,42.30,3620800,42.30
2014-11-06,43.20,43.67,42.95,43.17,2083000,43.17
2014-11-05,43.15,43.24,42.57,43.20,1906900,43.20
2014-11-04,42.89,43.43,42.83,43.02,1505100,43.02
2014-11-03,42.80,43.45,42.61,43.07,2224200,43.07
2014-10-31,42.74,42.86,42.44,42.80,2773000,42.80
2014-10-30,41.22,42.21,41.22,42.11,1831100,42.11
2014-10-29,41.55,42.09,41.35,41.38,2780600,41.38
2014-10-28,40.93,41.50,40.80,41.50,2351400,41.50
2014-10-27,40.58,40.95,40.35,40.55,1668800,40.55
2014-10-24,40.46,40.74,39.92,40.72,1981400,40.72
2014-10-23,40.11,40.68,39.78,40.30,2377900,40.30
2014-10-22,39.32,40.25,39.27,39.66,3225900,39.66
2014-10-21,38.71,39.35,38.63,39.27,2492500,39.27
2014-10-20,38.25,38.60,37.44,38.54,4809700,38.54
2014-10-17,38.67,39.37,38.62,38.82,2955900,38.82
2014-10-16,37.98,39.32,37.76,38.40,3313600,38.40
2014-10-15,37.95,38.95,37.74,38.81,4422500,38.81
2014-10-14,38.43,38.85,38.21,38.53,3990400,38.53
2014-10-13,38.79,39.09,38.21,38.22,2649100,38.22
2014-10-10,39.43,39.89,38.90,38.91,3089700,38.91
2014-10-09,40.18,40.52,39.54,39.57,2402000,39.57
2014-10-08,39.82,40.31,39.45,40.24,3225200,40.24
2014-10-07,40.66,40.87,39.71,39.85,4328400,39.68
2014-10-06,41.56,41.68,40.98,40.99,2494200,40.82
2014-10-03,41.49,41.86,41.29,41.57,1589100,41.40
2014-10-02,41.31,41.55,40.70,41.38,1967800,41.21
2014-10-01,42.62,42.68,41.27,41.33,4384800,41.16
2014-09-30,42.60,43.09,42.57,42.96,3608600,42.78
2014-09-29,41.92,42.53,41.88,42.44,2796400,42.26
2014-09-26,42.51,42.51,41.88,42.17,3401400,42.00
2014-09-25,43.24,43.32,42.16,42.17,3162400,42.00
2014-09-24,43.09,43.48,42.98,43.38,2563500,43.20
2014-09-23,43.39,43.39,42.96,43.07,2893800,42.89
2014-09-22,42.99,43.25,42.86,43.00,3025100,42.82
2014-09-19,43.60,43.75,42.85,43.00,5898800,42.82
2014-09-18,43.18,43.65,43.07,43.40,2131300,43.22
2014-09-17,42.85,43.25,42.81,43.05,1916300,42.87
2014-09-16,42.84,43.10,42.61,42.97,2759100,42.79
2014-09-15,42.51,43.12,42.51,42.87,3954100,42.69
2014-09-12,42.26,42.51,42.18,42.50,2116100,42.32
2014-09-11,42.05,42.48,42.00,42.47,1385100,42.29
2014-09-10,42.20,42.50,42.01,42.15,2304700,41.98
2014-09-09,42.25,42.42,41.93,42.04,2416200,41.87
2014-09-08,42.06,42.20,41.91,42.16,2843500,41.99
2014-09-05,41.95,42.23,41.81,42.21,2380100,42.04
2014-09-04,42.10,42.45,41.91,41.91,3338700,41.74
2014-09-03,42.08,42.29,41.99,42.10,2223200,41.93
2014-09-02,42.10,42.33,41.93,42.04,2673300,41.87
2014-08-29,42.06,42.17,41.68,42.16,2336800,41.99
2014-08-28,41.48,42.07,41.42,41.99,2946100,41.82
2014-08-27,41.58,41.69,41.30,41.56,1850600,41.39
2014-08-26,41.15,41.69,41.10,41.42,2677700,41.25
2014-08-25,41.25,41.59,41.03,41.19,2199100,41.02
2014-08-22,40.98,41.15,40.90,41.00,2558400,40.83
2014-08-21,40.91,41.15,40.74,40.92,1805000,40.75
2014-08-20,40.87,41.14,40.74,40.97,2317600,40.80
2014-08-19,41.08,41.25,40.78,40.83,3268300,40.66
2014-08-18,41.36,41.62,40.99,41.11,3323600,40.94
2014-08-15,41.37,41.68,40.88,41.36,5253200,41.19
2014-08-14,40.00,41.48,39.50,41.35,11062700,41.18
2014-08-13,39.31,39.49,39.05,39.30,3799100,39.14
2014-08-12,39.21,39.43,38.97,39.29,3234400,39.13
2014-08-11,39.21,39.45,38.81,39.32,3045800,39.16
2014-08-08,38.37,39.06,38.37,39.00,2995100,38.84
2014-08-07,39.11,39.36,38.26,38.44,3220500,38.28
2014-08-06,38.47,38.99,38.39,38.80,2448600,38.64
2014-08-05,38.65,39.33,38.47,38.66,3315500,38.50
2014-08-04,38.47,38.92,38.32,38.76,3373100,38.60
2014-08-01,38.76,38.80,38.18,38.54,3346300,38.38
2014-07-31,38.17,39.06,38.17,38.84,4899100,38.68
2014-07-30,38.76,39.30,38.69,39.12,3623700,38.96
2014-07-29,38.57,38.78,38.43,38.58,3429100,38.42
2014-07-28,37.90,38.58,37.80,38.55,3705700,38.39
2014-07-25,38.07,38.18,37.97,38.13,2349000,37.97
2014-07-24,37.89,38.21,37.80,38.12,2653100,37.96
2014-07-23,37.62,37.99,37.39,37.93,3857500,37.77
2014-07-22,37.34,37.82,37.16,37.76,2947900,37.60
2014-07-21,36.88,37.24,36.80,37.09,2407200,36.94
2014-07-18,36.83,36.94,36.57,36.92,3135200,36.77
2014-07-17,36.55,37.07,36.36,36.70,3910400,36.55
2014-07-16,36.68,37.00,36.54,36.88,4226200,36.73
2014-07-15,36.35,36.84,36.35,36.68,2806600,36.53
2014-07-14,37.25,37.29,36.23,36.38,3496000,36.23
2014-07-11,36.67,37.13,36.60,37.13,2782600,36.98
2014-07-10,36.19,37.01,36.03,36.64,3200900,36.49
2014-07-09,37.02,37.13,36.39,36.49,2929000,36.34
2014-07-08,37.06,37.21,36.46,36.73,4717200,36.58
2014-07-07,37.80,37.83,37.02,37.22,4283100,36.90
2014-07-03,37.17,37.91,37.05,37.83,3325200,37.51
