Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,75.09,75.71,74.14,75.36,3597600,75.36
2014-12-01,77.63,77.99,75.21,75.88,3346500,75.88
2014-11-28,77.85,78.34,77.01,77.81,1225800,77.81
2014-11-26,75.98,78.00,75.67,77.85,3002400,77.85
2014-11-25,77.19,77.80,76.00,76.15,8095500,76.15
2014-11-24,74.87,76.70,74.57,76.18,3983100,76.18
2014-11-21,75.47,75.84,73.81,74.85,3015500,74.85
2014-11-20,72.71,74.92,71.80,74.14,2362100,74.14
2014-11-19,74.38,75.07,72.88,73.00,2785600,73.00
2014-11-18,73.87,75.32,73.82,74.55,3158700,74.55
2014-11-17,73.81,74.95,73.79,74.37,3290700,74.37
2014-11-14,72.48,73.85,71.13,73.73,2036900,73.73
2014-11-13,73.50,74.80,72.02,72.58,2252100,72.58
2014-11-12,73.43,73.74,72.22,73.40,2141100,73.40
2014-11-11,73.83,74.67,73.13,73.84,2388300,73.84
2014-11-10,73.92,74.74,73.70,74.39,2221000,74.39
2014-11-07,73.51,74.20,71.79,73.54,3643300,73.54
2014-11-06,73.15,74.94,73.15,73.47,4718000,73.47
2014-11-05,70.50,73.59,70.50,73.36,8166200,73.36
2014-11-04,68.58,69.81,68.24,69.67,3271500,69.67
2014-11-03,68.43,69.94,68.32,69.25,3818500,69.25
2014-10-31,67.80,69.60,67.20,68.66,5256600,68.66
2014-10-30,66.45,66.88,63.52,65.41,5669700,65.41
2014-10-29,67.29,67.92,65.54,67.05,2767800,67.05
2014-10-28,65.42,67.65,65.42,67.57,3246700,67.57
2014-10-27,65.37,65.95,63.77,65.76,2694200,65.76
2014-10-24,64.51,65.90,64.14,65.53,3888200,65.53
2014-10-23,65.99,66.00,61.65,64.18,10049500,64.18
2014-10-22,65.39,65.87,63.92,64.13,4533400,64.13
2014-10-21,63.34,65.09,62.81,64.64,5714000,64.64
2014-10-20,60.15,61.93,59.70,61.50,2785300,61.50
2014-10-17,63.01,63.97,60.32,60.42,5110000,60.42
2014-10-16,57.19,62.03,57.00,61.06,6535000,61.06
2014-10-15,55.27,59.18,54.92,58.61,6478400,58.61
2014-10-14,55.00,59.43,54.19,56.58,8606400,56.58
2014-10-13,56.71,57.29,53.81,53.90,7030000,53.90
2014-10-10,58.07,58.39,54.71,56.34,18567600,56.34
2014-10-09,65.71,66.16,63.99,64.34,3645000,64.34
2014-10-08,65.05,66.44,62.87,66.16,5047600,66.16
2014-10-07,65.28,66.26,64.75,65.20,2633100,65.20
2014-10-06,67.61,68.17,65.86,66.21,2482900,66.21
2014-10-03,66.61,68.34,66.59,67.37,3399500,67.37
2014-10-02,65.97,66.48,63.49,66.31,5741300,66.31
2014-10-01,68.46,68.46,65.69,66.01,5089500,66.01
2014-09-30,70.21,70.28,67.77,68.43,3848200,68.43
2014-09-29,69.89,70.82,69.13,70.28,1883300,70.28
2014-09-26,69.46,71.37,69.46,71.09,1780900,71.09
2014-09-25,72.16,72.19,69.60,69.81,2978200,69.81
2014-09-24,72.26,72.88,71.37,72.21,2368500,72.21
2014-09-23,70.50,72.26,70.01,72.00,2890500,72.00
2014-09-22,72.29,72.55,70.68,70.80,3149000,70.80
2014-09-19,73.82,73.82,71.57,71.99,4107200,71.99
2014-09-18,71.44,73.71,70.82,73.01,5016700,73.01
2014-09-17,71.15,71.24,69.88,70.73,1979800,70.73
2014-09-16,68.40,70.49,68.40,70.26,2222500,70.26
2014-09-15,70.05,70.58,68.42,68.56,2854800,68.56
2014-09-12,71.42,71.50,69.91,69.98,2335100,69.98
2014-09-11,70.15,71.46,70.15,71.34,2211900,71.34
