Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,17.29,17.58,17.00,17.49,235000,17.49
2014-12-01,17.04,17.48,17.04,17.20,394100,17.20
2014-11-28,17.35,17.72,17.09,17.28,148500,17.28
2014-11-26,17.61,17.76,17.47,17.59,210800,17.59
2014-11-25,17.59,17.84,17.39,17.58,331000,17.58
2014-11-24,17.42,17.67,17.18,17.61,387300,17.61
2014-11-21,17.45,17.85,17.18,17.34,1070200,17.34
2014-11-20,17.40,17.64,17.23,17.63,363200,17.63
2014-11-19,17.85,17.85,17.35,17.44,449600,17.44
2014-11-18,17.49,17.86,17.28,17.85,446100,17.85
2014-11-17,17.30,17.53,17.18,17.49,500100,17.49
2014-11-14,17.37,17.75,17.04,17.30,944700,17.30
2014-11-13,17.13,17.84,17.04,17.65,1081100,17.65
2014-11-12,16.58,17.20,16.58,17.07,416300,17.07
2014-11-11,16.59,17.07,16.40,16.98,736200,16.98
2014-11-10,16.17,16.43,15.90,16.28,841700,16.28
2014-11-07,16.00,16.67,15.54,16.21,970400,16.21
2014-11-06,17.10,17.25,16.01,16.46,2630600,16.46
2014-11-05,15.30,15.44,15.11,15.20,284000,15.20
2014-11-04,15.32,15.49,15.05,15.37,426800,15.37
2014-11-03,15.15,15.50,14.80,15.42,530400,15.42
2014-10-31,15.48,15.48,15.03,15.16,397300,15.16
2014-10-30,15.06,15.28,14.93,15.13,330100,15.13
2014-10-29,15.05,15.31,14.85,15.12,340500,15.12
2014-10-28,14.79,15.21,14.68,15.13,512900,15.13
2014-10-27,14.78,14.84,14.50,14.76,234700,14.76
2014-10-24,14.66,14.95,14.51,14.79,367200,14.79
2014-10-23,14.55,14.84,14.39,14.62,500000,14.62
2014-10-22,14.41,14.50,14.23,14.48,299800,14.48
2014-10-21,14.09,14.42,13.99,14.40,238400,14.40
2014-10-20,13.59,14.06,13.55,14.04,318300,14.04
2014-10-17,13.77,13.77,13.51,13.61,313500,13.61
2014-10-16,13.17,13.88,13.17,13.56,279400,13.56
2014-10-15,13.01,13.39,12.79,13.37,295700,13.37
2014-10-14,13.10,13.34,12.96,13.08,231400,13.08
2014-10-13,12.97,13.11,12.80,12.98,266900,12.98
2014-10-10,12.76,13.15,12.76,12.93,243900,12.93
2014-10-09,13.21,13.34,12.85,12.85,281700,12.85
2014-10-08,12.93,13.28,12.93,13.24,303700,13.24
2014-10-07,13.07,13.10,12.89,12.95,213600,12.95
2014-10-06,13.45,13.50,13.18,13.19,168000,13.19
2014-10-03,13.25,13.58,13.18,13.45,159500,13.45
2014-10-02,13.04,13.21,12.71,13.09,416500,13.09
2014-10-01,13.14,13.14,12.80,13.06,297300,13.06
2014-09-30,13.18,13.29,12.97,13.13,562800,13.13
2014-09-29,12.87,13.17,12.72,13.10,87900,13.10
2014-09-26,13.00,13.10,12.93,13.06,261000,13.06
2014-09-25,13.27,13.44,12.91,12.91,232500,12.91
2014-09-24,13.34,13.37,13.00,13.27,131500,13.27
2014-09-23,13.25,13.42,13.25,13.35,295200,13.35
2014-09-22,13.38,13.51,13.23,13.31,335100,13.31
2014-09-19,14.00,14.00,13.35,13.40,368700,13.40
2014-09-18,13.53,14.00,13.39,13.97,332200,13.97
