Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,14.02,14.05,13.98,14.04,105000,14.04
2014-12-01,14.02,14.02,13.98,14.00,75400,14.00
2014-11-28,13.95,13.99,13.93,13.96,32900,13.96
2014-11-26,13.91,13.95,13.91,13.95,34000,13.95
2014-11-25,13.97,13.97,13.90,13.90,66000,13.90
2014-11-24,13.92,13.97,13.88,13.97,87800,13.97
2014-11-21,13.95,13.96,13.91,13.91,56400,13.91
2014-11-20,13.95,13.99,13.89,13.91,58800,13.91
2014-11-19,13.98,13.99,13.93,13.95,62000,13.95
2014-11-18,13.95,14.00,13.92,13.98,96100,13.98
2014-11-17,14.09,14.09,13.94,13.95,63900,13.95
2014-11-14,14.04,14.09,14.02,14.09,29500,14.09
2014-11-13,14.09,14.10,14.02,14.02,60800,14.02
2014-11-12,14.10,14.10,14.02,14.05,68200,14.05
2014-11-11,14.09,14.15,14.03,14.15,62100,14.08
2014-11-10,14.10,14.16,14.02,14.08,111900,14.01
2014-11-07,14.10,14.15,14.07,14.12,33400,14.05
2014-11-06,14.07,14.13,14.05,14.13,43600,14.06
2014-11-05,14.04,14.13,14.01,14.10,53900,14.03
2014-11-04,14.01,14.10,14.00,14.10,60200,14.03
2014-11-03,14.12,14.13,14.00,14.00,101300,13.93
2014-10-31,14.13,14.14,14.05,14.12,67500,14.05
2014-10-30,14.14,14.20,14.10,14.15,69200,14.08
2014-10-29,14.14,14.16,14.08,14.14,62600,14.07
2014-10-28,14.14,14.14,14.08,14.14,42300,14.07
2014-10-27,14.08,14.14,14.07,14.14,47400,14.07
2014-10-24,14.10,14.14,14.08,14.11,18200,14.04
2014-10-23,14.12,14.14,14.07,14.08,61200,14.01
2014-10-22,14.03,14.10,14.03,14.08,28700,14.01
2014-10-21,14.09,14.09,14.03,14.03,78000,13.96
2014-10-20,14.20,14.20,14.04,14.10,74500,14.03
2014-10-17,14.09,14.18,14.07,14.17,94900,14.10
2014-10-16,14.05,14.11,14.01,14.10,70100,14.03
2014-10-15,14.01,14.13,13.98,14.03,130400,13.96
2014-10-14,14.01,14.04,13.98,14.03,59000,13.96
2014-10-13,14.00,14.06,13.97,14.01,42700,13.94
2014-10-10,14.02,14.07,13.99,14.00,39800,13.93
2014-10-09,14.13,14.19,14.10,14.11,84500,13.97
2014-10-08,14.06,14.15,14.06,14.12,101700,13.98
2014-10-07,14.02,14.08,14.01,14.08,58800,13.94
2014-10-06,13.94,14.01,13.94,13.99,69700,13.85
2014-10-03,13.91,13.95,13.91,13.93,58900,13.79
2014-10-02,13.95,13.98,13.85,13.94,70700,13.80
2014-10-01,13.94,13.99,13.92,13.99,75800,13.85
2014-09-30,13.88,13.93,13.87,13.93,45600,13.79
2014-09-29,13.87,13.90,13.85,13.90,40200,13.76
2014-09-26,13.85,13.86,13.81,13.85,39500,13.71
2014-09-25,13.83,13.86,13.78,13.86,44800,13.72
2014-09-24,13.85,13.85,13.77,13.83,62000,13.69
2014-09-23,13.78,13.81,13.72,13.81,128700,13.67
2014-09-22,13.73,13.77,13.68,13.77,41200,13.63
2014-09-19,13.69,13.75,13.68,13.75,73500,13.61
2014-09-18,13.62,13.71,13.62,13.66,85400,13.52
2014-09-17,13.68,13.70,13.64,13.65,110800,13.51
2014-09-16,13.69,13.70,13.65,13.69,68800,13.55
2014-09-15,13.79,13.79,13.69,13.70,39300,13.56
2014-09-12,13.78,13.80,13.74,13.77,38500,13.63
2014-09-11,13.81,13.85,13.80,13.83,22700,13.69
2014-09-10,13.88,13.91,13.85,13.87,49700,13.66
2014-09-09,13.87,13.90,13.87,13.90,65000,13.69
2014-09-08,13.88,13.92,13.85,13.86,30400,13.65
2014-09-05,13.86,13.91,13.85,13.88,77700,13.67
2014-09-04,13.87,13.89,13.82,13.88,40100,13.67
2014-09-03,13.86,13.90,13.85,13.86,44400,13.65
2014-09-02,13.89,13.89,13.83,13.88,31000,13.67
2014-08-29,13.90,13.92,13.85,13.91,104400,13.70
2014-08-28,13.89,13.91,13.85,13.90,65300,13.69
2014-08-27,13.88,13.92,13.83,13.88,75600,13.67
2014-08-26,13.80,13.88,13.77,13.88,41500,13.67
2014-08-25,13.80,13.82,13.76,13.79,66000,13.58
2014-08-22,13.84,13.84,13.77,13.79,54100,13.58
2014-08-21,13.86,13.87,13.80,13.80,64300,13.59
2014-08-20,13.85,13.86,13.80,13.84,79700,13.63
2014-08-19,13.87,13.88,13.81,13.83,58100,13.62
2014-08-18,13.80,13.85,13.78,13.85,51000,13.64
2014-08-15,13.85,13.86,13.81,13.85,39900,13.64
2014-08-14,13.80,13.83,13.78,13.78,41900,13.57
2014-08-13,13.80,13.80,13.75,13.76,41300,13.55
2014-08-12,13.86,13.86,13.80,13.83,35000,13.55
2014-08-11,13.82,13.86,13.78,13.86,23200,13.58
2014-08-08,13.74,13.81,13.74,13.81,53600,13.53
2014-08-07,13.66,13.76,13.63,13.76,31300,13.48
2014-08-06,13.68,13.68,13.59,13.66,29900,13.38
2014-08-05,13.65,13.65,13.58,13.62,44600,13.34
2014-08-04,13.72,13.72,13.65,13.65,28200,13.37
2014-08-01,13.74,13.75,13.68,13.73,45100,13.45
2014-07-31,13.68,13.72,13.58,13.68,48600,13.40
2014-07-30,13.76,13.83,13.72,13.72,65600,13.44
2014-07-29,13.90,13.90,13.81,13.85,60300,13.57
2014-07-28,13.85,13.85,13.78,13.84,42200,13.56
2014-07-25,13.82,13.85,13.78,13.83,67900,13.55
2014-07-24,13.77,13.83,13.73,13.77,53100,13.49
2014-07-23,13.83,13.83,13.79,13.79,52400,13.51
2014-07-22,13.78,13.83,13.72,13.83,56900,13.55
2014-07-21,13.79,13.80,13.74,13.77,50400,13.49
2014-07-18,13.71,13.74,13.67,13.73,91100,13.45
2014-07-17,13.63,13.73,13.63,13.68,102100,13.40
2014-07-16,13.59,13.62,13.57,13.62,36100,13.34
2014-07-15,13.62,13.62,13.57,13.57,44200,13.29
2014-07-14,13.67,13.69,13.60,13.60,47100,13.32
2014-07-11,13.61,13.67,13.59,13.67,66600,13.39
2014-07-10,13.71,13.72,13.62,13.65,61800,13.30
2014-07-09,13.66,13.68,13.58,13.67,106600,13.32
2014-07-08,13.64,13.68,13.60,13.66,124500,13.31
2014-07-07,13.49,13.59,13.49,13.55,105000,13.20
2014-07-03,13.63,13.65,13.44,13.44,89800,13.10
2014-07-02,13.83,13.83,13.65,13.65,106600,13.30
2014-07-01,13.93,13.93,13.82,13.87,73600,13.51
2014-06-30,13.97,13.98,13.90,13.90,97500,13.54
2014-06-27,13.95,13.98,13.91,13.97,99700,13.61
2014-06-26,13.93,13.97,13.92,13.97,51400,13.61
2014-06-25,13.93,13.95,13.90,13.95,47800,13.59
2014-06-24,13.86,13.90,13.82,13.90,48600,13.54
2014-06-23,13.83,13.86,13.81,13.83,37900,13.48
2014-06-20,13.83,13.83,13.78,13.79,45700,13.44
2014-06-19,13.81,13.85,13.76,13.80,56900,13.45
2014-06-18,13.72,13.81,13.71,13.81,69300,13.46
2014-06-17,13.82,13.83,13.74,13.79,43400,13.44
2014-06-16,13.92,13.92,13.82,13.82,62500,13.47
2014-06-13,13.96,13.96,13.85,13.89,94900,13.53
2014-06-12,13.96,13.98,13.93,13.93,81100,13.57
2014-06-11,13.96,13.96,13.91,13.96,35300,13.60
2014-06-10,13.99,14.02,13.97,14.01,32600,13.58
2014-06-09,13.95,14.02,13.95,13.99,50100,13.56
2014-06-06,13.97,14.03,13.96,14.00,56900,13.57
2014-06-05,13.85,13.97,13.85,13.97,43500,13.54
2014-06-04,14.09,14.09,13.88,13.88,85500,13.46
2014-06-03,14.13,14.13,14.02,14.10,71300,13.67
2014-06-02,14.20,14.21,14.09,14.13,68800,13.70
2014-05-30,14.25,14.25,14.15,14.16,52200,13.73
2014-05-29,14.22,14.26,14.19,14.26,77700,13.83
2014-05-28,14.19,14.21,14.17,14.21,44100,13.78
2014-05-27,14.19,14.19,14.14,14.19,40700,13.76
2014-05-23,14.18,14.18,14.10,14.18,38800,13.75
2014-05-22,14.14,14.18,14.10,14.18,81400,13.75
2014-05-21,14.17,14.17,14.08,14.14,75900,13.71
2014-05-20,14.08,14.17,14.08,14.17,60000,13.74
2014-05-19,14.14,14.16,14.08,14.10,93800,13.67
2014-05-16,14.14,14.16,14.08,14.11,126300,13.68
2014-05-15,14.10,14.14,14.05,14.09,123100,13.66
2014-05-14,14.05,14.07,13.99,14.07,84100,13.64
2014-05-13,13.99,14.02,13.96,14.02,97300,13.59
2014-05-12,14.04,14.05,13.99,14.05,62900,13.55
2014-05-09,14.04,14.04,13.95,14.00,54600,13.51
2014-05-08,14.00,14.01,13.95,14.01,59300,13.52
2014-05-07,13.92,13.96,13.91,13.96,26600,13.47
