Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,10.42,10.59,10.25,10.34,424600,10.34
2014-12-01,10.68,10.89,10.45,10.46,422700,10.46
2014-11-28,11.40,11.40,10.95,10.95,256500,10.95
2014-11-26,11.64,11.80,11.49,11.49,161400,11.49
2014-11-25,11.90,11.90,11.62,11.66,109900,11.66
2014-11-24,12.06,12.13,11.81,11.91,148500,11.86
2014-11-21,12.02,12.15,11.99,12.08,147000,12.03
2014-11-20,11.98,12.16,11.95,11.99,125300,11.94
2014-11-19,11.98,12.07,11.94,11.98,101000,11.93
2014-11-18,12.45,12.51,12.02,12.02,106800,11.97
2014-11-17,12.50,12.62,12.34,12.47,196300,12.42
2014-11-14,12.29,12.47,12.29,12.46,101200,12.41
2014-11-13,12.23,12.33,11.97,12.33,190300,12.28
2014-11-12,12.05,12.38,12.01,12.24,119300,12.19
2014-11-11,12.03,12.24,11.96,12.17,102700,12.12
2014-11-10,12.15,12.29,11.81,12.06,154000,12.01
2014-11-07,12.33,12.44,12.11,12.15,123400,12.10
2014-11-06,12.20,12.28,12.00,12.25,111200,12.20
2014-11-05,11.86,12.25,11.82,12.23,129500,12.18
2014-11-04,11.54,11.85,11.12,11.79,364000,11.74
2014-11-03,11.93,12.08,11.63,11.63,165500,11.59
2014-10-31,11.98,12.12,11.81,11.96,137000,11.91
2014-10-30,12.17,12.17,11.84,12.00,175300,11.95
2014-10-29,12.37,12.45,12.16,12.16,124200,12.11
2014-10-28,11.92,12.35,11.87,12.27,127100,12.17
2014-10-27,12.29,12.33,11.92,12.00,99600,11.90
2014-10-24,12.42,12.47,12.22,12.30,112600,12.20
2014-10-23,12.43,12.66,12.36,12.45,117300,12.35
2014-10-22,12.78,12.78,12.30,12.34,182900,12.24
2014-10-21,12.73,13.02,12.45,12.79,229500,12.68
2014-10-20,12.50,12.73,12.40,12.65,106900,12.54
2014-10-17,12.64,12.95,12.26,12.40,128200,12.30
2014-10-16,12.00,12.80,11.84,12.57,225600,12.46
2014-10-15,11.56,12.18,11.50,12.05,217800,11.95
2014-10-14,11.80,12.19,11.24,11.74,520600,11.64
2014-10-13,12.12,12.29,11.75,11.81,199000,11.71
2014-10-10,12.60,12.65,12.00,12.12,414600,12.02
2014-10-09,12.90,12.94,12.61,12.61,156600,12.50
2014-10-08,13.00,13.12,12.50,12.95,278600,12.84
2014-10-07,13.16,13.25,13.00,13.00,120200,12.89
2014-10-06,13.10,13.29,12.96,13.28,171000,13.17
2014-10-03,13.27,13.28,13.00,13.07,119700,12.96
2014-10-02,13.37,13.47,13.01,13.14,269600,13.03
2014-10-01,13.55,13.73,13.43,13.48,135800,13.37
2014-09-30,13.87,13.87,13.52,13.58,93100,13.47
2014-09-29,13.83,13.87,13.77,13.79,85000,13.67
2014-09-26,13.74,13.85,13.67,13.84,50500,13.72
2014-09-25,14.01,14.01,13.75,13.76,129600,13.55
2014-09-24,13.95,13.97,13.81,13.97,87100,13.76
2014-09-23,13.99,14.10,13.92,13.93,102500,13.72
2014-09-22,14.00,14.10,13.95,14.06,110600,13.85
2014-09-19,14.14,14.14,14.00,14.01,78700,13.80
2014-09-18,14.04,14.28,14.01,14.05,65600,13.84
2014-09-17,14.13,14.18,14.03,14.03,47500,13.82
2014-09-16,14.05,14.30,14.04,14.15,123800,13.93
2014-09-15,13.80,14.04,13.80,14.04,101300,13.83
2014-09-12,13.91,13.91,13.75,13.76,88000,13.55
2014-09-11,14.02,14.02,13.85,13.89,82600,13.68
2014-09-10,14.04,14.05,13.85,14.05,102800,13.84
2014-09-09,13.91,14.00,13.87,13.98,72800,13.77
2014-09-08,14.15,14.15,13.86,13.91,88200,13.70
2014-09-05,14.00,14.12,13.98,14.12,103300,13.90
2014-09-04,13.88,13.99,13.88,13.92,84100,13.71
2014-09-03,14.01,14.06,13.95,13.95,100900,13.74
2014-09-02,14.34,14.37,13.99,13.99,190200,13.78
2014-08-29,14.30,14.39,14.22,14.37,105400,14.15
2014-08-28,14.06,14.29,13.96,14.25,101300,14.03
2014-08-27,13.96,14.05,13.85,14.04,134800,13.83
2014-08-26,14.08,14.14,13.97,13.99,122300,13.67
2014-08-25,13.95,14.10,13.93,14.10,164700,13.78
2014-08-22,14.05,14.05,13.86,13.93,113300,13.61
2014-08-21,13.95,14.02,13.90,14.00,174900,13.68
2014-08-20,14.20,14.20,13.91,14.00,268200,13.68
2014-08-19,14.33,14.33,14.00,14.08,148100,13.76
2014-08-18,14.35,14.35,14.12,14.26,122800,13.93
2014-08-15,14.33,14.35,14.17,14.34,187300,14.01
2014-08-14,14.34,14.38,14.07,14.23,134300,13.90
2014-08-13,14.18,14.31,14.14,14.19,103000,13.86
2014-08-12,14.14,14.28,14.00,14.18,67100,13.85
2014-08-11,14.18,14.35,14.05,14.22,148000,13.89
2014-08-08,13.70,14.07,13.70,14.06,114200,13.74
2014-08-07,13.85,13.85,13.62,13.75,92700,13.43
2014-08-06,13.61,13.85,13.61,13.77,63900,13.45
2014-08-05,13.80,13.82,13.53,13.73,120000,13.42
2014-08-04,13.45,13.78,13.44,13.77,245500,13.45
2014-08-01,13.54,13.67,13.48,13.49,189600,13.18
2014-07-31,13.79,13.89,13.50,13.61,200300,13.30
2014-07-30,14.00,14.05,13.78,13.84,180100,13.52
2014-07-29,14.00,14.08,13.91,13.99,116700,13.67
2014-07-28,14.22,14.22,14.03,14.03,172100,13.59
2014-07-25,14.20,14.23,14.12,14.20,193600,13.76
2014-07-24,14.32,14.32,14.10,14.14,153200,13.70
2014-07-23,14.35,14.35,14.15,14.19,163500,13.75
2014-07-22,14.36,14.47,14.28,14.31,235200,13.86
2014-07-21,14.27,14.42,14.12,14.34,193700,13.89
2014-07-18,14.16,14.36,14.10,14.26,107400,13.81
2014-07-17,14.40,14.43,14.11,14.16,119500,13.72
2014-07-16,14.13,14.38,14.06,14.34,195600,13.89
2014-07-15,14.20,14.20,13.92,14.03,157800,13.59
2014-07-14,14.10,14.20,14.07,14.18,116500,13.74
2014-07-11,14.18,14.18,14.05,14.08,68200,13.64
2014-07-10,14.08,14.20,14.07,14.15,72400,13.71
2014-07-09,14.20,14.25,14.13,14.18,76500,13.74
2014-07-08,14.15,14.20,14.03,14.13,107800,13.69
2014-07-07,14.20,14.40,14.04,14.10,90200,13.66
2014-07-03,14.19,14.29,14.17,14.24,48400,13.80
2014-07-02,14.30,14.42,14.16,14.17,93200,13.73
2014-07-01,14.25,14.42,14.25,14.28,110100,13.83
2014-06-30,14.36,14.43,14.18,14.25,152100,13.81
2014-06-27,14.51,14.51,14.31,14.40,100800,13.95
2014-06-26,14.45,14.54,14.31,14.51,101500,14.06
2014-06-25,14.55,14.63,14.51,14.55,201400,14.00
2014-06-24,14.83,14.83,14.49,14.55,169600,14.00
2014-06-23,14.80,14.95,14.73,14.79,121800,14.23
2014-06-20,15.08,15.08,14.50,14.76,361900,14.20
2014-06-19,15.08,15.17,15.03,15.04,94700,14.47
2014-06-18,15.10,15.15,15.00,15.08,135800,14.51
2014-06-17,15.20,15.21,15.00,15.10,131600,14.53
2014-06-16,15.11,15.33,15.11,15.20,236800,14.63
2014-06-13,14.86,15.11,14.77,15.11,308400,14.54
2014-06-12,14.50,14.76,14.40,14.76,285000,14.20
2014-06-11,14.46,14.46,14.32,14.44,112800,13.90
2014-06-10,14.41,14.46,14.36,14.45,92400,13.91
2014-06-09,14.39,14.40,14.30,14.36,99200,13.82
2014-06-06,14.30,14.39,14.24,14.38,77000,13.84
2014-06-05,14.24,14.32,14.13,14.28,231500,13.74
2014-06-04,14.07,14.20,14.03,14.20,87600,13.67
2014-06-03,13.98,14.08,13.93,14.02,112400,13.49
2014-06-02,14.00,14.00,13.81,13.96,166100,13.43
2014-05-30,14.15,14.23,13.93,13.94,186900,13.41
2014-05-29,14.49,14.50,14.22,14.24,238400,13.70
2014-05-28,14.60,14.60,14.38,14.49,136400,13.94
2014-05-27,14.70,14.74,14.60,14.65,196400,13.98
2014-05-23,14.45,14.67,14.45,14.67,227900,14.00
2014-05-22,14.41,14.50,14.33,14.45,168300,13.79
2014-05-21,14.20,14.41,14.19,14.34,250300,13.69
2014-05-20,14.22,14.47,14.05,14.17,454300,13.52
2014-05-19,13.45,14.37,13.45,14.18,474800,13.53
2014-05-16,13.58,13.58,13.35,13.45,225500,12.84
2014-05-15,13.53,13.60,13.38,13.55,148700,12.93
2014-05-14,13.60,13.63,13.47,13.51,137900,12.89
2014-05-13,13.38,13.60,13.36,13.54,206800,12.92
2014-05-12,13.32,13.39,13.24,13.35,78500,12.74
2014-05-09,13.28,13.35,13.17,13.29,98000,12.68
2014-05-08,13.36,13.47,13.17,13.23,139800,12.63
2014-05-07,13.45,13.50,13.39,13.40,168700,12.79
2014-05-06,13.38,13.46,13.38,13.39,94100,12.78
2014-05-05,13.40,13.43,13.16,13.42,153300,12.81
2014-05-02,13.19,13.39,13.16,13.38,94700,12.77
2014-05-01,13.37,13.37,13.09,13.12,133400,12.52
2014-04-30,13.31,13.41,13.25,13.41,75200,12.80
2014-04-29,13.28,13.40,13.28,13.36,123400,12.75
2014-04-28,13.15,13.30,13.05,13.27,123000,12.67
2014-04-25,13.26,13.26,13.10,13.14,154000,12.46
2014-04-24,13.41,13.41,13.18,13.21,159000,12.53
2014-04-23,13.42,13.47,13.28,13.32,159600,12.63
2014-04-22,13.41,13.44,13.30,13.43,124000,12.73
2014-04-21,13.25,13.42,13.24,13.36,168800,12.67
2014-04-17,13.39,13.46,13.20,13.21,172700,12.53
2014-04-16,13.34,13.39,13.30,13.32,68800,12.63
2014-04-15,13.18,13.36,13.17,13.28,114700,12.59
2014-04-14,13.25,13.35,13.11,13.20,98900,12.52
2014-04-11,13.14,13.19,13.03,13.15,130400,12.47
2014-04-10,13.30,13.30,13.05,13.14,113900,12.46
2014-04-09,13.35,13.39,13.20,13.26,94900,12.57
2014-04-08,13.26,13.39,13.26,13.30,128700,12.61
2014-04-07,13.34,13.34,13.10,13.23,89400,12.54
2014-04-04,13.49,13.50,13.25,13.34,90100,12.65
2014-04-03,13.33,13.54,13.32,13.39,128200,12.70
2014-04-02,13.32,13.39,13.29,13.39,116100,12.70
2014-04-01,13.26,13.29,13.13,13.27,99700,12.58
2014-03-31,13.31,13.32,13.16,13.20,81400,12.52
2014-03-28,13.23,13.35,13.22,13.27,132100,12.58
2014-03-27,13.05,13.24,13.03,13.22,83600,12.54
2014-03-26,13.28,13.35,13.11,13.12,134200,12.34
2014-03-25,13.30,13.30,13.16,13.27,83700,12.48
2014-03-24,13.32,13.33,13.04,13.24,88200,12.45
2014-03-21,13.12,13.31,13.09,13.26,105300,12.47
2014-03-20,13.08,13.20,13.02,13.11,71100,12.33
2014-03-19,13.13,13.22,13.05,13.11,90500,12.33
2014-03-18,12.97,13.17,12.87,13.15,174200,12.37
2014-03-17,12.99,13.05,12.76,12.97,85800,12.20
2014-03-14,12.89,13.04,12.89,13.00,137700,12.22
2014-03-13,12.83,12.88,12.75,12.84,102300,12.07
2014-03-12,12.75,12.84,12.67,12.83,98500,12.06
2014-03-11,12.72,12.89,12.68,12.77,98100,12.01
2014-03-10,12.64,12.73,12.64,12.69,134300,11.93
2014-03-07,12.89,12.99,12.65,12.67,259000,11.91
2014-03-06,13.00,13.12,12.89,12.89,138600,12.12
2014-03-05,13.05,13.11,13.03,13.07,91700,12.29
2014-03-04,13.22,13.22,13.06,13.07,74900,12.29
2014-03-03,13.23,13.29,13.09,13.19,74400,12.40
2014-02-28,13.14,13.35,13.10,13.24,78500,12.45
2014-02-27,13.14,13.16,13.07,13.15,96000,12.37
2014-02-26,13.08,13.11,12.95,13.10,86800,12.32
2014-02-25,13.18,13.20,13.08,13.14,98700,12.27
2014-02-24,13.39,13.39,13.17,13.21,92800,12.33
2014-02-21,13.42,13.44,13.28,13.32,124100,12.44
2014-02-20,13.37,13.50,13.35,13.41,83800,12.52
2014-02-19,13.09,13.48,13.05,13.39,182500,12.50
2014-02-18,12.67,13.10,12.63,13.05,182400,12.19
2014-02-14,12.62,12.74,12.56,12.65,91000,11.81
2014-02-13,12.30,12.67,12.30,12.56,97500,11.73
2014-02-12,12.33,12.42,12.32,12.40,106400,11.58
2014-02-11,12.37,12.50,12.31,12.31,147600,11.49
2014-02-10,12.60,12.61,12.30,12.38,72000,11.56
2014-02-07,12.35,12.77,12.34,12.64,161100,11.80
2014-02-06,12.26,12.44,12.26,12.34,61900,11.52
2014-02-05,12.32,12.35,12.17,12.27,64900,11.46
2014-02-04,12.36,12.43,12.25,12.33,170700,11.51
2014-02-03,12.63,12.65,12.09,12.28,214500,11.47
2014-01-31,12.65,12.77,12.55,12.68,91500,11.84
2014-01-30,12.77,12.81,12.63,12.76,80100,11.91
2014-01-29,12.94,12.94,12.61,12.73,101000,11.89
2014-01-28,12.72,13.10,12.65,13.00,156500,12.09
2014-01-27,13.23,13.23,12.66,12.72,146700,11.83
2014-01-24,13.14,13.16,12.98,13.04,84100,12.13
2014-01-23,13.16,13.25,13.08,13.14,119100,12.22
2014-01-22,13.00,13.23,12.98,13.21,99300,12.29
2014-01-21,13.06,13.24,12.95,12.96,104900,12.05
2014-01-17,13.09,13.10,12.98,13.04,64800,12.13
2014-01-16,13.07,13.19,12.98,13.10,108400,12.18
2014-01-15,13.00,13.07,12.80,13.02,139400,12.11
2014-01-14,12.74,13.00,12.73,12.96,98400,12.05
2014-01-13,12.88,12.90,12.55,12.73,180800,11.84
2014-01-10,13.04,13.19,12.87,12.90,128200,12.00
2014-01-09,13.10,13.12,12.97,13.05,119400,12.14
2014-01-08,13.25,13.26,13.06,13.10,91600,12.18
2014-01-07,13.29,13.37,13.19,13.28,81700,12.35
2014-01-06,13.04,13.34,13.00,13.26,155500,12.33
2014-01-03,12.98,13.19,12.90,13.11,102500,12.19
2014-01-02,12.87,13.00,12.56,12.95,157700,12.04
2013-12-31,13.02,13.05,12.78,12.86,514500,11.96
2013-12-30,13.09,13.17,12.98,13.02,225000,12.11
2013-12-27,13.20,13.33,13.08,13.20,144800,12.28
2013-12-26,13.08,13.35,13.08,13.32,162200,12.33
2013-12-24,13.06,13.35,13.05,13.21,165200,12.22
2013-12-23,13.50,13.50,13.01,13.11,314800,12.13
2013-12-20,13.27,13.45,13.27,13.28,146100,12.29
2013-12-19,13.32,13.43,13.29,13.29,92400,12.30
2013-12-18,13.30,13.50,13.27,13.37,125600,12.37
2013-12-17,13.55,13.55,13.30,13.33,143300,12.34
2013-12-16,13.78,13.78,13.50,13.55,146900,12.54
2013-12-13,13.83,13.95,13.73,13.81,127000,12.78
2013-12-12,13.45,13.80,13.40,13.72,131600,12.70
2013-12-11,13.55,13.60,13.40,13.44,160900,12.44
2013-12-10,13.56,13.84,13.55,13.55,115100,12.54
2013-12-09,13.60,13.65,13.50,13.58,86600,12.57
2013-12-06,13.88,13.95,13.60,13.64,145400,12.62
2013-12-05,13.89,14.00,13.68,13.84,85000,12.81
2013-12-04,13.77,14.04,13.64,13.95,200400,12.91
2013-12-03,13.47,13.75,13.47,13.71,123100,12.69
2013-12-02,13.86,13.89,13.46,13.49,224400,12.48
