Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,3.07,3.22,3.00,3.06,7090700,3.06
2014-12-01,3.23,3.28,3.05,3.10,6140200,3.10
2014-11-28,3.57,3.60,3.27,3.36,5749000,3.36
2014-11-26,4.02,4.03,3.83,3.83,3105200,3.83
2014-11-25,3.93,4.05,3.87,3.95,8586200,3.95
2014-11-24,4.05,4.07,3.85,3.93,3616100,3.93
2014-11-21,3.94,4.07,3.94,4.05,3724400,4.05
2014-11-20,3.74,3.94,3.74,3.87,3219000,3.87
2014-11-19,3.83,3.85,3.72,3.75,2361000,3.72
2014-11-18,3.81,3.85,3.74,3.80,2356600,3.76
2014-11-17,3.77,3.85,3.71,3.80,2443600,3.76
2014-11-14,3.76,3.82,3.68,3.79,2449300,3.75
2014-11-13,3.90,3.93,3.69,3.75,3710700,3.72
2014-11-12,3.84,3.97,3.80,3.93,2204000,3.89
2014-11-11,3.80,3.92,3.72,3.87,2199300,3.83
2014-11-10,3.99,4.09,3.79,3.82,3354800,3.78
2014-11-07,3.84,4.00,3.78,3.95,3031000,3.91
2014-11-06,3.82,3.87,3.75,3.80,1884500,3.76
2014-11-05,3.76,3.88,3.66,3.82,2724100,3.78
2014-11-04,3.83,3.84,3.66,3.70,4538300,3.67
2014-11-03,4.05,4.07,3.85,3.88,3267200,3.84
2014-10-31,4.06,4.12,3.93,4.03,3788000,3.99
2014-10-30,4.06,4.07,3.90,3.92,2439400,3.88
2014-10-29,4.08,4.17,3.97,4.05,2358300,4.01
2014-10-28,4.05,4.14,4.01,4.02,1716700,3.98
2014-10-27,4.03,4.10,3.86,3.94,2389600,3.90
2014-10-24,4.12,4.13,4.02,4.09,2751800,4.05
2014-10-23,4.14,4.21,4.10,4.12,2235300,4.08
2014-10-22,4.38,4.44,4.07,4.07,3232400,4.03
2014-10-21,4.27,4.41,4.22,4.41,2915200,4.37
2014-10-20,4.15,4.21,4.03,4.18,2365100,4.14
2014-10-17,4.26,4.41,4.15,4.15,4707500,4.08
2014-10-16,3.80,4.17,3.79,4.12,3620400,4.05
2014-10-15,3.86,3.99,3.74,3.88,5418200,3.81
2014-10-14,4.16,4.18,3.91,3.92,3886400,3.85
2014-10-13,4.21,4.31,4.05,4.09,2008800,4.02
2014-10-10,4.33,4.41,4.13,4.22,4352000,4.15
2014-10-09,4.55,4.56,4.36,4.37,2362700,4.29
2014-10-08,4.61,4.61,4.38,4.54,3315700,4.46
2014-10-07,4.79,4.84,4.62,4.64,1742900,4.56
2014-10-06,4.87,4.94,4.75,4.81,1948900,4.72
2014-10-03,4.94,4.95,4.76,4.84,2194200,4.75
2014-10-02,4.95,5.00,4.73,4.97,5163000,4.88
2014-10-01,5.22,5.23,4.96,4.99,2763500,4.90
2014-09-30,5.30,5.34,5.15,5.20,3639600,5.11
2014-09-29,5.30,5.35,5.26,5.32,1038400,5.23
2014-09-26,5.31,5.37,5.25,5.35,1293600,5.26
2014-09-25,5.46,5.47,5.30,5.30,1558000,5.21
2014-09-24,5.43,5.56,5.35,5.48,1619500,5.38
2014-09-23,5.35,5.47,5.34,5.44,1350000,5.34
2014-09-22,5.47,5.51,5.27,5.35,2659500,5.26
2014-09-19,5.64,5.64,5.48,5.53,1887300,5.43
2014-09-18,5.69,5.70,5.60,5.64,1688300,5.54
2014-09-17,5.80,5.80,5.68,5.70,1700300,5.56
2014-09-16,5.80,5.84,5.77,5.80,1413900,5.66
2014-09-15,5.78,5.84,5.70,5.80,1159100,5.66
2014-09-12,5.88,5.88,5.76,5.78,1318500,5.64
2014-09-11,5.81,5.89,5.76,5.89,1222200,5.75
2014-09-10,5.88,5.88,5.83,5.87,1319100,5.73
2014-09-09,5.92,5.96,5.84,5.90,1477200,5.76
2014-09-08,6.04,6.04,5.90,5.93,2151200,5.79
2014-09-05,6.03,6.07,6.00,6.05,1026400,5.91
2014-09-04,6.17,6.19,6.00,6.02,1861000,5.88
2014-09-03,6.32,6.33,6.13,6.15,1549300,6.00
2014-09-02,6.36,6.38,6.24,6.26,1278100,6.11
2014-08-29,6.29,6.41,6.29,6.39,1301900,6.24
2014-08-28,6.21,6.32,6.21,6.29,974400,6.14
2014-08-27,6.23,6.28,6.18,6.25,1170700,6.10
2014-08-26,6.18,6.21,6.16,6.19,982200,6.04
2014-08-25,6.10,6.17,6.08,6.14,949500,5.99
2014-08-22,6.15,6.15,6.07,6.10,812700,5.95
2014-08-21,6.13,6.17,6.07,6.15,1034300,6.00
2014-08-20,6.18,6.18,6.10,6.15,983100,6.00
2014-08-19,6.16,6.23,6.15,6.22,990000,6.04
2014-08-18,6.15,6.21,6.14,6.17,1271600,5.99
2014-08-15,6.04,6.15,6.04,6.15,1163600,5.97
2014-08-14,6.15,6.16,6.03,6.03,1291300,5.85
2014-08-13,6.15,6.21,6.12,6.14,840600,5.96
2014-08-12,6.15,6.17,6.12,6.16,976700,5.98
2014-08-11,6.22,6.24,6.10,6.16,1326200,5.98
2014-08-08,6.22,6.22,5.98,6.21,2029100,6.03
2014-08-07,6.29,6.29,6.13,6.23,1403500,6.04
2014-08-06,6.19,6.29,6.19,6.27,1218600,6.08
2014-08-05,6.42,6.47,6.17,6.21,1877100,6.03
2014-08-04,6.34,6.51,6.32,6.48,1003100,6.29
2014-08-01,6.35,6.39,6.21,6.35,1725500,6.16
2014-07-31,6.46,6.49,6.32,6.40,1716900,6.21
2014-07-30,6.55,6.60,6.42,6.49,1846400,6.30
2014-07-29,6.61,6.62,6.56,6.56,832000,6.37
2014-07-28,6.69,6.73,6.59,6.61,1003900,6.41
2014-07-25,6.75,6.76,6.67,6.69,839500,6.49
2014-07-24,6.82,6.85,6.75,6.75,700400,6.55
2014-07-23,6.75,6.83,6.73,6.83,724200,6.63
2014-07-22,6.64,6.79,6.63,6.74,1084900,6.54
2014-07-21,6.64,6.66,6.60,6.62,703000,6.42
2014-07-18,6.59,6.70,6.58,6.66,866700,6.46
2014-07-17,6.73,6.74,6.61,6.63,1243800,6.40
2014-07-16,6.67,6.79,6.65,6.70,1559500,6.46
2014-07-15,6.71,6.74,6.57,6.62,1585600,6.39
2014-07-14,6.72,6.79,6.67,6.71,997100,6.47
2014-07-11,6.82,6.83,6.71,6.71,1504000,6.47
2014-07-10,6.85,6.88,6.77,6.82,1455900,6.58
2014-07-09,6.84,6.91,6.81,6.89,1036400,6.65
2014-07-08,6.91,6.92,6.78,6.85,1193700,6.61
2014-07-07,7.08,7.11,6.88,6.93,1481400,6.69
2014-07-03,7.21,7.21,7.14,7.14,493400,6.89
2014-07-02,7.14,7.22,7.12,7.18,926800,6.93
2014-07-01,7.18,7.20,7.10,7.11,589600,6.86
2014-06-30,7.15,7.21,7.13,7.18,1642900,6.93
2014-06-27,7.10,7.16,7.07,7.16,1295300,6.91
2014-06-26,7.00,7.12,6.94,7.12,1127800,6.87
2014-06-25,6.98,7.14,6.91,6.96,2561100,6.72
2014-06-24,7.06,7.11,6.79,6.79,1723800,6.55
2014-06-23,7.06,7.11,7.02,7.06,655600,6.81
2014-06-20,7.03,7.10,7.01,7.06,867800,6.81
2014-06-19,7.13,7.15,7.00,7.03,1580400,6.78
2014-06-18,6.95,7.17,6.93,7.15,2477900,6.86
2014-06-17,6.92,6.97,6.89,6.91,1423100,6.63
2014-06-16,6.88,6.98,6.87,6.93,1525900,6.65
2014-06-13,6.89,6.95,6.84,6.93,945900,6.65
2014-06-12,6.69,6.90,6.65,6.90,1843300,6.62
2014-06-11,6.61,6.70,6.61,6.68,756900,6.41
2014-06-10,6.59,6.65,6.58,6.64,633400,6.37
2014-06-09,6.58,6.62,6.56,6.61,633500,6.34
2014-06-06,6.56,6.59,6.51,6.57,698400,6.31
2014-06-05,6.51,6.58,6.47,6.56,926800,6.30
2014-06-04,6.37,6.56,6.37,6.51,1553600,6.25
2014-06-03,6.36,6.39,6.33,6.38,1307600,6.12
2014-06-02,6.30,6.37,6.29,6.36,873700,6.10
2014-05-30,6.35,6.42,6.32,6.33,1331600,6.08
2014-05-29,6.38,6.42,6.33,6.35,868100,6.10
2014-05-28,6.32,6.40,6.28,6.38,912400,6.12
2014-05-27,6.35,6.37,6.28,6.34,930700,6.09
2014-05-23,6.33,6.41,6.31,6.37,775100,6.11
2014-05-22,6.38,6.39,6.33,6.33,647100,6.08
2014-05-21,6.33,6.39,6.31,6.39,567200,6.13
2014-05-20,6.39,6.41,6.32,6.34,1120900,6.05
2014-05-19,6.33,6.43,6.30,6.40,648700,6.11
2014-05-16,6.41,6.41,6.31,6.34,847600,6.05
2014-05-15,6.47,6.49,6.30,6.40,1549600,6.11
2014-05-14,6.48,6.51,6.46,6.47,1015500,6.17
2014-05-13,6.62,6.68,6.46,6.48,2584900,6.18
2014-05-12,6.55,6.75,6.55,6.66,1300700,6.36
2014-05-09,6.59,6.60,6.45,6.57,1259200,6.27
2014-05-08,6.70,6.72,6.59,6.59,1755200,6.29
2014-05-07,6.68,6.80,6.64,6.69,1916200,6.38
2014-05-06,6.68,6.79,6.65,6.65,1298100,6.35
2014-05-05,6.58,6.70,6.53,6.66,959700,6.36
2014-05-02,6.49,6.59,6.48,6.58,624600,6.28
2014-05-01,6.47,6.55,6.43,6.51,696500,6.21
2014-04-30,6.52,6.53,6.44,6.50,1081500,6.20
2014-04-29,6.34,6.60,6.33,6.55,1856100,6.25
2014-04-28,6.31,6.33,6.28,6.31,621500,6.02
2014-04-25,6.31,6.33,6.24,6.29,855700,6.00
2014-04-24,6.30,6.35,6.29,6.32,904300,6.03
2014-04-23,6.27,6.34,6.26,6.26,647200,5.97
2014-04-22,6.23,6.31,6.19,6.28,1051000,5.99
2014-04-21,6.37,6.39,6.23,6.27,972700,5.98
2014-04-17,6.33,6.42,6.32,6.40,1147100,6.07
2014-04-16,6.29,6.33,6.26,6.32,682700,6.00
2014-04-15,6.22,6.32,6.20,6.26,930700,5.94
2014-04-14,6.19,6.30,6.17,6.25,1080000,5.93
2014-04-11,6.22,6.25,6.17,6.19,824500,5.87
2014-04-10,6.27,6.40,6.21,6.23,965700,5.91
2014-04-09,6.27,6.37,6.21,6.29,1064300,5.97
2014-04-08,6.23,6.29,6.17,6.25,898600,5.93
2014-04-07,6.22,6.29,6.16,6.18,776600,5.86
2014-04-04,6.26,6.33,6.23,6.24,894500,5.92
2014-04-03,6.20,6.28,6.18,6.23,853300,5.91
2014-04-02,6.10,6.20,6.08,6.17,869700,5.85
2014-04-01,6.07,6.14,6.06,6.10,628000,5.79
2014-03-31,6.14,6.17,6.04,6.08,855300,5.77
2014-03-28,6.10,6.18,6.10,6.14,858300,5.83
2014-03-27,5.97,6.07,5.96,6.07,1285200,5.76
2014-03-26,6.02,6.08,5.96,5.98,1551500,5.67
2014-03-25,6.01,6.05,6.00,6.04,1347000,5.73
2014-03-24,6.00,6.07,5.95,5.97,1444200,5.67
2014-03-21,6.04,6.11,6.03,6.04,917600,5.73
2014-03-20,6.04,6.05,5.97,6.01,1341400,5.70
2014-03-19,6.09,6.13,6.03,6.09,1204400,5.74
2014-03-18,6.02,6.13,6.01,6.09,1051700,5.74
2014-03-17,6.12,6.14,6.01,6.04,1450700,5.70
2014-03-14,5.99,6.12,5.97,6.11,1148000,5.76
2014-03-13,6.08,6.12,5.99,6.02,1364900,5.68
2014-03-12,6.10,6.11,5.97,6.05,2258800,5.71
2014-03-11,6.32,6.33,6.12,6.15,1917100,5.80
