Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,40.57,41.91,40.38,40.99,205700,40.99
2014-12-01,42.60,42.60,40.08,40.26,72200,40.26
2014-11-28,43.37,43.65,42.44,42.55,23100,42.55
2014-11-26,43.55,43.67,43.04,43.49,22400,43.49
2014-11-25,44.44,44.70,43.21,43.75,38300,43.75
2014-11-24,43.87,44.40,43.87,44.23,43500,44.23
2014-11-21,44.56,44.57,43.34,43.68,37500,43.68
2014-11-20,43.32,43.85,43.10,43.75,75100,43.75
2014-11-19,43.44,43.74,42.66,43.34,81900,43.34
2014-11-18,43.21,43.86,43.21,43.70,41600,43.70
2014-11-17,43.40,44.00,42.75,42.91,79900,42.91
2014-11-14,44.28,44.63,40.42,43.75,60400,43.49
2014-11-13,46.27,46.27,44.01,44.18,39700,43.92
2014-11-12,45.58,46.13,44.86,46.00,37900,45.73
2014-11-11,45.83,46.12,45.25,45.66,36600,45.39
2014-11-10,45.57,46.15,45.57,45.94,31400,45.67
2014-11-07,45.59,45.84,44.87,45.64,61600,45.37
2014-11-06,45.50,46.39,45.50,46.14,47000,45.87
2014-11-05,46.56,47.78,45.79,45.96,47900,45.69
2014-11-04,45.38,46.75,44.73,46.13,62300,45.86
2014-11-03,45.68,46.01,44.75,45.60,51300,45.33
2014-10-31,44.89,45.81,43.85,45.53,66000,45.26
2014-10-30,43.78,44.55,43.11,44.01,51600,43.75
2014-10-29,43.98,44.18,42.60,43.87,30300,43.61
2014-10-28,43.61,44.77,43.61,43.98,82900,43.72
2014-10-27,43.00,43.31,42.00,43.22,35400,42.96
2014-10-24,43.87,43.87,42.61,43.30,64400,43.04
2014-10-23,43.47,44.10,42.71,43.69,44700,43.43
2014-10-22,44.61,44.61,42.81,43.03,75900,42.77
2014-10-21,43.49,45.00,42.35,44.35,43100,44.09
2014-10-20,42.64,43.56,42.09,43.46,59300,43.20
2014-10-17,44.58,44.58,42.49,43.03,58500,42.77
2014-10-16,42.72,44.28,42.26,43.96,88300,43.70
2014-10-15,42.30,43.64,41.66,43.37,63500,43.11
2014-10-14,41.34,43.35,41.06,42.71,105500,42.46
2014-10-13,40.66,41.30,40.21,41.08,76800,40.84
2014-10-10,40.32,42.94,40.04,40.47,124700,40.23
2014-10-09,41.15,41.62,39.26,39.77,82900,39.53
2014-10-08,40.61,41.45,40.21,41.31,112000,41.06
2014-10-07,40.00,41.09,39.59,40.77,120500,40.53
2014-10-06,39.75,40.59,39.54,40.34,54600,40.10
2014-10-03,39.50,42.52,38.12,39.69,69600,39.45
2014-10-02,39.75,40.21,38.69,39.40,116500,39.17
2014-10-01,40.70,41.29,39.04,39.59,166500,39.35
2014-09-30,43.11,43.11,40.64,40.86,194300,40.62
2014-09-29,44.69,44.69,42.88,43.35,239100,43.09
2014-09-26,45.50,46.15,41.29,45.54,531600,45.27
2014-09-25,50.50,50.50,49.57,49.72,47200,49.42
2014-09-24,50.97,50.97,50.29,50.73,28000,50.43
2014-09-23,51.77,52.00,50.49,51.00,69400,50.70
2014-09-22,51.25,51.71,50.41,51.41,54000,51.10
2014-09-19,51.89,51.89,51.15,51.41,68900,51.10
