Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,3.58,3.63,3.38,3.50,1508100,3.50
2014-12-01,3.65,3.67,3.47,3.59,1233500,3.59
2014-11-28,3.92,3.95,3.68,3.72,803500,3.72
2014-11-26,4.01,4.13,3.91,4.11,745100,4.11
2014-11-25,4.17,4.22,3.97,4.00,874300,4.00
2014-11-24,4.38,4.42,4.10,4.17,603700,4.17
2014-11-21,4.33,4.43,4.32,4.38,785000,4.38
2014-11-20,4.00,4.27,4.00,4.21,511800,4.21
2014-11-19,4.00,4.08,3.89,4.04,800700,4.04
2014-11-18,4.00,4.04,3.86,3.99,904100,3.99
2014-11-17,4.09,4.09,3.96,4.00,650600,4.00
2014-11-14,3.96,4.13,3.89,4.12,887600,4.12
2014-11-13,4.01,4.01,3.83,3.95,1109500,3.95
2014-11-12,3.96,4.08,3.89,4.01,968100,4.01
2014-11-11,3.91,4.03,3.86,3.96,756300,3.96
2014-11-10,4.03,4.19,3.87,3.90,635400,3.90
2014-11-07,3.93,4.07,3.81,4.01,2136100,4.01
2014-11-06,4.01,4.08,3.83,3.89,1315400,3.89
2014-11-05,3.88,4.08,3.84,4.06,1109700,4.06
2014-11-04,4.06,4.24,3.77,3.86,2797400,3.86
2014-11-03,4.77,4.86,4.41,4.41,950500,4.41
2014-10-31,4.47,4.70,4.28,4.70,882600,4.70
2014-10-30,4.41,4.50,4.24,4.36,366200,4.36
2014-10-29,4.61,4.67,4.38,4.45,509500,4.45
2014-10-28,4.17,4.52,4.11,4.52,772600,4.52
2014-10-27,4.20,4.30,4.05,4.12,486200,4.12
2014-10-24,4.48,4.48,4.21,4.27,491300,4.27
2014-10-23,4.33,4.52,4.21,4.47,1035900,4.47
2014-10-22,4.44,4.55,4.25,4.26,552100,4.26
2014-10-21,4.34,4.44,4.26,4.42,565000,4.42
2014-10-20,4.29,4.39,4.16,4.26,781000,4.26
2014-10-17,4.73,4.80,4.26,4.28,1049800,4.28
2014-10-16,4.28,4.74,4.21,4.57,985100,4.57
2014-10-15,4.05,4.45,4.01,4.44,1535800,4.44
2014-10-14,4.23,4.41,4.06,4.19,1006300,4.19
2014-10-13,4.50,4.59,4.18,4.18,889200,4.18
2014-10-10,4.50,4.65,4.32,4.50,893800,4.50
2014-10-09,4.92,4.95,4.53,4.54,745300,4.54
2014-10-08,4.74,4.98,4.58,4.96,1123300,4.96
2014-10-07,4.93,4.94,4.72,4.75,1484300,4.75
2014-10-06,5.30,5.33,4.93,4.99,1016700,4.99
2014-10-03,5.35,5.46,5.17,5.28,650800,5.28
2014-10-02,5.30,5.32,5.06,5.29,929200,5.29
2014-10-01,5.63,5.66,5.30,5.32,983700,5.32
2014-09-30,5.78,5.88,5.60,5.62,989700,5.62
2014-09-29,5.58,5.81,5.52,5.76,671100,5.76
2014-09-26,5.44,5.71,5.39,5.69,548700,5.69
2014-09-25,5.59,5.62,5.41,5.44,554200,5.44
2014-09-24,5.55,5.62,5.13,5.61,1091700,5.61
2014-09-23,5.50,5.67,5.47,5.52,652400,5.52
2014-09-22,5.71,5.73,5.53,5.53,627500,5.53
2014-09-19,5.81,5.85,5.66,5.74,911100,5.74
2014-09-18,5.94,5.95,5.74,5.83,469400,5.83
2014-09-17,5.97,6.03,5.87,5.94,706200,5.94
2014-09-16,5.85,5.97,5.84,5.96,686200,5.96
2014-09-15,5.86,5.95,5.76,5.89,538100,5.89
2014-09-12,6.00,6.00,5.78,5.83,472600,5.83
2014-09-11,5.88,6.05,5.82,5.99,616000,5.99
2014-09-10,5.95,5.98,5.55,5.97,1586500,5.97
2014-09-09,6.13,6.22,5.94,5.97,868500,5.97
2014-09-08,6.23,6.26,6.05,6.08,697500,6.08
2014-09-05,6.09,6.26,6.08,6.25,460800,6.25
2014-09-04,6.44,6.44,6.09,6.12,605600,6.12
2014-09-03,6.45,6.53,6.28,6.41,449400,6.41
2014-09-02,6.69,6.69,6.41,6.45,408000,6.45
2014-08-29,6.42,6.68,6.39,6.66,601200,6.66
2014-08-28,6.44,6.49,6.38,6.41,573300,6.41
2014-08-27,6.41,6.53,6.33,6.49,385300,6.49
2014-08-26,6.44,6.54,6.35,6.39,468900,6.39
2014-08-25,6.40,6.46,6.22,6.38,1130500,6.38
2014-08-22,6.32,6.49,6.23,6.42,907900,6.42
2014-08-21,6.18,6.36,6.03,6.36,782300,6.36
2014-08-20,6.15,6.17,6.04,6.16,567900,6.16
2014-08-19,5.98,6.27,5.98,6.17,1023800,6.17
2014-08-18,5.92,6.11,5.82,5.98,1032900,5.98
2014-08-15,5.60,5.90,5.55,5.89,1212200,5.89
2014-08-14,5.70,5.70,5.53,5.55,494000,5.55
2014-08-13,5.69,5.72,5.52,5.69,747500,5.69
2014-08-12,5.78,5.81,5.57,5.64,755900,5.64
2014-08-11,5.84,5.96,5.77,5.78,582700,5.78
2014-08-08,5.64,5.81,5.62,5.79,827900,5.79
2014-08-07,6.07,6.07,5.56,5.59,1228800,5.59
2014-08-06,6.01,6.17,5.83,6.07,925700,6.07
2014-08-05,6.07,6.33,5.60,6.11,2211700,6.11
2014-08-04,6.05,6.39,6.02,6.37,799100,6.37
2014-08-01,6.39,6.46,6.02,6.04,1248600,6.04
2014-07-31,6.66,6.71,6.41,6.41,851700,6.41
2014-07-30,6.77,6.91,6.68,6.71,854000,6.71
2014-07-29,6.73,6.81,6.65,6.75,511900,6.75
2014-07-28,6.60,6.76,6.50,6.76,991500,6.76
2014-07-25,6.78,6.86,6.60,6.61,558700,6.61
2014-07-24,7.01,7.05,6.82,6.83,634300,6.83
2014-07-23,6.79,7.04,6.70,7.02,849300,7.02
2014-07-22,6.58,6.76,6.51,6.72,690800,6.72
2014-07-21,6.65,6.65,6.40,6.53,664800,6.53
2014-07-18,6.57,6.71,6.55,6.66,635300,6.66
2014-07-17,6.88,6.96,6.57,6.59,618900,6.59
2014-07-16,6.60,6.91,6.60,6.90,783700,6.90
2014-07-15,6.86,6.86,6.58,6.58,734600,6.58
2014-07-14,6.97,7.02,6.77,6.85,910200,6.85
2014-07-11,7.07,7.11,6.89,6.92,642800,6.92
2014-07-10,7.05,7.17,6.95,7.09,980800,7.09
2014-07-09,7.14,7.24,7.07,7.12,519000,7.12
2014-07-08,7.09,7.16,6.97,7.11,981700,7.11
2014-07-07,7.42,7.42,7.02,7.09,759400,7.09
2014-07-03,7.47,7.60,7.32,7.43,465800,7.43
2014-07-02,7.59,7.75,7.39,7.48,979600,7.48
2014-07-01,7.55,7.76,7.53,7.59,963700,7.59
2014-06-30,7.50,7.82,7.41,7.52,1441900,7.52
2014-06-27,7.12,7.52,7.12,7.50,1186200,7.50
2014-06-26,7.17,7.23,7.00,7.16,593600,7.16
2014-06-25,6.62,7.17,6.62,7.16,1447200,7.16
2014-06-24,7.04,7.10,6.62,6.62,1296900,6.62
2014-06-23,7.15,7.35,7.00,7.04,1316600,7.04
2014-06-20,7.10,7.20,7.05,7.15,1022700,7.15
2014-06-19,7.06,7.08,6.93,7.07,855600,7.07
2014-06-18,6.90,7.03,6.78,7.03,1103000,7.03
2014-06-17,6.66,6.83,6.59,6.69,735300,6.69
2014-06-16,6.70,6.96,6.61,6.64,902500,6.64
2014-06-13,6.43,6.69,6.38,6.69,802600,6.69
2014-06-12,6.29,6.46,6.26,6.39,798800,6.39
2014-06-11,6.16,6.32,6.12,6.26,588000,6.26
2014-06-10,6.12,6.20,6.02,6.16,624300,6.16
2014-06-09,6.08,6.15,5.99,6.05,468700,6.05
2014-06-06,6.07,6.11,5.99,6.08,681700,6.08
2014-06-05,6.00,6.04,5.90,6.03,600300,6.03
2014-06-04,5.97,6.02,5.92,6.02,344900,6.02
2014-06-03,5.96,6.06,5.89,6.02,526100,6.02
2014-06-02,6.12,6.16,5.95,5.97,616700,5.97
2014-05-30,6.15,6.19,6.00,6.12,516700,6.12
2014-05-29,6.20,6.20,6.07,6.13,549400,6.13
2014-05-28,6.00,6.20,5.92,6.19,735900,6.19
2014-05-27,6.11,6.16,5.90,6.00,593300,6.00
2014-05-23,6.05,6.12,6.01,6.07,547300,6.07
2014-05-22,6.16,6.23,6.05,6.06,705600,6.06
2014-05-21,6.02,6.12,5.96,6.12,626100,6.12
2014-05-20,6.01,6.06,5.89,6.02,615400,6.02
2014-05-19,5.89,6.02,5.85,6.01,577000,6.01
2014-05-16,5.87,5.92,5.65,5.89,771900,5.89
2014-05-15,6.13,6.13,5.84,5.86,1095600,5.86
2014-05-14,6.20,6.27,6.08,6.14,698100,6.14
2014-05-13,6.36,6.37,6.19,6.19,794000,6.19
2014-05-12,6.25,6.65,6.21,6.34,1654400,6.34
2014-05-09,6.19,6.30,6.11,6.20,701500,6.20
2014-05-08,6.22,6.44,6.06,6.17,1327300,6.17
2014-05-07,5.92,6.40,5.86,6.22,2013300,6.22
2014-05-06,5.70,5.95,5.55,5.78,1605500,5.78
2014-05-05,5.85,5.93,5.80,5.91,572100,5.91
2014-05-02,5.89,5.97,5.76,5.88,539300,5.88
2014-05-01,5.98,5.98,5.67,5.88,872300,5.88
2014-04-30,5.94,6.05,5.91,6.02,620500,6.02
2014-04-29,5.75,6.07,5.70,5.96,777900,5.96
2014-04-28,5.92,6.04,5.68,5.75,877600,5.75
2014-04-25,5.99,6.01,5.85,5.91,1007800,5.91
2014-04-24,5.65,6.17,5.61,6.05,1340700,6.05
2014-04-23,5.69,5.76,5.57,5.66,607000,5.66
2014-04-22,5.63,5.72,5.55,5.67,553500,5.67
2014-04-21,5.66,5.70,5.54,5.63,313100,5.63
2014-04-17,5.41,5.69,5.41,5.68,685600,5.68
2014-04-16,5.51,5.51,5.35,5.44,861700,5.44
2014-04-15,5.56,5.63,5.43,5.50,626000,5.50
2014-04-14,5.53,5.60,5.40,5.56,407500,5.56
