Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,44.84,45.32,44.76,45.27,110900,45.27
2014-12-01,44.90,45.33,44.82,44.87,96300,44.87
2014-11-28,45.56,45.70,45.07,45.09,51600,45.09
2014-11-26,45.66,45.66,45.10,45.49,167800,45.49
2014-11-25,45.84,45.84,45.52,45.59,146100,45.59
2014-11-24,45.63,45.93,45.43,45.90,182400,45.90
2014-11-21,45.78,45.84,45.28,45.46,166700,45.46
2014-11-20,45.06,45.60,45.06,45.46,101000,45.46
2014-11-19,45.09,45.35,44.81,45.17,92700,45.17
2014-11-18,45.27,45.49,45.13,45.15,160100,45.15
2014-11-17,44.99,45.30,44.83,45.22,184900,45.22
2014-11-14,45.38,45.77,45.08,45.10,130100,45.10
2014-11-13,45.25,45.50,45.00,45.35,127400,45.35
2014-11-12,44.73,45.39,44.73,45.27,167400,45.27
2014-11-11,45.10,45.13,44.85,44.86,117600,44.86
2014-11-10,45.23,45.62,45.01,45.14,252400,45.14
2014-11-07,44.30,45.24,44.05,45.23,232300,45.23
2014-11-06,45.18,45.30,44.28,44.47,417500,44.47
2014-11-05,46.99,47.25,46.70,46.82,142700,46.82
2014-11-04,46.42,47.02,46.41,46.74,146700,46.74
2014-11-03,46.81,47.01,46.48,46.55,142700,46.55
2014-10-31,47.00,47.13,46.75,46.78,256000,46.78
2014-10-30,46.57,46.96,46.54,46.81,100200,46.81
2014-10-29,46.72,46.96,46.45,46.67,142000,46.67
2014-10-28,46.22,46.69,46.12,46.65,129700,46.65
2014-10-27,45.92,46.24,45.83,46.07,205000,46.07
2014-10-24,45.95,46.19,45.91,46.01,177000,46.01
2014-10-23,46.50,46.82,45.89,46.02,200000,46.02
2014-10-22,46.00,46.52,45.80,46.22,320800,46.22
2014-10-21,45.30,45.90,45.11,45.89,220200,45.89
2014-10-20,43.88,45.18,43.66,45.16,464700,45.16
2014-10-17,43.80,44.06,43.74,43.86,462000,43.86
2014-10-16,43.70,44.21,43.70,43.78,333000,43.78
2014-10-15,43.90,44.31,43.43,44.26,271400,44.26
2014-10-14,44.30,44.71,44.00,44.09,183800,44.09
2014-10-13,44.36,44.73,43.95,43.98,224900,43.98
2014-10-10,44.65,44.95,44.24,44.27,181300,44.27
2014-10-09,45.16,45.23,44.65,44.65,255200,44.65
2014-10-08,44.22,45.13,44.15,45.13,207400,45.13
2014-10-07,44.45,44.60,44.14,44.18,180800,44.18
2014-10-06,45.04,45.15,44.54,44.55,146300,44.55
2014-10-03,44.70,45.14,44.65,45.01,191500,45.01
2014-10-02,44.17,44.75,44.08,44.52,286300,44.52
2014-10-01,44.05,44.23,43.91,44.09,205300,44.09
2014-09-30,44.09,44.41,43.91,44.07,159600,44.07
2014-09-29,44.20,44.38,43.85,43.99,330800,43.99
2014-09-26,44.50,44.77,44.28,44.41,292300,44.41
2014-09-25,44.44,44.65,44.39,44.52,190400,44.52
2014-09-24,44.83,44.93,44.49,44.69,205400,44.69
2014-09-23,45.57,45.58,45.08,45.08,179100,44.78
2014-09-22,45.63,45.84,45.50,45.60,227000,45.30
2014-09-19,45.90,45.98,45.47,45.59,580000,45.29
2014-09-18,45.56,45.93,45.51,45.84,183900,45.53
2014-09-17,45.19,45.61,45.05,45.56,165400,45.26
2014-09-16,45.51,45.64,45.18,45.19,130100,44.89
2014-09-15,45.64,45.73,45.39,45.48,153200,45.18
2014-09-12,45.71,45.77,45.56,45.63,121800,45.33
2014-09-11,45.63,45.74,45.38,45.65,174500,45.35
2014-09-10,45.79,45.94,45.60,45.64,162700,45.34
