Date,Open,High,Low,Close,Volume,Adj Close
2014-09-22,1.24,1.26,1.23,1.23,17500,1.23
2014-09-19,1.30,1.31,1.27,1.28,15500,1.28
2014-09-18,1.32,1.32,1.30,1.31,13700,1.31
2014-09-17,1.31,1.35,1.30,1.35,35200,1.35
2014-09-16,1.19,1.28,1.19,1.28,71300,1.28
2014-09-15,1.23,1.25,1.20,1.21,26800,1.21
2014-09-12,1.26,1.29,1.22,1.27,200100,1.27
2014-09-11,1.31,1.32,1.28,1.28,286600,1.28
2014-09-10,1.29,1.34,1.29,1.30,91200,1.30
2014-09-09,1.38,1.38,1.30,1.30,87900,1.30
2014-09-08,1.45,1.45,1.38,1.41,91300,1.41
2014-09-05,1.48,1.48,1.46,1.47,21100,1.47
2014-09-04,1.51,1.51,1.46,1.48,45200,1.48
2014-09-03,1.55,1.56,1.49,1.55,236600,1.55
2014-09-02,1.54,1.55,1.54,1.55,4600,1.55
2014-08-29,1.52,1.55,1.52,1.54,2900,1.54
2014-08-28,1.52,1.56,1.52,1.52,38500,1.52
2014-08-27,1.58,1.59,1.51,1.53,21100,1.53
2014-08-26,1.62,1.63,1.58,1.60,23100,1.60
2014-08-25,1.62,1.62,1.57,1.60,19900,1.60
2014-08-22,1.63,1.63,1.58,1.58,20600,1.58
2014-08-21,1.60,1.67,1.59,1.59,11000,1.59
2014-08-20,1.53,1.59,1.53,1.58,15500,1.58
2014-08-19,1.54,1.60,1.54,1.57,15700,1.57
2014-08-18,1.57,1.59,1.57,1.59,1600,1.59
2014-08-15,1.61,1.61,1.55,1.55,10800,1.55
2014-08-14,1.61,1.63,1.58,1.62,66600,1.62
2014-08-13,1.57,1.60,1.52,1.58,30000,1.58
2014-08-12,1.60,1.60,1.53,1.58,87100,1.58
2014-08-11,1.56,1.62,1.56,1.61,58400,1.61
2014-08-08,1.58,1.61,1.58,1.60,42400,1.60
2014-08-07,1.55,1.60,1.44,1.55,202200,1.55
2014-08-06,1.63,1.63,1.60,1.60,11500,1.60
2014-08-05,1.67,1.67,1.63,1.65,14100,1.65
2014-08-04,1.63,1.73,1.63,1.71,40500,1.71
2014-08-01,1.71,1.71,1.68,1.69,2600,1.69
2014-07-31,1.71,1.77,1.69,1.77,60200,1.77
2014-07-30,1.84,1.84,1.80,1.81,1400,1.81
2014-07-29,1.90,1.90,1.85,1.86,8500,1.86
2014-07-28,1.84,1.92,1.82,1.90,74900,1.90
2014-07-25,1.90,1.95,1.90,1.94,48600,1.94
2014-07-24,1.89,1.92,1.76,1.90,96300,1.90
2014-07-23,1.90,1.92,1.83,1.84,63300,1.84
2014-07-22,1.74,1.77,1.65,1.73,69300,1.73
2014-07-21,1.63,1.65,1.63,1.63,29400,1.63
2014-07-18,1.69,1.70,1.65,1.67,6200,1.67
2014-07-17,1.65,1.66,1.65,1.65,4100,1.65
2014-07-16,1.74,1.75,1.69,1.70,68200,1.70
2014-07-15,1.76,1.76,1.66,1.66,36300,1.66
2014-07-14,1.74,1.80,1.74,1.75,11400,1.75
2014-07-11,1.95,1.95,1.73,1.76,6800,1.76
2014-07-10,1.74,1.84,1.71,1.84,30400,1.84
2014-07-09,1.75,1.85,1.74,1.80,39600,1.80
2014-07-08,1.84,1.84,1.77,1.78,2800,1.78
2014-07-07,1.86,1.92,1.86,1.88,14000,1.88
2014-07-03,1.97,1.98,1.94,1.94,2000,1.94
2014-07-02,1.98,2.02,1.98,2.01,4800,2.01
2014-07-01,1.99,2.03,1.93,2.03,7800,2.03
2014-06-30,1.93,1.93,1.88,1.88,800,1.88
2014-06-27,1.89,1.96,1.88,1.96,3000,1.96
2014-06-26,1.93,1.93,1.93,1.93,700,1.93
2014-06-25,2.01,2.01,2.01,2.01,000,2.01
2014-06-24,1.89,2.01,1.89,2.01,26800,2.01
2014-06-23,1.84,1.90,1.84,1.86,6400,1.86
2014-06-20,1.88,1.90,1.88,1.90,2300,1.90
2014-06-19,1.91,1.94,1.91,1.93,2800,1.93
2014-06-18,1.92,1.94,1.92,1.92,10900,1.92
2014-06-17,1.86,1.90,1.86,1.90,1400,1.90
2014-06-16,1.86,1.92,1.86,1.92,4900,1.92
2014-06-13,1.86,1.97,1.86,1.95,7900,1.95
2014-06-12,1.95,1.96,1.94,1.95,1700,1.95
2014-06-11,1.96,1.96,1.95,1.96,800,1.96
2014-06-10,1.98,2.01,1.84,1.94,8800,1.94
2014-06-09,2.01,2.06,2.01,2.05,17900,2.05
2014-06-06,1.98,2.00,1.97,2.00,16000,2.00
2014-06-05,1.90,2.00,1.90,2.00,16800,2.00
2014-06-04,1.89,1.92,1.89,1.89,6700,1.89
2014-06-03,1.81,1.87,1.81,1.87,3800,1.87
2014-06-02,1.85,1.86,1.81,1.84,9700,1.84
2014-05-30,1.75,2.00,1.73,1.83,34300,1.83
2014-05-29,1.84,1.84,1.71,1.71,15000,1.71
2014-05-28,1.86,1.87,1.83,1.84,6800,1.84
2014-05-27,1.83,1.91,1.83,1.91,7800,1.91
2014-05-23,1.87,1.90,1.87,1.88,3000,1.88
2014-05-22,1.89,1.89,1.85,1.86,22400,1.86
2014-05-21,1.86,1.91,1.86,1.91,7600,1.91
2014-05-20,1.89,1.89,1.86,1.89,22800,1.89
2014-05-19,1.90,1.99,1.85,1.90,26800,1.90
2014-05-16,1.87,1.95,1.81,1.92,37400,1.92
2014-05-15,1.88,1.88,1.80,1.87,39300,1.87
2014-05-14,2.02,2.05,1.98,2.03,30000,2.03
2014-05-13,2.09,2.10,2.06,2.07,16900,2.07
2014-05-12,2.08,2.13,2.08,2.11,7500,2.11
2014-05-09,2.07,2.09,2.05,2.07,25500,2.07
2014-05-08,2.17,2.17,2.07,2.08,24600,2.08
2014-05-07,2.21,2.24,2.18,2.20,59400,2.20
2014-05-06,2.08,2.13,2.08,2.09,64700,2.09
2014-05-05,2.08,2.12,2.07,2.11,5400,2.11
2014-05-02,2.14,2.14,2.07,2.12,3400,2.12
2014-05-01,2.18,2.20,2.16,2.18,2800,2.18
2014-04-30,2.16,2.17,2.12,2.17,3600,2.17
2014-04-29,2.20,2.20,2.20,2.20,2600,2.20
2014-04-28,2.20,2.23,2.17,2.21,4000,2.21
2014-04-25,2.26,2.26,2.22,2.23,4300,2.23
2014-04-24,2.23,2.27,2.22,2.24,10600,2.24
2014-04-23,2.20,2.23,2.20,2.23,3100,2.23
2014-04-22,2.09,2.21,2.09,2.19,11700,2.19
2014-04-21,2.20,2.20,2.18,2.18,900,2.18
2014-04-17,2.20,2.23,2.20,2.22,1700,2.22
2014-04-16,2.18,2.25,2.18,2.20,2300,2.20
2014-04-15,2.18,2.18,2.12,2.13,32300,2.13
2014-04-14,2.19,2.20,2.18,2.18,10400,2.18
2014-04-11,2.30,2.31,2.22,2.23,18200,2.23
2014-04-10,2.41,2.44,2.38,2.39,15500,2.39
2014-04-09,2.40,2.46,2.39,2.44,62500,2.44
2014-04-08,2.31,2.38,2.31,2.34,4600,2.34
2014-04-07,2.34,2.38,2.31,2.33,23400,2.33
2014-04-04,2.37,2.39,2.35,2.39,25800,2.39
2014-04-03,2.34,2.34,2.26,2.30,7000,2.30
2014-04-02,2.42,2.45,2.33,2.34,40700,2.34
2014-04-01,2.31,2.40,2.30,2.40,125800,2.40
2014-03-31,2.28,2.29,2.25,2.26,8400,2.26
2014-03-28,2.22,2.28,2.22,2.28,7800,2.28
2014-03-27,2.21,2.25,2.16,2.23,11500,2.23
2014-03-26,2.25,2.28,2.23,2.25,7500,2.25
2014-03-25,2.22,2.38,2.22,2.27,13000,2.27
2014-03-24,2.22,2.24,2.19,2.23,18100,2.23
2014-03-21,2.34,2.39,2.25,2.28,34500,2.28
2014-03-20,2.20,2.38,2.18,2.36,85400,2.36
2014-03-19,2.25,2.27,2.20,2.22,13900,2.22
2014-03-18,2.13,2.26,2.13,2.23,9400,2.23
2014-03-17,2.18,2.22,2.13,2.13,5000,2.13
2014-03-14,2.13,2.21,2.13,2.17,6400,2.17
2014-03-13,2.30,2.30,2.10,2.17,28400,2.17
2014-03-12,2.22,2.24,2.16,2.22,36500,2.22
2014-03-11,2.27,2.27,2.23,2.23,4400,2.23
2014-03-10,2.40,2.40,2.24,2.26,11000,2.26
2014-03-07,2.50,2.50,2.36,2.41,25200,2.41
2014-03-06,2.50,2.57,2.37,2.44,108200,2.44
2014-03-05,2.25,2.48,2.19,2.28,168900,2.28
2014-03-04,2.27,2.27,2.16,2.17,27300,2.17
2014-03-03,2.15,2.17,2.07,2.17,74700,2.17
2014-02-28,2.50,2.50,2.39,2.39,80100,2.39
2014-02-27,2.61,2.61,2.48,2.60,84900,2.60
2014-02-26,2.58,2.63,2.47,2.53,74500,2.53
2014-02-25,2.41,2.51,2.41,2.43,200900,2.43
2014-02-24,2.20,2.20,2.15,2.19,53400,2.19
2014-02-21,2.22,2.22,2.15,2.19,42900,2.19
2014-02-20,2.12,2.19,2.10,2.18,69500,2.18
2014-02-19,2.07,2.12,2.06,2.06,92900,2.06
2014-02-18,2.06,2.10,2.06,2.07,81200,2.07
2014-02-14,2.07,2.08,2.05,2.06,37400,2.06
2014-02-13,2.04,2.08,2.04,2.08,34400,2.08
2014-02-12,2.04,2.12,2.03,2.09,66700,2.09
2014-02-11,2.10,2.13,2.08,2.09,117200,2.09
2014-02-10,2.13,2.13,2.08,2.10,25400,2.10
2014-02-07,2.17,2.17,2.09,2.13,89900,2.13
2014-02-06,2.07,2.15,2.07,2.15,73500,2.15
2014-02-05,2.02,2.06,2.02,2.06,29000,2.06
2014-02-04,2.05,2.12,2.04,2.11,29500,2.11
2014-02-03,2.12,2.12,2.01,2.09,60500,2.09
2014-01-31,1.99,2.22,1.99,2.10,226500,2.10
2014-01-30,2.01,2.01,1.96,1.98,15600,1.98
2014-01-29,2.04,2.04,1.97,1.97,51200,1.97
2014-01-28,2.07,2.07,2.01,2.06,24400,2.06
2014-01-27,2.08,2.10,2.04,2.07,23300,2.07
2014-01-24,2.12,2.15,2.11,2.14,17000,2.14
2014-01-23,2.19,2.19,2.15,2.16,13400,2.16
2014-01-22,2.12,2.19,2.12,2.12,9200,2.12
2014-01-21,2.12,2.15,2.12,2.13,91200,2.13
2014-01-17,2.12,2.16,2.12,2.12,27100,2.12
2014-01-16,2.18,2.21,2.11,2.11,40800,2.11
2014-01-15,2.16,2.22,2.12,2.14,202200,2.14
2014-01-14,2.06,2.09,2.04,2.05,112500,2.05
2014-01-13,2.05,2.10,2.02,2.04,101100,2.04
2014-01-10,2.00,2.01,1.97,1.98,59000,1.98
2014-01-09,2.00,2.03,1.97,1.97,85200,1.97
2014-01-08,2.15,2.15,1.95,1.97,53300,1.97
2014-01-07,2.11,2.15,2.10,2.15,82500,2.15
2014-01-06,2.10,2.12,2.07,2.11,111100,2.11
2014-01-03,1.99,2.10,1.99,2.10,36700,2.10
2014-01-02,2.05,2.08,2.02,2.08,13200,2.08
2013-12-31,2.03,2.19,2.03,2.19,48500,2.19
2013-12-30,2.17,2.17,2.02,2.12,119900,2.12
2013-12-27,2.24,2.24,2.18,2.18,15200,2.18
2013-12-26,2.15,2.17,2.13,2.15,8100,2.15
2013-12-24,2.00,2.15,2.00,2.13,38300,2.13
2013-12-23,2.05,2.15,2.05,2.10,51300,2.10
2013-12-20,1.97,2.06,1.97,2.05,22800,2.05
2013-12-19,1.91,2.00,1.91,1.97,29400,1.97
2013-12-18,2.00,2.00,1.91,1.96,14600,1.96
2013-12-17,2.00,2.04,1.97,1.98,17100,1.98
2013-12-16,1.95,2.05,1.95,2.01,13900,2.01
2013-12-13,1.86,1.98,1.84,1.95,41700,1.95
2013-12-12,1.95,1.95,1.81,1.86,20700,1.86
2013-12-11,1.85,1.87,1.84,1.84,6000,1.84
2013-12-10,1.94,1.94,1.81,1.84,59100,1.84
2013-12-09,1.89,2.05,1.89,2.00,199400,2.00
2013-12-06,1.69,2.03,1.69,1.91,265500,1.91
2013-12-05,1.73,1.75,1.64,1.64,16900,1.64
2013-12-04,1.72,1.73,1.64,1.73,22600,1.73
2013-12-03,1.76,1.76,1.67,1.68,23100,1.68
2013-12-02,1.82,1.85,1.72,1.72,19900,1.72
