Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,62.90,63.90,62.90,63.71,166000,63.71
2014-12-01,64.71,64.71,62.73,62.90,322600,62.90
2014-11-28,66.93,67.00,64.74,64.90,105100,64.90
2014-11-26,68.00,68.02,66.65,67.00,146900,67.00
2014-11-25,67.15,68.85,67.10,68.01,294600,68.01
2014-11-24,65.50,67.07,64.64,67.02,262500,67.02
2014-11-21,65.00,65.40,64.17,65.31,341400,65.31
2014-11-20,63.01,64.60,62.73,64.24,218800,64.24
2014-11-19,63.92,64.79,63.01,63.39,294900,63.39
2014-11-18,64.33,65.35,63.71,63.83,318900,63.83
2014-11-17,63.39,65.13,63.05,64.06,700000,64.06
2014-11-14,64.87,64.87,63.15,63.34,165700,63.34
2014-11-13,63.53,65.00,62.91,64.78,311300,64.78
2014-11-12,62.08,63.87,62.08,63.53,87300,63.53
2014-11-11,63.87,64.32,62.30,62.38,164700,62.38
2014-11-10,62.77,63.87,62.50,63.83,164100,63.83
2014-11-07,63.17,63.17,62.27,62.49,465200,62.49
2014-11-06,61.25,63.40,60.96,63.23,612500,63.23
2014-11-05,63.94,63.94,60.84,61.26,397100,61.26
2014-11-04,63.95,64.50,63.32,63.39,162400,63.39
2014-11-03,65.37,65.37,63.02,64.09,444200,64.09
2014-10-31,65.54,67.16,64.85,65.37,488500,65.37
2014-10-30,62.13,64.33,62.06,64.27,287000,64.27
2014-10-29,62.07,62.93,60.68,62.54,281800,62.54
2014-10-28,60.47,62.38,60.08,62.15,420500,62.15
2014-10-27,61.06,61.58,60.00,60.08,391000,60.08
2014-10-24,62.59,62.59,59.99,61.43,668200,61.43
2014-10-23,61.00,64.90,54.97,62.92,2554800,62.92
2014-10-22,72.06,72.40,67.82,69.37,515800,69.37
2014-10-21,70.20,73.46,69.94,72.38,346400,72.38
2014-10-20,68.05,70.07,68.05,69.64,349800,69.64
2014-10-17,71.62,72.43,68.00,68.08,308600,68.08
2014-10-16,67.64,71.95,67.50,70.68,381000,70.68
2014-10-15,66.57,68.41,65.50,67.93,350100,67.93
2014-10-14,67.25,69.06,67.01,67.35,305300,67.35
2014-10-13,65.17,68.73,65.17,66.61,283200,66.61
2014-10-10,66.57,67.60,65.00,65.48,458000,65.48
2014-10-09,70.10,70.50,66.87,67.02,343600,67.02
2014-10-08,67.63,70.18,67.56,69.96,301300,69.96
2014-10-07,70.53,70.53,67.18,67.84,310700,67.84
2014-10-06,70.60,71.35,70.24,70.63,197300,70.63
2014-10-03,69.73,71.32,69.73,70.51,269400,70.51
2014-10-02,67.65,68.85,66.68,68.07,301600,68.07
2014-10-01,69.14,69.25,66.61,67.54,448500,67.54
2014-09-30,70.24,70.73,68.88,69.00,346700,69.00
2014-09-29,70.00,70.92,69.53,70.37,209600,70.37
2014-09-26,71.42,72.15,70.79,70.98,201100,70.98
2014-09-25,72.97,73.00,71.29,71.44,260000,71.44
2014-09-24,70.03,73.50,70.00,72.96,264300,72.96
2014-09-23,70.27,70.82,70.02,70.10,233100,70.10
2014-09-22,71.74,71.74,69.05,70.62,289000,70.62
2014-09-19,77.20,77.20,71.00,72.00,615200,72.00
2014-09-18,76.38,77.07,75.82,76.46,149700,76.46
2014-09-17,77.65,78.26,76.01,76.27,155700,76.27
2014-09-16,77.06,78.30,75.55,77.67,297600,77.67
2014-09-15,78.52,78.52,77.22,77.26,203400,77.26
2014-09-12,80.08,80.55,78.01,78.60,150400,78.60
2014-09-11,78.16,80.40,78.04,79.96,203800,79.96
2014-09-10,77.30,78.42,76.50,78.30,176000,78.30
2014-09-09,78.47,78.93,77.18,77.32,197600,77.32
2014-09-08,76.64,78.47,76.64,78.38,185900,78.38
2014-09-05,77.00,77.42,75.69,76.63,157700,76.63
2014-09-04,76.26,78.76,76.26,77.24,244600,77.24
2014-09-03,76.69,77.29,75.61,76.15,177200,76.15
2014-09-02,75.25,78.50,75.24,76.50,385000,76.50
2014-08-29,77.79,77.92,75.00,75.24,411300,75.24
2014-08-28,76.14,77.79,76.14,77.34,205500,77.34
2014-08-27,76.13,76.48,75.62,76.05,142700,76.05
2014-08-26,76.80,77.04,75.71,75.95,203100,75.95
2014-08-25,77.60,77.76,76.47,76.51,132900,76.51
2014-08-22,75.78,77.35,75.74,77.06,161500,77.06
2014-08-21,77.30,77.63,75.92,76.05,325000,76.05
2014-08-20,77.17,77.76,76.41,77.33,170100,77.33
2014-08-19,77.52,77.91,76.81,77.57,130300,77.57
2014-08-18,77.76,77.76,76.96,77.61,146200,77.61
2014-08-15,79.01,79.28,76.29,77.31,229500,77.31
2014-08-14,78.50,79.25,77.91,78.52,249600,78.52
2014-08-13,77.32,78.59,76.64,78.51,196500,78.51
2014-08-12,77.00,77.78,76.58,76.97,345000,76.97
2014-08-11,77.37,77.86,76.59,77.09,361700,77.09
2014-08-08,77.27,77.56,75.91,76.90,177100,76.90
2014-08-07,76.36,77.53,75.85,76.91,171900,76.91
2014-08-06,75.74,77.07,75.01,75.71,217900,75.71
2014-08-05,77.25,78.60,74.64,75.91,755000,75.91
2014-08-04,79.31,79.96,77.38,77.74,654300,77.74
2014-08-01,80.81,81.52,77.93,79.00,426100,79.00
2014-07-31,80.00,81.37,79.83,81.00,392300,81.00
2014-07-30,83.59,83.82,80.90,81.73,380800,81.73
2014-07-29,83.32,84.99,82.76,83.10,270300,83.10
2014-07-28,84.50,84.93,82.44,83.48,258700,83.48
2014-07-25,86.05,86.18,83.60,84.49,382000,84.49
2014-07-24,81.77,87.25,80.33,86.51,568600,86.51
2014-07-23,82.08,82.40,80.96,81.46,400800,81.46
2014-07-22,82.99,83.62,81.87,82.29,275500,82.29
2014-07-21,80.82,83.45,80.75,82.33,345600,82.33
2014-07-18,79.16,82.14,79.16,81.79,228500,81.79
2014-07-17,80.10,81.15,79.00,79.25,230900,79.25
2014-07-16,82.00,82.37,79.50,80.46,226200,80.46
2014-07-15,82.69,83.18,80.17,81.54,158200,81.54
2014-07-14,82.77,83.28,81.45,82.81,151800,82.81
2014-07-11,81.09,82.32,80.27,81.97,144800,81.97
2014-07-10,79.75,82.48,79.01,81.42,247100,81.42
2014-07-09,82.16,82.91,80.40,80.73,243700,80.73
2014-07-08,83.07,83.60,81.11,82.06,342700,82.06
2014-07-07,84.84,84.84,83.00,83.43,342200,83.43
2014-07-03,83.12,85.37,83.03,85.07,220500,85.07
2014-07-02,85.87,85.94,82.23,83.07,545600,83.07
2014-07-01,82.22,94.23,82.20,85.90,3211600,85.90
2014-06-30,80.67,82.16,80.07,81.92,376200,81.92
2014-06-27,82.41,83.06,80.88,81.03,814000,81.03
2014-06-26,80.49,82.66,80.03,82.64,366400,82.64
2014-06-25,76.83,80.29,76.83,80.14,229100,80.14
2014-06-24,77.76,78.50,76.64,77.52,317500,77.52
2014-06-23,78.50,78.62,77.49,77.87,190800,77.87
2014-06-20,77.41,78.36,76.63,78.19,402500,78.19
2014-06-19,78.17,78.79,76.42,77.16,246200,77.16
2014-06-18,78.00,78.05,76.55,77.99,389600,77.99
2014-06-17,77.94,80.35,77.46,78.97,451700,78.97
2014-06-16,75.03,78.39,74.23,78.34,558200,78.34
2014-06-13,71.19,75.21,70.84,75.08,441600,75.08
2014-06-12,71.50,71.50,69.82,71.17,249200,71.17
2014-06-11,70.69,71.66,70.09,71.49,126100,71.49
2014-06-10,70.78,71.97,70.04,71.15,281900,71.15
2014-06-09,69.74,72.09,69.04,70.93,294200,70.93
2014-06-06,69.28,69.90,68.30,69.52,232700,69.52
2014-06-05,66.37,69.73,65.98,69.06,286300,69.06
2014-06-04,65.55,66.85,64.93,66.33,391600,66.33
2014-06-03,66.43,67.77,64.64,65.54,404800,65.54
2014-06-02,66.20,67.36,65.27,66.92,260000,66.92
2014-05-30,66.76,67.00,65.05,65.98,349800,65.98
2014-05-29,69.08,69.17,66.00,66.84,268300,66.84
2014-05-28,67.85,68.82,66.52,68.47,312100,68.47
2014-05-27,66.81,68.23,66.63,67.79,267300,67.79
2014-05-23,65.00,66.71,64.27,66.37,235100,66.37
2014-05-22,64.16,65.72,64.16,64.85,241500,64.85
2014-05-21,62.87,64.59,62.71,64.19,333600,64.19
2014-05-20,63.27,63.57,61.86,62.68,409400,62.68
2014-05-19,62.45,63.91,61.70,63.63,242600,63.63
2014-05-16,60.05,62.84,59.67,62.59,228700,62.59
2014-05-15,62.50,62.75,59.76,60.28,500100,60.28
2014-05-14,63.10,63.85,61.51,62.93,307400,62.93
2014-05-13,65.71,66.01,62.74,62.97,333100,62.97
2014-05-12,64.19,66.11,64.19,65.60,320600,65.60
2014-05-09,63.32,64.50,63.09,63.77,332600,63.77
2014-05-08,63.14,66.81,62.90,63.72,436900,63.72
2014-05-07,63.13,63.90,61.76,63.28,615300,63.28
2014-05-06,62.99,64.50,62.40,62.85,452000,62.85
2014-05-05,62.49,64.27,62.11,63.16,371300,63.16
2014-05-02,58.70,63.28,58.65,63.05,666500,63.05
2014-05-01,63.50,63.91,58.61,58.84,854100,58.84
2014-04-30,59.81,61.46,59.50,60.54,423100,60.54
2014-04-29,60.03,61.44,59.15,60.07,304000,60.07
2014-04-28,58.96,60.44,58.06,59.87,557800,59.87
2014-04-25,60.63,61.14,58.33,58.60,506400,58.60
2014-04-24,62.74,62.95,61.00,61.07,518200,61.07
2014-04-23,63.11,63.59,61.86,62.26,618700,62.26
2014-04-22,62.61,64.44,62.51,63.07,704100,63.07
2014-04-21,63.53,63.75,62.11,62.61,467800,62.61
2014-04-17,65.56,65.64,63.28,63.43,470600,63.43
2014-04-16,65.25,66.14,63.70,65.95,460800,65.95
2014-04-15,66.27,66.94,62.34,64.54,519400,64.54
2014-04-14,66.54,67.88,65.35,66.10,211000,66.10
2014-04-11,68.50,68.64,65.98,66.50,723700,66.50
2014-04-10,69.83,69.85,68.33,69.49,539200,69.49
2014-04-09,67.05,69.83,67.05,69.81,337400,69.81
2014-04-08,64.45,67.28,64.13,66.63,332800,66.63
2014-04-07,64.34,64.99,63.27,64.24,457200,64.24
2014-04-04,67.35,67.54,63.67,64.61,392100,64.61
2014-04-03,68.70,69.11,66.48,66.80,263300,66.80
2014-04-02,70.04,70.66,68.25,68.44,310700,68.44
2014-04-01,67.98,69.66,67.56,69.57,365600,69.57
2014-03-31,67.81,68.70,66.98,67.67,336400,67.67
2014-03-28,66.30,67.80,66.03,67.01,425300,67.01
2014-03-27,65.13,66.20,63.68,66.10,395500,66.10
2014-03-26,66.46,66.85,64.40,64.75,540300,64.75
2014-03-25,65.12,66.75,62.72,65.77,678700,65.77
2014-03-24,65.00,65.50,62.09,64.72,559200,64.72
2014-03-21,68.70,68.85,64.70,65.03,507300,65.03
2014-03-20,68.43,69.16,67.83,68.53,476500,68.53
2014-03-19,69.33,69.71,68.06,68.71,312500,68.71
2014-03-18,67.70,70.29,67.70,69.33,226900,69.33
2014-03-17,68.73,69.75,67.15,67.88,297100,67.88
2014-03-14,68.29,69.00,67.33,68.50,253600,68.50
2014-03-13,70.50,70.50,66.95,68.32,432300,68.32
2014-03-12,70.81,71.20,68.92,70.50,343400,70.50
