Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.40,1.43,1.40,1.40,12900,1.40
2014-12-01,1.38,1.43,1.38,1.40,12200,1.40
2014-11-28,1.44,1.44,1.39,1.43,3600,1.43
2014-11-26,1.41,1.44,1.35,1.42,7400,1.42
2014-11-25,1.38,1.44,1.36,1.40,10700,1.40
2014-11-24,1.41,1.44,1.40,1.40,8100,1.40
2014-11-21,1.45,1.45,1.38,1.38,25900,1.38
2014-11-20,1.45,1.45,1.38,1.40,6000,1.40
2014-11-19,1.39,1.45,1.38,1.39,23100,1.39
2014-11-18,1.43,1.45,1.40,1.42,6400,1.42
2014-11-17,1.38,1.45,1.38,1.40,5000,1.40
2014-11-14,1.40,1.45,1.38,1.40,12300,1.40
2014-11-13,1.42,1.44,1.37,1.40,6300,1.40
2014-11-12,1.33,1.44,1.32,1.39,22200,1.39
2014-11-11,1.35,1.40,1.33,1.40,4200,1.40
2014-11-10,1.30,1.41,1.30,1.35,5500,1.35
2014-11-07,1.25,1.41,1.25,1.36,27700,1.36
2014-11-06,1.30,1.43,1.30,1.32,25100,1.32
2014-11-05,1.25,1.36,1.25,1.31,57300,1.31
2014-11-04,1.33,1.36,1.27,1.28,18200,1.28
2014-11-03,1.38,1.40,1.33,1.34,5700,1.34
2014-10-31,1.34,1.39,1.33,1.39,11600,1.39
2014-10-30,1.35,1.40,1.33,1.36,10600,1.36
2014-10-29,1.40,1.40,1.34,1.34,5800,1.34
2014-10-28,1.39,1.46,1.31,1.31,30500,1.31
2014-10-27,1.34,1.45,1.32,1.41,25900,1.41
2014-10-24,1.37,1.37,1.33,1.36,3800,1.36
2014-10-23,1.48,1.48,1.25,1.38,46700,1.38
2014-10-22,1.34,1.42,1.34,1.41,12600,1.41
2014-10-21,1.50,1.50,1.33,1.42,4600,1.42
2014-10-20,1.32,1.46,1.31,1.43,27600,1.43
2014-10-17,1.30,1.35,1.27,1.31,13900,1.31
2014-10-16,1.36,1.36,1.26,1.33,7700,1.33
2014-10-15,1.30,1.37,1.24,1.34,25800,1.34
2014-10-14,1.33,1.46,1.30,1.35,13100,1.35
2014-10-13,1.28,1.47,1.21,1.38,34700,1.38
2014-10-10,1.26,1.33,1.25,1.25,7100,1.25
2014-10-09,1.34,1.35,1.27,1.30,187300,1.30
2014-10-08,1.30,1.40,1.21,1.36,157000,1.36
2014-10-07,1.48,1.48,1.29,1.30,39900,1.30
2014-10-06,1.48,1.49,1.42,1.42,14500,1.42
2014-10-03,1.47,1.53,1.46,1.50,11900,1.50
2014-10-02,1.37,1.51,1.36,1.46,28200,1.46
2014-10-01,1.38,1.43,1.30,1.35,15200,1.35
2014-09-30,1.38,1.44,1.36,1.40,12600,1.40
2014-09-29,1.38,1.43,1.36,1.42,11400,1.42
2014-09-26,1.46,1.46,1.38,1.45,23000,1.45
2014-09-25,1.50,1.51,1.37,1.48,5500,1.48
2014-09-24,1.40,1.51,1.40,1.46,8100,1.46
2014-09-23,1.41,1.46,1.38,1.41,10300,1.41
2014-09-22,1.39,1.45,1.38,1.45,58700,1.45
2014-09-19,1.46,1.49,1.38,1.38,26700,1.38
