Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,3.87,4.00,3.84,3.93,460600,3.93
2014-12-01,4.02,4.10,3.87,3.88,446400,3.88
2014-11-28,4.09,4.17,4.03,4.03,234000,4.03
2014-11-26,4.05,4.13,4.02,4.12,370100,4.12
2014-11-25,4.25,4.27,4.02,4.04,973300,4.04
2014-11-24,4.16,4.31,4.12,4.21,693300,4.21
2014-11-21,3.97,4.20,3.92,4.17,885100,4.17
2014-11-20,3.85,3.98,3.80,3.93,762600,3.93
2014-11-19,3.47,3.90,3.47,3.85,1180100,3.85
2014-11-18,3.46,3.48,3.38,3.46,310000,3.46
2014-11-17,3.50,3.52,3.41,3.47,311600,3.47
2014-11-14,3.41,3.51,3.36,3.47,381000,3.47
2014-11-13,3.39,3.49,3.35,3.41,274300,3.41
2014-11-12,3.30,3.39,3.25,3.37,295200,3.37
2014-11-11,3.32,3.35,3.26,3.29,250200,3.29
2014-11-10,3.32,3.38,3.27,3.34,282200,3.34
2014-11-07,3.20,3.38,3.20,3.31,488100,3.31
2014-11-06,3.60,3.74,3.25,3.26,1287000,3.26
2014-11-05,3.50,3.62,3.40,3.58,573000,3.58
2014-11-04,3.45,3.55,3.42,3.45,396300,3.45
2014-11-03,3.38,3.48,3.32,3.44,339100,3.44
2014-10-31,3.33,3.48,3.31,3.37,633400,3.37
2014-10-30,3.27,3.35,3.22,3.24,239600,3.24
2014-10-29,3.42,3.44,3.20,3.28,388200,3.28
2014-10-28,3.13,3.46,3.09,3.40,653300,3.40
2014-10-27,3.09,3.18,3.02,3.11,393600,3.11
2014-10-24,3.21,3.27,3.06,3.12,443400,3.12
2014-10-23,3.15,3.23,3.10,3.19,418100,3.19
2014-10-22,3.10,3.19,3.04,3.11,450700,3.11
2014-10-21,3.15,3.22,3.09,3.10,244900,3.10
2014-10-20,3.05,3.22,3.04,3.14,301100,3.14
2014-10-17,3.35,3.35,3.02,3.06,424200,3.06
2014-10-16,3.07,3.39,3.01,3.29,793700,3.29
2014-10-15,3.03,3.10,2.95,3.07,492100,3.07
2014-10-14,2.85,3.14,2.83,3.07,525500,3.07
2014-10-13,2.91,2.94,2.80,2.87,332100,2.87
