Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,21.27,22.55,20.80,21.64,1101000,21.64
2014-12-01,21.81,22.34,20.52,21.24,1853100,21.24
2014-11-28,24.98,25.00,21.50,21.76,1091400,21.76
2014-11-26,27.93,27.93,26.59,26.72,628100,26.72
2014-11-25,28.85,29.25,27.71,28.07,883800,28.07
2014-11-24,28.76,29.43,28.07,28.66,758700,28.66
2014-11-21,29.29,30.06,28.41,29.08,1021900,29.08
2014-11-20,27.86,28.92,27.70,28.67,778900,28.67
2014-11-19,27.78,28.20,26.88,27.85,444500,27.85
2014-11-18,27.39,28.00,26.86,27.66,520400,27.66
2014-11-17,27.77,27.96,27.02,27.40,750400,27.40
2014-11-14,27.36,28.31,26.97,27.84,1089400,27.84
2014-11-13,27.18,27.89,26.66,27.19,1000500,27.19
2014-11-12,26.99,28.05,26.68,27.50,919100,27.50
2014-11-11,26.49,27.91,26.08,27.25,1490600,27.25
2014-11-10,25.20,26.73,24.77,26.45,1450700,26.45
2014-11-07,24.26,25.55,24.00,25.14,1439500,25.14
2014-11-06,23.27,24.51,22.90,24.02,843200,24.02
2014-11-05,22.79,24.16,22.54,23.52,702100,23.52
2014-11-04,23.43,23.43,22.17,22.51,863000,22.51
2014-11-03,24.47,25.58,23.44,23.90,1044900,23.90
2014-10-31,23.69,24.65,22.39,24.47,802000,24.47
2014-10-30,24.66,24.98,23.79,24.07,813300,24.07
2014-10-29,24.55,25.63,24.41,24.90,729800,24.90
2014-10-28,22.94,24.36,22.60,24.28,670400,24.28
2014-10-27,23.58,24.10,22.44,22.72,1429300,22.72
2014-10-24,24.35,25.04,23.81,24.33,645300,24.33
2014-10-23,24.34,25.20,23.77,24.51,738400,24.51
2014-10-22,25.69,26.12,23.65,23.75,1088000,23.75
2014-10-21,25.12,26.06,24.79,25.40,665900,25.40
2014-10-20,24.67,25.61,23.87,24.74,660300,24.74
2014-10-17,26.20,26.34,24.23,24.92,1140500,24.92
2014-10-16,23.45,26.71,23.21,25.38,1400200,25.38
2014-10-15,22.69,24.40,21.53,24.22,1242500,24.22
2014-10-14,22.88,23.76,21.64,22.99,1917500,22.99
