Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,26.94,27.40,26.89,27.40,225000,27.40
2014-12-01,26.78,27.25,26.65,26.94,253400,26.94
2014-11-28,27.26,27.39,26.91,26.92,84300,26.92
2014-11-26,27.44,27.70,27.12,27.28,125700,27.28
2014-11-25,27.39,27.90,27.10,27.43,169000,27.43
2014-11-24,26.85,27.26,26.67,27.25,120300,27.25
2014-11-21,27.23,27.38,26.76,26.86,138600,26.86
2014-11-20,26.45,27.26,26.43,27.00,134200,27.00
2014-11-19,27.22,27.47,26.54,26.64,140800,26.64
2014-11-18,26.64,27.42,26.21,27.32,236600,27.32
2014-11-17,26.17,26.98,26.13,26.67,248800,26.67
2014-11-14,26.04,26.57,25.28,26.17,468700,26.17
2014-11-13,23.92,26.55,23.92,25.09,492300,25.09
2014-11-12,22.70,23.10,22.58,23.01,55800,23.01
2014-11-11,22.96,22.96,22.66,22.75,44900,22.75
2014-11-10,23.11,23.11,22.75,22.96,119100,22.96
2014-11-07,23.06,23.13,22.78,23.07,84500,23.07
2014-11-06,22.95,23.13,22.67,23.11,63400,23.11
2014-11-05,22.93,23.04,22.54,22.97,162700,22.97
2014-11-04,22.33,22.87,22.32,22.57,141100,22.57
2014-11-03,22.40,22.50,22.37,22.40,261900,22.40
2014-10-31,22.55,22.82,22.24,22.39,244500,22.39
2014-10-30,22.31,22.42,22.10,22.34,103700,22.34
2014-10-29,22.28,22.49,21.85,22.30,138300,22.30
2014-10-28,21.68,22.29,21.68,22.21,208700,22.21
2014-10-27,21.28,21.68,21.09,21.49,136300,21.49
2014-10-24,21.41,21.52,21.27,21.40,208000,21.40
2014-10-23,21.31,21.63,21.07,21.35,220700,21.35
2014-10-22,21.41,21.56,21.00,21.03,144700,21.03
2014-10-21,21.06,21.61,20.97,21.41,237000,21.41
2014-10-20,20.82,20.99,20.72,20.95,327300,20.95
2014-10-17,21.85,21.85,20.79,20.87,210700,20.87
2014-10-16,20.53,21.81,20.45,21.53,246600,21.53
2014-10-15,20.57,20.92,20.47,20.86,320300,20.86
2014-10-14,21.29,21.61,20.82,20.89,147000,20.89
2014-10-13,20.72,21.32,20.58,21.03,79900,21.03
2014-10-10,21.42,21.44,20.73,20.78,138100,20.78
2014-10-09,22.08,22.12,21.50,21.53,216300,21.53
2014-10-08,21.48,22.29,21.48,22.15,172200,22.15
