Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,54.09,56.14,54.09,55.38,193400,55.38
2014-12-01,55.59,56.27,53.67,53.81,194100,53.81
2014-11-28,55.04,56.61,55.02,55.47,94200,55.47
2014-11-26,54.39,55.26,53.94,54.70,151100,54.70
2014-11-25,55.15,55.48,54.31,54.53,163200,54.53
2014-11-24,53.87,54.91,53.87,54.88,136400,54.88
2014-11-21,54.25,54.51,53.43,53.57,180700,53.57
2014-11-20,52.89,53.65,52.64,53.51,185400,53.51
2014-11-19,52.91,53.49,52.17,53.07,201000,53.07
2014-11-18,52.54,53.31,52.04,52.84,225100,52.84
2014-11-17,52.19,52.57,51.42,52.43,166600,52.43
2014-11-14,53.16,53.47,51.74,52.13,208700,52.13
2014-11-13,53.90,54.25,52.78,53.23,299700,53.23
2014-11-12,52.98,54.00,52.98,53.71,204300,53.71
2014-11-11,52.80,53.49,52.66,53.16,282700,53.16
2014-11-10,51.55,52.82,51.38,52.75,283200,52.75
2014-11-07,52.43,52.72,51.09,51.36,227900,51.36
2014-11-06,51.50,52.46,51.50,52.38,179200,52.38
2014-11-05,52.44,53.26,51.11,51.39,183100,51.39
2014-11-04,49.85,52.09,49.82,51.98,368200,51.98
2014-11-03,48.95,50.33,48.77,50.12,207700,50.12
2014-10-31,52.19,52.40,48.90,49.02,378300,49.02
2014-10-30,49.55,52.51,48.80,50.94,335100,50.94
2014-10-29,47.25,49.96,46.27,49.82,306100,49.82
2014-10-28,56.73,62.31,45.32,48.96,872800,48.96
2014-10-27,50.00,51.05,49.59,50.95,301100,50.95
2014-10-24,50.58,52.20,50.09,50.23,98300,50.23
2014-10-23,49.94,51.13,49.61,50.39,153900,50.39
2014-10-22,50.79,51.73,49.20,49.29,99200,49.29
2014-10-21,48.83,50.74,48.20,50.54,143100,50.54
2014-10-20,48.54,49.27,48.02,48.58,144800,48.58
2014-10-17,48.48,49.02,47.92,48.71,210300,48.71
2014-10-16,46.77,48.36,46.77,47.82,128800,47.82
2014-10-15,46.02,47.86,44.59,47.35,230700,47.35
2014-10-14,46.73,48.00,46.20,46.70,155000,46.70
2014-10-13,47.02,47.78,45.96,46.26,168000,46.26
2014-10-10,47.23,48.01,46.89,46.97,187100,46.97
2014-10-09,48.27,48.27,46.62,47.50,178000,47.50
2014-10-08,48.08,48.92,46.83,48.35,167700,48.35
2014-10-07,49.27,51.09,47.95,48.05,116700,48.05
2014-10-06,50.16,50.64,49.44,49.64,107000,49.64
2014-10-03,50.15,50.75,49.97,50.00,93300,50.00
2014-10-02,48.66,49.85,48.52,49.68,145800,49.68
2014-10-01,49.65,49.65,48.09,48.53,209300,48.53
2014-09-30,50.46,50.80,49.25,49.56,203100,49.56
2014-09-29,49.70,50.83,49.51,50.66,102600,50.66
2014-09-26,49.92,50.44,49.70,50.05,285000,50.05
2014-09-25,49.86,50.59,48.62,49.88,336800,49.88
2014-09-24,50.07,50.22,49.58,49.83,172700,49.83
2014-09-23,50.55,51.02,49.82,50.00,254400,50.00
2014-09-22,50.99,51.68,50.53,50.57,121000,50.57
2014-09-19,53.67,54.10,50.76,51.17,480000,51.17
2014-09-18,52.61,53.83,52.50,53.56,273200,53.56
2014-09-17,49.39,52.78,49.05,52.53,657400,52.53
2014-09-16,48.04,49.17,47.93,48.83,196800,48.83
2014-09-15,49.80,49.80,48.24,48.37,85900,48.37
2014-09-12,51.19,51.19,49.77,49.95,160200,49.95
2014-09-11,50.27,51.19,50.27,51.02,172800,51.02
2014-09-10,50.00,50.42,49.15,50.40,124100,50.40
2014-09-09,51.03,51.03,49.74,49.93,98400,49.93
2014-09-08,51.16,51.83,51.11,51.14,134500,51.14
2014-09-05,50.48,51.46,50.48,51.04,119100,51.04
2014-09-04,50.08,51.29,49.59,50.90,240600,50.90
2014-09-03,49.03,50.00,48.61,49.90,239300,49.90
2014-09-02,47.59,49.40,47.45,48.94,175600,48.94
2014-08-29,46.95,47.78,46.65,47.47,117600,47.47
2014-08-28,47.50,47.75,46.90,47.18,106400,47.18
2014-08-27,47.78,47.96,47.02,47.69,217700,47.69
2014-08-26,48.59,48.61,47.44,47.58,128600,47.58
2014-08-25,48.47,48.91,48.03,48.54,102300,48.54
2014-08-22,47.73,48.35,47.19,48.06,88900,48.06
2014-08-21,48.20,48.20,47.27,47.78,138100,47.78
2014-08-20,48.92,48.92,47.87,48.15,115100,48.15
2014-08-19,49.16,49.85,48.76,49.08,392800,49.08
2014-08-18,48.25,49.17,48.25,49.11,110300,49.11
2014-08-15,48.30,48.30,46.87,48.00,151400,48.00
2014-08-14,47.89,48.05,47.56,47.72,136400,47.72
2014-08-13,47.21,48.23,47.18,47.86,143400,47.86
2014-08-12,46.73,47.15,46.50,47.11,104900,47.11
2014-08-11,46.20,47.06,46.09,46.84,113900,46.84
2014-08-08,45.57,46.08,43.08,46.00,157500,46.00
2014-08-07,45.79,46.20,45.36,45.65,206100,45.65
2014-08-06,45.72,46.22,45.53,45.77,212300,45.77
2014-08-05,45.87,46.39,45.79,46.02,118300,46.02
2014-08-04,45.74,46.10,45.36,46.07,194300,46.07
2014-08-01,45.68,45.72,45.26,45.66,227000,45.66
2014-07-31,44.84,45.84,44.77,45.65,316600,45.65
2014-07-30,42.94,45.40,42.25,45.20,720200,45.20
2014-07-29,44.10,44.14,42.83,42.97,362000,42.97
2014-07-28,45.61,45.61,43.91,44.17,280300,44.17
2014-07-25,46.11,46.11,45.31,45.57,226400,45.57
2014-07-24,46.73,47.15,46.31,46.50,214200,46.50
2014-07-23,46.84,47.94,46.40,46.52,328000,46.52
2014-07-22,45.60,46.71,45.29,46.63,161700,46.63
2014-07-21,44.99,45.53,44.83,45.27,124900,45.27
2014-07-18,45.10,45.72,44.97,45.26,123800,45.26
2014-07-17,44.42,45.41,44.42,45.17,305500,45.17
2014-07-16,44.73,44.96,44.39,44.68,280600,44.68
2014-07-15,44.50,45.15,44.16,44.54,211900,44.54
2014-07-14,44.64,45.00,44.33,44.41,98700,44.41
2014-07-11,44.15,44.66,43.67,44.05,115400,44.05
2014-07-10,44.31,44.85,43.84,44.38,144200,44.38
2014-07-09,45.10,45.55,44.47,45.16,158500,45.16
2014-07-08,44.83,45.15,44.12,44.96,225800,44.96
2014-07-07,45.22,45.22,44.66,45.00,102000,45.00
2014-07-03,45.13,45.58,44.35,45.36,74200,45.36
2014-07-02,44.86,45.45,44.73,44.94,137500,44.94
2014-07-01,44.06,45.35,44.06,44.73,138300,44.73
2014-06-30,43.16,44.42,42.94,43.93,167600,43.93
2014-06-27,42.97,43.53,42.36,43.31,264500,43.31
2014-06-26,43.46,44.53,42.62,43.25,235400,43.25
2014-06-25,43.25,43.58,42.52,43.33,189100,43.33
2014-06-24,43.07,43.99,43.07,43.43,329400,43.43
2014-06-23,43.88,43.97,42.86,43.28,181600,43.28
2014-06-20,43.15,43.77,42.97,43.75,331700,43.75
2014-06-19,43.24,43.28,42.65,43.14,198600,43.14
2014-06-18,42.67,43.18,42.61,42.92,244300,42.92
2014-06-17,43.86,44.36,41.92,42.82,460400,42.82
2014-06-16,44.26,44.51,43.82,44.28,194000,44.28
2014-06-13,45.58,45.58,44.11,44.53,293000,44.53
2014-06-12,45.67,45.76,45.30,45.41,176900,45.41
2014-06-11,45.42,46.00,45.28,45.61,118800,45.61
2014-06-10,45.84,46.37,45.44,45.66,135900,45.66
2014-06-09,45.44,46.74,45.44,46.09,152700,46.09
2014-06-06,45.13,45.60,44.76,45.46,92900,45.46
2014-06-05,43.54,44.87,43.29,44.82,204100,44.82
2014-06-04,43.12,43.52,42.83,43.45,171300,43.45
2014-06-03,43.81,43.90,43.08,43.23,487700,43.23
2014-06-02,43.63,44.24,42.61,44.22,155700,44.22
2014-05-30,45.10,45.42,43.38,43.58,320600,43.58
2014-05-29,44.69,45.22,44.15,45.20,147300,45.20
2014-05-28,44.62,44.78,43.84,44.46,237100,44.46
2014-05-27,44.85,45.16,44.37,44.59,161600,44.59
2014-05-23,44.72,44.72,43.98,44.40,241000,44.40
2014-05-22,45.39,45.65,44.52,44.61,290400,44.61
2014-05-21,43.53,45.47,42.72,45.25,351600,45.25
2014-05-20,43.35,43.58,42.24,43.02,243200,43.02
2014-05-19,41.93,43.54,41.28,43.38,211400,43.38
2014-05-16,41.32,41.98,40.91,41.93,171700,41.93
2014-05-15,40.91,41.86,40.60,41.39,266900,41.39
2014-05-14,41.42,41.59,40.79,41.11,227000,41.11
2014-05-13,40.96,41.80,40.15,41.37,288000,41.37
2014-05-12,40.28,41.13,40.00,40.73,255700,40.73
2014-05-09,40.10,40.39,39.58,40.04,112300,40.04
2014-05-08,40.77,41.39,40.17,40.30,144200,40.30
2014-05-07,40.44,40.82,39.69,40.68,207400,40.68
2014-05-06,40.20,40.72,40.20,40.45,224100,40.45
2014-05-05,40.86,40.86,39.91,40.46,175200,40.46
2014-05-02,41.84,42.68,40.93,41.18,271200,41.18
2014-05-01,41.23,42.29,40.68,41.85,388600,41.85
2014-04-30,40.10,41.33,39.71,41.17,233200,41.17
2014-04-29,41.00,41.03,39.65,40.03,442800,40.03
2014-04-28,40.38,42.14,40.16,40.63,345200,40.63
2014-04-25,39.39,41.72,38.65,40.04,444100,40.04
2014-04-24,38.29,38.69,37.41,38.50,183200,38.50
2014-04-23,39.32,39.95,38.00,38.10,252900,38.10
2014-04-22,38.47,39.83,38.41,39.37,169300,39.37
2014-04-21,37.94,38.72,37.93,38.53,200800,38.53
2014-04-17,36.90,38.10,36.67,37.98,152300,37.98
2014-04-16,36.55,37.20,36.37,37.12,153600,37.12
2014-04-15,36.29,36.51,35.19,36.38,210800,36.38
2014-04-14,36.69,37.07,35.68,36.10,222000,36.10
2014-04-11,35.41,36.80,35.41,36.24,249100,36.24
2014-04-10,36.68,36.96,35.47,35.79,162100,35.79
2014-04-09,36.50,37.05,36.21,36.82,89400,36.82
2014-04-08,36.49,36.87,35.85,36.43,155900,36.43
2014-04-07,37.31,37.31,36.32,36.59,207400,36.59
2014-04-04,38.86,39.37,36.98,37.51,185400,37.51
2014-04-03,38.88,39.38,38.29,38.52,168100,38.52
2014-04-02,38.35,39.19,38.20,38.96,141700,38.96
2014-04-01,38.40,38.79,38.25,38.30,246800,38.30
2014-03-31,36.88,38.49,36.88,38.21,292300,38.21
2014-03-28,36.05,36.90,36.05,36.70,181700,36.70
2014-03-27,37.07,37.70,35.76,36.15,196600,36.15
2014-03-26,38.37,38.88,36.84,37.12,257700,37.12
2014-03-25,38.16,38.72,37.58,37.89,124900,37.89
2014-03-24,39.27,39.27,37.47,37.96,164700,37.96
2014-03-21,39.10,40.12,38.86,39.24,217200,39.24
2014-03-20,38.88,39.36,38.47,38.82,81700,38.82
2014-03-19,39.57,39.87,38.61,39.04,188900,39.04
2014-03-18,39.20,39.65,39.15,39.61,197900,39.61
2014-03-17,39.62,39.96,38.95,39.11,94500,39.11
2014-03-14,38.65,39.72,38.65,39.24,111000,39.24
2014-03-13,39.38,39.50,38.42,38.80,142800,38.80
2014-03-12,38.95,39.50,38.55,39.28,206900,39.28
2014-03-11,40.41,40.68,38.95,39.18,279500,39.18
2014-03-10,39.93,40.28,39.87,40.20,186700,40.20
2014-03-07,40.03,40.40,39.72,39.94,285400,39.94
2014-03-06,38.66,40.20,38.29,39.92,504200,39.92
2014-03-05,36.34,38.55,36.34,38.34,618600,38.34
2014-03-04,34.90,36.72,34.88,36.28,416800,36.28
2014-03-03,34.17,34.76,34.00,34.61,184300,34.61
2014-02-28,34.48,34.72,34.16,34.54,160800,34.54
2014-02-27,34.10,34.53,33.91,34.51,121900,34.51
2014-02-26,34.25,34.60,33.90,34.18,143300,34.18
2014-02-25,34.25,34.60,33.72,34.19,201600,34.19
2014-02-24,34.10,34.49,33.80,34.23,342300,34.23
2014-02-21,33.68,34.42,33.52,34.06,299100,34.06
2014-02-20,33.10,33.67,32.81,33.51,251100,33.51
2014-02-19,33.40,33.68,33.02,33.03,370000,33.03
2014-02-18,31.72,32.59,31.71,32.51,235600,32.51
2014-02-14,31.48,31.96,31.26,31.67,253100,31.67
2014-02-13,29.84,31.54,29.61,31.45,592400,31.45
2014-02-12,30.07,30.34,29.61,30.16,213800,30.16
2014-02-11,30.22,30.22,29.32,30.10,224400,30.10
2014-02-10,30.79,30.79,29.73,30.22,294500,30.22
2014-02-07,30.91,31.25,30.66,30.90,178600,30.90
2014-02-06,30.73,31.26,30.32,30.87,357600,30.87
2014-02-05,31.23,31.33,30.34,30.66,269400,30.66
2014-02-04,32.11,33.00,31.36,31.50,225300,31.50
2014-02-03,33.44,33.88,31.58,31.93,343100,31.93
2014-01-31,32.51,33.93,32.06,33.66,306600,33.66
2014-01-30,32.25,33.10,32.10,32.92,380700,32.92
2014-01-29,31.68,32.06,31.52,31.95,220200,31.95
2014-01-28,32.13,32.43,31.74,32.00,168000,32.00
2014-01-27,32.96,33.12,32.01,32.06,208800,32.06
2014-01-24,33.35,33.35,32.00,32.91,213000,32.91
2014-01-23,33.40,33.73,33.04,33.68,299100,33.68
2014-01-22,33.18,34.21,33.18,33.66,379800,33.66
2014-01-21,33.51,33.53,32.63,33.21,240700,33.21
2014-01-17,32.90,33.66,32.22,33.19,451900,33.19
2014-01-16,33.47,33.58,32.94,33.24,221200,33.24
2014-01-15,33.87,34.10,33.25,33.64,180400,33.64
2014-01-14,34.16,34.16,33.52,33.73,203400,33.73
2014-01-13,34.69,34.92,33.55,33.92,259800,33.92
2014-01-10,32.69,34.77,32.42,34.75,422500,34.75
2014-01-09,32.05,32.47,31.78,32.43,173600,32.43
2014-01-08,30.90,31.87,30.78,31.79,247100,31.79
2014-01-07,30.29,31.28,30.29,30.93,235400,30.93
2014-01-06,31.44,31.47,30.16,30.22,191200,30.22
2014-01-03,30.65,31.22,30.39,31.14,205100,31.14
2014-01-02,31.96,32.11,30.46,30.52,287400,30.52
2013-12-31,31.99,32.50,31.62,32.05,212500,32.05
2013-12-30,32.17,32.52,31.78,31.96,93900,31.96
2013-12-27,32.90,32.90,32.04,32.10,127300,32.10
2013-12-26,32.54,33.11,32.17,33.06,296800,33.06
2013-12-24,32.48,32.84,32.29,32.43,56200,32.43
2013-12-23,31.58,32.56,31.52,32.41,185600,32.41
2013-12-20,31.43,31.77,30.82,31.42,573700,31.42
2013-12-19,32.20,32.20,31.26,31.40,285700,31.40
2013-12-18,32.30,32.82,31.87,32.29,195700,32.29
2013-12-17,32.32,32.97,31.96,32.31,143400,32.31
2013-12-16,31.67,32.70,31.59,32.29,361100,32.29
2013-12-13,31.91,32.18,31.52,31.56,124100,31.56
2013-12-12,32.21,32.22,31.66,31.90,109600,31.90
2013-12-11,32.57,32.80,31.97,32.06,190400,32.06
2013-12-10,32.50,32.75,32.38,32.39,288300,32.39
2013-12-09,32.55,32.77,32.41,32.56,136800,32.56
2013-12-06,33.49,33.58,32.48,32.54,178000,32.54
2013-12-05,33.15,33.53,33.01,33.11,159400,33.11
2013-12-04,32.68,33.46,32.47,33.24,196400,33.24
2013-12-03,33.62,33.91,32.79,32.98,271600,32.98
2013-12-02,34.71,34.84,33.68,33.82,203500,33.82
