Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,7.12,7.26,6.89,7.07,559500,7.07
2014-12-01,6.92,7.34,6.88,7.30,1158500,7.30
2014-11-28,7.35,7.35,6.80,6.87,700000,6.87
2014-11-26,7.71,7.83,7.49,7.70,598100,7.70
2014-11-25,7.69,7.81,7.40,7.79,848000,7.79
2014-11-24,7.94,7.95,7.54,7.69,1073200,7.69
2014-11-21,8.01,8.05,7.67,7.69,1115300,7.69
2014-11-20,7.72,7.91,7.60,7.69,919700,7.69
2014-11-19,8.13,8.17,7.51,7.54,1311400,7.54
2014-11-18,7.63,8.01,7.61,7.94,1470100,7.94
2014-11-17,7.10,7.31,6.85,7.31,948600,7.31
2014-11-14,6.81,7.11,6.68,7.05,1347800,7.05
2014-11-13,6.90,6.95,6.66,6.74,588000,6.74
2014-11-12,6.89,6.98,6.75,6.81,1018900,6.81
2014-11-11,6.68,6.92,6.51,6.84,1542500,6.84
2014-11-10,6.97,7.00,6.53,6.60,867300,6.60
2014-11-07,6.83,7.23,6.70,7.16,2060700,7.16
2014-11-06,6.86,7.05,6.81,6.92,1336500,6.92
2014-11-05,6.99,7.06,6.72,6.81,982400,6.81
2014-11-04,7.35,7.48,7.15,7.23,998600,7.23
2014-11-03,7.46,7.50,7.32,7.46,1344900,7.46
2014-10-31,7.46,7.58,7.31,7.35,1595900,7.35
2014-10-30,8.25,8.34,7.81,7.81,1029200,7.81
2014-10-29,8.51,8.70,8.20,8.24,657500,8.24
2014-10-28,8.69,8.75,8.57,8.72,458900,8.72
2014-10-27,8.55,8.61,8.38,8.47,645700,8.47
2014-10-24,8.65,8.77,8.53,8.55,818700,8.55
2014-10-23,8.37,8.42,8.18,8.39,663900,8.39
2014-10-22,8.48,8.49,8.14,8.14,624700,8.14
2014-10-21,8.39,8.53,8.24,8.25,702500,8.25
2014-10-20,8.25,8.30,7.93,8.26,788500,8.26
2014-10-17,8.72,8.74,8.11,8.18,1677900,8.18
2014-10-16,8.67,8.72,8.27,8.30,999200,8.30
2014-10-15,8.54,8.92,8.32,8.41,1011700,8.41
2014-10-14,8.65,8.86,8.55,8.60,802800,8.60
2014-10-13,8.55,8.99,8.51,8.63,778400,8.63
2014-10-10,8.66,8.95,8.39,8.47,1031800,8.47
2014-10-09,8.94,9.00,8.40,8.68,864800,8.68
2014-10-08,8.57,9.23,8.16,9.02,1399400,9.02
2014-10-07,8.75,8.78,8.47,8.51,589900,8.51
2014-10-06,8.52,8.66,8.39,8.61,905700,8.61
2014-10-03,8.64,8.83,8.31,8.31,659600,8.31
2014-10-02,8.73,8.78,8.67,8.76,555100,8.76
2014-10-01,8.62,8.85,8.60,8.65,737100,8.65
2014-09-30,8.56,8.84,8.45,8.48,1836200,8.48
2014-09-29,8.21,8.37,8.20,8.32,735000,8.32
2014-09-26,8.11,8.22,8.03,8.13,913200,8.13
2014-09-25,8.04,8.19,7.91,7.96,919800,7.96
2014-09-24,8.05,8.27,8.02,8.10,786200,8.10
2014-09-23,8.15,8.16,7.95,8.13,1318500,8.13
2014-09-22,8.41,8.41,7.94,7.98,865500,7.98
2014-09-19,8.56,8.80,8.50,8.65,1424800,8.65
2014-09-18,8.34,8.46,8.25,8.44,849800,8.44
2014-09-17,8.65,8.74,8.33,8.35,572400,8.35
2014-09-16,8.93,9.06,8.80,8.82,736200,8.82
2014-09-15,8.82,8.94,8.77,8.82,656500,8.82
2014-09-12,8.81,8.96,8.80,8.83,406100,8.83
2014-09-11,9.02,9.16,8.88,9.12,625700,9.12
2014-09-10,9.10,9.23,9.02,9.10,782600,9.10
2014-09-09,8.76,9.22,8.74,9.16,761900,9.16
2014-09-08,9.16,9.23,8.90,8.93,661400,8.93
2014-09-05,9.04,9.23,9.03,9.22,490700,9.22
2014-09-04,9.27,9.39,8.98,9.01,613200,9.01
2014-09-03,9.18,9.31,9.13,9.20,696000,9.20
2014-09-02,9.33,9.36,9.01,9.01,712500,9.01
2014-08-29,9.31,9.45,9.30,9.39,340700,9.39
2014-08-28,9.24,9.35,9.11,9.24,441300,9.24
2014-08-27,9.19,9.25,9.12,9.12,405200,9.12
2014-08-26,9.51,9.51,9.26,9.39,395900,9.39
2014-08-25,9.45,9.58,9.40,9.40,306800,9.40
2014-08-22,9.57,9.62,9.41,9.45,579800,9.45
2014-08-21,9.18,9.34,9.14,9.26,917100,9.26
2014-08-20,9.39,9.59,9.38,9.44,298700,9.44
2014-08-19,9.69,9.78,9.49,9.50,411300,9.31
2014-08-18,9.60,9.70,9.57,9.69,308600,9.50
2014-08-15,9.57,9.77,9.50,9.63,603700,9.44
2014-08-14,9.72,9.91,9.70,9.86,929400,9.67
2014-08-13,9.84,9.90,9.69,9.82,852700,9.63
2014-08-12,10.06,10.25,9.95,10.16,631200,9.96
2014-08-11,10.10,10.38,10.08,10.27,467200,10.07
2014-08-08,10.21,10.52,10.20,10.39,477100,10.19
2014-08-07,10.23,10.38,10.06,10.32,737100,10.12
2014-08-06,9.95,10.32,9.95,10.20,701700,10.00
2014-08-05,9.67,9.83,9.50,9.81,544700,9.62
2014-08-04,9.40,9.77,9.36,9.63,668200,9.44
2014-08-01,9.55,9.64,9.40,9.46,970200,9.27
2014-07-31,9.65,9.72,9.43,9.54,1311100,9.35
2014-07-30,9.52,9.81,9.50,9.71,539500,9.52
2014-07-29,9.96,9.97,9.76,9.88,667900,9.69
2014-07-28,10.11,10.29,9.97,9.98,1008600,9.78
2014-07-25,10.63,10.63,9.91,9.93,2339400,9.73
2014-07-24,10.95,11.09,10.88,10.98,398700,10.76
2014-07-23,11.00,11.29,10.89,10.89,597500,10.68
2014-07-22,10.90,10.99,10.77,10.89,385300,10.68
2014-07-21,10.82,11.03,10.79,10.96,749000,10.74
2014-07-18,10.39,10.84,10.38,10.83,798500,10.62
