Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,11.19,11.20,11.07,11.07,2000,11.07
2014-12-01,11.38,11.38,11.37,11.37,1600,11.37
2014-11-28,11.38,11.38,11.38,11.38,200,11.38
2014-11-26,11.38,11.38,11.04,11.21,1300,11.21
2014-11-25,11.08,11.10,11.04,11.04,3500,11.04
2014-11-24,11.27,11.28,11.15,11.15,9500,11.15
2014-11-21,11.36,11.37,11.30,11.30,4800,11.30
2014-11-20,11.26,11.54,11.25,11.40,13000,11.40
2014-11-19,11.66,11.79,11.34,11.61,8100,11.61
2014-11-18,11.26,11.66,11.26,11.66,31200,11.66
2014-11-17,11.15,11.15,11.15,11.15,1800,11.15
2014-11-14,11.15,11.35,11.15,11.15,1500,11.15
2014-11-13,11.25,11.36,11.17,11.36,2500,11.36
2014-11-12,11.15,11.22,11.15,11.22,2300,11.22
2014-11-11,11.27,11.27,11.27,11.27,000,11.27
2014-11-10,11.33,11.33,11.26,11.27,2300,11.27
2014-11-07,11.16,11.33,11.16,11.33,400,11.33
2014-11-06,11.29,11.33,11.29,11.33,800,11.33
2014-11-05,11.16,11.37,11.16,11.36,3900,11.36
2014-11-04,11.14,11.22,11.14,11.16,4000,11.16
2014-11-03,11.05,11.05,11.04,11.05,5900,11.05
2014-10-31,11.01,11.04,11.00,11.04,3900,11.04
2014-10-30,11.00,11.05,10.97,11.00,2700,11.00
2014-10-29,11.01,11.02,11.01,11.02,600,10.99
2014-10-28,11.00,11.01,10.96,11.01,1500,10.98
2014-10-27,11.00,11.01,10.99,11.00,2400,10.97
2014-10-24,11.00,11.04,11.00,11.04,1600,11.01
2014-10-23,11.00,11.00,10.95,10.95,2900,10.92
2014-10-22,11.00,11.02,10.94,10.94,8600,10.91
2014-10-21,11.08,11.08,11.01,11.05,600,11.02
2014-10-20,11.02,11.11,10.95,11.00,22300,10.97
2014-10-17,11.15,11.15,10.96,11.12,14600,11.09
2014-10-16,11.19,11.19,10.90,11.02,2000,10.99
2014-10-15,11.17,11.17,10.97,11.10,1900,11.07
2014-10-14,11.11,11.20,11.00,11.01,2600,10.98
2014-10-13,11.18,11.20,11.00,11.02,7500,10.99
2014-10-10,11.09,11.22,11.02,11.21,12500,11.18
2014-10-09,11.09,11.21,11.03,11.21,3300,11.18
2014-10-08,11.04,11.22,11.04,11.22,3100,11.19
2014-10-07,11.17,11.20,11.07,11.18,1800,11.15
2014-10-06,11.06,11.18,11.06,11.18,600,11.15
2014-10-03,11.18,11.21,11.17,11.21,4000,11.18
2014-10-02,11.16,11.17,11.16,11.17,400,11.14
2014-10-01,11.08,11.10,11.05,11.05,1000,11.02
2014-09-30,11.10,11.21,11.10,11.19,3900,11.16
2014-09-29,11.05,11.13,11.05,11.05,2000,11.02
2014-09-26,10.94,11.02,10.94,10.95,3800,10.92
2014-09-25,11.24,11.24,10.94,10.99,14100,10.96
