Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,85.06,86.10,83.83,85.22,13740300,85.22
2014-12-01,84.53,85.82,82.66,84.84,18083200,84.84
2014-11-28,86.30,86.68,83.25,85.95,18876100,85.55
2014-11-26,94.83,94.91,92.30,92.81,9882600,92.38
2014-11-25,98.81,99.02,95.05,95.20,10729600,94.76
2014-11-24,98.71,99.21,97.97,98.45,10324700,97.99
2014-11-21,98.08,98.75,96.80,97.87,9293500,97.41
2014-11-20,95.00,96.25,94.66,96.14,8198700,95.69
2014-11-19,95.12,95.75,93.93,95.00,6553200,94.56
2014-11-18,96.67,96.67,94.95,95.28,5971400,94.84
2014-11-17,95.25,96.50,94.94,95.63,8499600,95.18
2014-11-14,96.26,96.85,94.42,95.32,11825000,94.88
2014-11-13,96.61,97.47,92.72,94.85,18116000,94.41
2014-11-12,97.75,99.69,97.24,97.43,6679000,96.98
2014-11-11,98.37,98.49,96.75,98.36,6111500,97.90
2014-11-10,99.45,100.54,98.18,98.29,7972900,97.83
2014-11-07,97.39,99.93,97.27,98.73,7826000,98.27
2014-11-06,95.50,97.08,94.10,96.98,9507500,96.53
2014-11-05,94.58,97.15,94.15,96.64,7443600,96.19
2014-11-04,95.52,95.52,93.44,94.16,9568200,93.72
2014-11-03,98.02,99.18,96.16,96.52,7732700,96.07
2014-10-31,96.80,98.80,96.54,98.66,8293900,98.20
2014-10-30,96.88,97.91,96.03,97.62,5104000,97.17
2014-10-29,97.87,98.66,96.45,97.41,7375200,96.96
2014-10-28,94.23,96.75,93.54,96.51,8307400,96.06
2014-10-27,95.31,95.31,92.45,93.52,15256800,93.08
2014-10-24,98.20,98.20,96.28,97.24,7489500,96.79
2014-10-23,98.21,99.40,97.07,98.26,7767700,97.80
2014-10-22,98.18,98.66,95.93,95.99,8312300,95.54
2014-10-21,96.96,97.75,95.67,97.75,9180700,97.30
2014-10-20,94.52,94.94,93.75,94.60,8209900,94.16
2014-10-17,97.31,98.44,93.08,93.97,17948500,93.53
2014-10-16,86.75,91.22,86.00,90.64,15422000,90.22
2014-10-15,87.90,89.78,86.20,89.21,18304100,88.79
2014-10-14,91.10,92.52,88.21,88.96,14772500,88.55
2014-10-13,92.83,94.23,90.74,90.93,13965300,90.51
2014-10-10,94.10,94.97,92.07,93.07,13965100,92.64
2014-10-09,97.96,97.97,94.70,94.92,14844800,94.48
2014-10-08,97.70,98.53,95.75,98.44,10521000,97.98
2014-10-07,98.18,100.18,97.55,98.23,9573500,97.77
2014-10-06,98.38,99.82,97.63,98.56,6058800,98.10
2014-10-03,98.24,98.45,96.55,97.90,6807000,97.44
2014-10-02,98.14,98.45,96.80,97.78,10864100,97.32
2014-10-01,101.41,102.40,98.38,98.85,8674100,98.39
2014-09-30,103.63,104.38,101.32,101.69,8082800,101.22
2014-09-29,102.25,103.64,101.62,103.28,7040600,102.80
2014-09-26,101.35,103.62,100.85,103.46,6353800,102.98
2014-09-25,103.39,103.43,100.37,101.01,7353300,100.54
2014-09-24,102.21,102.78,100.30,102.07,6742900,101.59
2014-09-23,101.81,103.07,101.25,102.09,4969000,101.61
2014-09-22,103.24,103.24,101.24,101.72,5644100,101.25
2014-09-19,104.57,105.18,103.21,103.21,9520200,102.73
2014-09-18,103.78,104.94,103.32,104.47,6514100,103.98
2014-09-17,105.41,105.82,103.10,103.31,8185000,102.83
2014-09-16,102.87,105.85,102.86,104.96,6676400,104.47
2014-09-15,102.03,103.60,101.85,103.05,5737800,102.57
2014-09-12,103.73,104.08,102.09,102.22,7383100,101.74
2014-09-11,103.22,104.90,103.00,104.45,5823100,103.96
2014-09-10,104.07,104.43,102.75,104.27,5709500,103.78
2014-09-09,104.67,105.42,103.26,103.97,6221300,103.49
2014-09-08,105.92,105.99,103.77,104.49,7000000,104.00
2014-09-05,106.03,106.79,104.89,106.76,5971700,106.26
2014-09-04,108.24,108.27,105.09,105.64,7410500,105.15
2014-09-03,109.25,109.93,108.11,108.17,4598900,107.67
2014-09-02,109.63,109.66,107.52,108.06,6242700,107.56
