Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,27.38,27.97,27.29,27.64,1438400,27.64
2014-12-01,27.26,27.57,27.01,27.39,959000,27.39
2014-11-28,26.98,27.88,26.95,27.19,394900,27.19
2014-11-26,26.46,26.82,26.35,26.72,1276800,26.72
2014-11-25,26.33,26.99,26.29,26.48,708600,26.48
2014-11-24,25.36,26.49,25.21,26.38,1020200,26.38
2014-11-21,25.63,25.66,25.25,25.30,638600,25.30
2014-11-20,25.15,25.67,25.04,25.38,622900,25.38
2014-11-19,25.09,25.27,24.91,25.17,482200,25.17
2014-11-18,24.86,25.37,24.85,25.17,658000,25.17
2014-11-17,25.07,25.33,24.80,24.80,478800,24.80
2014-11-14,25.43,25.68,25.08,25.09,507100,25.09
2014-11-13,25.18,25.53,24.98,25.42,735800,25.42
2014-11-12,25.07,25.35,24.96,25.14,524200,25.14
2014-11-11,25.18,25.32,24.87,25.07,447100,25.07
2014-11-10,25.00,25.38,24.88,25.19,475600,25.19
2014-11-07,24.95,25.23,24.72,24.98,607800,24.98
2014-11-06,25.13,25.37,24.95,25.13,881900,25.04
2014-11-05,25.67,25.94,25.01,25.19,976800,25.10
2014-11-04,25.12,25.92,24.95,25.55,896000,25.46
2014-11-03,24.61,25.22,24.52,25.17,806200,25.08
2014-10-31,25.15,25.39,24.83,25.21,903300,25.12
2014-10-30,25.17,25.47,24.82,24.89,821400,24.80
2014-10-29,25.04,25.30,24.92,25.19,825800,25.10
2014-10-28,24.73,25.09,24.61,25.07,659500,24.98
2014-10-27,24.71,24.90,24.47,24.66,652500,24.57
2014-10-24,24.24,25.07,24.21,24.91,765000,24.82
2014-10-23,24.68,24.75,24.13,24.30,1347000,24.21
2014-10-22,24.51,24.89,24.02,24.52,1705300,24.43
2014-10-21,23.47,24.19,23.33,23.57,1451500,23.49
2014-10-20,23.45,24.00,23.25,23.72,722200,23.64
2014-10-17,23.76,23.96,23.16,23.56,788800,23.48
2014-10-16,22.50,23.49,22.10,23.46,717200,23.38
2014-10-15,23.00,23.09,22.34,22.86,864900,22.78
2014-10-14,22.92,23.54,22.92,23.24,946500,23.16
2014-10-13,23.12,23.58,22.78,22.78,1357300,22.70
2014-10-10,22.71,23.36,22.63,23.07,831100,22.99
2014-10-09,22.80,23.08,22.64,22.84,764300,22.76
2014-10-08,22.36,22.89,22.30,22.79,652400,22.71
2014-10-07,22.99,23.24,22.47,22.47,650000,22.39
2014-10-06,23.00,23.49,22.95,23.13,1068300,23.05
2014-10-03,22.65,23.10,22.55,22.86,890200,22.78
2014-10-02,22.13,22.54,22.01,22.44,650800,22.36
2014-10-01,22.31,22.41,22.10,22.16,901500,22.08
2014-09-30,22.69,22.70,22.36,22.36,597600,22.28
2014-09-29,22.17,22.63,22.09,22.57,727900,22.49
2014-09-26,21.41,22.49,21.30,22.30,1157400,22.22
2014-09-25,21.58,21.78,21.25,21.41,566600,21.33
2014-09-24,21.44,21.70,21.27,21.65,646300,21.57
2014-09-23,21.61,21.67,21.39,21.45,727300,21.37
2014-09-22,21.77,21.80,21.43,21.75,690300,21.67
2014-09-19,22.09,22.14,21.45,21.85,647600,21.77
2014-09-18,21.65,22.11,21.51,22.06,501900,21.98
2014-09-17,21.66,21.81,21.28,21.61,1110000,21.53
2014-09-16,21.60,21.64,21.45,21.55,669300,21.47
2014-09-15,21.78,21.78,21.45,21.67,366600,21.59
2014-09-12,22.09,22.15,21.83,21.87,448600,21.79
2014-09-11,22.01,22.50,21.86,22.03,649700,21.95
2014-09-10,22.00,22.27,21.85,22.17,641100,22.09
2014-09-09,21.76,22.05,21.62,21.96,799600,21.88
2014-09-08,21.55,21.87,21.37,21.87,702300,21.79
2014-09-05,21.54,21.74,21.45,21.63,364700,21.55
2014-09-04,21.65,22.04,21.42,21.59,388300,21.51
2014-09-03,21.80,22.00,21.43,21.61,524400,21.53
2014-09-02,21.11,21.53,21.10,21.38,751300,21.30
2014-08-29,21.25,21.42,21.04,21.11,294600,21.03
2014-08-28,20.71,21.40,20.47,21.20,596300,21.12
2014-08-27,20.89,21.10,20.62,20.76,549700,20.69
2014-08-26,21.41,21.57,20.87,20.90,983600,20.83
2014-08-25,21.48,21.62,21.36,21.40,574000,21.32
2014-08-22,21.22,21.42,21.18,21.32,536200,21.24
2014-08-21,21.47,21.62,21.21,21.24,434500,21.16
2014-08-20,21.87,21.89,21.41,21.48,604400,21.40
2014-08-19,22.06,22.18,21.89,21.98,273000,21.90
2014-08-18,21.76,22.14,21.63,22.09,415000,22.01
2014-08-15,21.75,21.98,21.42,21.58,631900,21.50
2014-08-14,21.98,22.19,21.34,21.55,635300,21.47
2014-08-13,21.87,22.37,21.87,22.05,432100,21.97
2014-08-12,22.09,22.24,21.68,21.82,637100,21.74
2014-08-11,22.23,22.54,22.13,22.21,583900,22.13
2014-08-08,21.30,22.37,21.19,22.11,1077400,22.03
2014-08-07,20.61,21.16,20.59,21.06,556900,20.98
2014-08-06,20.75,20.82,20.25,20.43,681800,20.36
2014-08-05,20.93,21.25,20.75,20.91,341800,20.84
2014-08-04,20.75,21.09,20.34,21.07,490100,20.99
2014-08-01,20.71,20.94,20.52,20.70,354300,20.63
2014-07-31,20.87,21.09,20.57,20.65,533400,20.58
2014-07-30,21.45,21.52,20.94,21.13,369400,21.05
2014-07-29,21.29,21.50,21.22,21.31,488900,21.23
2014-07-28,21.38,21.65,21.14,21.17,413000,21.09
2014-07-25,21.32,21.51,21.23,21.40,374800,21.32
2014-07-24,21.51,21.78,21.40,21.48,295600,21.40
2014-07-23,21.57,21.71,21.39,21.51,402400,21.43
2014-07-22,21.18,21.76,21.15,21.57,845700,21.49
2014-07-21,21.17,21.17,20.88,21.13,689300,21.05
