Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.92,1.93,1.75,1.75,9300,1.75
2014-12-01,1.48,1.92,1.48,1.88,24200,1.88
2014-11-28,1.50,1.50,1.49,1.50,4300,1.50
2014-11-26,1.59,1.60,1.59,1.60,500,1.60
2014-11-25,1.55,1.55,1.54,1.55,1800,1.55
2014-11-24,1.48,1.60,1.45,1.60,10300,1.60
2014-11-21,1.49,1.51,1.49,1.49,800,1.49
2014-11-20,1.54,1.65,1.54,1.58,4000,1.58
2014-11-19,1.63,1.64,1.50,1.64,4500,1.64
2014-11-18,1.54,1.58,1.47,1.58,5600,1.58
2014-11-17,1.60,1.60,1.43,1.56,7200,1.56
2014-11-14,1.64,1.82,1.56,1.69,4400,1.69
2014-11-13,1.61,1.61,1.60,1.61,2100,1.61
2014-11-12,1.65,1.65,1.64,1.64,1500,1.64
2014-11-11,1.60,1.60,1.60,1.60,800,1.60
2014-11-10,1.62,1.62,1.62,1.62,500,1.62
2014-11-07,1.60,1.60,1.60,1.60,000,1.60
2014-11-06,1.60,1.64,1.58,1.60,6400,1.60
2014-11-05,1.59,1.70,1.59,1.67,1300,1.67
2014-11-04,1.76,1.76,1.60,1.61,5600,1.61
2014-11-03,1.65,1.65,1.64,1.64,1200,1.64
2014-10-31,1.74,1.75,1.62,1.68,14800,1.68
2014-10-30,1.75,1.76,1.68,1.68,5000,1.68
2014-10-29,1.82,1.84,1.82,1.84,4900,1.84
2014-10-28,1.73,1.83,1.73,1.76,4000,1.76
2014-10-27,1.80,1.80,1.68,1.72,7100,1.72
2014-10-24,1.94,1.94,1.66,1.75,38700,1.75
2014-10-23,1.99,2.00,1.99,2.00,2000,2.00
2014-10-22,1.92,1.96,1.89,1.92,1400,1.92
2014-10-21,1.93,2.01,1.92,1.92,3400,1.92
2014-10-20,1.98,2.10,1.85,2.01,12500,2.01
2014-10-17,1.93,2.05,1.93,2.05,400,2.05
2014-10-16,1.93,1.93,1.93,1.93,000,1.93
2014-10-15,1.93,1.93,1.93,1.93,1700,1.93
2014-10-14,2.06,2.06,2.06,2.06,000,2.06
2014-10-13,2.06,2.06,2.06,2.06,000,2.06
2014-10-10,1.87,2.06,1.87,2.06,500,2.06
2014-10-09,2.02,2.02,2.02,2.02,000,2.02
2014-10-08,1.87,2.02,1.87,2.02,1200,2.02
2014-10-07,1.96,1.96,1.88,1.92,2100,1.92
2014-10-06,1.97,1.97,1.97,1.97,200,1.97
2014-10-03,2.00,2.00,2.00,2.00,000,2.00
2014-10-02,2.00,2.06,2.00,2.00,600,2.00
2014-10-01,2.08,2.08,2.08,2.08,000,2.08
2014-09-30,2.00,2.08,2.00,2.08,2500,2.08
2014-09-29,2.02,2.22,1.92,2.13,4800,2.13
2014-09-26,2.05,2.06,1.99,2.06,700,2.06
2014-09-25,2.03,2.18,1.90,2.18,12000,2.18
2014-09-24,1.97,2.07,1.84,2.06,12200,2.06
2014-09-23,1.79,1.90,1.78,1.90,7700,1.90
2014-09-22,1.92,2.05,1.89,1.91,2100,1.91
2014-09-19,1.87,2.03,1.87,2.03,3500,2.03
2014-09-18,1.87,2.09,1.86,1.95,29300,1.95
2014-09-17,1.99,1.99,1.96,1.99,1800,1.99
2014-09-16,1.90,2.34,1.80,2.07,191100,2.05
2014-09-15,1.82,1.96,1.82,1.92,24700,1.91
2014-09-12,1.93,1.93,1.92,1.92,5400,1.91
2014-09-11,1.92,2.01,1.92,2.01,1500,2.00
2014-09-10,1.91,2.03,1.91,1.96,5400,1.95
2014-09-09,1.94,1.94,1.94,1.94,000,1.93
2014-09-08,1.94,1.94,1.94,1.94,200,1.93
2014-09-05,2.01,2.03,2.01,2.03,2300,2.02
2014-09-04,2.02,2.02,2.02,2.02,400,2.01
2014-09-03,2.03,2.03,1.97,1.98,1600,1.97
2014-09-02,2.05,2.05,1.93,1.94,52600,1.93
2014-08-29,1.97,2.04,1.95,2.03,34000,2.02
2014-08-28,1.96,1.96,1.95,1.95,1100,1.94
2014-08-27,1.97,1.99,1.97,1.99,1100,1.98
2014-08-26,1.99,1.99,1.91,1.91,2200,1.90
2014-08-25,1.94,2.05,1.94,2.00,10000,1.99
2014-08-22,1.99,2.00,1.96,2.00,13200,1.99
2014-08-21,2.10,2.11,1.97,2.03,13000,2.02
