Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,19.65,20.10,19.65,19.93,582900,19.93
2014-12-01,20.14,20.28,19.30,19.67,486900,19.67
2014-11-28,19.71,20.62,19.62,20.49,319600,20.49
2014-11-26,19.88,19.91,19.51,19.73,490900,19.59
2014-11-25,20.10,20.24,19.71,19.78,522100,19.64
2014-11-24,19.66,20.11,19.63,19.89,716300,19.75
2014-11-21,19.77,20.00,19.53,19.57,693600,19.43
2014-11-20,19.10,19.57,18.87,19.37,1184600,19.23
2014-11-19,17.88,19.34,17.81,18.79,2105200,18.66
2014-11-18,15.95,16.16,15.71,15.74,460500,15.63
2014-11-17,16.11,16.17,15.85,15.94,621300,15.83
2014-11-14,16.24,16.30,15.81,16.18,610600,16.07
2014-11-13,17.06,17.14,16.10,16.29,370000,16.17
2014-11-12,16.77,17.31,16.66,17.09,460400,16.97
2014-11-11,16.59,16.76,16.43,16.74,211200,16.62
2014-11-10,17.21,17.35,16.35,16.58,322000,16.46
2014-11-07,16.98,17.28,16.84,17.24,289200,17.12
2014-11-06,16.88,17.33,16.80,17.08,305500,16.96
2014-11-05,17.05,17.30,16.76,16.96,246200,16.84
2014-11-04,16.76,17.10,16.39,16.93,323900,16.81
2014-11-03,16.78,17.11,16.71,16.86,194300,16.74
2014-10-31,17.27,17.28,16.84,16.87,258300,16.75
2014-10-30,16.48,17.03,16.48,16.98,249600,16.86
2014-10-29,16.72,17.07,16.33,16.57,433600,16.45
2014-10-28,16.77,17.10,16.48,16.70,471500,16.58
2014-10-27,16.82,16.82,16.46,16.73,282400,16.61
2014-10-24,16.60,16.95,16.33,16.84,183200,16.72
2014-10-23,16.86,17.14,16.56,16.58,411600,16.46
2014-10-22,17.11,17.30,16.70,16.75,120100,16.63
2014-10-21,16.89,17.22,16.82,17.11,195200,16.99
2014-10-20,16.04,16.80,16.04,16.78,253700,16.66
2014-10-17,16.80,17.43,16.13,16.15,570700,16.04
