Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.02,1.02,1.02,1.02,000,1.02
2014-12-01,1.00,1.02,1.00,1.02,1000,1.02
2014-11-28,1.02,1.02,1.02,1.02,000,1.02
2014-11-26,0.99,1.02,0.98,1.02,25600,1.02
2014-11-25,1.00,1.00,1.00,1.00,16200,1.00
2014-11-24,0.98,1.00,0.98,1.00,700,1.00
2014-11-21,1.01,1.02,1.00,1.02,1200,1.02
2014-11-20,1.03,1.03,1.00,1.02,1200,1.02
2014-11-19,1.03,1.04,1.02,1.02,1000,1.02
2014-11-18,1.02,1.02,1.02,1.02,000,1.02
2014-11-17,1.02,1.02,1.02,1.02,900,1.02
2014-11-14,0.97,1.04,0.96,1.04,5100,1.04
2014-11-13,1.06,1.06,1.03,1.03,300,1.03
2014-11-12,1.10,1.12,0.99,1.02,24400,1.02
2014-11-11,1.06,1.12,1.05,1.05,5200,1.05
2014-11-10,1.07,1.08,1.04,1.04,3300,1.04
2014-11-07,1.06,1.06,1.04,1.06,8100,1.06
2014-11-06,1.04,1.08,1.03,1.04,19200,1.04
2014-11-05,1.20,1.28,1.04,1.05,89600,1.05
2014-11-04,0.95,1.32,0.95,1.32,86100,1.32
2014-11-03,0.96,0.96,0.95,0.95,6000,0.95
2014-10-31,0.98,1.01,0.97,1.01,8800,1.01
2014-10-30,1.02,1.02,0.96,0.97,3100,0.97
2014-10-29,1.00,1.00,1.00,1.00,000,1.00
2014-10-28,1.00,1.00,1.00,1.00,5700,1.00
2014-10-27,1.00,1.00,1.00,1.00,000,1.00
2014-10-24,1.00,1.00,1.00,1.00,000,1.00
2014-10-23,1.00,1.00,1.00,1.00,000,1.00
2014-10-22,1.01,1.01,1.00,1.00,800,1.00
2014-10-21,0.97,0.97,0.97,0.97,000,0.97
2014-10-20,0.97,0.97,0.97,0.97,600,0.97
2014-10-17,1.00,1.00,1.00,1.00,16700,1.00
2014-10-16,0.97,0.97,0.97,0.97,200,0.97
2014-10-15,0.98,0.99,0.98,0.99,400,0.99
2014-10-14,0.98,0.98,0.97,0.97,800,0.97
2014-10-13,1.00,1.00,1.00,1.00,2600,1.00
2014-10-10,0.99,0.99,0.99,0.99,1000,0.99
2014-10-09,1.00,1.00,0.99,1.00,5500,1.00
2014-10-08,1.00,1.01,1.00,1.01,2300,1.01
2014-10-07,1.00,1.01,0.95,1.01,23100,1.01
2014-10-06,1.00,1.00,0.95,1.00,5800,1.00
2014-10-03,1.03,1.03,1.03,1.03,000,1.03
2014-10-02,1.03,1.03,1.03,1.03,000,1.03
2014-10-01,1.03,1.03,1.03,1.03,100,1.03
2014-09-30,1.01,1.05,1.00,1.05,1900,1.05
2014-09-29,1.04,1.05,1.04,1.04,1500,1.04
2014-09-26,1.01,1.04,0.95,1.04,29700,1.04
2014-09-25,1.05,1.05,1.00,1.00,27200,1.00
2014-09-24,1.05,1.05,1.05,1.05,000,1.05
2014-09-23,1.05,1.05,1.00,1.05,12400,1.05
2014-09-22,1.02,1.05,1.02,1.05,2400,1.05
2014-09-19,1.02,1.05,1.02,1.05,4200,1.05
2014-09-18,1.03,1.05,1.02,1.05,10700,1.05
2014-09-17,1.03,1.03,1.03,1.03,200,1.03
2014-09-16,1.03,1.08,1.02,1.03,6400,1.03
2014-09-15,1.02,1.08,1.02,1.08,1100,1.08
2014-09-12,1.04,1.04,1.04,1.04,2600,1.04
2014-09-11,1.04,1.04,1.04,1.04,200,1.04
2014-09-10,1.02,1.04,1.02,1.04,1500,1.04
2014-09-09,1.01,1.05,1.01,1.02,3300,1.02
2014-09-08,1.00,1.02,1.00,1.01,1700,1.01
2014-09-05,1.06,1.06,1.06,1.06,4000,1.06
2014-09-04,1.05,1.05,1.00,1.04,31900,1.04
2014-09-03,1.01,1.07,1.01,1.01,1400,1.01
2014-09-02,1.03,1.06,0.99,1.01,11700,1.01
2014-08-29,1.01,1.03,0.97,1.03,7200,1.03
2014-08-28,0.99,1.02,0.99,0.99,500,0.99
2014-08-27,0.99,1.00,0.99,1.00,7300,1.00
2014-08-26,1.00,1.00,0.96,1.00,15800,1.00
2014-08-25,1.02,1.03,1.00,1.00,15700,1.00
2014-08-22,1.02,1.02,1.02,1.02,100,1.02
2014-08-21,0.99,0.99,0.99,0.99,300,0.99
2014-08-20,1.00,1.00,0.99,0.99,5600,0.99
2014-08-19,1.01,1.01,0.99,1.01,6800,1.01
2014-08-18,1.00,1.00,1.00,1.00,000,1.00
2014-08-15,1.00,1.00,1.00,1.00,000,1.00
2014-08-14,1.00,1.00,1.00,1.00,000,1.00
2014-08-13,1.00,1.00,1.00,1.00,000,1.00
2014-08-12,1.00,1.00,1.00,1.00,100,1.00
2014-08-11,1.03,1.03,1.00,1.00,400,1.00
2014-08-08,1.00,1.00,1.00,1.00,200,1.00
2014-08-07,0.98,1.05,0.98,1.05,8600,1.05
2014-08-06,1.03,1.03,0.95,0.95,1900,0.95
2014-08-05,0.98,0.98,0.98,0.98,000,0.98
2014-08-04,0.98,0.98,0.98,0.98,100,0.98
2014-08-01,0.97,1.00,0.97,0.97,5400,0.97
2014-07-31,0.98,0.98,0.96,0.97,7100,0.97
2014-07-30,1.02,1.02,1.02,1.02,000,1.02
2014-07-29,1.02,1.02,1.02,1.02,000,1.02
2014-07-28,1.02,1.04,0.98,1.02,4800,1.02
2014-07-25,1.05,1.05,1.00,1.00,1700,1.00
2014-07-24,1.05,1.05,1.00,1.02,2500,1.02
2014-07-23,1.09,1.09,0.96,1.00,70600,1.00
2014-07-22,0.98,1.06,0.98,0.98,7700,0.98
2014-07-21,1.00,1.00,0.99,0.99,300,0.99
