Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,12.28,12.32,12.04,12.19,206000,12.19
2014-12-01,12.25,12.39,12.11,12.22,385100,12.22
2014-11-28,12.39,12.53,12.19,12.26,339100,12.26
2014-11-26,13.11,13.20,12.59,12.76,546800,12.76
2014-11-25,13.10,13.21,12.84,13.13,223400,13.13
2014-11-24,12.75,13.11,12.60,13.08,296300,13.08
2014-11-21,12.60,12.84,12.52,12.75,299300,12.75
2014-11-20,12.30,12.51,12.09,12.48,142600,12.48
2014-11-19,12.51,12.51,12.21,12.33,158300,12.33
2014-11-18,12.38,12.64,12.36,12.50,264900,12.50
2014-11-17,12.81,12.88,12.13,12.40,364000,12.40
2014-11-14,12.53,12.79,12.50,12.74,162600,12.74
2014-11-13,12.41,12.56,12.27,12.50,354300,12.50
2014-11-12,12.78,12.82,12.25,12.45,284500,12.45
2014-11-11,12.94,12.94,12.61,12.86,270200,12.86
2014-11-10,13.20,13.27,12.93,12.99,265000,12.99
2014-11-07,13.13,13.23,12.71,13.15,555100,13.15
2014-11-06,12.38,12.90,12.38,12.89,287700,12.89
2014-11-05,12.76,12.76,12.39,12.43,305100,12.43
2014-11-04,12.62,12.87,12.60,12.73,171700,12.73
2014-11-03,12.74,12.89,12.50,12.62,241100,12.62
2014-10-31,12.54,12.77,12.50,12.74,212900,12.74
2014-10-30,12.19,12.71,12.19,12.48,220600,12.48
2014-10-29,12.20,12.32,12.11,12.19,153000,12.19
2014-10-28,11.90,12.23,11.80,12.21,533800,12.21
2014-10-27,11.49,11.80,11.47,11.76,229700,11.76
2014-10-24,11.67,11.93,11.43,11.59,187000,11.59
2014-10-23,11.34,11.70,11.25,11.69,248200,11.69
2014-10-22,11.36,11.51,11.22,11.24,251600,11.24
2014-10-21,11.05,11.44,11.05,11.29,193700,11.29
2014-10-20,11.02,11.28,10.96,11.00,306500,11.00
2014-10-17,10.90,11.08,10.52,11.02,331300,11.02
2014-10-16,10.53,10.79,10.43,10.75,383400,10.75
2014-10-15,10.80,10.85,10.21,10.74,332600,10.74
2014-10-14,10.94,11.22,10.61,10.88,520300,10.88
2014-10-13,11.20,11.27,10.83,10.84,431100,10.84
2014-10-10,11.72,11.82,11.26,11.29,212900,11.29
2014-10-09,12.28,12.39,11.75,11.77,192900,11.77
2014-10-08,12.20,12.33,11.78,12.31,379400,12.31
2014-10-07,12.28,12.48,12.17,12.18,262100,12.18
2014-10-06,12.17,12.35,12.05,12.27,276500,12.27
2014-10-03,12.38,12.77,11.96,12.11,1190500,12.11
2014-10-02,12.35,12.41,12.08,12.34,267600,12.34
2014-10-01,11.94,12.36,11.87,12.35,399500,12.35
2014-09-30,12.40,12.47,11.97,12.05,694400,12.05
2014-09-29,12.59,12.77,12.38,12.46,389400,12.46
2014-09-26,12.70,12.80,12.52,12.77,228900,12.77
2014-09-25,13.03,13.03,12.52,12.74,535200,12.74
2014-09-24,13.05,13.07,12.81,13.07,279300,13.07
2014-09-23,13.25,13.25,12.85,13.01,504500,13.01
2014-09-22,13.19,13.52,13.05,13.34,456900,13.34
2014-09-19,13.84,13.85,13.15,13.27,671100,13.27
2014-09-18,13.75,13.91,13.54,13.84,309700,13.84
2014-09-17,13.51,14.02,13.42,13.78,981200,13.78
2014-09-16,14.06,14.15,13.51,13.51,804800,13.51
2014-09-15,14.18,14.24,13.91,14.22,634400,14.22
2014-09-12,13.92,14.15,13.71,14.11,646300,14.11
2014-09-11,13.35,14.01,13.35,13.93,916000,13.93
2014-09-10,13.97,13.99,13.11,13.55,1041100,13.55
2014-09-09,14.00,14.10,13.58,13.93,1247700,13.93
2014-09-08,13.97,14.08,13.85,13.97,1040100,13.97
2014-09-05,13.39,13.76,13.30,13.71,1869000,13.71
2014-09-04,13.13,13.44,12.99,13.30,1066100,13.30
2014-09-03,12.56,13.13,12.44,13.03,1544600,13.03
2014-09-02,12.45,12.60,12.37,12.48,1979900,12.48
2014-08-29,13.25,13.38,12.23,12.26,2873900,12.26
2014-08-28,11.26,11.76,11.15,11.70,395000,11.70
2014-08-27,11.17,11.30,11.10,11.23,199000,11.23
2014-08-26,11.09,11.29,11.07,11.14,176000,11.14
2014-08-25,11.04,11.14,10.91,11.07,223900,11.07
2014-08-22,11.18,11.22,10.94,11.00,166300,11.00
2014-08-21,11.28,11.32,11.15,11.19,209700,11.19
2014-08-20,11.16,11.27,11.12,11.20,171400,11.20
2014-08-19,11.20,11.28,11.11,11.15,101000,11.15
2014-08-18,11.33,11.35,11.15,11.20,179700,11.20
2014-08-15,11.10,11.22,11.00,11.19,150700,11.19
2014-08-14,10.85,11.09,10.83,11.08,78500,11.08
2014-08-13,10.94,10.97,10.85,10.88,26000,10.88
2014-08-12,10.95,11.15,10.82,10.89,170400,10.89
2014-08-11,11.14,11.27,10.96,10.97,124800,10.97
2014-08-08,10.83,11.09,10.83,11.07,53800,11.07
2014-08-07,10.85,10.94,10.83,10.85,55300,10.85
2014-08-06,10.52,11.00,10.52,10.87,99500,10.87
2014-08-05,10.58,10.62,10.38,10.56,143700,10.56
2014-08-04,10.50,10.63,10.38,10.56,103300,10.56
2014-08-01,10.67,10.71,10.45,10.49,33000,10.49
