Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,16.71,17.02,16.61,16.97,1745800,16.97
2014-12-01,16.95,17.02,16.57,16.63,1207400,16.63
2014-11-28,17.35,17.41,16.97,16.99,590700,16.99
2014-11-26,17.30,17.35,17.21,17.30,485600,17.30
2014-11-25,17.29,17.35,17.18,17.26,1171200,17.26
2014-11-24,17.18,17.33,16.97,17.29,1178400,17.29
2014-11-21,17.34,17.41,16.99,17.11,1695900,17.11
2014-11-20,17.00,17.19,16.97,17.19,2367000,17.19
2014-11-19,17.48,17.48,16.95,17.10,2300500,17.10
2014-11-18,17.47,17.49,17.24,17.27,2640700,17.27
2014-11-17,16.98,17.66,16.98,17.40,2361100,17.40
2014-11-14,17.62,17.76,17.49,17.64,2601900,17.64
2014-11-13,17.00,17.88,17.00,17.64,1416800,17.64
2014-11-12,17.63,17.89,17.48,17.84,2784700,17.84
2014-11-11,17.95,17.98,17.65,17.69,1731500,17.69
2014-11-10,17.82,17.97,17.74,17.95,1419700,17.95
2014-11-07,17.67,17.80,17.55,17.79,2338300,17.79
2014-11-06,17.49,17.67,17.43,17.65,2254400,17.65
2014-11-05,17.34,17.63,17.17,17.48,3669400,17.48
2014-11-04,17.01,17.24,16.95,17.16,18693800,17.16
2014-11-03,17.59,17.84,17.43,17.60,1990300,17.60
2014-10-31,17.53,17.61,17.34,17.60,1403700,17.60
2014-10-30,17.02,17.29,16.90,17.25,1131500,17.25
2014-10-29,16.91,17.14,16.75,17.13,1325500,17.13
2014-10-28,16.47,16.95,16.39,16.93,1748400,16.93
2014-10-27,16.14,16.38,16.14,16.36,1148500,16.36
2014-10-24,16.22,16.30,16.03,16.27,892300,16.27
2014-10-23,16.30,16.47,16.13,16.18,2736400,16.18
2014-10-22,16.41,16.47,14.94,16.09,1632900,16.09
2014-10-21,15.99,16.39,15.95,16.35,1468200,16.35
2014-10-20,15.95,16.09,15.80,15.93,1545100,15.93
2014-10-17,16.39,16.39,15.98,16.04,1508700,16.04
2014-10-16,15.54,16.26,15.54,16.18,2229700,16.18
2014-10-15,15.80,15.98,15.36,15.78,2742400,15.78
2014-10-14,16.18,16.41,16.12,16.16,2427000,16.16
2014-10-13,15.96,16.24,15.88,16.08,1441700,16.08
2014-10-10,15.91,16.18,15.91,15.92,1398200,15.92
2014-10-09,16.44,16.53,16.00,16.00,1878800,16.00
2014-10-08,16.00,16.52,16.00,16.50,1635500,16.50
2014-10-07,16.21,16.36,15.97,15.97,1324300,15.97
2014-10-06,16.39,16.53,16.19,16.32,885700,16.32
2014-10-03,16.52,16.69,16.34,16.35,834400,16.35
2014-10-02,16.24,16.46,16.09,16.36,1155900,16.36
2014-10-01,16.48,16.55,16.15,16.23,2020800,16.23
2014-09-30,16.63,16.82,16.47,16.47,1840700,16.47
2014-09-29,16.32,16.61,16.29,16.59,1804400,16.59
2014-09-26,16.33,16.49,16.22,16.48,1301500,16.48
2014-09-25,16.71,16.71,16.39,16.48,1405200,16.33
2014-09-24,16.71,16.76,16.50,16.74,1306900,16.59
2014-09-23,16.95,16.98,16.66,16.66,1945800,16.51
2014-09-22,17.29,17.33,16.95,16.95,1190800,16.80
2014-09-19,17.55,17.63,17.25,17.34,2980100,17.18
2014-09-18,17.41,17.66,17.40,17.51,1030500,17.35
2014-09-17,17.29,17.55,17.06,17.32,969500,17.16
2014-09-16,17.38,17.54,17.16,17.29,1549300,17.13
2014-09-15,17.53,17.64,17.35,17.43,709800,17.27
2014-09-12,17.63,17.71,17.41,17.55,1597500,17.39
2014-09-11,17.49,17.64,17.42,17.62,1197800,17.46
2014-09-10,17.39,17.65,17.39,17.58,845200,17.42
2014-09-09,17.48,17.48,17.24,17.39,979900,17.23
2014-09-08,17.43,17.51,17.34,17.50,656000,17.34
2014-09-05,17.42,17.52,17.18,17.45,1142300,17.29
2014-09-04,17.53,17.64,17.35,17.41,684400,17.25
2014-09-03,17.73,17.84,17.42,17.47,2195700,17.31
2014-09-02,17.53,17.84,17.53,17.70,1362900,17.54
2014-08-29,17.37,17.48,17.28,17.47,757900,17.31
2014-08-28,17.38,17.51,17.23,17.36,986500,17.20
2014-08-27,17.64,17.64,17.42,17.43,1159500,17.27
2014-08-26,17.60,17.70,17.50,17.67,1272600,17.51
2014-08-25,17.68,17.79,17.58,17.60,1203900,17.44
2014-08-22,17.49,17.62,17.33,17.59,1539300,17.43
2014-08-21,17.25,17.59,17.06,17.53,1689500,17.37
2014-08-20,17.19,17.28,16.96,17.19,1284900,17.03
2014-08-19,17.21,17.34,17.17,17.25,1080100,17.09
2014-08-18,16.96,17.26,16.83,17.22,1292500,17.06
2014-08-15,17.06,17.06,16.67,16.82,1627000,16.67
2014-08-14,16.97,17.07,16.87,16.92,1130500,16.77
2014-08-13,16.72,17.01,16.72,16.96,1730500,16.81
2014-08-12,16.66,16.79,16.61,16.68,1288800,16.53
2014-08-11,16.64,16.85,16.60,16.70,1693600,16.55
2014-08-08,16.52,16.57,16.38,16.56,2606400,16.41
2014-08-07,16.46,16.72,16.30,16.48,10867900,16.33
2014-08-06,16.50,16.72,16.48,16.69,1170000,16.54
2014-08-05,16.47,16.70,16.45,16.58,849300,16.43
2014-08-04,16.67,16.86,16.43,16.57,939800,16.42
2014-08-01,16.93,16.96,16.52,16.58,1477200,16.43
2014-07-31,17.11,17.22,16.89,16.92,1372200,16.77
2014-07-30,17.14,17.35,17.06,17.18,724000,17.02
2014-07-29,16.98,17.29,16.96,17.01,1313900,16.86
2014-07-28,17.28,17.36,16.89,16.98,1211400,16.83
2014-07-25,16.95,17.34,16.95,17.27,1365700,17.11
2014-07-24,16.69,17.16,16.69,17.09,1937700,16.93
2014-07-23,16.94,17.02,16.70,16.83,1326400,16.68
2014-07-22,17.05,17.17,16.90,16.94,805800,16.79
2014-07-21,16.99,17.09,16.78,16.95,886300,16.80
2014-07-18,16.74,17.17,16.74,17.06,809700,16.90
2014-07-17,17.20,17.30,16.75,16.79,1305100,16.64
2014-07-16,17.59,17.67,17.23,17.24,1244200,17.08
2014-07-15,17.43,17.64,17.19,17.50,875500,17.34
2014-07-14,17.50,17.63,17.35,17.38,1096000,17.22
2014-07-11,17.31,17.44,17.15,17.36,860700,17.20
2014-07-10,17.22,17.58,17.06,17.41,1062100,17.25
2014-07-09,17.87,17.96,17.51,17.56,1146500,17.40
2014-07-08,17.68,17.71,17.46,17.50,1160000,17.34
2014-07-07,18.03,18.03,17.75,17.76,1035900,17.60
2014-07-03,17.87,18.12,17.76,18.11,700300,17.95
2014-07-02,18.06,18.16,17.76,17.77,984300,17.61
2014-07-01,17.93,18.39,17.91,18.11,1715700,17.95
2014-06-30,17.85,17.98,17.69,17.92,1645300,17.76
2014-06-27,17.57,17.96,17.54,17.90,2860300,17.74
2014-06-26,17.66,17.76,17.30,17.70,948700,17.54
2014-06-25,17.54,17.84,17.27,17.74,1502300,17.43
2014-06-24,17.63,17.98,17.60,17.66,1676100,17.35
2014-06-23,17.82,17.94,17.55,17.63,1260100,17.32
2014-06-20,17.83,17.97,17.70,17.76,3698900,17.45
2014-06-19,17.98,17.98,17.62,17.76,1098400,17.45
2014-06-18,17.68,18.03,17.57,18.00,2012500,17.69
2014-06-17,17.54,17.95,17.44,17.64,2008500,17.33
2014-06-16,17.70,17.75,17.34,17.51,2309600,17.20
2014-06-13,17.91,18.04,17.63,17.70,1519600,17.39
2014-06-12,17.71,17.92,17.54,17.83,1727300,17.52
2014-06-11,17.80,17.80,17.47,17.75,1151000,17.44
2014-06-10,17.78,17.84,17.63,17.83,1011400,17.52
2014-06-09,17.64,17.90,17.51,17.89,1233000,17.58
2014-06-06,17.61,17.75,17.50,17.66,1018400,17.35
2014-06-05,17.23,17.51,16.98,17.49,963800,17.18
2014-06-04,17.28,17.33,17.08,17.15,1143300,16.85
2014-06-03,16.88,17.35,16.88,17.34,2711500,17.04
2014-06-02,16.60,16.96,16.53,16.95,1470500,16.65
2014-05-30,16.70,16.85,16.52,16.57,1127200,16.28
2014-05-29,16.65,16.73,16.54,16.65,961300,16.36
2014-05-28,16.74,16.74,16.38,16.58,1103500,16.29
2014-05-27,16.66,16.87,16.50,16.70,1069400,16.41
2014-05-23,16.47,16.66,16.40,16.62,1167100,16.33
2014-05-22,16.40,16.60,16.40,16.50,792500,16.21
2014-05-21,16.43,16.58,16.24,16.41,1050700,16.12
2014-05-20,16.46,16.53,16.17,16.31,2107500,16.02
2014-05-19,16.05,16.50,16.02,16.48,1175300,16.19
2014-05-16,16.20,16.24,15.91,16.08,2297000,15.80
2014-05-15,15.96,16.22,15.56,16.21,3147500,15.93
2014-05-14,16.35,16.48,15.97,16.00,1156400,15.72
2014-05-13,16.60,16.72,16.28,16.34,1379700,16.05
2014-05-12,16.32,16.62,16.26,16.56,1130400,16.27
2014-05-09,15.97,16.30,15.94,16.22,1101500,15.94
2014-05-08,16.23,16.44,16.02,16.02,1552400,15.74
2014-05-07,16.03,16.33,15.86,16.28,2741000,16.00
2014-05-06,16.12,16.25,15.97,15.99,2047000,15.71
