Date,Open,High,Low,Close,Volume,Adj Close
2014-08-15,60.63,60.74,60.59,60.59,4616100,60.11
2014-08-14,60.61,60.62,60.59,60.60,447400,60.12
2014-08-13,60.56,60.63,60.56,60.60,387400,60.12
2014-08-12,60.55,61.93,60.50,60.60,451100,60.12
2014-08-11,60.63,60.64,60.54,60.55,104800,60.07
2014-08-08,60.52,60.67,60.52,60.63,159000,60.15
2014-08-07,60.50,60.56,60.49,60.53,249400,60.05
2014-08-06,60.48,60.55,60.47,60.50,185000,60.02
2014-08-05,60.48,60.55,60.47,60.54,263000,60.06
2014-08-04,60.47,60.51,60.46,60.49,522500,60.01
2014-08-01,60.45,60.49,60.42,60.46,360700,59.98
2014-07-31,60.43,60.50,60.38,60.42,257200,59.94
2014-07-30,60.45,60.49,60.43,60.43,286700,59.95
2014-07-29,60.45,60.45,60.40,60.44,177900,59.96
2014-07-28,60.41,60.46,60.38,60.39,340000,59.91
2014-07-25,60.41,60.43,60.40,60.41,450000,59.93
2014-07-24,60.42,60.45,60.41,60.42,137100,59.94
2014-07-23,60.43,60.47,60.41,60.42,133600,59.94
2014-07-22,60.46,60.48,60.41,60.41,71900,59.93
2014-07-21,60.46,60.47,60.41,60.41,104800,59.93
2014-07-18,60.41,60.51,60.41,60.49,275800,60.01
2014-07-17,60.40,60.45,60.40,60.41,190400,59.93
2014-07-16,60.45,60.46,60.41,60.41,247600,59.93
2014-07-15,60.41,60.47,60.41,60.41,203100,59.93
2014-07-14,60.44,60.47,60.41,60.41,153700,59.93
2014-07-11,60.40,60.45,60.40,60.40,151200,59.92
2014-07-10,60.37,60.43,60.37,60.39,144400,59.91
2014-07-09,60.42,60.44,60.36,60.40,171400,59.92
2014-07-08,60.37,60.45,60.37,60.40,167200,59.92
2014-07-07,60.37,60.40,60.36,60.36,122800,59.88
2014-07-04,60.36,60.36,60.36,60.36,000,59.88
2014-07-03,60.38,60.41,60.36,60.36,141600,59.88
2014-07-02,60.36,60.41,60.36,60.38,196700,59.90
2014-07-01,60.41,60.45,60.36,60.36,393500,59.88
2014-06-30,60.44,60.49,60.41,60.41,259900,59.93
2014-06-27,60.40,60.48,60.39,60.40,353500,59.92
2014-06-26,60.40,60.42,60.35,60.42,102100,59.94
2014-06-25,60.34,60.40,60.33,60.39,244500,59.91
2014-06-24,60.35,60.42,60.34,60.34,240700,59.86
2014-06-23,60.34,60.39,60.34,60.35,128600,59.87
2014-06-20,60.34,60.34,60.27,60.33,414700,59.85
2014-06-19,60.32,60.36,60.23,60.27,557800,59.79
2014-06-18,60.26,60.33,60.26,60.33,132800,59.85
2014-06-17,60.25,60.34,60.23,60.24,211400,59.76
2014-06-16,60.21,60.38,60.21,60.25,278600,59.77
2014-06-13,60.28,60.31,60.20,60.25,156300,59.77
2014-06-12,60.22,60.31,60.19,60.24,187000,59.76
2014-06-11,60.18,60.27,60.18,60.24,157800,59.76
2014-06-10,60.24,60.27,60.19,60.22,100600,59.74
2014-06-09,60.20,60.30,60.14,60.20,443500,59.72
2014-06-06,60.25,60.31,60.17,60.18,181200,59.70
2014-06-05,60.23,60.25,60.16,60.25,140000,59.77
2014-06-04,60.19,60.43,60.12,60.17,429700,59.69
2014-06-03,60.78,60.78,60.56,60.58,518700,59.62
2014-06-02,60.69,60.69,60.57,60.58,229200,59.62
2014-05-30,60.68,60.68,60.57,60.57,137100,59.61
2014-05-29,60.68,60.79,60.59,60.61,208200,59.65
2014-05-28,60.58,60.66,60.55,60.62,472900,59.66
2014-05-27,60.58,60.64,60.55,60.60,185200,59.64
2014-05-26,60.58,60.58,60.58,60.58,000,59.62
2014-05-23,60.53,60.58,60.50,60.58,187100,59.62
2014-05-22,60.51,60.57,60.50,60.51,479700,59.55
2014-05-21,60.53,60.55,60.47,60.52,219200,59.56
2014-05-20,60.46,60.55,60.45,60.52,253500,59.56
2014-05-19,60.26,60.56,60.26,60.52,625100,59.56
2014-05-16,60.21,60.33,60.20,60.31,178100,59.36
2014-05-15,60.17,60.32,60.17,60.32,499500,59.37
2014-05-14,60.23,60.25,60.19,60.20,269000,59.25
2014-05-13,60.25,60.32,60.21,60.21,207000,59.26
2014-05-12,60.31,60.33,60.22,60.24,133900,59.29
2014-05-09,60.14,60.38,60.14,60.37,201500,59.42
2014-05-08,60.15,60.27,60.13,60.20,211300,59.25
2014-05-07,60.15,60.23,60.10,60.21,293600,59.26
2014-05-06,60.14,60.17,60.09,60.09,260900,59.14
2014-05-05,60.10,60.21,60.08,60.21,178700,59.26
2014-05-02,60.22,60.23,60.09,60.11,368300,59.16
2014-05-01,60.06,60.18,60.05,60.15,737100,59.20
2014-04-30,60.09,60.17,60.06,60.06,320300,59.11
2014-04-29,60.08,60.16,60.07,60.08,237800,59.13
2014-04-28,60.09,60.14,59.93,60.00,271300,59.05
2014-04-25,60.15,60.19,60.06,60.06,210700,59.11
2014-04-24,60.20,60.24,60.12,60.18,233600,59.23
2014-04-23,60.22,60.23,60.13,60.13,320300,59.18
2014-04-22,60.22,60.23,60.14,60.23,88800,59.28
2014-04-21,60.14,60.24,60.07,60.22,99900,59.27
2014-04-18,60.13,60.13,60.13,60.13,000,59.18
2014-04-17,60.15,60.19,60.03,60.13,177800,59.18
2014-04-16,60.20,60.25,60.05,60.19,129700,59.24
2014-04-15,60.09,60.17,59.98,60.17,528600,59.22
2014-04-14,60.13,60.17,59.98,60.06,152700,59.11
2014-04-11,59.94,60.11,59.93,59.98,223600,59.03
2014-04-10,60.05,60.15,59.97,59.97,155500,59.02
2014-04-09,60.11,60.15,59.96,60.10,306000,59.15
2014-04-08,59.86,60.15,59.80,60.06,305900,59.11
2014-04-07,59.86,59.96,59.78,59.85,430300,58.91
2014-04-04,59.90,60.13,59.86,59.90,440000,58.95
2014-04-03,60.00,60.06,59.83,59.86,326400,58.92
2014-04-02,60.10,60.10,59.98,60.00,371200,59.05
2014-04-01,59.96,60.18,59.96,60.18,222400,59.23
2014-03-31,60.00,60.14,59.96,60.03,403300,59.08
2014-03-28,59.98,60.02,59.81,60.00,190000,59.05
2014-03-27,60.06,60.12,59.98,59.99,397200,59.04
2014-03-26,60.19,60.19,60.02,60.02,399400,59.07
2014-03-25,60.18,60.20,60.05,60.10,237600,59.15
2014-03-24,60.02,60.19,60.01,60.12,144700,59.17
2014-03-21,60.26,60.35,60.01,60.04,567800,59.09
2014-03-20,60.34,60.34,60.11,60.16,168200,59.21
2014-03-19,60.17,60.28,60.12,60.19,326700,59.24
2014-03-18,60.38,60.38,60.15,60.19,207600,59.24
2014-03-17,60.30,60.37,60.13,60.32,175400,59.37
2014-03-14,60.18,60.33,60.13,60.24,158500,59.29
2014-03-13,60.16,60.34,60.14,60.24,501400,59.29
2014-03-12,60.05,60.25,60.05,60.25,261500,59.30
2014-03-11,60.06,60.25,60.06,60.07,333800,59.12
2014-03-10,60.45,60.50,60.42,60.42,425700,58.99
2014-03-07,60.51,60.53,60.44,60.47,256400,59.04
2014-03-06,60.50,60.54,60.44,60.48,249000,59.05
2014-03-05,60.44,60.50,60.43,60.45,222700,59.02
2014-03-04,60.53,60.53,60.41,60.41,393400,58.98
2014-03-03,60.41,60.50,60.35,60.42,225400,58.99
2014-02-28,60.54,60.55,60.48,60.51,286100,59.08
2014-02-27,60.42,60.52,60.41,60.50,132300,59.07
2014-02-26,60.47,60.52,60.40,60.47,259500,59.04
2014-02-25,60.42,60.51,60.32,60.46,247600,59.03
2014-02-24,60.50,60.57,60.39,60.39,233700,58.96
2014-02-21,60.37,60.50,60.35,60.50,527900,59.07
2014-02-20,60.29,60.51,60.21,60.37,531400,58.95
2014-02-19,60.20,60.30,60.19,60.24,383300,58.82
2014-02-18,60.20,60.29,60.18,60.20,390500,58.78
2014-02-17,60.21,60.21,60.21,60.21,000,58.79
2014-02-14,60.32,60.32,60.20,60.21,293400,58.79
2014-02-13,60.18,60.41,60.18,60.27,278900,58.85
2014-02-12,60.17,60.31,60.15,60.25,200000,58.83
2014-02-11,60.08,60.19,60.06,60.16,339900,58.74
2014-02-10,59.96,60.16,59.91,60.13,499500,58.71
2014-02-07,60.06,60.12,59.95,60.01,248000,58.59
2014-02-06,59.88,60.10,59.88,59.99,271200,58.57
2014-02-05,59.95,59.98,59.82,59.88,376200,58.47
2014-02-04,59.94,60.09,59.87,59.95,255400,58.54
2014-02-03,59.91,60.07,59.79,59.94,330700,58.53
2014-01-31,59.80,60.10,59.79,59.88,539700,58.47
2014-01-30,59.79,60.17,59.74,60.10,792200,58.68
2014-01-29,59.55,59.80,59.55,59.77,320700,58.36
2014-01-28,59.55,59.75,59.55,59.73,361000,58.32
2014-01-27,59.70,59.83,59.64,59.70,507400,58.29
2014-01-24,59.52,59.83,59.52,59.71,1383400,58.30
2014-01-23,59.50,59.75,59.50,59.69,640300,58.28
2014-01-22,59.43,59.50,59.41,59.48,314800,58.08
2014-01-21,59.54,59.70,59.37,59.48,295700,58.08
2014-01-20,59.48,59.48,59.48,59.48,000,58.08
2014-01-17,59.42,59.52,59.37,59.48,263900,58.08
2014-01-16,59.28,59.43,59.28,59.42,525300,58.02
2014-01-15,59.35,59.45,59.29,59.38,344100,57.98
2014-01-14,59.28,59.44,59.26,59.43,422600,58.03
2014-01-13,59.36,59.48,59.24,59.30,769700,57.90
2014-01-10,59.38,59.60,59.36,59.46,343600,58.06
2014-01-09,59.44,59.50,59.30,59.42,680100,58.02
2014-01-08,59.35,59.45,59.26,59.39,901000,57.99
2014-01-07,59.50,59.54,59.35,59.42,639900,58.02
2014-01-06,59.55,59.85,59.43,59.48,499000,58.08
2014-01-03,59.52,59.78,59.50,59.55,404100,58.14
2014-01-02,59.75,59.87,59.47,59.52,717500,58.12
2014-01-01,59.85,59.85,59.85,59.85,000,58.44
2013-12-31,59.82,59.90,59.75,59.85,657100,58.44
2013-12-30,60.00,60.00,59.82,59.92,476600,58.51
2013-12-27,60.01,60.02,59.82,60.01,413800,58.59
2013-12-26,59.82,59.92,59.75,59.85,248900,58.44
2013-12-25,59.77,59.77,59.77,59.77,000,58.36
2013-12-24,59.72,59.82,59.68,59.77,221700,58.36
2013-12-23,59.77,59.79,59.55,59.73,528900,58.32
2013-12-20,59.84,59.84,59.34,59.70,1472900,58.29
2013-12-19,59.62,59.73,59.07,59.61,1765000,58.20
2013-12-18,58.84,59.57,58.84,59.57,1930400,58.16
2013-12-17,58.86,59.14,58.82,58.90,601800,57.51
2013-12-16,59.01,59.27,58.95,58.99,754500,57.60
2013-12-13,58.42,59.24,58.42,58.94,1560700,57.55
2013-12-12,58.92,58.94,57.98,58.51,8468800,57.13
2013-12-11,46.23,46.23,45.72,45.84,228900,44.33
2013-12-10,47.26,47.29,46.26,46.30,209000,44.78
2013-12-09,48.15,48.16,47.22,47.44,230500,45.88
2013-12-06,47.54,48.26,47.07,48.16,147100,46.58
2013-12-05,47.26,47.38,46.90,47.11,117400,45.56
2013-12-04,46.76,47.53,46.62,47.23,157000,45.68
2013-12-03,46.96,47.17,46.60,47.07,190100,45.52
2013-12-02,47.96,47.99,47.06,47.17,115400,45.62
