Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,10.55,10.80,9.81,10.14,925400,10.14
2014-12-01,9.70,11.16,9.60,11.15,17200,11.15
2014-11-28,11.61,11.70,10.27,10.46,794800,10.46
2014-11-26,14.02,14.33,13.87,13.91,276400,13.91
2014-11-25,15.61,15.73,14.06,14.18,383400,14.18
2014-11-24,15.60,15.99,15.13,15.31,146700,15.31
2014-11-21,15.87,15.90,15.07,15.84,204400,15.84
2014-11-20,14.83,15.32,14.71,15.26,146600,15.26
2014-11-19,14.68,15.00,14.25,14.54,189900,14.54
2014-11-18,14.87,14.99,14.40,14.52,231100,14.52
2014-11-17,14.82,15.27,14.72,15.23,85700,15.23
2014-11-14,14.88,15.48,14.60,15.30,231700,15.30
2014-11-13,15.70,15.77,14.38,14.66,461600,14.66
2014-11-12,16.39,16.81,15.95,16.00,114300,16.00
2014-11-11,16.32,16.70,15.88,16.59,156300,16.59
2014-11-10,17.88,17.88,16.25,16.28,238700,16.28
2014-11-07,17.18,17.69,17.02,17.02,130600,17.02
2014-11-06,16.60,17.00,16.25,16.86,162300,16.86
2014-11-05,16.32,17.68,16.32,17.37,217600,17.37
2014-11-04,16.42,16.48,15.65,16.26,410200,16.26
2014-11-03,18.48,18.88,17.00,17.14,204700,17.14
2014-10-31,18.00,18.63,17.88,18.61,140100,18.61
2014-10-30,19.22,19.31,18.64,18.99,45800,18.99
2014-10-29,19.76,20.16,19.38,19.83,87300,19.83
2014-10-28,18.90,19.22,18.62,19.01,31100,19.01
2014-10-27,18.10,18.93,17.87,18.66,117500,18.66
2014-10-24,19.04,19.15,18.49,19.11,50400,19.11
2014-10-23,19.22,19.85,18.99,19.57,90700,19.57
2014-10-22,20.35,20.35,18.46,18.57,154800,18.57
2014-10-21,20.31,20.60,19.40,20.06,75600,20.06
2014-10-20,19.66,19.80,18.85,19.70,41900,19.70
2014-10-17,20.14,20.48,19.50,20.00,64800,20.00
2014-10-16,18.31,21.14,18.06,19.68,126200,19.68
2014-10-15,18.95,19.85,18.34,19.00,136400,19.00
2014-10-14,21.45,21.45,19.13,19.27,141200,19.27
2014-10-13,21.72,22.26,20.94,21.66,42700,21.66
2014-10-10,21.75,22.56,21.29,22.04,57200,22.04
2014-10-09,22.90,23.00,21.58,21.77,118700,21.77
2014-10-08,23.89,23.93,23.05,23.72,66000,23.72
2014-10-07,25.41,25.49,24.51,24.57,60800,24.57
2014-10-06,25.46,26.16,24.62,26.16,22100,26.16
2014-10-03,26.38,26.56,25.15,25.43,64700,25.43
2014-10-02,25.48,26.91,25.25,26.88,71700,26.88
2014-10-01,27.20,28.16,26.22,26.31,41600,26.31
2014-09-30,29.51,29.53,26.61,26.94,63100,26.94
2014-09-29,28.36,29.86,28.36,29.76,16200,29.76
2014-09-26,28.34,29.06,28.03,28.87,13800,28.87
2014-09-25,28.52,28.67,27.60,27.95,8800,27.95
2014-09-24,27.23,28.60,26.88,28.42,29700,28.42
2014-09-23,26.80,27.51,26.58,27.15,25600,27.15
2014-09-22,27.13,27.13,26.20,26.52,25400,26.52
2014-09-19,27.27,27.66,26.87,27.31,23800,27.31
2014-09-18,28.77,28.77,27.43,27.55,15400,27.55
2014-09-17,29.26,29.26,28.28,28.48,10500,28.48
2014-09-16,28.15,29.43,28.00,29.20,52400,29.20
2014-09-15,26.74,27.69,26.62,27.49,18100,27.49
2014-09-12,27.61,28.00,26.87,26.89,36600,26.89
2014-09-11,26.09,28.07,26.00,27.86,26600,27.86
2014-09-10,27.16,27.16,26.24,26.75,28600,26.75
2014-09-09,27.91,28.02,27.40,27.57,10700,27.57
2014-09-08,26.89,27.73,26.77,27.71,52300,27.71
2014-09-05,29.13,29.13,27.72,28.32,35200,28.32
2014-09-04,29.43,29.84,28.90,29.27,22200,29.27
2014-09-03,28.88,30.10,28.67,29.89,32700,29.89
2014-09-02,29.55,29.61,27.72,27.85,39000,27.85
2014-08-29,30.18,30.70,29.90,30.68,26100,30.68
2014-08-28,29.45,29.57,28.88,29.52,12900,29.52
2014-08-27,28.90,29.09,28.46,28.76,8100,28.76
