Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,12.75,13.51,12.72,12.80,860400,12.80
2014-12-01,13.00,13.35,12.52,12.65,594700,12.65
2014-11-28,13.00,13.50,12.77,13.03,405300,13.03
2014-11-26,12.64,13.37,12.59,12.89,558800,12.89
2014-11-25,12.98,13.23,12.42,12.69,594000,12.69
2014-11-24,12.61,13.06,12.48,12.99,660700,12.99
2014-11-21,12.22,12.65,12.05,12.58,697400,12.58
2014-11-20,11.61,12.17,11.56,11.99,363400,11.99
2014-11-19,11.70,11.98,11.44,11.71,304200,11.71
2014-11-18,11.56,12.03,11.47,11.74,264100,11.74
2014-11-17,11.77,12.05,11.41,11.56,444700,11.56
2014-11-14,12.19,12.54,11.74,11.81,385300,11.81
2014-11-13,12.81,13.15,12.14,12.17,482300,12.17
2014-11-12,12.49,12.84,12.23,12.82,405900,12.82
2014-11-11,12.18,12.90,12.10,12.55,597700,12.55
2014-11-10,11.73,12.22,11.58,12.16,578000,12.16
2014-11-07,12.48,12.49,11.21,11.79,667000,11.79
2014-11-06,11.78,12.58,11.78,12.46,463200,12.46
2014-11-05,12.28,12.29,11.67,11.75,345600,11.75
2014-11-04,12.14,12.25,11.77,12.17,576900,12.17
2014-11-03,12.01,12.44,11.88,12.28,739400,12.28
2014-10-31,12.43,12.57,11.92,12.01,1409400,12.01
2014-10-30,11.81,12.36,11.80,12.12,892200,12.12
2014-10-29,11.88,12.50,11.81,11.97,3843100,11.97
2014-10-28,11.24,12.70,10.98,12.03,1435000,12.03
2014-10-27,12.42,12.42,9.53,11.04,3624800,11.04
2014-10-24,10.27,11.17,10.27,11.11,845700,11.11
2014-10-23,10.16,10.71,10.09,10.33,1044700,10.33
2014-10-22,10.19,10.32,9.84,10.03,328400,10.03
2014-10-21,10.61,10.61,10.11,10.19,263200,10.19
2014-10-20,10.03,10.59,10.03,10.56,422100,10.56
2014-10-17,10.39,10.84,10.00,10.08,422100,10.08
2014-10-16,9.30,10.35,9.07,10.23,605800,10.23
2014-10-15,8.98,9.56,8.88,9.46,709300,9.46
2014-10-14,8.91,9.46,8.62,9.20,525700,9.20
2014-10-13,8.96,9.09,8.34,8.81,658100,8.81
2014-10-10,9.29,9.37,8.83,8.92,419100,8.92
2014-10-09,9.77,9.97,9.27,9.35,361100,9.35
2014-10-08,9.37,9.87,9.11,9.85,434900,9.85
2014-10-07,9.46,9.89,9.21,9.38,452800,9.38
2014-10-06,10.33,10.41,9.58,9.59,493600,9.59
2014-10-03,10.39,10.58,10.26,10.29,301100,10.29
2014-10-02,10.13,10.47,9.88,10.27,252000,10.27
2014-10-01,10.42,10.49,10.05,10.16,416800,10.16
2014-09-30,10.54,10.84,10.33,10.38,756300,10.38
2014-09-29,10.50,10.79,10.45,10.57,396000,10.57
2014-09-26,10.95,10.97,10.55,10.66,467100,10.66
2014-09-25,11.12,11.48,10.70,10.79,774300,10.79
2014-09-24,11.43,11.65,11.05,11.19,568500,11.19
2014-09-23,11.45,11.90,11.30,11.35,268700,11.35
2014-09-22,11.87,11.87,11.37,11.54,502800,11.54
2014-09-19,12.51,12.59,11.84,12.00,920900,12.00
2014-09-18,12.47,12.58,12.25,12.40,172600,12.40
2014-09-17,12.02,12.95,11.92,12.39,631300,12.39
2014-09-16,11.81,12.15,11.35,12.02,374100,12.02
2014-09-15,12.37,12.42,11.62,11.88,366300,11.88
2014-09-12,12.55,12.71,12.06,12.44,302800,12.44
2014-09-11,12.83,13.02,12.33,12.53,589400,12.53
2014-09-10,12.61,13.08,12.48,13.02,376200,13.02
2014-09-09,13.08,13.10,12.45,12.60,505600,12.60
2014-09-08,12.59,13.38,12.52,13.20,355500,13.20
2014-09-05,12.53,12.62,12.26,12.61,236400,12.61
2014-09-04,12.84,13.13,12.50,12.58,201200,12.58
2014-09-03,13.29,13.47,12.79,12.81,285500,12.81
2014-09-02,13.09,13.30,12.74,13.26,322500,13.26
2014-08-29,12.38,12.97,12.30,12.94,254900,12.94
2014-08-28,12.76,12.93,12.36,12.36,547700,12.36
2014-08-27,12.94,13.01,12.69,12.89,205000,12.89
2014-08-26,12.83,13.02,12.63,12.95,353800,12.95
2014-08-25,12.60,13.14,12.60,12.84,319000,12.84
2014-08-22,12.31,12.63,12.13,12.51,358900,12.51
2014-08-21,12.36,12.52,11.99,12.30,411800,12.30
2014-08-20,12.74,12.74,12.16,12.31,343600,12.31
2014-08-19,13.25,13.31,12.79,12.84,412100,12.84
2014-08-18,13.90,13.90,13.16,13.25,332100,13.25
2014-08-15,13.70,13.74,13.21,13.66,810100,13.66
2014-08-14,13.17,13.64,12.93,13.59,599200,13.59
2014-08-13,12.88,13.29,12.77,13.22,620900,13.22
2014-08-12,12.59,12.95,12.46,12.87,611200,12.87
2014-08-11,12.25,12.97,12.22,12.65,1166600,12.65
