Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,6.98,7.68,6.98,7.17,224200,7.17
2014-12-01,7.53,7.53,6.86,7.10,284700,7.10
2014-11-28,8.50,8.51,7.25,7.67,246200,7.67
2014-11-26,8.68,8.77,8.51,8.52,95700,8.52
2014-11-25,8.88,8.88,8.64,8.78,77600,8.78
2014-11-24,8.91,9.05,8.81,8.92,85600,8.92
2014-11-21,9.19,9.23,8.77,8.93,98800,8.93
2014-11-20,8.65,9.05,8.65,8.97,102400,8.97
2014-11-19,8.59,8.71,8.52,8.57,49800,8.57
2014-11-18,8.78,8.83,8.50,8.63,106500,8.63
2014-11-17,8.97,9.04,8.65,8.82,114300,8.82
2014-11-14,9.12,9.12,8.83,9.10,83300,9.10
2014-11-13,9.26,9.29,8.77,8.95,111400,8.95
2014-11-12,9.00,9.29,8.91,9.19,141600,9.19
2014-11-11,8.78,9.00,8.65,8.96,87600,8.96
2014-11-10,8.68,8.96,8.65,8.65,110200,8.65
2014-11-07,8.46,8.87,8.45,8.67,111500,8.67
2014-11-06,8.65,8.75,8.35,8.49,67200,8.49
2014-11-05,8.53,8.76,8.39,8.68,141900,8.68
2014-11-04,8.56,8.59,8.35,8.54,196400,8.54
2014-11-03,9.27,9.27,8.75,8.76,232800,8.76
2014-10-31,8.98,9.35,8.96,9.32,117400,9.32
2014-10-30,9.40,9.44,8.93,9.28,140200,9.28
2014-10-29,9.62,9.80,9.35,9.41,137000,9.41
2014-10-28,9.49,9.70,9.29,9.57,208400,9.57
2014-10-27,10.19,10.20,9.77,9.89,283100,9.52
2014-10-24,9.99,10.40,9.96,10.25,155200,9.87
2014-10-23,10.59,10.95,9.77,9.95,558900,9.58
2014-10-22,11.41,11.41,10.87,10.87,94000,10.46
2014-10-21,11.37,11.41,11.12,11.29,119200,10.87
2014-10-20,10.59,11.23,10.59,11.10,114700,10.68
2014-10-17,10.75,11.11,10.45,10.51,205000,10.12
2014-10-16,9.83,10.74,9.83,10.68,134700,10.28
2014-10-15,9.65,10.05,9.43,10.02,179200,9.65
2014-10-14,10.13,10.26,9.70,9.76,148100,9.39
2014-10-13,10.07,10.34,9.93,10.18,156700,9.80
2014-10-10,10.35,10.48,10.14,10.26,150800,9.88
2014-10-09,10.76,10.88,10.23,10.39,164200,10.00
2014-10-08,11.08,11.23,10.66,10.88,117400,10.47
2014-10-07,10.87,11.35,10.82,11.15,227900,10.73
2014-10-06,11.68,11.70,10.81,11.02,409900,10.61
2014-10-03,12.25,12.25,11.71,11.75,211200,11.31
2014-10-02,12.45,12.49,12.08,12.30,59800,11.84
2014-10-01,12.64,12.79,12.40,12.48,106400,12.01
2014-09-30,12.55,12.74,12.55,12.57,76600,12.10
2014-09-29,12.33,12.70,12.29,12.54,62700,12.07
2014-09-26,12.27,12.62,12.23,12.55,105000,12.08
2014-09-25,13.19,13.20,11.72,12.23,459500,11.77
2014-09-24,13.95,13.95,13.12,13.20,236300,12.71
2014-09-23,14.20,14.20,14.00,14.02,82900,13.50
2014-09-22,14.41,14.46,14.04,14.22,111900,13.69
2014-09-19,14.62,14.66,14.45,14.48,46300,13.94
2014-09-18,14.65,14.69,14.56,14.66,37600,14.11
2014-09-17,14.60,14.74,14.55,14.65,33200,14.10
2014-09-16,14.51,14.72,14.51,14.65,35600,14.10
