Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.38,1.47,1.35,1.39,18000,1.39
2014-12-01,1.50,1.52,1.15,1.28,15500,1.28
2014-11-28,1.50,1.55,1.48,1.50,5200,1.50
2014-11-26,1.30,1.67,1.22,1.57,70500,1.57
2014-11-25,1.37,1.39,1.35,1.39,22800,1.39
2014-11-24,1.30,1.38,1.30,1.36,6700,1.36
2014-11-21,1.40,1.53,1.28,1.33,5400,1.33
2014-11-20,1.52,1.57,1.45,1.45,26500,1.45
2014-11-19,1.26,1.68,1.25,1.48,64300,1.48
2014-11-18,1.27,1.39,1.26,1.29,11200,1.29
2014-11-17,1.27,1.27,1.26,1.26,600,1.26
2014-11-14,1.34,1.48,1.28,1.28,6200,1.28
2014-11-13,1.35,1.35,1.35,1.35,000,1.35
2014-11-12,1.35,1.35,1.35,1.35,500,1.35
2014-11-11,1.28,1.32,1.28,1.30,4000,1.30
2014-11-10,1.27,1.27,1.27,1.27,000,1.27
2014-11-07,1.27,1.27,1.27,1.27,000,1.27
2014-11-06,1.27,1.27,1.27,1.27,700,1.27
2014-11-05,1.28,1.28,1.22,1.27,1800,1.27
2014-11-04,1.30,1.30,1.28,1.28,300,1.28
2014-11-03,1.31,1.31,1.31,1.31,000,1.31
2014-10-31,1.31,1.31,1.31,1.31,000,1.31
2014-10-30,1.31,1.31,1.31,1.31,000,1.31
2014-10-29,1.31,1.31,1.31,1.31,000,1.31
2014-10-28,1.31,1.31,1.31,1.31,000,1.31
2014-10-27,1.31,1.31,1.31,1.31,000,1.31
2014-10-24,1.32,1.32,1.26,1.31,8300,1.31
2014-10-23,1.33,1.33,1.31,1.31,8500,1.31
2014-10-22,1.34,1.34,1.32,1.32,600,1.32
2014-10-21,1.31,1.31,1.31,1.31,300,1.31
2014-10-20,1.32,1.33,1.31,1.31,4500,1.31
2014-10-17,1.31,1.36,1.31,1.32,1100,1.32
2014-10-16,1.29,1.29,1.29,1.29,1000,1.29
2014-10-15,1.29,1.29,1.29,1.29,000,1.29
2014-10-14,1.29,1.29,1.29,1.29,200,1.29
2014-10-13,1.30,1.30,1.27,1.27,17400,1.27
2014-10-10,1.28,1.28,1.28,1.28,400,1.28
2014-10-09,1.42,1.42,1.26,1.40,6300,1.40
2014-10-08,1.55,1.55,1.41,1.41,59300,1.41
2014-10-07,1.55,1.55,1.55,1.55,000,1.55
2014-10-06,1.52,1.59,1.52,1.55,600,1.55
2014-10-03,1.64,1.64,1.50,1.50,3600,1.50
2014-10-02,1.63,1.63,1.63,1.63,000,1.63
2014-10-01,1.63,1.63,1.63,1.63,000,1.63
2014-09-30,1.63,1.63,1.63,1.63,100,1.63
2014-09-29,1.60,1.60,1.60,1.60,000,1.60
2014-09-26,1.62,1.63,1.60,1.60,6200,1.60
2014-09-25,1.77,1.79,1.63,1.63,4000,1.63
2014-09-24,1.70,1.70,1.70,1.70,000,1.70
2014-09-23,1.75,1.75,1.70,1.70,2800,1.70
2014-09-22,1.86,1.86,1.70,1.75,1800,1.75
2014-09-19,1.90,1.90,1.89,1.89,300,1.89
2014-09-18,1.90,1.90,1.79,1.88,1200,1.88
2014-09-17,1.96,1.96,1.92,1.93,2600,1.93
2014-09-16,1.88,1.88,1.84,1.84,3000,1.84
2014-09-15,2.26,2.26,1.82,1.83,3900,1.83
2014-09-12,1.88,1.92,1.88,1.92,400,1.92
2014-09-11,2.06,2.06,1.91,1.97,2000,1.97
2014-09-10,1.92,2.24,1.92,1.92,6700,1.92
2014-09-09,2.33,2.46,1.72,1.91,71200,1.91
2014-09-08,2.61,2.61,2.21,2.32,3100,2.32
2014-09-05,2.30,2.55,2.30,2.55,12000,2.55
2014-09-04,2.39,2.40,2.07,2.30,14100,2.30
2014-09-03,1.80,2.45,1.80,2.45,22300,2.45
2014-09-02,1.80,2.00,1.80,1.95,36400,1.95
2014-08-29,1.65,1.81,1.65,1.80,7000,1.80
2014-08-28,1.57,1.72,1.57,1.72,47900,1.72
2014-08-27,1.52,1.58,1.52,1.57,8000,1.57
2014-08-26,1.50,1.58,1.50,1.52,8800,1.52
2014-08-25,1.50,1.52,1.49,1.49,400,1.49
2014-08-22,1.55,1.55,1.55,1.55,000,1.55
