Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,35.87,36.95,35.87,36.83,16800,36.83
2014-12-01,36.23,36.24,35.79,35.84,21000,35.84
2014-11-28,37.24,37.24,36.19,36.19,14200,36.19
2014-11-26,37.24,37.65,36.99,37.10,13600,37.10
2014-11-25,37.43,37.60,37.06,37.29,13000,37.29
2014-11-24,36.93,37.48,36.93,37.33,20600,37.33
2014-11-21,37.54,37.54,36.65,36.82,17400,36.82
2014-11-20,36.41,37.10,36.26,37.06,11400,37.06
2014-11-19,37.27,37.27,36.38,36.46,17200,36.46
2014-11-18,37.43,37.71,37.15,37.28,20800,37.28
2014-11-17,37.72,37.84,37.24,37.32,12300,37.32
2014-11-14,38.21,38.39,37.74,37.74,23700,37.74
2014-11-13,38.45,38.45,38.06,38.07,19500,38.07
2014-11-12,38.04,38.46,38.04,38.40,41600,38.40
2014-11-11,38.09,38.25,37.78,38.25,43400,38.25
2014-11-10,38.00,38.01,37.61,38.01,28800,38.01
2014-11-07,38.00,38.00,37.76,38.00,13700,38.00
2014-11-06,38.39,38.39,37.89,38.00,28700,38.00
2014-11-05,38.30,38.46,38.00,38.23,15700,38.23
2014-11-04,37.84,38.13,37.59,38.04,15300,38.04
2014-11-03,38.37,38.54,37.87,38.09,26200,38.09
2014-10-31,38.26,38.42,37.73,38.37,48000,38.37
2014-10-30,37.43,37.95,37.43,37.75,41700,37.75
2014-10-29,38.15,38.34,37.23,37.72,39100,37.72
2014-10-28,36.71,38.07,36.49,38.05,47800,38.05
2014-10-27,36.45,36.60,36.13,36.47,20500,36.47
2014-10-24,36.60,37.19,36.26,36.47,37900,36.47
2014-10-23,36.00,36.92,35.82,36.64,42000,36.64
2014-10-22,35.66,35.90,35.55,35.62,20500,35.62
2014-10-21,36.00,36.00,35.13,35.72,39100,35.72
2014-10-20,34.65,35.49,34.60,35.47,19400,35.47
2014-10-17,35.83,35.83,34.56,34.94,21800,34.94
2014-10-16,34.32,35.41,34.31,35.24,27500,35.24
2014-10-15,34.15,35.03,33.83,34.85,54200,34.85
2014-10-14,34.17,34.60,33.69,34.60,39700,34.60
2014-10-13,32.71,34.32,32.71,33.77,21200,33.77
2014-10-10,32.57,33.40,32.57,32.77,19200,32.77
2014-10-09,33.65,33.65,32.71,32.74,25500,32.74
2014-10-08,32.20,33.64,32.20,33.52,22200,33.52
2014-10-07,32.70,32.79,32.23,32.24,23500,32.24
2014-10-06,33.06,33.23,32.56,32.80,14700,32.80
2014-10-03,33.71,33.85,32.75,33.09,64100,33.09
2014-10-02,32.66,33.53,32.66,33.43,25000,33.43
2014-10-01,33.00,33.45,32.69,32.69,26200,32.69
2014-09-30,33.63,33.99,32.99,32.99,41100,32.99
2014-09-29,33.54,33.95,33.07,33.70,17500,33.70
2014-09-26,33.77,34.18,33.68,34.12,16400,33.80
2014-09-25,34.06,34.08,33.50,33.71,19600,33.39
2014-09-24,34.00,34.44,33.85,34.04,16200,33.72
2014-09-23,34.31,34.64,33.87,33.95,23700,33.63
2014-09-22,34.30,34.84,34.20,34.31,23000,33.99
2014-09-19,35.02,35.18,34.42,34.64,48900,34.32
2014-09-18,34.41,34.97,34.17,34.89,16200,34.56
2014-09-17,34.06,34.53,33.95,34.22,17000,33.90
2014-09-16,34.24,34.46,33.83,33.98,12000,33.66
2014-09-15,34.65,34.65,34.05,34.27,15200,33.95
2014-09-12,35.04,35.04,34.30,34.64,13400,34.32
2014-09-11,34.41,35.05,34.41,34.93,15400,34.60
2014-09-10,34.46,34.77,34.34,34.77,11200,34.44
2014-09-09,35.22,35.22,34.25,34.29,18000,33.97
2014-09-08,34.97,35.22,34.82,35.19,11000,34.86
2014-09-05,34.61,35.22,34.61,34.84,9000,34.51
2014-09-04,34.96,35.32,34.78,34.78,9100,34.45
2014-09-03,35.75,35.75,34.88,34.99,17300,34.66
2014-09-02,35.42,35.64,34.92,35.51,17400,35.18
2014-08-29,34.82,35.20,34.75,35.18,11800,34.85
2014-08-28,35.11,35.21,34.80,34.82,12900,34.49
2014-08-27,35.27,35.72,35.00,35.13,7800,34.80
2014-08-26,35.25,35.75,35.20,35.39,26200,35.06
2014-08-25,35.09,35.37,34.76,35.09,9900,34.76
2014-08-22,35.08,35.15,34.70,35.04,18200,34.71
2014-08-21,34.78,35.10,34.45,35.02,14600,34.69
2014-08-20,34.75,34.99,34.70,34.93,23100,34.60
2014-08-19,34.70,35.00,34.50,34.91,36900,34.58
2014-08-18,34.40,34.73,33.78,34.73,13100,34.40
2014-08-15,34.47,34.47,33.51,34.02,29500,33.70
2014-08-14,33.76,34.29,33.76,34.04,7400,33.72
2014-08-13,33.68,33.79,33.52,33.75,13000,33.43
2014-08-12,34.15,34.22,33.66,33.73,16600,33.41
2014-08-11,33.71,34.46,33.71,34.22,12800,33.90
2014-08-08,33.54,33.91,33.49,33.79,15400,33.47
2014-08-07,33.93,33.93,33.33,33.48,8000,33.17
2014-08-06,33.25,34.05,33.03,33.82,15000,33.50
2014-08-05,33.45,33.76,33.14,33.42,12900,33.11
2014-08-04,34.44,34.57,33.31,33.76,27200,33.44
2014-08-01,34.51,34.99,34.06,34.30,29700,33.98
2014-07-31,34.25,34.59,34.24,34.40,37600,34.08
2014-07-30,34.68,34.94,34.03,34.79,47600,34.46
2014-07-29,35.01,35.26,34.43,34.50,10100,34.18
2014-07-28,34.42,35.00,34.00,34.76,29400,34.43
2014-07-25,34.15,34.64,33.96,34.16,26500,33.84
2014-07-24,34.76,35.22,34.23,34.30,23900,33.98
2014-07-23,34.50,35.05,34.34,34.80,45400,34.47
2014-07-22,34.38,35.69,34.38,34.45,21600,34.13
2014-07-21,34.89,35.95,34.80,34.98,15000,34.65
2014-07-18,34.45,35.31,34.45,35.29,29200,34.96
2014-07-17,35.25,35.40,34.49,34.66,35800,34.33
2014-07-16,35.68,35.97,35.50,35.52,21200,35.19
2014-07-15,35.90,36.08,35.51,35.59,23200,35.26
2014-07-14,36.54,36.61,36.01,36.08,27800,35.74
2014-07-11,35.62,36.18,35.34,35.99,35900,35.65
2014-07-10,35.33,36.01,35.28,35.52,22300,35.19
2014-07-09,36.64,36.83,36.01,36.21,8000,35.87
2014-07-08,36.77,36.90,36.10,36.37,25700,36.03
2014-07-07,37.10,37.10,36.57,36.63,15100,36.29
2014-07-03,37.60,37.71,36.99,37.22,16400,36.87
2014-07-02,37.69,37.74,36.78,37.28,23600,36.93
2014-07-01,36.75,38.10,36.31,37.55,36600,37.20
2014-06-30,36.25,36.81,36.04,36.77,24100,36.43
2014-06-27,36.24,37.20,36.22,36.44,83500,36.10
2014-06-26,36.80,37.33,36.00,36.77,14300,36.14
2014-06-25,36.13,36.73,36.12,36.67,12200,36.04
2014-06-24,36.85,37.50,36.43,36.43,20900,35.80
2014-06-23,36.79,36.91,36.61,36.83,18400,36.20
2014-06-20,36.56,36.88,36.33,36.80,79000,36.17
2014-06-19,36.13,36.58,36.09,36.17,13700,35.55
2014-06-18,35.49,36.13,35.35,36.10,19400,35.48
2014-06-17,34.87,35.56,34.84,35.36,19400,34.75
2014-06-16,34.95,35.09,34.49,34.90,11600,34.30
2014-06-13,35.52,35.71,34.94,35.09,18300,34.49
2014-06-12,35.66,35.69,34.88,35.26,15100,34.65
2014-06-11,36.29,36.37,35.55,35.72,15600,35.11
2014-06-10,36.40,36.50,36.15,36.36,18000,35.73
2014-06-09,36.00,36.87,36.00,36.49,23200,35.86
2014-06-06,35.78,36.53,35.78,36.21,22800,35.59
2014-06-05,34.35,35.52,34.24,35.49,38100,34.88
2014-06-04,33.99,34.34,33.87,34.19,27300,33.60
2014-06-03,34.01,34.33,34.01,34.06,23800,33.47
2014-06-02,34.38,34.38,33.67,34.18,23800,33.59
2014-05-30,34.64,34.81,34.12,34.21,22900,33.62
2014-05-29,34.84,34.96,34.38,34.48,22700,33.89
2014-05-28,34.79,34.79,34.13,34.55,15600,33.96
2014-05-27,35.00,35.10,34.73,34.98,32900,34.38
2014-05-23,33.99,34.72,33.68,34.61,27700,34.01
2014-05-22,33.86,34.02,33.72,33.87,19300,33.29
2014-05-21,33.54,34.00,33.29,33.69,40400,33.11
2014-05-20,34.02,34.02,33.17,33.37,42600,32.80
2014-05-19,33.32,34.31,33.32,34.01,16700,33.43
2014-05-16,33.22,33.47,32.88,33.46,30000,32.88
2014-05-15,33.43,33.60,32.77,33.32,32900,32.75
2014-05-14,35.27,35.99,33.68,33.77,34600,33.19
2014-05-13,35.74,35.95,35.27,35.31,42900,34.70
2014-05-12,34.82,35.91,34.82,35.86,32500,35.24
2014-05-09,33.50,34.75,33.50,34.62,37100,34.02
2014-05-08,34.39,34.73,33.72,33.75,16700,33.17
2014-05-07,33.97,34.55,33.43,34.33,33500,33.74
2014-05-06,34.22,34.39,33.72,33.81,36100,33.23
2014-05-05,34.22,34.48,34.09,34.38,21400,33.79
2014-05-02,34.16,34.62,33.89,34.39,31500,33.80
2014-05-01,34.04,34.40,33.69,34.15,62600,33.56
2014-04-30,34.25,34.63,33.88,34.20,34500,33.61
2014-04-29,35.09,35.79,34.19,34.33,16000,33.74
2014-04-28,35.16,35.49,34.35,34.76,15500,34.16
2014-04-25,35.50,35.83,34.49,34.99,27000,34.39
2014-04-24,36.29,36.32,35.51,35.53,23900,34.92
2014-04-23,36.11,36.39,35.84,36.11,24600,35.49
2014-04-22,36.06,36.16,35.46,36.12,26400,35.50
2014-04-21,35.77,36.26,35.40,35.92,21200,35.30
2014-04-17,36.00,36.54,35.89,36.22,23800,35.60
2014-04-16,35.94,36.43,35.49,36.05,28900,35.43
2014-04-15,35.27,35.73,34.53,35.55,18900,34.94
2014-04-14,35.40,35.50,34.80,35.03,28700,34.43
2014-04-11,34.98,35.55,34.53,34.93,46700,34.33
2014-04-10,36.65,36.65,35.03,35.23,38500,34.62
2014-04-09,36.80,37.10,35.90,36.55,27600,35.92
2014-04-08,36.50,37.90,36.50,36.58,26300,35.95
2014-04-07,36.86,37.00,35.82,36.34,34300,35.72
2014-04-04,38.37,38.37,36.42,36.90,30500,36.27
2014-04-03,38.19,38.45,37.63,37.98,27400,37.33
2014-04-02,38.39,38.40,37.85,38.28,20800,37.62
2014-04-01,37.65,38.40,37.49,38.19,34900,37.53
2014-03-31,37.28,37.97,36.54,37.47,53700,36.83
2014-03-28,36.87,37.58,35.68,36.98,37700,36.34
2014-03-27,36.78,38.39,36.78,37.16,42200,36.24
2014-03-26,37.92,37.97,37.02,37.03,30800,36.11
2014-03-25,37.56,37.65,37.02,37.58,19900,36.65
2014-03-24,37.87,37.89,37.33,37.37,31200,36.44
2014-03-21,37.37,38.40,37.37,37.87,56000,36.93
2014-03-20,36.73,37.47,36.51,37.18,22300,36.26
2014-03-19,37.16,37.16,36.84,36.89,16500,35.97
2014-03-18,37.12,37.38,36.90,37.12,19900,36.20
2014-03-17,36.62,37.30,36.62,36.99,17300,36.07
2014-03-14,36.39,36.89,36.32,36.61,12700,35.70
2014-03-13,36.92,37.10,36.51,36.60,24900,35.69
2014-03-12,35.93,36.97,35.80,36.82,23500,35.90
2014-03-11,36.80,36.80,35.60,36.02,20700,35.12
2014-03-10,36.66,36.94,36.21,36.81,24000,35.89
2014-03-07,36.48,36.82,36.03,36.73,20800,35.82
2014-03-06,36.24,36.62,35.80,36.35,19500,35.45
2014-03-05,36.29,36.71,35.88,36.20,21400,35.30
2014-03-04,35.21,36.74,35.21,36.48,58300,35.57
2014-03-03,34.95,35.09,34.23,34.66,16000,33.80
2014-02-28,35.19,36.00,35.06,35.19,30500,34.32
2014-02-27,34.98,35.20,34.80,35.14,24800,34.27
2014-02-26,34.85,35.66,34.84,35.11,24000,34.24
2014-02-25,35.00,35.24,34.52,34.72,20800,33.86
2014-02-24,34.54,35.26,34.54,35.08,26400,34.21
2014-02-21,34.43,34.59,33.92,34.38,33400,33.53
2014-02-20,33.99,34.91,33.99,34.20,20300,33.35
2014-02-19,34.69,34.89,33.91,34.00,30800,33.15
2014-02-18,34.70,35.20,34.52,34.91,20000,34.04
2014-02-14,33.91,34.85,33.86,34.45,47000,33.59
2014-02-13,33.31,34.09,32.90,33.90,17200,33.06
2014-02-12,33.36,33.92,33.31,33.52,35500,32.69
2014-02-11,32.71,33.45,32.71,33.22,17000,32.39
2014-02-10,32.70,32.70,32.45,32.58,26500,31.77
2014-02-07,32.77,32.85,32.44,32.72,38100,31.91
2014-02-06,32.32,32.83,32.32,32.66,24800,31.85
2014-02-05,32.20,32.31,32.00,32.25,39000,31.45
2014-02-04,32.21,32.54,32.15,32.29,25900,31.49
2014-02-03,32.69,33.68,31.46,31.93,48300,31.14
2014-01-31,32.72,33.05,32.72,32.94,48500,32.12
2014-01-30,33.23,33.76,32.90,33.43,25900,32.60
2014-01-29,33.13,34.44,32.75,32.88,37500,32.06
2014-01-28,34.38,34.38,33.58,33.67,40000,32.83
2014-01-27,35.01,35.73,34.09,34.17,22700,33.32
2014-01-24,35.21,35.73,34.50,34.67,23700,33.81
2014-01-23,34.96,35.60,34.81,35.45,17800,34.57
2014-01-22,35.35,35.35,34.96,35.24,14400,34.36
2014-01-21,35.41,35.67,34.99,35.53,23000,34.65
2014-01-17,35.05,35.90,34.98,35.01,27600,34.14
2014-01-16,35.55,35.65,34.78,34.99,23300,34.12
2014-01-15,35.04,35.71,35.04,35.50,22800,34.62
2014-01-14,34.95,35.04,34.41,35.00,13000,34.13
2014-01-13,34.80,35.11,34.06,34.70,29800,33.84
2014-01-10,35.62,35.62,33.27,34.97,56300,34.10
2014-01-09,36.36,36.42,35.34,35.53,22000,34.65
2014-01-08,36.30,36.63,35.98,36.13,13100,35.23
2014-01-07,35.84,36.60,35.84,36.42,20200,35.51
2014-01-06,36.72,36.95,35.58,35.80,22800,34.91
2014-01-03,36.35,36.85,36.26,36.51,9200,35.60
2014-01-02,36.99,37.07,36.31,36.31,21900,35.41
2013-12-31,37.33,37.65,36.97,37.22,18800,36.29
2013-12-30,37.29,37.54,36.90,37.23,12800,36.30
2013-12-27,37.75,37.79,37.16,37.47,12500,36.28
2013-12-26,38.05,38.05,37.44,37.58,13100,36.38
2013-12-24,37.62,37.97,37.42,37.85,10900,36.64
2013-12-23,37.19,38.02,37.19,37.47,19200,36.28
2013-12-20,36.04,37.43,36.04,37.21,83800,36.02
