Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,49.45,49.97,49.37,49.84,2273800,49.84
2014-12-01,49.21,50.39,49.03,49.68,2170500,49.68
2014-11-28,48.74,49.68,48.63,49.40,1108800,49.40
2014-11-26,48.39,48.65,48.16,48.48,842700,48.48
2014-11-25,48.42,48.42,47.90,48.20,1390000,48.20
2014-11-24,48.53,48.73,48.21,48.27,1149600,48.27
2014-11-21,49.00,49.00,48.24,48.62,1716700,48.62
2014-11-20,48.35,48.78,48.29,48.57,894200,48.57
2014-11-19,48.55,48.82,48.29,48.65,1527700,48.65
2014-11-18,48.66,48.98,48.42,48.80,1734000,48.80
2014-11-17,47.73,48.69,47.64,48.63,1484700,48.63
2014-11-14,47.55,48.20,47.50,47.82,1491600,47.82
2014-11-13,48.23,48.51,47.52,47.60,2209400,47.60
2014-11-12,48.73,48.84,47.96,48.26,2779600,48.26
2014-11-11,49.62,49.91,49.49,49.73,1975600,49.34
2014-11-10,49.15,49.78,49.15,49.76,1654800,49.37
2014-11-07,49.30,49.35,48.89,49.26,2398000,48.87
2014-11-06,50.07,50.07,48.71,49.24,3123000,48.85
2014-11-05,49.26,50.54,49.22,50.47,2636100,50.07
2014-11-04,49.83,50.22,49.21,49.42,1772300,49.03
2014-11-03,49.66,50.23,49.66,49.92,2156600,49.53
2014-10-31,49.81,49.84,49.33,49.66,2488700,49.27
2014-10-30,48.50,49.64,48.37,49.57,2311600,49.18
2014-10-29,48.54,48.98,47.79,48.29,2140800,47.91
2014-10-28,48.73,48.85,48.00,48.67,2979500,48.29
2014-10-27,48.47,48.95,48.47,48.69,1619300,48.31
2014-10-24,48.45,48.67,48.21,48.62,1869900,48.24
2014-10-23,48.52,48.68,48.10,48.37,1762200,47.99
2014-10-22,47.93,48.52,47.85,48.19,2090500,47.81
2014-10-21,47.88,48.17,47.59,47.96,2230300,47.58
2014-10-20,47.19,47.88,47.06,47.83,2357100,47.45
2014-10-17,47.35,47.37,46.53,47.19,2786700,46.82
