Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,185.19,185.80,183.68,184.82,650400,184.82
2014-12-01,186.27,186.84,184.39,185.45,630600,185.45
2014-11-28,184.24,186.64,183.52,186.17,353300,186.17
2014-11-26,184.60,184.94,182.60,183.54,593400,183.54
2014-11-25,184.86,185.58,183.83,184.61,864600,184.61
2014-11-24,183.88,185.28,182.50,184.76,1214600,184.76
2014-11-21,184.50,185.34,183.16,183.67,983700,183.67
2014-11-20,178.35,182.34,178.18,182.06,921000,182.06
2014-11-19,176.43,179.95,175.73,179.89,1086500,179.89
2014-11-18,175.57,177.94,175.57,177.22,786600,176.47
2014-11-17,173.36,177.20,173.02,175.55,784000,174.81
2014-11-14,174.83,175.65,172.16,173.27,936400,172.54
2014-11-13,175.48,177.21,174.47,175.21,501700,174.47
2014-11-12,174.22,176.25,173.89,175.21,656900,174.47
2014-11-11,174.29,177.18,174.12,175.00,774100,174.26
2014-11-10,175.81,175.83,173.50,173.79,891800,173.05
2014-11-07,174.43,176.62,174.43,175.81,722800,175.07
2014-11-06,172.35,174.90,172.19,174.84,552200,174.10
2014-11-05,174.32,174.45,172.45,172.85,588800,172.12
2014-11-04,172.43,173.13,170.69,172.72,749700,171.99
2014-11-03,171.56,173.27,170.62,172.60,784500,171.87
2014-10-31,172.37,173.70,171.20,172.05,924500,171.32
2014-10-30,168.43,171.30,167.91,170.55,885400,169.83
2014-10-29,165.65,168.83,165.65,168.23,1270800,167.52
2014-10-28,154.26,170.99,153.98,168.06,2885900,167.35
2014-10-27,157.67,158.10,155.02,157.40,1115300,156.73
2014-10-24,158.00,159.98,157.04,158.62,908000,157.95
2014-10-23,155.17,158.53,155.09,157.70,814800,157.03
2014-10-22,155.22,157.20,154.12,154.39,977900,153.74
2014-10-21,154.00,155.39,153.07,155.27,743000,154.61
2014-10-20,150.54,153.54,150.54,153.21,1118300,152.56
2014-10-17,146.97,150.97,146.15,150.04,1240900,149.41
2014-10-16,141.35,147.48,141.35,145.76,944600,145.14
2014-10-15,141.62,144.40,140.04,143.68,1483700,143.07
2014-10-14,141.59,146.98,141.03,145.33,1512300,144.71
2014-10-13,141.71,144.18,140.33,140.42,1304600,139.83
2014-10-10,141.28,142.80,139.97,140.63,1230600,140.03
2014-10-09,144.02,144.61,140.72,141.28,841600,140.68
2014-10-08,141.87,144.10,139.85,143.93,835300,143.32
2014-10-07,143.28,143.60,141.54,142.08,1184400,141.48
2014-10-06,144.45,146.19,143.65,143.89,729300,143.28
2014-10-03,143.93,144.60,142.40,143.10,1225900,142.49
2014-10-02,141.08,143.32,140.63,143.06,1133500,142.45
2014-10-01,145.32,145.48,141.00,141.55,1499400,140.95
2014-09-30,148.81,149.24,145.00,145.65,1159700,145.03
2014-09-29,149.62,149.76,147.96,148.88,811900,148.25
2014-09-26,150.49,151.28,149.61,150.79,452500,150.15
2014-09-25,153.07,153.76,150.28,150.53,686200,149.89
2014-09-24,152.50,154.29,150.64,153.82,1039600,153.17
2014-09-23,152.68,153.53,152.20,152.49,596400,151.84
2014-09-22,155.24,155.24,153.15,153.61,974600,152.96
2014-09-19,154.76,156.13,154.00,155.82,1096400,155.16
2014-09-18,155.04,155.09,153.53,153.89,547100,153.24
2014-09-17,152.82,154.97,152.82,154.31,650000,153.66
2014-09-16,152.30,154.32,151.75,152.60,765300,151.95
2014-09-15,152.60,155.19,151.90,153.17,949100,152.52
2014-09-12,153.35,153.97,151.69,152.11,735500,151.47
2014-09-11,152.88,153.72,152.62,153.37,523900,152.72
2014-09-10,151.09,153.74,151.09,153.52,770400,152.87
2014-09-09,152.67,152.67,149.74,151.26,604000,150.62
2014-09-08,151.33,154.47,151.20,152.58,959700,151.93
2014-09-05,153.61,153.70,151.75,152.01,1077300,151.37
2014-09-04,153.38,155.51,152.82,153.99,842600,153.34
2014-09-03,153.13,154.61,152.88,153.25,687000,152.60
2014-09-02,153.50,153.84,152.47,153.39,577200,152.74
2014-08-29,152.03,153.30,151.87,153.02,515400,152.37
2014-08-28,151.51,153.00,151.12,152.51,742800,151.86
2014-08-27,151.14,152.68,150.51,152.51,838600,151.86
2014-08-26,151.01,152.07,150.39,151.67,785200,150.28
2014-08-25,152.70,152.70,150.37,150.64,603500,149.26
2014-08-22,152.00,152.63,151.00,151.86,548200,150.47
2014-08-21,152.61,153.03,150.52,151.88,972300,150.49
2014-08-20,152.27,154.10,152.15,153.70,702100,152.29
2014-08-19,151.00,153.37,150.86,152.90,1358100,151.50
2014-08-18,149.50,150.96,149.29,150.25,920800,148.87
2014-08-15,150.59,150.64,147.09,148.44,698500,147.08
2014-08-14,146.15,150.07,146.15,149.92,1455100,148.55
2014-08-13,146.33,146.70,144.45,145.66,1079800,144.33
2014-08-12,147.47,148.27,145.04,145.75,774800,144.42
2014-08-11,148.43,148.98,147.49,147.72,941000,146.37
2014-08-08,143.11,148.27,143.08,148.15,1670600,146.79
2014-08-07,146.10,146.25,142.22,142.58,1297100,141.27
