Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,10.04,10.11,10.00,10.02,3514700,10.02
2014-12-01,10.05,10.11,9.99,10.04,4501700,10.04
2014-11-28,10.15,10.15,10.05,10.11,2301100,10.11
2014-11-26,10.02,10.19,10.02,10.08,4948200,10.08
2014-11-25,9.94,10.04,9.81,10.02,5033400,10.02
2014-11-24,9.95,9.97,9.80,9.93,4333500,9.93
2014-11-21,9.92,10.02,9.77,9.95,6886000,9.95
2014-11-20,9.77,9.88,9.75,9.85,3510900,9.85
2014-11-19,9.78,9.84,9.71,9.83,6358700,9.83
2014-11-18,9.78,9.80,9.74,9.76,4991300,9.76
2014-11-17,9.70,9.78,9.56,9.77,4284500,9.77
2014-11-14,9.72,9.79,9.71,9.73,5982500,9.73
2014-11-13,9.69,9.82,9.69,9.74,4546600,9.74
2014-11-12,9.46,9.70,9.45,9.69,5475400,9.69
2014-11-11,9.48,9.56,9.46,9.51,8645600,9.51
2014-11-10,9.59,9.62,9.36,9.49,8706800,9.49
2014-11-07,9.59,9.65,9.28,9.55,11888800,9.55
2014-11-06,10.20,10.24,9.52,9.67,18034700,9.67
2014-11-05,10.42,10.49,10.30,10.49,6643100,10.49
2014-11-04,10.53,10.58,10.39,10.40,4687700,10.40
2014-11-03,10.49,10.63,10.42,10.57,5399500,10.57
2014-10-31,10.57,10.60,10.35,10.48,6863400,10.48
2014-10-30,10.43,10.50,10.31,10.49,3266400,10.49
2014-10-29,10.36,10.51,10.31,10.43,4383400,10.43
2014-10-28,10.17,10.36,10.12,10.36,6826600,10.36
2014-10-27,10.20,10.30,10.13,10.13,5704200,10.13
2014-10-24,10.20,10.24,10.12,10.21,5857800,10.21
2014-10-23,10.27,10.34,10.15,10.20,5674700,10.20
2014-10-22,10.25,10.41,10.23,10.25,5610800,10.25
2014-10-21,10.11,10.29,10.06,10.21,4865900,10.21
2014-10-20,9.77,10.11,9.77,10.11,4729700,10.11
2014-10-17,10.21,10.27,9.98,10.08,6276100,10.08
2014-10-16,9.85,10.10,9.72,10.03,6081900,10.03
2014-10-15,10.04,10.11,9.61,9.98,8184100,9.98
2014-10-14,9.95,10.07,9.65,10.05,9420500,10.05
2014-10-13,10.14,10.21,9.95,9.95,8753700,9.95
2014-10-10,10.36,10.42,10.09,10.12,6950100,10.12
2014-10-09,10.81,10.81,10.32,10.33,7086900,10.33
2014-10-08,10.61,10.80,10.45,10.80,6524800,10.80
2014-10-07,10.61,10.74,10.55,10.59,6197300,10.59
2014-10-06,10.93,10.94,10.59,10.61,5511700,10.61
2014-10-03,10.72,10.97,10.69,10.94,5067300,10.94
2014-10-02,10.66,10.76,10.53,10.71,7889400,10.71
2014-10-01,10.74,10.79,10.65,10.69,5455600,10.69
2014-09-30,10.63,10.80,10.58,10.78,6046200,10.78
2014-09-29,10.71,10.84,10.54,10.64,8028600,10.64
2014-09-26,10.88,10.89,10.55,10.86,7406400,10.86
2014-09-25,11.24,11.26,11.06,11.06,5322100,10.81
2014-09-24,11.24,11.26,11.14,11.24,3052400,10.99
2014-09-23,11.30,11.34,11.21,11.23,3664000,10.98
2014-09-22,11.28,11.36,11.22,11.28,3940700,11.03
2014-09-19,11.27,11.32,11.19,11.28,7936300,11.03
2014-09-18,11.37,11.37,11.22,11.23,3812700,10.98
2014-09-17,11.30,11.36,11.24,11.28,3839100,11.03
2014-09-16,11.15,11.35,11.14,11.30,5200400,11.04
2014-09-15,11.12,11.19,11.04,11.16,4795100,10.91
2014-09-12,11.31,11.34,11.04,11.07,5014700,10.82
2014-09-11,11.14,11.31,11.12,11.31,4547400,11.05
2014-09-10,11.33,11.34,11.11,11.14,5277000,10.89
2014-09-09,11.30,11.32,11.21,11.29,5443400,11.03
2014-09-08,11.29,11.33,11.20,11.32,4010400,11.06
2014-09-05,11.15,11.33,11.11,11.29,5580200,11.03
2014-09-04,11.18,11.21,11.13,11.14,5211900,10.89
2014-09-03,11.08,11.24,11.06,11.15,7130900,10.90
2014-09-02,11.32,11.32,11.00,11.05,10029800,10.80
2014-08-29,11.34,11.35,11.24,11.31,6758400,11.05
2014-08-28,11.23,11.35,11.19,11.33,4467200,11.07
2014-08-27,11.24,11.30,11.20,11.24,4491200,10.99
2014-08-26,11.32,11.41,11.21,11.23,3991900,10.98
2014-08-25,11.28,11.38,11.25,11.33,3557700,11.07
2014-08-22,11.22,11.25,11.11,11.25,3731800,11.00
2014-08-21,11.23,11.31,11.13,11.21,5624600,10.96
2014-08-20,11.34,11.42,11.23,11.25,5494800,11.00
2014-08-19,11.41,11.49,11.26,11.32,4645200,11.06
2014-08-18,11.45,11.58,11.32,11.36,4584000,11.10
2014-08-15,11.40,11.52,11.36,11.36,5437300,11.10
2014-08-14,11.29,11.42,11.19,11.40,6276100,11.14
2014-08-13,11.37,11.44,11.24,11.32,4353700,11.06
2014-08-12,11.27,11.37,11.25,11.31,5758700,11.05
2014-08-11,11.24,11.29,11.12,11.29,6514900,11.03
2014-08-08,11.14,11.23,11.04,11.20,7897500,10.95
2014-08-07,11.29,11.40,10.66,11.16,11796700,10.91
2014-08-06,11.60,11.61,11.33,11.55,10965200,11.29
2014-08-05,11.42,11.66,11.40,11.58,10067300,11.32
2014-08-04,11.38,11.53,11.33,11.49,12792400,11.23
2014-08-01,11.37,11.50,11.33,11.44,9421300,11.18
