Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,5.46,5.48,5.46,5.48,42900,5.48
2014-12-01,5.44,5.46,5.44,5.45,32800,5.45
2014-11-28,5.44,5.45,5.44,5.44,2200,5.44
2014-11-26,5.44,5.46,5.43,5.46,40600,5.46
2014-11-25,5.44,5.46,5.44,5.45,5700,5.45
2014-11-24,5.45,5.46,5.45,5.46,7400,5.46
2014-11-21,5.44,5.46,5.44,5.45,15800,5.45
2014-11-20,5.45,5.46,5.44,5.44,158700,5.44
2014-11-19,5.45,5.46,5.45,5.46,74600,5.46
2014-11-18,5.45,5.46,5.45,5.45,111400,5.45
2014-11-17,5.46,5.46,5.45,5.46,2300,5.46
2014-11-14,5.44,5.46,5.44,5.45,6400,5.45
2014-11-13,5.44,5.45,5.44,5.45,138700,5.45
2014-11-12,5.45,5.46,5.44,5.45,97600,5.45
2014-11-11,5.46,5.46,5.44,5.45,12700,5.45
2014-11-10,5.43,5.45,5.43,5.44,115600,5.44
2014-11-07,5.71,5.71,5.43,5.43,897500,5.43
2014-11-06,5.45,5.45,5.43,5.43,1091700,5.43
2014-11-05,5.41,5.50,5.40,5.46,751300,5.46
2014-11-04,4.15,4.20,4.15,4.15,6100,4.15
2014-11-03,4.11,4.20,4.08,4.13,20100,4.13
2014-10-31,4.11,4.15,4.00,4.14,133500,4.14
2014-10-30,4.06,4.11,4.06,4.11,600,4.11
2014-10-29,4.03,4.05,4.03,4.05,2700,4.05
2014-10-28,4.01,4.11,4.01,4.10,4300,4.10
2014-10-27,4.02,4.05,4.01,4.01,2500,4.01
2014-10-24,4.08,4.08,4.08,4.08,000,4.08
2014-10-23,4.11,4.11,4.02,4.08,4800,4.08
2014-10-22,4.05,4.14,4.01,4.14,3900,4.14
2014-10-21,4.09,4.23,4.03,4.04,177800,4.04
2014-10-20,4.09,4.37,4.01,4.09,23900,4.09
2014-10-17,4.07,4.09,4.01,4.01,14100,4.01
2014-10-16,4.00,4.09,4.00,4.09,900,4.09
2014-10-15,3.90,4.14,3.90,3.91,12000,3.91
2014-10-14,4.18,4.18,3.83,3.83,22700,3.83
2014-10-13,4.15,4.18,4.15,4.15,10200,4.15
2014-10-10,4.17,4.20,4.15,4.15,11000,4.15
2014-10-09,4.15,4.20,4.15,4.17,8300,4.17
2014-10-08,4.32,4.45,4.03,4.16,29400,4.16
