Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,65.30,65.69,64.72,65.24,2701100,65.24
2014-12-01,65.60,65.84,64.72,65.23,4454900,65.23
2014-11-28,64.84,66.47,64.83,66.16,3240000,66.16
2014-11-26,64.23,64.71,64.23,64.52,3456100,64.52
2014-11-25,64.45,64.94,63.96,63.96,8484800,63.96
2014-11-24,63.58,63.86,63.31,63.51,3996200,63.51
2014-11-21,63.88,64.23,63.41,63.56,5167000,63.56
2014-11-20,62.00,63.53,61.93,63.36,6340600,63.36
2014-11-19,61.94,62.89,61.35,62.13,5222400,62.13
2014-11-18,60.98,62.00,59.69,61.64,15927400,61.64
2014-11-17,62.33,62.80,61.50,61.54,6131600,61.54
2014-11-14,61.85,62.56,61.82,62.32,6680700,62.32
2014-11-13,63.95,64.15,63.18,63.50,3807200,63.50
2014-11-12,63.35,63.86,63.32,63.73,5958100,63.73
2014-11-11,64.01,64.18,63.16,63.25,4388800,63.25
2014-11-10,63.77,63.95,63.37,63.92,3126400,63.92
2014-11-07,64.50,64.82,63.96,64.00,2916900,63.83
2014-11-06,63.79,64.63,63.46,64.56,3647600,64.38
2014-11-05,64.00,64.28,63.55,63.72,3104800,63.55
2014-11-04,63.82,64.09,63.52,63.86,2776600,63.69
2014-11-03,64.10,64.13,63.23,63.90,3536800,63.73
2014-10-31,63.98,64.20,62.94,63.32,3400900,63.15
2014-10-30,62.29,63.37,62.25,63.25,2756300,63.08
2014-10-29,62.59,63.26,62.27,62.72,2867900,62.55
2014-10-28,62.67,62.82,62.02,62.70,2786200,62.53
2014-10-27,62.08,62.90,62.08,62.83,2501300,62.66
2014-10-24,62.12,62.45,61.70,62.08,3162000,61.91
2014-10-23,62.08,62.85,61.97,62.34,3322300,62.17
2014-10-22,61.74,62.90,61.48,61.62,5570700,61.45
2014-10-21,61.00,62.61,60.43,62.16,4740200,61.99
2014-10-20,60.15,60.93,60.15,60.66,7070100,60.49
2014-10-17,60.33,60.63,59.65,60.40,7058600,60.23
2014-10-16,59.26,60.25,59.22,59.62,7120300,59.46
2014-10-15,60.65,61.22,59.43,60.10,6752900,59.94
2014-10-14,61.02,61.62,60.86,61.41,4633400,61.24
2014-10-13,61.50,61.66,60.57,60.63,3894400,60.46
2014-10-10,60.66,62.18,60.63,61.57,5393400,61.40
2014-10-09,60.66,61.32,60.39,60.49,4980700,60.32
2014-10-08,59.87,61.05,59.60,60.99,3770300,60.82
2014-10-07,59.94,60.42,59.69,59.69,3027200,59.53
2014-10-06,61.17,61.24,60.24,60.30,2375100,60.14
2014-10-03,60.25,61.42,60.25,61.08,3887600,60.91
2014-10-02,59.41,60.10,59.16,59.95,3123400,59.79
2014-10-01,59.27,59.79,58.96,59.22,3413600,59.06
2014-09-30,59.60,59.68,59.17,59.17,3414700,59.01
